Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,33.0,1020.0,57.0,46.05763999999999,0.00488319993019104,add
,18,18x218,33.0,1020.0,57.0,39.688880000000005,0.004947199951857328,add
,209,209x112,33.0,1020.0,57.0,39.685200000000016,0.005023999977856875,add
,83,83x236,33.0,1020.0,57.0,39.534959999999984,0.005190399941056967,add
,1,1x37,33.0,1020.0,57.0,39.56523999999999,0.00447359997779131,add
,172,172x29,33.0,1020.0,57.0,39.569599999999994,0.004729600064456463,add
,188,188x90,33.0,1020.0,57.0,39.56504000000002,0.004704000055789947,add
,116,116x165,33.0,1020.0,57.0,39.622959999999985,0.005030400026589632,add
,232,232x249,33.0,1020.0,57.0,39.66652000000002,0.006118400115519762,add
,235,235x45,5.16,1020.0,57.0,39.57899999999998,0.004979199916124344,add
,58,58x332,4.0,1020.0,57.0,39.60299999999998,0.004851199965924024,add
,178,178x472,4.0,1020.0,57.0,39.63599999999999,0.0061888000927865505,add
,211,211x432,4.0,1020.0,57.0,39.58400000000003,0.006304000038653612,add
,134,134x373,4.0,1020.0,57.0,39.55399999999998,0.0061056000180542466,add
,86,86x339,4.0,1020.0,57.0,39.611,0.004799999948590994,add
,163,163x321,4.0,839.4,57.0,39.41351999999999,0.006067200005054474,add
,76,76x447,4.0,375.0,56.56,37.70376000000001,0.008217599987983704,add
,235,235x420,4.0,375.0,56.0,35.83400000000002,0.01029760017991066,add
,174,174x314,5.44,375.0,56.0,35.86839999999999,0.008716800063848496,add
,229,229x439,6.0,375.0,56.0,35.78239999999999,0.010572799853980542,add
,43,43x969,6.0,375.0,56.0,35.86000000000001,0.008467200212180614,add
,76,76x950,6.0,375.0,56.0,35.81100000000001,0.010252799838781357,add
,229,229x602,6.0,375.0,56.0,35.840000000000025,0.012249600142240524,add
,72,72x601,6.0,375.0,56.0,33.548,0.010944000072777271,add
