Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,42.0,615.0,56.0,41.65595999999999,0.006156800035387278,addu
,18,18x218,42.0,615.0,56.0,35.66959999999998,0.006137600168585777,addu
,209,209x112,42.0,615.0,56.0,35.68084000000001,0.0061888000927865505,addu
,83,83x236,42.0,615.0,56.0,35.73004000000002,0.006169600039720535,addu
,1,1x37,23.0,615.0,56.0,35.77112000000002,0.006118400022387505,addu
,172,172x29,23.0,615.0,56.0,35.815799999999996,0.00613120011985302,addu
,188,188x90,23.0,615.0,56.0,35.801239999999986,0.00613120011985302,addu
,116,116x165,23.0,615.0,56.0,35.74599999999999,0.006240000016987324,addu
,232,232x249,23.0,615.0,56.0,35.760999999999996,0.006553599983453751,addu
,235,235x45,23.0,615.0,56.0,35.83100000000001,0.00613120011985302,addu
,58,58x332,23.0,615.0,56.0,35.76604,0.006169600039720535,addu
,178,178x472,23.0,615.0,56.0,35.71503999999998,0.006777600105851889,addu
,211,211x432,23.0,375.0,56.0,35.63375999999999,0.00904959999024868,addu
,134,134x373,7.0,375.0,56.0,35.59808000000001,0.008211200125515461,addu
,86,86x339,7.0,375.0,56.0,35.57700000000002,0.007628799974918365,addu
,163,163x321,7.0,375.0,56.0,35.67200000000002,0.008217599987983704,addu
,76,76x447,7.0,375.0,56.0,35.607999999999976,0.008191999979317188,addu
,235,235x420,7.0,375.0,55.12,35.56399999999999,0.00922240000218153,addu
,174,174x314,7.0,375.0,55.0,35.67999999999998,0.008191999979317188,addu
,229,229x439,7.0,375.0,55.0,35.58500000000001,0.008966400101780892,addu
,43,43x969,7.0,375.0,55.0,35.65800000000001,0.008198400028049946,addu
,76,76x950,7.0,375.0,55.0,35.63971999999999,0.00858880002051592,addu
,229,229x602,9.88,375.0,55.0,35.63912,0.010239999741315842,addu
,72,72x601,10.0,375.0,55.0,35.552960000000006,0.008204800076782703,addu
,4,4x932,10.0,375.0,55.0,35.593600000000016,0.006649600062519312,addu
,149,149x1015,10.0,375.0,55.0,35.66036000000001,0.010265599749982358,addu
,79,79x781,10.0,375.0,55.0,35.62191999999999,0.008287999965250491,addu
,15,15x635,10.0,375.0,55.0,35.71391999999999,0.007104000076651573,addu
,62,62x895,10.0,375.0,55.0,35.61816000000001,0.00825599990785122,addu
,183,183x680,10.0,375.0,55.0,35.677000000000014,0.010239999741315842,addu
,40,40x1421,10.0,375.0,55.0,35.54200000000002,0.008499200083315372,addu
,50,50x1745,9.2,375.0,55.0,29.127360000000003,0.011168000102043153,addu
