Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,8,8x2x18x16,8.0,1470.0,47.0,43.558999999999976,0.004607999976724386,bmm
,18,18x1x11x28,8.0,1470.0,47.0,43.885999999999996,0.005011199973523617,bmm
,6,6x19x24x13,5.0,1470.0,47.0,43.99,0.006195200048387051,bmm
,5,5x11x16x43,5.0,1470.0,47.0,43.92899999999999,0.004851199965924024,bmm
,26,26x30x10x49,5.0,1470.0,47.04,43.97199999999999,0.008576000109314919,bmm
,5,5x25x25x62,5.0,1470.0,48.0,44.211000000000006,0.010355199873447418,bmm
,20,20x33x13x84,5.0,1470.0,48.0,44.28099999999998,0.010239999741315842,bmm
,9,9x9x31x86,5.0,1470.0,48.0,44.44299999999999,0.005875200033187866,bmm
,15,15x1x5x72,5.0,1470.0,48.0,44.52999999999998,0.004281600005924702,bmm
,7,7x7x28x219,5.0,1470.0,49.0,44.40099999999998,0.0062720000743865965,bmm
,18,18x30x16x148,5.0,1470.0,49.0,44.43100000000001,0.0102591997012496,bmm
,25,25x17x30x202,5.0,1470.0,49.0,44.86699999999999,0.010412799753248691,bmm
,12,12x5x5x377,5.0,1470.0,49.0,45.11800000000002,0.005491199996322393,bmm
,21,21x5x1x491,5.0,1470.0,49.0,44.598120000000016,0.00510080000385642,bmm
,9,9x17x8x311,5.0,1470.0,49.0,44.64432,0.008191999979317188,bmm
,9,9x17x11x965,5.0,1470.0,49.0,44.537600000000005,0.010822400078177452,bmm
,16,16x7x23x929,5.0,1470.0,49.0,44.57312000000002,0.013184000179171563,bmm
,15,15x13x30x871,5.0,1470.0,49.44,44.65519999999999,0.018425600603222847,bmm
,12,12x17x35x7,5.0,1470.0,50.0,44.65952,0.01065600011497736,bmm
,22,22x21x40x20,5.0,1470.0,50.0,44.62239999999998,0.010527999885380269,bmm
,14,14x28x53x30,5.0,1470.0,50.0,44.75776000000002,0.012294400297105313,bmm
,2,2x3x48x63,4.04,1470.0,50.0,45.30739999999999,0.004838400054723024,bmm
,16,16x8x62x41,4.0,1470.0,50.0,45.29600000000002,0.006080000009387731,bmm
,5,5x19x48x50,4.0,1470.0,50.0,44.94399999999999,0.010809599980711937,bmm
,14,14x27x57x67,4.0,1470.0,50.0,44.83000000000001,0.013478399813175201,bmm
,26,26x11x62x81,4.0,1470.0,50.0,45.04499999999999,0.008127999864518643,bmm
,25,25x18x59x97,4.0,1470.0,50.0,44.852720000000005,0.018796800076961516,bmm
