Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,34.0,1005.0,57.0,42.51672000000001,0.00613120011985302,div
,18,18x218,34.0,1005.0,57.0,39.91979999999999,0.006124800164252519,div
,209,209x112,34.0,1005.0,57.0,39.60572,0.006342399958521127,div
,83,83x236,34.0,1005.0,57.0,39.615,0.00613120011985302,div
,1,1x37,34.0,1005.0,57.0,39.572999999999986,0.004876800067722798,div
,172,172x29,34.0,1005.0,57.0,39.57899999999998,0.00615039998665452,div
,188,188x90,34.0,1005.0,57.0,39.51199999999997,0.00613760007545352,div
,116,116x165,34.0,1005.0,57.0,39.543,0.006169600039720535,div
,232,232x249,11.96,1005.0,57.0,39.40760000000001,0.006790399923920632,div
,235,235x45,5.0,1005.0,57.0,39.48391999999998,0.00613120011985302,div
,58,58x332,5.0,1005.0,57.0,39.5302,0.006156800128519535,div
,178,178x472,5.0,1005.0,56.68,39.50912,0.00702719995751977,div
,211,211x432,5.0,1005.0,56.0,39.31095999999999,0.007590399961918593,div
,134,134x373,5.0,375.0,56.0,37.754520000000014,0.011974400095641612,div
,86,86x339,5.0,375.0,56.0,35.89599999999999,0.010431999899446964,div
,163,163x321,5.0,375.0,56.0,35.827,0.012192000076174736,div
,76,76x447,5.0,375.0,56.0,35.89099999999999,0.010528000071644783,div
,235,235x420,5.08,375.0,56.0,35.88099999999998,0.012876800075173379,div
,174,174x314,7.0,375.0,56.0,35.92499999999998,0.011481599882245064,div
,229,229x439,7.0,375.0,56.0,35.837999999999994,0.013644799962639809,div
,43,43x969,7.0,375.0,56.0,35.98919999999999,0.010944000072777271,div
,76,76x950,7.0,375.0,56.0,35.93912000000002,0.012716799974441528,div
,229,229x602,7.0,375.0,56.0,35.9006,0.014630400016903878,div
,72,72x601,7.0,375.0,56.0,35.88739999999999,0.011788799986243248,div
,4,4x932,7.0,375.0,56.0,35.870359999999984,0.009222400188446046,div
,149,149x1015,7.0,375.0,56.0,35.859279999999984,0.015673600137233734,div
,79,79x781,7.0,375.0,56.0,35.87000000000002,0.012294400297105313,div
,15,15x635,10.0,375.0,56.0,35.82724000000002,0.009753600135445595,div
,62,62x895,10.0,375.0,56.0,35.93620000000002,0.01223680004477501,div
,183,183x680,10.0,375.0,56.0,35.67516,0.014547199942171574,div
,40,40x1421,10.0,375.0,56.0,30.39228000000001,0.014214400202035904,div
,50,50x1745,10.0,375.0,56.0,25.959320000000005,0.014892799966037273,div
,84,84x1234,10.0,375.0,54.0,25.91336000000001,0.015852800011634825,div
,60,60x1293,10.0,375.0,54.0,25.8092,0.014355200156569482,div
,89,89x1648,10.0,375.0,54.0,25.75772,0.017209599539637566,div
,108,108x1291,10.0,375.0,54.0,25.54700000000001,0.016723199933767318,div
,101,101x1245,10.0,375.0,54.0,25.682999999999996,0.01640959978103638,div
,6,6x1222,10.0,375.0,54.0,23.888520000000007,0.012390399910509586,div
,143,143x1737,10.0,375.0,54.0,23.13284,0.05658240020275116,div
,99,99x1602,10.0,375.0,53.0,22.52231999999999,0.018464000523090364,div
,55,55x2789,10.0,375.0,53.0,22.502799999999993,0.01841920055449009,div
,64,64x3957,13.04,375.0,53.0,22.290840000000003,0.06332160010933877,div
,253,253x2522,14.0,375.0,53.0,22.369280000000003,0.4718656063079834,div
,220,220x2822,14.0,375.0,53.0,22.48516,0.4657856047153473,div
,225,225x2397,14.0,375.0,53.0,22.51404000000001,0.3987200021743774,div
,102,102x3436,14.56,375.0,52.0,22.437640000000002,0.2766976058483124,div
,205,205x3507,21.0,375.0,52.0,22.563880000000005,0.5350656032562255,div
