Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,34.0,814.8,57.0,39.053920000000005,0.006080000102519989,divu
,18,18x218,34.0,810.0,57.0,35.87900000000001,0.005587200075387955,divu
,209,209x112,34.0,750.0,57.0,35.923,0.006137600168585777,divu
,83,83x236,34.0,750.0,56.0,35.89700000000002,0.006144000124186278,divu
,1,1x37,34.0,690.0,56.0,35.959000000000024,0.006067200098186731,divu
,172,172x29,34.0,690.0,56.0,35.951000000000015,0.006092800013720989,divu
,188,188x90,34.0,645.0,56.0,35.87400000000002,0.006150400172919035,divu
,116,116x165,11.0,645.0,56.0,35.902000000000015,0.006214400008320809,divu
,232,232x249,11.0,585.0,56.0,35.822679999999984,0.006649600062519312,divu
,235,235x45,11.0,575.4,56.0,35.78776000000002,0.00613120011985302,divu
,58,58x332,11.0,555.0,56.0,35.83760000000001,0.006540799885988236,divu
,178,178x472,11.0,531.6,56.0,35.796159999999986,0.007513599935919046,divu
,211,211x432,11.0,510.0,56.0,35.80448000000001,0.008204800076782703,divu
,134,134x373,11.0,479.4,56.0,35.76379999999999,0.00725119998678565,divu
,86,86x339,11.0,465.0,56.0,35.76196000000001,0.006752000004053116,divu
,163,163x321,11.0,441.0,56.0,35.80560000000002,0.008191999979317188,divu
,76,76x447,8.76,435.0,56.0,35.842680000000016,0.007270400039851665,divu
,235,235x420,7.0,408.6,56.0,35.846839999999986,0.008486399985849857,divu
,174,174x314,7.0,405.0,56.0,35.913999999999994,0.008364799804985524,divu
,229,229x439,7.0,375.0,56.0,35.86699999999999,0.009267199970781802,divu
,43,43x969,7.0,375.0,56.0,35.837999999999994,0.008198400028049946,divu
,76,76x950,7.0,375.0,56.0,35.822999999999986,0.00885120015591383,divu
,229,229x602,7.0,375.0,56.0,35.894,0.010239999741315842,divu
,72,72x601,7.0,375.0,55.96,33.622320000000016,0.010233600251376629,divu
,4,4x932,7.0,375.0,55.0,26.172359999999998,0.008736000210046769,divu
,149,149x1015,7.56,375.0,55.0,25.87259999999999,0.012294400110840797,divu
,79,79x781,9.0,375.0,55.0,25.808839999999996,0.010476799868047237,divu
,15,15x635,9.0,375.0,54.96,25.85939999999999,0.009043199755251408,divu
,62,62x895,9.0,375.0,54.0,25.714999999999996,0.010227200202643871,divu
,183,183x680,9.0,375.0,54.0,25.83600000000001,0.01228800043463707,divu
,40,40x1421,9.0,375.0,54.0,25.91399999999999,0.010246399976313113,divu
,50,50x1745,9.0,375.0,54.0,25.693199999999997,0.011020799912512303,divu
,84,84x1234,9.0,375.0,54.0,23.527199999999993,0.012095999903976917,divu
,60,60x1293,10.28,375.0,54.0,22.756320000000006,0.011097599938511848,divu
,89,89x1648,13.0,375.0,53.16,22.56299999999999,0.012512000277638435,divu
,108,108x1291,13.0,375.0,53.0,22.66868,0.012281600385904312,divu
,101,101x1245,13.0,375.0,53.0,21.76056,0.012345599941909313,divu
,6,6x1222,13.0,375.0,53.0,21.685199999999995,0.00991360004991293,divu
,143,143x1737,13.0,375.0,52.24,21.788879999999995,0.01499520018696785,divu
,99,99x1602,13.0,375.0,52.0,21.53208,0.012889599986374378,divu
,55,55x2789,13.0,375.0,52.0,21.90084,0.012851200066506863,divu
,64,64x3957,13.0,375.0,52.0,22.083599999999986,0.015072000026702882,divu
,253,253x2522,13.0,375.0,52.0,22.144520000000007,0.2615616023540497,divu
,220,220x2822,16.0,375.0,52.0,21.967759999999995,0.25233280658721924,divu
,225,225x2397,16.0,375.0,52.0,21.69699999999999,0.22808319926261902,divu
,102,102x3436,16.0,375.0,52.0,21.752600000000008,0.09006720185279846,divu
,205,205x3507,16.0,375.0,52.0,22.0372,0.3004736065864563,divu
,129,129x4053,16.4,375.0,52.0,22.17476000000001,0.22071679830551147,divu
,14,14x2782,18.0,375.0,52.0,21.557799999999997,0.010291199758648872,divu
,104,104x3251,18.0,375.0,52.0,21.567719999999994,0.06979839950799942,divu
,453,453x231,18.0,375.0,52.0,22.11844,0.012172799743711948,divu
,341,341x252,18.0,375.0,52.0,21.685440000000007,0.011334399878978729,divu
,500,500x81,17.68,375.0,52.0,21.96704,0.010239999927580356,divu
,288,288x15,16.0,375.0,52.0,21.71612,0.009798399917781354,divu
,476,476x177,16.0,375.0,52.0,21.771440000000002,0.01134719979017973,divu
,300,300x34,16.0,375.0,52.0,21.689040000000006,0.010208000242710114,divu
,473,473x216,16.0,375.0,52.0,21.52483999999999,0.011891199834644794,divu
,307,307x251,16.0,375.0,52.0,21.873640000000012,0.010687999799847603,divu
,480,480x104,15.0,375.0,51.0,22.088799999999996,0.010463999956846238,divu
,372,372x48,15.0,375.0,51.0,22.053840000000005,0.010233599878847598,divu
,296,296x411,15.0,375.0,51.64,21.96920000000001,0.012345600128173827,divu
,349,349x266,15.0,375.0,52.0,21.89296,0.011756799928843976,divu
,443,443x493,15.0,375.0,51.56,22.031479999999988,0.014451200142502785,divu
,361,361x468,15.0,375.0,51.0,22.238839999999993,0.013510400056838989,divu
,333,333x355,15.0,375.0,51.0,22.26608000000001,0.012288000248372555,divu
,360,360x338,15.0,375.0,52.0,21.533319999999993,0.01230079997330904,divu
,267,267x285,15.0,375.0,52.0,21.906999999999996,0.010969599895179271,divu
,328,328x377,15.0,375.0,52.0,22.006519999999995,0.012275200337171555,divu
,417,417x425,15.68,375.0,52.0,22.070359999999997,0.013888000138103962,divu
,397,397x482,16.0,375.0,51.88,22.13663999999999,0.014246400073170662,divu
,500,500x765,16.0,375.0,51.0,21.764800000000005,0.15351679921150208,divu
,284,284x758,16.0,375.0,51.0,21.861,0.014451200142502785,divu
,261,261x915,16.0,375.0,51.0,21.799839999999996,0.015219200029969215,divu
,419,419x929,16.6,375.0,51.0,21.72575999999999,0.15148800015449523,divu
,308,308x677,17.0,375.0,51.0,21.829439999999995,0.014329600147902966,divu
,351,351x967,17.0,375.0,51.0,21.920919999999988,0.06899840161204338,divu
,337,337x768,17.0,375.0,51.4,22.38468,0.015846399962902068,divu
,424,424x801,17.0,375.0,52.0,22.14520000000001,0.07300480157136917,divu
,267,267x536,17.0,375.0,51.92,22.016359999999995,0.012608000077307224,divu
,476,476x779,17.0,375.0,51.0,22.196640000000013,0.12995200008153915,divu
,510,510x1267,17.0,375.0,51.08,22.240280000000013,0.26904959678649903,divu
,477,477x1448,17.0,375.0,52.0,21.99151999999999,0.2889343976974487,divu
,405,405x1561,17.0,375.0,52.0,21.93364000000001,0.26402559876441956,divu
,325,325x1687,17.0,375.0,52.0,22.335880000000003,0.2294975996017456,divu
,283,283x1706,17.0,375.0,52.0,21.9558,0.20176640152931213,divu
,459,459x1784,17.0,375.0,51.0,22.288120000000003,0.37043840289115904,divu
,324,324x1208,17.0,375.0,51.0,22.22632,0.14997119903564454,divu
,512,512x1600,17.0,375.0,51.96,22.3902,0.3655039966106415,divu
,418,418x2031,18.0,375.0,52.0,22.461080000000003,0.4034943997859955,divu
,275,275x1988,18.0,375.0,52.0,21.79299999999999,0.22886399924755096,divu
,439,439x4036,18.0,375.0,52.0,22.96288,0.8867392063140869,divu
,402,402x2788,18.0,375.0,52.0,23.004199999999997,0.5624704003334046,divu
,512,512x2435,22.08,375.0,52.0,22.608919999999998,0.6251967906951904,divu
,335,335x2167,24.0,375.0,51.0,21.91988,0.31649919748306277,divu
,488,488x3379,24.0,375.0,51.0,22.363520000000005,0.8118335962295532,divu
,304,304x3682,24.0,375.0,52.0,22.68088,0.5553344130516052,divu
,455,455x3697,24.0,375.0,52.0,23.06151999999999,0.8310400009155273,divu
,440,440x2442,24.0,375.0,52.0,22.59455999999999,0.5345088005065918,divu
,303,303x3779,24.0,375.0,52.0,22.41199999999999,0.5807744026184082,divu
,371,371x2684,24.0,375.0,52.0,22.5064,0.4712191939353943,divu
,665,665x66,24.0,375.0,52.0,22.099080000000004,0.01049600001424551,divu
,948,948x212,20.64,375.0,52.0,21.81784000000001,0.01431680005043745,divu
,986,986x92,20.0,375.0,52.0,21.7232,0.011942399851977824,divu
,973,973x136,20.0,375.0,52.0,21.938160000000003,0.012384000048041344,divu
,531,531x3,20.0,375.0,52.0,21.623840000000005,0.010239999741315842,divu
,823,823x185,20.0,375.0,52.0,22.1206,0.012819200009107589,divu
,529,529x97,15.6,375.0,52.0,22.109800000000003,0.01040639989078045,divu
,821,821x238,15.0,375.0,52.0,22.019520000000007,0.014291200041770934,divu
,1009,1009x242,15.0,375.0,51.0,21.654759999999996,0.015065599977970124,divu
,521,521x53,15.0,375.0,51.0,21.35243999999999,0.010252799838781357,divu
,1012,1012x375,15.0,375.0,51.84,22.052840000000014,0.12970879673957825,divu
,632,632x510,15.96,375.0,52.0,21.812479999999997,0.030214400589466096,divu
,865,865x481,16.0,375.0,51.04,22.097879999999996,0.17522560060024261,divu
,881,881x498,16.0,375.0,51.0,21.696960000000008,0.18637440204620362,divu
,673,673x508,16.0,375.0,51.0,21.95400000000001,0.07745919972658158,divu
,880,880x390,16.0,375.0,51.0,21.75724000000001,0.07567360103130341,divu
,745,745x318,16.0,375.0,51.0,21.69888,0.015091200172901154,divu
,619,619x282,16.0,375.0,51.0,21.765119999999992,0.013862400129437447,divu
,633,633x362,16.0,375.0,51.0,21.989439999999995,0.014988799951970578,divu
,855,855x327,16.0,375.0,51.0,21.889359999999996,0.016383999958634377,divu
,806,806x688,16.0,375.0,51.0,22.614399999999993,0.23439359664916992,divu
,746,746x654,16.0,375.0,51.0,22.150400000000012,0.203916797041893,divu
,523,523x584,16.0,375.0,51.0,22.07760000000001,0.026739200204610826,divu
,550,550x667,16.0,375.0,51.0,22.024720000000006,0.1315968006849289,divu
,799,799x663,16.0,375.0,51.0,22.248559999999987,0.22394239902496338,divu
,599,599x550,16.0,375.0,51.0,22.01263999999999,0.051712000370025636,divu
,676,676x536,17.0,375.0,51.0,21.830240000000014,0.09697280153632164,divu
,778,778x875,17.0,375.0,51.48,22.185240000000004,0.2787648022174835,divu
,754,754x752,17.0,375.0,52.0,21.90408,0.2404992014169693,divu
,710,710x882,17.0,375.0,52.0,22.058839999999996,0.26035199761390687,divu
,948,948x1291,18.92,375.0,52.0,23.06092000000001,0.6109311938285827,divu
,1023,1023x1892,20.0,375.0,52.0,23.016040000000004,0.9714751958847045,divu
,645,645x1266,20.0,375.0,52.0,22.731960000000004,0.3828607976436615,divu
,625,625x1272,20.0,375.0,52.0,22.7246,0.3616703987121582,divu
,823,823x1627,20.32,375.0,52.0,22.84335999999999,0.6689663887023926,divu
,733,733x1399,24.0,375.0,52.0,22.462400000000006,0.5153599977493286,divu
,830,830x1951,24.0,375.0,52.0,22.63868,0.7911104083061218,divu
,665,665x1691,24.0,375.0,52.0,22.339039999999997,0.5715327978134155,divu
,797,797x1206,24.0,375.0,52.0,22.355200000000004,0.4788416028022766,divu
,1000,1000x1063,22.24,375.0,52.0,22.559200000000004,0.5283071994781494,divu
,841,841x3694,22.0,375.0,52.0,23.835560000000005,1.5812992095947265,divu
,837,837x3613,22.0,377.4,52.0,23.521959999999993,1.51669762134552,divu
,774,774x2416,22.0,390.0,52.0,22.884400000000007,0.9413376092910767,divu
,572,572x3269,30.0,390.0,52.0,22.911119999999993,0.9361536026000976,divu
,636,636x2261,30.0,390.0,52.0,23.05152,0.7043520092964173,divu
,838,838x3952,30.0,390.0,52.0,23.853679999999994,1.6501183748245238,divu
,616,616x3057,30.0,390.0,52.0,22.973799999999986,0.9482623934745789,divu
,685,685x3053,30.0,390.0,52.0,23.046039999999998,1.060319995880127,divu
,574,574x4024,30.0,387.0,52.0,23.671759999999995,1.1518143892288208,divu
