Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,34.0,780.0,56.0,38.15459999999999,0.006195200048387051,gelu
,18,18x218,34.0,780.0,56.0,36.49899999999998,0.00613120011985302,gelu
,209,209x112,34.0,780.0,56.0,35.939399999999985,0.006265600025653839,gelu
,83,83x236,34.0,780.0,56.0,35.85060000000001,0.006156800035387278,gelu
,1,1x37,34.0,780.0,56.0,35.83355999999998,0.005599999986588955,gelu
,172,172x29,34.0,780.0,56.0,35.91039999999999,0.006137600168585777,gelu
,188,188x90,34.0,780.0,56.0,35.99111999999998,0.006118400022387505,gelu
,116,116x165,11.92,780.0,56.0,35.923280000000005,0.006169600132852793,gelu
,232,232x249,11.0,780.0,56.0,35.989280000000015,0.00634239986538887,gelu
,235,235x45,11.0,780.0,56.0,35.93968000000001,0.006118400022387505,gelu
,58,58x332,11.0,780.0,56.0,35.875,0.006163199990987777,gelu
,178,178x472,11.0,780.0,56.0,36.00199999999998,0.006771200150251388,gelu
,211,211x432,11.0,375.0,56.0,35.989000000000004,0.010252799838781357,gelu
,134,134x373,11.0,375.0,56.0,35.981,0.008959999866783619,gelu
,86,86x339,11.0,375.0,56.0,36.029,0.00851840004324913,gelu
,163,163x321,11.0,375.0,56.0,35.923,0.008985600061714649,gelu
,76,76x447,10.4,375.0,56.0,35.981400000000015,0.008243200182914735,gelu
,235,235x420,8.0,375.0,55.2,35.96799999999999,0.010233599878847598,gelu
,174,174x314,8.0,375.0,55.0,35.97199999999999,0.009612799994647503,gelu
,229,229x439,8.0,375.0,55.0,35.89063999999999,0.0102463997900486,gelu
,43,43x969,8.0,375.0,55.0,35.92295999999998,0.008716800063848496,gelu
,76,76x950,8.0,375.0,55.0,35.90712,0.010239999741315842,gelu
,229,229x602,8.0,375.0,55.0,35.90499999999998,0.010720000229775905,gelu
,72,72x601,8.0,375.0,55.0,35.899,0.0091967998072505,gelu
,4,4x932,8.0,375.0,55.0,35.91999999999999,0.007660799752920866,gelu
,149,149x1015,8.32,375.0,55.0,32.212599999999995,0.014374400116503238,gelu
,79,79x781,9.0,375.0,55.0,26.081880000000005,0.01159680001437664,gelu
,15,15x635,9.0,375.0,55.0,25.98176000000001,0.010233599878847598,gelu
,62,62x895,9.0,375.0,55.0,25.93524,0.010937600024044513,gelu
,183,183x680,9.0,375.0,54.08,25.994600000000002,0.012505599856376648,gelu
,40,40x1421,9.0,375.0,54.0,25.8666,0.010783999972045422,gelu
,50,50x1745,9.0,375.0,54.0,25.898000000000014,0.01230079997330904,gelu
,84,84x1234,9.0,375.0,54.0,23.810120000000012,0.012595200166106223,gelu
,60,60x1293,9.72,375.0,54.0,22.9296,0.012332800030708312,gelu
,89,89x1648,12.0,375.0,54.0,22.694560000000006,0.014713600091636182,gelu
,108,108x1291,12.0,375.0,53.04,22.734320000000007,0.014169600047171115,gelu
,101,101x1245,12.0,375.0,53.0,22.288960000000003,0.01313919983804226,gelu
,6,6x1222,12.0,375.0,53.0,22.4602,0.010233599878847598,gelu
,143,143x1737,12.0,375.0,53.0,21.97528,0.01797119975090027,gelu
,99,99x1602,14.0,375.0,53.0,22.178800000000003,0.01551359985023737,gelu
,55,55x2789,14.0,375.0,53.0,22.234399999999997,0.01553919967263937,gelu
,64,64x3957,14.0,375.0,53.0,21.64724000000001,0.018143999949097635,gelu
,253,253x2522,14.0,375.0,52.0,22.39244,0.2647871971130371,gelu
,220,220x2822,14.0,375.0,52.0,22.343560000000004,0.2552511990070343,gelu
,225,225x2397,17.0,375.0,52.0,22.435119999999994,0.21317760348320008,gelu
,102,102x3436,17.0,375.0,52.0,22.077159999999996,0.10109439790248871,gelu
,205,205x3507,17.0,375.0,52.0,22.018680000000003,0.3000896036624908,gelu
,129,129x4053,17.0,375.0,52.0,22.17460000000001,0.22425599694252013,gelu
,14,14x2782,17.28,375.0,52.0,21.79356,0.011270399950444699,gelu
,104,104x3251,18.0,375.0,52.0,21.741719999999997,0.07608959972858428,gelu
,453,453x231,18.0,375.0,52.0,21.938600000000005,0.012723200023174286,gelu
,341,341x252,18.0,375.0,52.0,21.951120000000007,0.012736000306904315,gelu
,500,500x81,18.0,375.0,52.0,22.048279999999995,0.011468799971044063,gelu
,288,288x15,17.68,375.0,52.0,21.83976,0.010380800068378448,gelu
,476,476x177,16.0,375.0,52.0,21.853280000000005,0.012428800016641617,gelu
,300,300x34,16.0,375.0,52.0,21.99132,0.011392000131309032,gelu
,473,473x216,16.0,375.0,52.0,22.29336000000001,0.012959999963641167,gelu
,307,307x251,16.0,375.0,52.0,21.830119999999987,0.012409600056707859,gelu
,480,480x104,16.0,375.0,52.0,21.756240000000005,0.012128000147640705,gelu
,372,372x48,16.0,375.0,52.0,21.94224,0.01101440005004406,gelu
,296,296x411,16.0,375.0,52.0,21.779359999999986,0.013548799976706504,gelu
,349,349x266,16.0,375.0,52.0,21.828000000000003,0.012403200007975101,gelu
,443,443x493,16.0,375.0,52.0,22.156919999999992,0.016793600097298623,gelu
,361,361x468,16.0,375.0,52.0,21.57004,0.015974400192499162,gelu
,333,333x355,15.04,375.0,52.0,21.835680000000007,0.013497599959373474,gelu
,360,360x338,15.0,375.0,52.0,21.487080000000002,0.013555200211703778,gelu
,267,267x285,15.0,375.0,51.4,21.670160000000006,0.012288000248372555,gelu
,328,328x377,15.0,375.0,51.0,21.44960000000001,0.01338880006223917,gelu
,417,417x425,15.0,375.0,51.0,22.09332000000001,0.016172799840569498,gelu
,397,397x482,15.68,375.0,51.0,22.215480000000003,0.01637119986116886,gelu
,500,500x765,16.0,375.0,51.0,22.02771999999999,0.15888000130653382,gelu
,284,284x758,16.0,375.0,51.96,22.2052,0.01647999994456768,gelu
,261,261x915,16.0,375.0,52.0,22.22252,0.017983999848365784,gelu
,419,419x929,16.0,375.0,52.0,21.84583999999999,0.15349120199680327,gelu
,308,308x677,16.6,375.0,52.0,21.769999999999992,0.016422400251030922,gelu
,351,351x967,17.0,375.0,52.0,22.100520000000014,0.0780479997396469,gelu
,337,337x768,17.0,375.0,52.0,21.802559999999993,0.018348800018429756,gelu
,424,424x801,17.0,375.0,51.92,21.7672,0.07548159956932068,gelu
,267,267x536,17.0,375.0,51.0,21.887520000000006,0.014643199928104877,gelu
,476,476x779,16.56,375.0,51.0,22.11339999999999,0.12952960133552552,gelu
,510,510x1267,16.0,375.0,51.0,22.306599999999992,0.27096959948539734,gelu
,477,477x1448,16.0,375.0,51.0,22.579600000000006,0.28739199638366697,gelu
,405,405x1561,16.0,375.0,51.76,22.167079999999995,0.2685248017311096,gelu
,325,325x1687,16.0,375.0,52.0,21.85744000000001,0.22378239929676055,gelu
,283,283x1706,18.2,375.0,52.0,22.393200000000007,0.19245439767837524,gelu
,459,459x1784,21.0,375.0,52.0,22.355880000000003,0.3545408010482788,gelu
,324,324x1208,21.0,375.0,52.0,22.299160000000008,0.14704639911651612,gelu
,512,512x1600,21.0,375.0,52.0,22.073999999999998,0.36658560633659365,gelu
,418,418x2031,21.0,375.0,52.0,22.251519999999985,0.4043008029460907,gelu
,275,275x1988,18.0,375.0,52.0,22.215720000000005,0.2322048008441925,gelu
,439,439x4036,18.0,375.0,52.0,22.920359999999988,0.8736832022666932,gelu
,402,402x2788,18.0,375.0,52.0,22.953560000000007,0.5627647995948791,gelu
,512,512x2435,18.0,375.0,52.0,23.07352,0.6268096089363098,gelu
,335,335x2167,18.56,375.0,52.0,22.623799999999992,0.317631995677948,gelu
,488,488x3379,25.0,375.0,52.0,23.105720000000005,0.810694408416748,gelu
,304,304x3682,25.0,375.0,52.0,23.3052,0.5392319917678833,gelu
,455,455x3697,25.0,375.0,52.0,23.89712,0.8270527958869934,gelu
,440,440x2442,25.0,375.0,52.0,22.844759999999997,0.5459327936172486,gelu
,303,303x3779,28.0,375.0,52.0,22.965880000000002,0.5785407900810242,gelu
,371,371x2684,28.0,375.0,52.0,22.86948,0.500595211982727,gelu
,665,665x66,28.0,375.0,52.0,22.550880000000003,0.011929599940776825,gelu
,948,948x212,28.0,375.0,52.0,21.86536000000001,0.01637759990990162,gelu
,986,986x92,27.36,375.0,52.0,22.018639999999994,0.012467200122773647,gelu
,973,973x136,20.0,375.0,52.0,21.41207999999999,0.013011199980974197,gelu
,531,531x3,20.0,375.0,52.0,21.71632,0.010252799838781357,gelu
,823,823x185,20.0,375.0,52.0,22.09427999999999,0.015135999955236911,gelu
,529,529x97,20.0,375.0,52.0,21.820439999999984,0.011750399880111218,gelu
,821,821x238,19.8,375.0,52.0,22.123999999999995,0.016390400007367134,gelu
,1009,1009x242,15.0,375.0,52.0,22.295239999999993,0.017715200036764144,gelu
,521,521x53,15.0,375.0,51.0,22.156680000000005,0.011635199934244157,gelu
,1012,1012x375,15.0,375.0,51.0,22.02220000000001,0.14247680306434632,gelu
,632,632x510,15.0,375.0,51.72,22.14428000000001,0.030700799822807313,gelu
,865,865x481,15.04,375.0,52.0,22.066399999999998,0.1761792004108429,gelu
