Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,1,1x58x13x141,94.0,1845.0,84.0,73.94264000000003,0.007839999813586473,linear
,1,1x102x215x113,94.0,1860.0,84.0,76.94800000000004,0.01088000014424324,linear
,1,1x195x50x184,94.0,1872.6,84.0,74.04832000000005,0.009555199928581715,linear
,1,1x117x149x297,94.0,1875.0,72.0,70.16864,0.012665599957108498,linear
,1,1x88x126x340,36.0,1885.2,72.0,69.54627999999998,0.010310399904847145,linear
,1,1x109x162x365,36.0,1890.0,72.0,67.33300000000003,0.014252799935638905,linear
,1,1x71x253x606,36.0,1890.0,71.04,67.22855999999997,0.016352000087499617,linear
,1,1x137x175x627,36.0,1890.0,69.0,67.34504000000001,0.01849600002169609,linear
,1,1x192x83x513,36.0,1890.0,69.0,66.93404000000004,0.013068800047039985,linear
,1,1x36x65x1287,36.0,1890.0,69.0,65.34988000000003,0.012147199921309948,linear
,1,1x127x116x1156,36.0,1890.0,66.0,64.87920000000003,0.02059519998729229,linear
,1,1x122x143x2019,36.0,1890.0,66.0,65.18499999999999,0.027347199618816376,linear
,1,1x211x240x2270,3.0,1890.0,66.0,66.18315999999996,0.06976000219583511,linear
,1,1x143x237x3072,3.0,1890.0,66.0,67.03660000000005,0.06950400024652481,linear
,1,1x206x31x2723,3.0,609.0,65.0,56.2948,0.0692287977784872,linear
,1,1x30x32x6666,3.0,525.0,65.0,36.437999999999995,0.04095999896526337,linear
,1,1x127x21x4768,3.0,520.2,65.0,36.28279999999998,0.06579840183258057,linear
,1,1x38x5x7851,3.0,466.2,59.0,35.223919999999985,0.04291199967265129,linear
,1,1x155x5x13098,4.8,448.2,59.0,29.247360000000004,0.5488640069961548,linear
,1,1x251x129x9025,8.0,435.0,59.0,28.40996,0.8639039993286133,linear
,1,1x58x39x10635,8.0,420.0,56.0,28.304920000000006,0.11755519956350327,linear
,1,1x53x182x29701,8.0,413.4,56.0,27.56444000000001,1.049503993988037,linear
,1,1x56x196x17653,8.0,376.2,54.0,24.56192,0.7237248063087464,linear
,1,1x143x36x25531,15.28,375.0,54.0,25.11844,1.2143296003341675,linear
,1,1x161x224x40347,22.0,402.0,53.04,27.624559999999992,3.2851712226867678,linear
,1,1x64x154x53038,22.0,420.0,53.0,27.354280000000013,1.9425280094146729,linear
,1,1x156x147x46543,22.0,512.4,53.0,28.448959999999996,2.944332790374756,linear
,1,1x121x415x116,29.6,615.0,52.96,25.607799999999987,0.041235200315713885,linear
,1,1x205x381x76,41.0,615.0,52.0,23.106000000000012,0.04301439970731735,linear
,1,1x163x483x219,41.0,615.0,52.0,22.938359999999985,0.06524799913167953,linear
,1,1x147x377x396,41.0,615.0,52.0,22.870600000000014,0.08725759983062745,linear
,1,1x170x495x469,41.0,615.0,51.0,23.31284,0.10872320085763931,linear
,1,1x113x506x369,41.0,615.0,51.0,22.91031999999999,0.0660288006067276,linear
,1,1x14x299x951,41.0,615.0,50.48,22.49104000000001,0.043276799470186235,linear
,1,1x143x472x771,13.0,615.0,50.0,22.728920000000002,0.12738560140132904,linear
,1,1x79x379x642,13.0,615.0,50.0,23.04611999999999,0.05940480083227158,linear
,1,1x160x449x1837,13.0,615.0,50.0,23.15044,0.5085440158843995,linear
,1,1x7x472x2028,13.0,615.0,50.0,23.542080000000006,0.33452799916267395,linear
,1,1x166x382x1202,13.0,404.4,50.0,23.4778,0.20909440219402314,linear
,1,1x182x389x3443,18.28,390.0,50.0,24.37944,0.9872895956039429,linear
,1,1x9x304x3254,24.0,390.0,49.64,23.354559999999996,0.3723072111606598,linear
,1,1x157x385x2993,24.0,394.8,49.0,25.54412,0.8625344038009644,linear
,1,1x152x373x7053,24.0,518.4,49.0,25.258239999999997,2.7769087314605714,linear
,1,1x146x497x8018,35.0,628.2,49.36,26.282159999999994,1.332371187210083,linear
,1,1x78x333x6586,35.0,735.0,50.0,25.61747999999999,0.43041279911994934,linear
,1,1x51x363x11650,35.0,735.0,50.0,24.849800000000005,0.6206719994544982,linear
,1,1x17x375x12913,35.0,735.0,50.0,25.072800000000008,0.5744896054267883,linear
,1,1x37x287x10911,34.52,735.0,50.0,25.489839999999994,0.5273280024528504,linear
,1,1x222x422x24589,32.0,762.0,50.0,29.86572,2.2469759941101075,linear
,1,1x252x303x31786,32.0,870.0,50.0,42.24320000000002,1.6832448244094849,linear
,1,1x233x302x26691,32.0,870.0,50.72,46.647200000000005,1.3883328199386598,linear
,1,1x27x361x50270,32.0,870.0,53.0,44.996999999999986,0.6821632027626038,linear
,1,1x116x315x63010,32.0,870.0,53.0,45.97516,1.7166592121124267,linear
,1,1x98x326x37344,32.72,870.0,53.36,46.46072,1.0310463905334473,linear
,1,1x171x899x234,33.0,870.0,54.0,43.66156000000001,0.06349439918994904,linear
,1,1x254x550x65,33.0,870.0,54.0,36.74019999999998,0.03685760125517845,linear
,1,1x174x920x42,33.0,870.0,54.0,35.999919999999996,0.03290880098938942,linear
,1,1x52x967x342,33.0,870.0,53.52,36.03540000000001,0.04355839937925339,linear
,1,1x93x687x346,33.0,870.0,53.0,36.11599999999999,0.04696320071816444,linear
,1,1x148x674x294,33.0,870.0,53.0,36.09900000000002,0.061478398740291595,linear
,1,1x196x880x815,33.0,870.0,53.0,36.178,0.1684031993150711,linear
,1,1x129x653x612,33.0,870.0,52.36,36.96295999999999,0.082771198451519,linear
,1,1x68x887x792,8.0,596.4,52.0,36.25808000000002,0.11651840060949326,linear
,1,1x47x917x1053,8.0,510.0,52.0,36.33755999999998,0.12856320142745972,linear
