Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,60,60x272,100.0,1590.0,89.0,127.02599999999997,0.006144000217318535,ln
,16,16x304,100.0,1622.4,89.0,67.85716000000001,0.005312000028789043,ln
,144,144x260,100.0,1875.0,89.0,62.53500000000001,0.0056640000082552435,ln
,48,48x452,100.0,1875.0,75.0,74.29180000000004,0.004761600028723478,ln
,44,44x408,100.0,1879.8,75.0,70.8212,0.004857600014656782,ln
,52,52x452,100.0,1890.0,75.0,69.13328000000004,0.00539520001038909,ln
,40,40x344,100.0,1890.0,72.2,69.43624000000001,0.005075199995189905,ln
,120,120x276,6.0,1890.0,70.0,69.31948000000003,0.005420800019055605,ln
,204,204x492,6.0,1890.0,70.0,68.18100000000003,0.006374400109052658,ln
,116,116x328,6.0,1890.0,70.0,67.144,0.005433599930256605,ln
,200,200x904,6.0,1890.0,68.0,67.87100000000004,0.008057600073516368,ln
,224,224x676,6.0,1890.0,68.0,67.77448,0.007552000042051077,ln
,80,80x896,6.0,1895.4,68.0,66.81744000000002,0.006156800128519535,ln
,124,124x572,6.0,976.8,67.2,64.48416000000002,0.006265599932521582,ln
,88,88x784,5.28,540.0,67.0,42.921799999999976,0.01637119986116886,ln
,64,64x768,3.0,482.4,67.0,36.17640000000002,0.01647999994456768,ln
,32,32x748,3.0,453.0,63.16,35.98976000000002,0.016339199990034102,ln
,68,68x1000,3.0,418.2,61.0,35.857960000000006,0.018886400386691093,ln
,220,220x936,3.0,405.0,61.0,35.931239999999995,0.030694400519132616,ln
,100,100x708,3.0,375.0,61.0,35.87972000000001,0.020825599506497382,ln
,228,228x1228,3.0,375.0,59.08,35.951000000000015,0.03862399980425835,ln
,112,112x1848,3.0,375.0,59.0,35.87599999999998,0.037638400495052335,ln
,220,220x2024,7.8,375.0,59.0,35.92999999999998,0.054969599843025206,ln
,28,28x2004,8.0,375.0,59.0,35.97444,0.029664000123739244,ln
,208,208x1272,8.0,375.0,58.0,35.843199999999996,0.03724799975752831,ln
,124,124x1568,8.0,375.0,58.0,35.79400000000001,0.03649279996752739,ln
,52,52x1176,8.0,375.0,58.0,35.8412,0.02252800017595291,ln
,84,84x1924,8.0,375.0,58.0,35.84480000000002,0.03278080001473427,ln
,80,80x1584,8.0,375.0,58.0,35.75872,0.03306879922747612,ln
,48,48x1892,8.0,375.0,58.0,35.73488,0.030719999596476553,ln
,220,220x2088,8.16,375.0,58.0,35.835680000000025,0.05326079949736595,ln
,24,24x3312,9.0,375.0,58.0,35.96112000000002,0.031353600323200226,ln
,80,80x3020,9.0,375.0,57.0,35.88300000000001,0.03836160078644753,ln
,140,140x2704,9.0,375.0,57.0,35.87099999999999,0.04874880015850067,ln
,160,160x2984,9.0,375.0,57.0,35.961999999999996,0.055296000093221664,ln
,180,180x3688,9.0,375.0,57.0,33.67379999999999,0.13816959857940675,ln
,224,224x3464,9.0,375.0,56.0,26.257479999999997,0.17597440183162688,ln
,4,4x2856,9.0,375.0,56.0,26.146080000000016,0.030611200258135796,ln
,212,212x3388,9.72,375.0,56.0,26.19639999999999,0.14975999891757966,ln
,208,208x2052,11.0,375.0,55.04,26.227760000000004,0.0538048006594181,ln
,368,368x500,11.0,375.0,55.0,24.7,0.040608000010252,ln
,360,360x332,11.0,375.0,55.0,22.880519999999997,0.036793600767850876,ln
,456,456x512,11.0,375.0,54.04,23.257760000000005,0.04307200014591217,ln
,496,496x284,11.0,375.0,54.0,22.762519999999995,0.039052799344062805,ln
,476,476x488,11.0,375.0,54.0,23.162479999999995,0.04527360051870346,ln
,400,400x484,15.8,375.0,54.0,22.933960000000003,0.041600000113248825,ln
,336,336x376,16.0,375.0,54.0,22.859920000000006,0.036883200705051425,ln
,472,472x288,16.0,375.0,53.8,22.89576,0.03864319920539856,ln
,412,412x456,16.0,375.0,53.0,22.85704,0.041574399918317795,ln
,456,456x432,16.0,375.0,53.0,22.598000000000003,0.04288639947772026,ln
,476,476x652,16.0,375.0,53.0,22.73559999999999,0.056947200745344165,ln
,424,424x860,18.0,375.0,53.0,22.54656,0.13042559921741487,ln
,436,436x744,18.0,375.0,53.0,22.731200000000005,0.0711744025349617,ln
,324,324x1000,18.0,375.0,53.0,22.615080000000013,0.06637440025806426,ln
,416,416x624,18.0,375.0,53.0,22.874880000000008,0.04787199944257736,ln
,412,412x636,18.0,375.0,52.0,22.684800000000006,0.04862080067396164,ln
,508,508x624,17.16,375.0,52.0,22.715719999999997,0.06572799980640412,ln
,496,496x960,17.0,375.0,52.0,22.641999999999992,0.22245759665966033,ln
,452,452x860,17.0,375.0,52.0,22.055079999999997,0.1617663949728012,ln
,432,432x800,17.0,375.0,52.0,21.889799999999994,0.08940160125494004,ln
,500,500x2032,17.0,375.0,52.0,22.757399999999997,0.591052794456482,ln
,448,448x1996,21.0,375.0,52.0,23.62467999999999,0.48235520124435427,ln
,376,376x1272,21.0,375.0,52.0,22.517400000000002,0.23072640001773834,ln
,404,404x1232,21.0,375.0,52.0,22.360680000000006,0.23804160058498383,ln
,400,400x1120,21.0,375.0,52.0,22.227800000000013,0.20872320234775543,ln
,504,504x1928,23.88,375.0,52.0,23.203559999999996,0.5517376065254211,ln
,508,508x1176,25.0,375.0,52.0,22.08351999999999,0.2830079972743988,ln
,372,372x1804,25.0,375.0,52.0,22.070560000000004,0.3385536015033722,ln
,368,368x1568,25.0,375.0,52.0,22.474840000000004,0.3010815978050232,ln
,488,488x1988,25.56,375.0,52.0,23.57024,0.5506368041038513,ln
,392,392x2860,27.0,391.2,52.0,23.75719999999999,0.6925567984580994,ln
,344,344x3308,27.0,420.0,52.0,22.982600000000005,0.7484352111816406,ln
,512,512x3844,27.0,420.0,52.0,23.48168000000001,1.6452672004699707,ln
,268,268x3152,31.0,420.0,52.0,24.282240000000005,0.6099200010299682,ln
,304,304x3976,31.0,420.0,52.0,23.893119999999996,0.9813759922981262,ln
,512,512x3232,31.0,420.0,52.0,24.063519999999997,1.3170431852340698,ln
,464,464x2056,31.12,420.0,52.0,22.589919999999996,0.5243648171424866,ln
,364,364x3144,32.0,390.0,52.0,22.919200000000004,0.7284799933433532,ln
,416,416x2108,32.0,375.0,52.0,23.64368,0.4766975998878479,ln
,408,408x3168,32.0,375.0,52.0,23.532519999999998,0.8830911874771118,ln
,652,652x292,32.0,375.0,52.0,22.47924,0.04902400076389313,ln
,1016,1016x336,28.0,375.0,52.0,22.047399999999996,0.09463040083646775,ln
,760,760x456,28.0,375.0,52.0,22.15916,0.09740800112485885,ln
,1020,1020x276,28.0,375.0,52.0,22.05267999999999,0.06547199934720993,ln
,660,660x468,28.0,375.0,52.0,21.723559999999992,0.058854400366544726,ln
,904,904x420,26.68,375.0,52.0,21.89844,0.15007359981536866,ln
,616,616x308,17.0,375.0,52.0,21.793799999999997,0.04776960015296936,ln
,880,880x448,17.0,375.0,52.0,21.856440000000003,0.17720959782600404,ln
,904,904x380,17.0,375.0,52.0,21.794720000000005,0.09550720006227494,ln
,992,992x404,17.0,375.0,52.0,22.110320000000005,0.18112639784812928,ln
,824,824x716,17.0,375.0,52.0,22.19688,0.29685760140419004,ln
,536,536x920,17.0,375.0,51.68,21.94272000000001,0.23631359934806823,ln
,708,708x772,17.0,375.0,51.0,21.829479999999993,0.27033600211143494,ln
,608,608x816,17.0,375.0,51.4,22.15352,0.246560001373291,ln
,684,684x776,17.0,375.0,52.0,22.580599999999993,0.26343039274215696,ln
,920,920x888,19.88,375.0,52.0,22.69044,0.4017152011394501,ln
,904,904x896,20.0,375.0,52.0,23.3312,0.39331199526786803,ln
,824,824x932,20.0,375.0,52.0,22.61416,0.35694079995155337,ln
,756,756x652,20.0,375.0,52.0,22.22912,0.24720639884471893,ln
,932,932x800,21.0,375.0,52.0,22.457919999999998,0.3714688003063202,ln
,892,892x1760,25.0,378.6,52.0,23.77828,0.9471871972084045,ln
,536,536x1128,25.0,405.0,52.0,22.319080000000003,0.2885312020778656,ln
,852,852x1328,25.0,433.8,52.0,25.09132,0.5914752125740051,ln
,648,648x1056,26.76,435.0,52.0,22.659199999999995,0.34065279364585876,ln
,944,944x1260,29.0,435.0,52.0,22.827240000000003,0.5982207894325257,ln
,560,560x1644,29.0,454.2,52.0,24.039959999999997,0.5224960088729859,ln
,968,968x1176,29.0,497.4,52.0,24.38679999999999,0.5615615844726562,ln
,816,816x1956,32.52,600.0,52.0,23.881679999999996,1.0112320184707642,ln
,860,860x1956,33.0,600.0,52.0,24.693959999999997,1.0487232208251953,ln
,672,672x1996,33.0,645.0,52.0,23.495679999999997,0.2805503964424133,ln
,576,576x3400,33.0,645.0,52.0,23.11672,0.5090815901756287,ln
,620,620x2920,30.12,645.0,52.0,23.400040000000004,0.4400704026222229,ln
,744,744x3808,27.0,645.0,52.0,23.694920000000003,0.7682432055473327,ln
,520,520x2792,27.0,645.0,52.0,23.207560000000008,0.34869120121002195,ln
,944,944x3908,27.0,645.0,52.0,23.70692000000001,0.9925503969192505,ln
,676,676x2252,27.0,645.0,52.0,23.253999999999998,0.3275647938251495,ln
,736,736x2516,21.68,645.0,52.0,22.76868,0.424096006155014,ln
,920,920x2276,20.0,567.0,52.0,23.244599999999988,0.4702592074871063,ln
,636,636x2080,20.0,438.6,52.0,23.739840000000004,0.7922047972679138,ln
,588,588x3676,20.0,420.0,52.0,23.788919999999994,1.7947391986846923,ln
,1880,1880x408,28.8,420.0,52.0,23.60708,0.38414719700813293,ln
,1920,1920x312,31.0,411.6,52.0,22.706719999999997,0.30381439328193666,ln
,1708,1708x344,31.0,393.6,52.0,22.157119999999992,0.29555840492248536,ln
,1324,1324x388,31.0,378.6,52.0,22.24328,0.2588095963001251,ln
,1688,1688x420,29.08,375.0,52.0,22.140839999999994,0.36076800227165223,ln
,1748,1748x516,19.0,375.0,52.0,22.448480000000007,0.4553856015205383,ln
,1184,1184x304,19.0,375.0,52.0,22.38656,0.13481600284576417,ln
,1336,1336x288,19.0,375.0,52.0,22.260240000000007,0.17596800327301027,ln
,1924,1924x340,19.0,375.0,52.0,22.424120000000006,0.3336959958076477,ln
,1160,1160x428,19.0,375.0,52.0,22.154999999999994,0.2509887993335724,ln
,1744,1744x832,19.0,375.0,52.0,22.945720000000005,0.7391424059867859,ln
,1892,1892x884,19.0,375.0,52.0,23.452120000000004,0.8431679964065552,ln
,1488,1488x656,19.0,375.0,52.0,23.39164000000001,0.49560320377349854,ln
,1340,1340x680,27.36,375.0,52.0,23.34783999999999,0.4631232023239136,ln
,1608,1608x972,30.0,375.0,52.0,23.118519999999993,0.7989952087402343,ln
,1604,1604x904,30.0,375.0,52.0,23.371039999999994,0.7262464046478272,ln
,1236,1236x640,30.0,375.0,52.0,23.4828,0.3895744025707245,ln
,1480,1480x976,29.28,375.0,52.0,22.891840000000002,0.7392832040786743,ln
,1816,1816x596,29.0,375.0,52.0,24.404640000000004,0.5486655950546264,ln
,1104,1104x808,29.0,375.0,52.0,23.117800000000006,0.4505280017852783,ln
,1468,1468x1332,29.0,375.0,52.0,23.044519999999984,1.0356223821640014,ln
,1884,1884x1964,31.04,381.6,52.0,24.38588,2.5227776050567625,ln
,1028,1028x1748,32.0,435.0,52.0,23.777,1.0855488061904908,ln
,1988,1988x1116,32.0,435.0,52.0,23.828159999999997,1.145132803916931,ln
,1240,1240x1708,32.48,435.0,52.0,23.489600000000006,1.263104009628296,ln
,1304,1304x1156,34.0,447.0,52.0,24.0498,0.7584447979927063,ln
,1660,1660x1840,34.0,469.8,52.0,24.43476,1.9945024013519288,ln
,1584,1584x1280,34.24,522.0,52.0,24.273000000000003,1.0387327909469604,ln
,2044,2044x1780,37.0,576.0,52.0,24.680639999999993,0.8117120027542114,ln
,1236,1236x1188,37.0,690.0,52.0,22.941559999999996,0.2730496048927307,ln
,1940,1940x2224,37.0,690.0,52.0,23.58600000000001,1.0264639854431152,ln
,1088,1088x2636,37.0,690.0,52.0,23.23112,0.7220415949821473,ln
,1092,1092x2680,25.0,690.0,52.0,23.832760000000007,0.7417472124099731,ln
,1668,1668x3192,25.0,690.0,52.0,24.542880000000004,1.4444928169250488,ln
,1560,1560x3876,25.0,690.0,52.0,24.777040000000007,1.8416383981704711,ln
,1380,1380x3872,25.0,690.0,52.0,25.025119999999994,1.7026431798934936,ln
,1768,1768x2968,29.8,678.0,52.0,24.968519999999998,1.385599970817566,ln
,1984,1984x2580,31.0,651.0,52.0,24.942600000000002,1.301030421257019,ln
,1284,1284x3348,31.0,633.6,52.0,24.84068000000001,1.1433599948883058,ln
,1140,1140x2560,31.0,601.2,52.0,23.899639999999998,1.4684032082557679,ln
,2372,2372x388,30.24,593.4,52.0,23.76444,0.4645312011241913,ln
,2752,2752x432,30.0,576.0,52.0,23.864840000000008,0.5957759976387024,ln
,4088,4088x408,30.0,558.6,52.0,23.263199999999998,0.8519552111625671,ln
,2696,2696x484,30.0,538.8,52.0,24.44252,0.6557439923286438,ln
