Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,38.0,705.0,56.0,39.92168000000001,0.006195200048387051,mul
,18,18x218,38.0,705.0,56.0,35.658600000000014,0.00613120011985302,mul
,209,209x112,38.0,705.0,56.0,35.643,0.00631680004298687,mul
,83,83x236,38.0,705.0,56.0,35.67196000000001,0.006150400079786777,mul
,1,1x37,38.0,705.0,56.0,35.69195999999999,0.006015999987721443,mul
,172,172x29,38.0,705.0,56.0,35.6236,0.006150400079786777,mul
,188,188x90,14.0,705.0,56.0,35.822999999999986,0.006156800035387278,mul
,116,116x165,14.0,705.0,56.0,35.736999999999995,0.006182400044053793,mul
,232,232x249,14.0,705.0,56.0,35.82000000000002,0.006771200057119131,mul
,235,235x45,14.0,705.0,56.0,35.81100000000001,0.006137600168585777,mul
,58,58x332,14.0,705.0,55.2,35.721,0.006137600168585777,mul
,178,178x472,14.0,705.0,55.0,35.86000000000001,0.00721279988065362,mul
,211,211x432,14.0,705.0,55.0,35.73775999999999,0.00720639992505312,mul
,134,134x373,14.0,705.0,55.0,35.796199999999985,0.006649599969387054,mul
,86,86x339,14.0,401.4,55.0,35.84764000000001,0.00764160007238388,mul
,163,163x321,6.0,375.0,55.0,35.80700000000001,0.008895999938249587,mul
,76,76x447,6.0,375.0,55.0,35.72828000000001,0.008268800005316735,mul
,235,235x420,6.0,375.0,55.0,35.707,0.010310399904847145,mul
,174,174x314,6.0,375.0,55.0,35.60199999999998,0.008761600218713283,mul
,229,229x439,6.0,375.0,55.0,35.73400000000001,0.010393600165843963,mul
,43,43x969,6.0,375.0,55.0,35.712999999999994,0.008607999980449676,mul
,76,76x950,6.0,375.0,55.0,35.77599999999998,0.010233599878847598,mul
,229,229x602,6.0,375.0,55.0,35.76599999999999,0.012281600385904312,mul
,72,72x601,6.0,375.0,55.0,35.79700000000002,0.008806400001049042,mul
,4,4x932,6.16,375.0,55.0,35.788999999999994,0.0069055999629199505,mul
,149,149x1015,10.0,375.0,55.0,35.84523999999998,0.01231360025703907,mul
,79,79x781,10.0,375.0,55.0,35.77832,0.009811200015246869,mul
,15,15x635,10.0,375.0,55.0,35.81127999999998,0.007308799959719181,mul
,62,62x895,10.0,375.0,55.0,35.78184000000002,0.008832000195980072,mul
,183,183x680,10.0,375.0,55.0,35.785599999999995,0.011628799885511399,mul
,40,40x1421,10.0,375.0,55.0,35.84080000000001,0.009286399930715561,mul
,50,50x1745,10.0,375.0,55.0,32.99043999999999,0.012326399981975555,mul
,84,84x1234,10.0,360.0,55.0,25.884999999999994,0.012991999834775924,mul
,60,60x1293,10.24,300.0,55.0,25.903439999999993,0.019916800037026405,mul
,89,89x1648,11.0,300.0,54.28,25.550119999999993,0.024646399915218352,mul
,108,108x1291,11.0,300.0,54.0,25.430200000000013,0.02456959933042526,mul
,101,101x1245,11.0,300.0,54.0,25.307000000000006,0.02337919995188713,mul
,6,6x1222,11.0,300.0,54.0,25.446000000000012,0.013657599687576294,mul
,143,143x1737,11.0,300.0,54.0,25.238159999999997,0.03315839990973472,mul
,99,99x1602,11.0,300.0,54.0,23.298600000000008,0.0265855997800827,mul
,55,55x2789,17.24,300.0,53.32,22.89843999999999,0.02664319984614849,mul
,64,64x3957,24.0,300.0,53.0,22.827,0.06632960140705109,mul
,253,253x2522,24.0,300.0,53.0,22.688560000000006,0.19048959910869598,mul
,220,220x2822,24.0,300.0,53.0,22.968199999999992,0.4693440020084381,mul
,225,225x2397,24.0,300.0,52.52,22.638159999999992,0.4000640034675598,mul
,102,102x3436,29.52,300.0,52.0,22.426160000000003,0.27917439937591554,mul
,205,205x3507,30.0,300.0,52.0,23.0566,0.5408192038536072,mul
,129,129x4053,30.0,300.0,52.0,22.470359999999996,0.3929664075374603,mul
,14,14x2782,30.0,300.0,52.0,22.4918,0.017337599769234657,mul
,104,104x3251,32.4,300.0,52.0,22.288600000000002,0.27729920148849485,mul
,453,453x231,34.0,300.0,52.0,22.40124000000001,0.022598399966955184,mul
,341,341x252,34.0,300.0,52.0,21.857399999999995,0.020748799666762352,mul
,500,500x81,34.0,300.0,52.0,22.046600000000012,0.0176767997443676,mul
,288,288x15,34.0,300.0,52.0,22.171280000000003,0.014438399858772755,mul
,476,476x177,28.0,300.0,52.0,22.226999999999997,0.02094079963862896,mul
,300,300x34,28.0,300.0,52.0,21.85552,0.01510400027036667,mul
,473,473x216,28.0,300.0,52.0,21.930840000000007,0.022515200078487396,mul
,307,307x251,28.0,300.0,52.0,22.010199999999994,0.02062079980969429,mul
,480,480x104,27.4,300.0,52.0,22.126199999999994,0.01841920055449009,mul
,372,372x48,27.0,300.0,52.0,22.32252,0.016096000000834464,mul
,296,296x411,27.0,300.0,52.0,21.961439999999996,0.02436480075120926,mul
,349,349x266,27.0,300.0,52.0,21.911679999999997,0.021939199790358542,mul
,443,443x493,27.0,300.0,52.0,22.152280000000008,0.07737600058317184,mul
,361,361x468,27.0,300.0,52.0,22.148640000000004,0.02744320034980774,mul
,333,333x355,27.0,300.0,52.0,22.126199999999994,0.023366399854421616,mul
,360,360x338,27.0,300.0,52.0,22.12839999999999,0.02451840043067932,mul
,267,267x285,27.0,300.0,52.0,22.062280000000005,0.020556799694895746,mul
,328,328x377,27.08,300.0,52.0,22.21732,0.02457600049674511,mul
,417,417x425,28.0,300.0,52.0,22.052520000000005,0.028166400641202925,mul
,397,397x482,28.0,300.0,52.0,22.217240000000007,0.031494400650262835,mul
,500,500x765,28.0,300.0,52.0,22.67424,0.29838719964027405,mul
,284,284x758,28.0,300.0,52.0,22.503960000000003,0.0565823994576931,mul
,261,261x915,28.96,300.0,52.0,22.41399999999999,0.11679999977350235,mul
,419,419x929,30.0,300.0,52.0,22.622679999999995,0.30180479884147643,mul
,308,308x677,30.0,300.0,52.0,22.582920000000005,0.05483519956469536,mul
,351,351x967,30.0,300.0,52.0,22.54348000000001,0.27714560031890867,mul
,337,337x768,29.96,300.0,52.0,22.474560000000007,0.1817791998386383,mul
,424,424x801,29.0,300.0,52.0,22.190279999999998,0.2784063994884491,mul
,267,267x536,29.0,300.0,52.0,22.49252,0.025951999798417093,mul
,476,476x779,29.0,300.0,52.0,22.49596000000001,0.2864511966705322,mul
,510,510x1267,29.0,300.0,51.04,22.34407999999999,0.4756224036216736,mul
,477,477x1448,30.0,300.0,51.0,22.652360000000012,0.5188544034957886,mul
,405,405x1561,30.0,300.0,52.0,22.615680000000008,0.47988479733467104,mul
,325,325x1687,30.0,300.0,52.0,22.81372,0.4106176018714905,mul
,283,283x1706,30.0,300.0,52.0,22.454359999999998,0.3634559988975525,mul
,459,459x1784,31.6,300.0,52.0,22.723880000000012,0.6067904114723206,mul
,324,324x1208,32.0,300.0,52.0,22.44484000000001,0.30099199414253236,mul
,512,512x1600,32.0,300.0,52.0,22.753319999999988,0.6003136038780212,mul
,418,418x2031,32.0,300.0,52.0,22.56436,0.6294592142105102,mul
,275,275x1988,32.76,300.0,52.0,22.721320000000002,0.4062720000743866,mul
,439,439x4036,33.0,300.0,52.0,23.163200000000007,1.302623987197876,mul
,402,402x2788,33.0,300.0,52.0,23.490119999999994,0.8237183928489685,mul
,512,512x2435,33.0,300.0,52.0,22.982360000000003,0.9087679982185364,mul
,335,335x2167,38.0,300.0,52.0,23.1772,0.5426176071166993,mul
,488,488x3379,38.0,315.0,52.0,24.18608,1.1935040473937988,mul
,304,304x3682,38.0,375.0,52.0,23.131279999999997,0.8045503854751587,mul
,455,455x3697,38.0,375.0,52.0,23.089160000000003,1.2109568119049072,mul
,440,440x2442,35.0,375.0,52.0,22.72148000000001,0.7927616000175476,mul
,303,303x3779,35.0,375.0,52.0,22.96944,0.8250176072120666,mul
,371,371x2684,35.0,375.0,52.0,22.81723999999999,0.7212607979774475,mul
,665,665x66,35.0,375.0,52.0,22.576360000000005,0.011046399921178817,mul
,948,948x212,30.68,375.0,52.0,22.132559999999994,0.020927999913692475,mul
,986,986x92,23.0,375.0,52.0,21.697759999999988,0.01300479993224144,mul
,973,973x136,23.0,375.0,52.0,21.808600000000002,0.01482239980250597,mul
,531,531x3,23.0,375.0,52.0,22.1126,0.010227200016379357,mul
,823,823x185,23.0,375.0,52.0,22.21576000000001,0.015065599977970124,mul
,529,529x97,22.44,375.0,52.0,21.807799999999983,0.012102400138974189,mul
,821,821x238,16.0,375.0,52.0,21.716519999999992,0.01759359985589981,mul
,1009,1009x242,16.0,375.0,52.0,21.581839999999993,0.14257280230522157,mul
,521,521x53,16.0,375.0,51.12,21.856240000000003,0.010419199988245965,mul
,1012,1012x375,16.0,375.0,51.0,21.95720000000001,0.29126399755477905,mul
,632,632x510,16.0,375.0,51.8,22.09172,0.24081920385360717,mul
,865,865x481,16.0,375.0,52.0,22.257400000000008,0.3116096019744873,mul
,881,881x498,16.0,375.0,52.0,22.54719999999999,0.2984063982963562,mul
,673,673x508,16.0,375.0,52.0,22.455999999999996,0.25031680166721343,mul
,880,880x390,16.0,375.0,52.0,22.252039999999987,0.27204480171203616,mul
,745,745x318,18.04,375.0,52.0,22.08796,0.11519360095262528,mul
,619,619x282,19.0,375.0,51.64,21.494279999999993,0.01596799958497286,mul
,633,633x362,19.0,375.0,51.0,21.841999999999988,0.08190079927444457,mul
,855,855x327,19.0,375.0,51.0,21.660759999999993,0.2093311995267868,mul
,806,806x688,19.0,375.0,51.0,22.428359999999994,0.4216256022453308,mul
,746,746x654,17.0,375.0,51.0,22.59023999999999,0.36335999965667726,mul
,523,523x584,17.0,375.0,51.0,22.307639999999992,0.2363775998353958,mul
,550,550x667,17.0,375.0,51.32,21.941680000000005,0.2840511918067932,mul
,799,799x663,17.0,375.0,52.0,22.494240000000012,0.4023039937019348,mul
,599,599x550,18.08,375.0,52.0,22.194639999999996,0.2703936040401459,mul
,676,676x536,20.0,375.0,52.0,22.380080000000003,0.279449599981308,mul
,778,778x875,20.0,375.0,52.0,22.54536000000001,0.4981503963470459,mul
,754,754x752,20.0,375.0,52.0,22.623720000000002,0.4209536015987396,mul
,710,710x882,20.0,375.0,52.0,22.4302,0.46052480340003965,mul
,948,948x1291,20.8,375.0,52.0,22.832160000000002,0.9012863993644714,mul
,1023,1023x1892,21.0,375.0,52.0,23.75268,1.4389568090438842,mul
,645,645x1266,21.0,375.0,52.0,23.010920000000006,0.5962559938430786,mul
,625,625x1272,21.0,375.0,52.0,22.619919999999993,0.563487994670868,mul
,823,823x1627,29.8,390.6,52.0,24.13920000000001,0.9632768034934998,mul
,733,733x1399,32.0,405.0,52.0,23.809280000000008,0.7631487846374512,mul
,830,830x1951,32.0,405.0,52.0,23.174960000000006,1.1649407863616943,mul
,665,665x1691,32.0,405.0,52.0,22.87868,0.8307904005050659,mul
,797,797x1206,26.72,405.0,52.0,22.773400000000017,0.6927488088607788,mul
,1000,1000x1063,26.0,405.0,52.0,22.897719999999985,0.7937855958938599,mul
,841,841x3694,26.0,420.0,52.0,24.287840000000003,2.350432014465332,mul
,837,837x3613,27.92,480.0,52.0,24.33776,2.2858431816101072,mul
,774,774x2416,34.0,480.0,52.0,23.341919999999995,1.3646080017089843,mul
,572,572x3269,34.0,480.0,52.0,23.736240000000013,1.3512128114700317,mul
,636,636x2261,34.0,480.0,52.0,22.974720000000005,1.0377792119979858,mul
,838,838x3952,32.48,595.2,52.0,24.643120000000007,0.9376511931419372,mul
,616,616x3057,32.0,720.0,52.0,23.7698,0.5315263986587524,mul
,685,685x3053,32.0,720.0,52.0,23.02468,0.5903743863105774,mul
