Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,31.0,825.0,56.0,37.75640000000001,0.00613120011985302,mulu
,18,18x218,31.0,805.8,56.0,36.20255999999998,0.005375999957323074,mulu
,209,209x112,31.0,765.0,56.0,35.788000000000004,0.00613120011985302,mulu
,83,83x236,31.0,726.6,56.0,35.850000000000016,0.00613120011985302,mulu
,1,1x37,31.0,705.0,56.0,35.78999999999999,0.005721600074321031,mulu
,172,172x29,31.0,664.2,56.0,35.80499999999998,0.006111999973654747,mulu
,188,188x90,31.0,645.0,56.0,35.725000000000016,0.006137600168585777,mulu
,116,116x165,31.0,600.0,56.0,35.659999999999975,0.006175999995321035,mulu
,232,232x249,15.64,600.0,56.0,35.769,0.006406399980187416,mulu
,235,235x45,7.0,555.0,56.0,35.71900000000002,0.006163200084120035,mulu
,58,58x332,7.0,555.0,55.76,35.76199999999998,0.006265600025653839,mulu
,178,178x472,7.0,525.0,55.0,35.73000000000001,0.00781440008431673,mulu
,211,211x432,7.0,525.0,55.0,35.76199999999998,0.0081471998244524,mulu
,134,134x373,7.0,480.0,55.0,35.801000000000016,0.0072512000799179075,mulu
,86,86x339,7.0,480.0,55.0,35.801000000000016,0.0067391999997198585,mulu
,163,163x321,7.0,450.0,55.0,35.86007999999999,0.008159999921917915,mulu
,76,76x447,7.0,450.0,55.0,35.73572,0.00720639992505312,mulu
,235,235x420,7.0,420.0,55.0,35.695960000000014,0.008537600003182887,mulu
,174,174x314,8.0,420.0,55.0,35.71840000000001,0.008198400028049946,mulu
,229,229x439,8.0,390.0,55.0,35.69832,0.00888959988951683,mulu
,43,43x969,8.0,387.6,55.0,35.85208000000002,0.0080960001796484,mulu
,76,76x950,8.0,375.0,55.0,35.921000000000014,0.008671999908983707,mulu
,229,229x602,8.0,375.0,55.0,35.805399999999985,0.010259199887514114,mulu
,72,72x601,8.0,375.0,55.0,35.75124000000002,0.008204800076782703,mulu
,4,4x932,8.0,375.0,55.0,35.913000000000004,0.007212799973785877,mulu
,149,149x1015,8.0,375.0,55.0,28.807000000000006,0.012281600385904312,mulu
,79,79x781,8.0,375.0,55.0,25.981999999999985,0.010406400077044964,mulu
,15,15x635,8.92,375.0,54.2,25.943680000000004,0.008908800035715102,mulu
,62,62x895,9.0,375.0,54.0,25.959679999999995,0.0102207999676466,mulu
,183,183x680,9.0,375.0,54.0,25.853960000000008,0.01228800006210804,mulu
,40,40x1421,9.0,375.0,54.0,25.967799999999997,0.010399999842047692,mulu
,50,50x1745,9.0,375.0,54.0,25.992440000000002,0.011430400237441064,mulu
,84,84x1234,9.0,375.0,54.0,25.779559999999996,0.011110400035977363,mulu
,60,60x1293,9.0,375.0,54.0,24.619119999999995,0.010739200003445148,mulu
,89,89x1648,9.0,375.0,53.36,22.268079999999994,0.012326400354504585,mulu
,108,108x1291,13.0,375.0,53.0,21.918639999999993,0.012480000033974648,mulu
,101,101x1245,13.0,375.0,53.0,22.32952,0.012396799959242344,mulu
,6,6x1222,13.0,375.0,53.0,22.525040000000004,0.010207999870181084,mulu
,143,143x1737,13.0,375.0,53.0,22.118679999999998,0.015270400047302245,mulu
,99,99x1602,13.0,375.0,52.0,22.02260000000001,0.012998400069773198,mulu
,55,55x2789,14.76,375.0,52.0,21.9426,0.01269760001450777,mulu
,64,64x3957,15.0,375.0,52.0,22.1296,0.015270400233566761,mulu
,253,253x2522,15.0,375.0,52.0,22.209239999999994,0.2619455993175507,mulu
,220,220x2822,15.0,375.0,52.0,22.281240000000004,0.2507327973842621,mulu
,225,225x2397,15.0,375.0,52.0,22.20479999999999,0.22814079821109773,mulu
,102,102x3436,17.0,375.0,52.0,22.352520000000013,0.09097599983215332,mulu
,205,205x3507,17.0,375.0,52.0,22.438679999999994,0.2972672045230865,mulu
,129,129x4053,17.0,375.0,52.0,22.141599999999997,0.2224319964647293,mulu
,14,14x2782,17.0,375.0,52.0,21.922320000000003,0.010387199930846691,mulu
,104,104x3251,17.0,375.0,52.0,21.635920000000006,0.07074559926986694,mulu
,453,453x231,18.0,375.0,52.0,21.31288000000001,0.012160000018775463,mulu
,341,341x252,18.0,375.0,52.0,21.55567999999999,0.01103999987244606,mulu
,500,500x81,18.0,375.0,52.0,21.45971999999999,0.010502400062978267,mulu
,288,288x15,18.0,375.0,52.0,21.50308,0.00959359984844923,mulu
,476,476x177,18.0,375.0,52.0,21.598,0.010937600024044513,mulu
,300,300x34,15.0,375.0,52.0,21.59596000000001,0.010220800153911113,mulu
,473,473x216,15.0,375.0,52.0,21.605480000000004,0.012134400010108948,mulu
,307,307x251,15.0,375.0,52.0,22.026479999999992,0.011020800098776817,mulu
,480,480x104,15.0,375.0,52.0,21.824,0.01047040019184351,mulu
,372,372x48,15.0,375.0,51.0,21.6296,0.010252800025045871,mulu
,296,296x411,15.96,375.0,51.0,21.7874,0.01231360025703907,mulu
,349,349x266,16.0,375.0,51.64,22.178559999999994,0.011788799986243248,mulu
,443,443x493,16.0,375.0,52.0,21.96976,0.014847999997437,mulu
,361,361x468,16.0,375.0,52.0,21.783800000000006,0.013574400171637534,mulu
,333,333x355,16.0,375.0,52.0,21.788239999999995,0.012294400297105313,mulu
,360,360x338,16.0,375.0,52.0,21.452799999999993,0.01226240023970604,mulu
,267,267x285,16.0,375.0,52.0,21.640320000000006,0.010995199903845787,mulu
,328,328x377,16.0,375.0,52.0,21.541560000000008,0.012275200337171555,mulu
,417,417x425,16.0,375.0,51.04,21.977479999999996,0.014124800078570842,mulu
,397,397x482,16.0,375.0,51.0,21.957319999999996,0.014124800078570842,mulu
,500,500x765,16.44,375.0,51.6,21.83983999999999,0.1500031977891922,mulu
,284,284x758,17.0,375.0,52.0,21.924400000000002,0.014348799921572208,mulu
,261,261x915,17.0,375.0,52.0,22.19748,0.01525759994983673,mulu
,419,419x929,17.0,375.0,52.0,22.056799999999996,0.15283199846744538,mulu
,308,308x677,17.0,375.0,52.0,22.189760000000007,0.014336000196635723,mulu
,351,351x967,17.0,375.0,51.0,21.82719999999999,0.07351680099964142,mulu
,337,337x768,17.0,375.0,51.0,22.098519999999997,0.015583999827504158,mulu
,424,424x801,17.0,375.0,51.0,21.84892000000001,0.07321600019931793,mulu
,267,267x536,17.0,375.0,51.0,21.737959999999994,0.012640000134706498,mulu
,476,476x779,17.0,375.0,51.0,22.001280000000005,0.1310336023569107,mulu
,510,510x1267,16.56,375.0,51.0,22.061119999999992,0.26973440051078795,mulu
,477,477x1448,16.0,375.0,51.0,21.97416,0.2666112035512924,mulu
,405,405x1561,16.0,375.0,51.0,22.026639999999993,0.26492159962654116,mulu
,325,325x1687,16.0,375.0,51.48,21.908039999999996,0.22981119751930237,mulu
,283,283x1706,16.0,375.0,52.0,21.98743999999999,0.20558719635009765,mulu
,459,459x1784,18.28,375.0,52.0,22.0876,0.3788608074188232,mulu
,324,324x1208,19.0,375.0,52.0,22.143599999999996,0.14740480184555055,mulu
,512,512x1600,19.0,375.0,52.0,22.248640000000005,0.36876160502433775,mulu
,418,418x2031,19.0,375.0,52.0,22.24416,0.4006847977638245,mulu
,275,275x1988,19.0,375.0,52.0,22.271760000000004,0.2302207976579666,mulu
,439,439x4036,20.0,375.0,52.0,22.72147999999999,0.8585088014602661,mulu
,402,402x2788,20.0,375.0,52.0,23.143800000000006,0.5616191983222961,mulu
,512,512x2435,20.0,375.0,52.0,23.401079999999993,0.6197759985923768,mulu
,335,335x2167,20.0,375.0,52.0,22.9866,0.3141888022422791,mulu
,488,488x3379,22.8,375.0,52.0,22.821200000000005,0.8075392007827759,mulu
,304,304x3682,27.0,375.0,52.0,22.64855999999999,0.5569664001464844,mulu
,455,455x3697,27.0,382.2,52.0,23.65383999999999,0.8325119972229004,mulu
,440,440x2442,27.0,390.0,52.0,22.2866,0.5302335977554321,mulu
,303,303x3779,26.92,390.0,52.0,22.265039999999996,0.569708776473999,mulu
,371,371x2684,26.0,390.0,52.0,22.176959999999998,0.4975167989730835,mulu
,665,665x66,26.0,390.0,52.0,22.084960000000002,0.010419199801981449,mulu
,948,948x212,26.0,390.0,52.0,22.10899999999999,0.014169599860906601,mulu
,986,986x92,26.0,390.0,52.0,21.875479999999992,0.011980799958109856,mulu
,973,973x136,23.84,390.0,52.0,21.897280000000006,0.012275200337171555,mulu
,531,531x3,17.0,390.0,52.0,21.675480000000004,0.009593600034713745,mulu
,823,823x185,17.0,375.0,52.0,22.12744,0.012518400326371193,mulu
,529,529x97,17.0,375.0,52.0,21.832760000000004,0.010457600094377994,mulu
,821,821x238,17.0,375.0,52.0,21.54256000000001,0.014323200099170208,mulu
,1009,1009x242,16.96,375.0,52.0,21.74412,0.01546239983290434,mulu
,521,521x53,16.0,375.0,52.0,21.546839999999996,0.010246399976313113,mulu
,1012,1012x375,16.0,375.0,52.0,22.0562,0.14504959881305696,mulu
,632,632x510,16.0,375.0,52.0,21.503360000000008,0.030483200028538705,mulu
,865,865x481,16.0,375.0,52.0,21.784920000000007,0.17589119970798492,mulu
,881,881x498,16.0,375.0,52.0,21.95799999999999,0.18539519906044005,mulu
,673,673x508,16.0,375.0,52.0,21.740119999999997,0.07348480075597763,mulu
,880,880x390,16.0,375.0,51.0,21.79956,0.07802239954471588,mulu
,745,745x318,16.0,375.0,51.0,21.761280000000003,0.015161599963903427,mulu
,619,619x282,16.0,375.0,51.0,22.01388,0.013945600017905235,mulu
,633,633x362,16.0,375.0,51.0,22.1226,0.014905600063502788,mulu
,855,855x327,16.0,375.0,51.0,22.250799999999998,0.01681919991970062,mulu
,806,806x688,16.0,375.0,51.0,22.298399999999997,0.23471999764442444,mulu
,746,746x654,16.0,375.0,51.24,22.138559999999988,0.20164480209350585,mulu
,523,523x584,16.0,375.0,52.0,21.794039999999992,0.026559999957680703,mulu
,550,550x667,16.08,375.0,52.0,21.72868,0.1295551985502243,mulu
,799,799x663,18.0,375.0,52.0,22.036600000000004,0.2235264003276825,mulu
,599,599x550,18.0,375.0,52.0,21.855360000000008,0.04961280077695847,mulu
,676,676x536,18.0,375.0,51.0,21.655520000000003,0.10101119875907898,mulu
,778,778x875,18.0,375.0,51.0,22.198799999999995,0.27960960268974305,mulu
,754,754x752,17.6,375.0,51.0,22.023640000000015,0.2401280015707016,mulu
,710,710x882,17.0,375.0,51.0,21.830839999999995,0.24815360307693482,mulu
,948,948x1291,17.0,375.0,51.0,22.1756,0.6106559991836548,mulu
,1023,1023x1892,17.0,375.0,51.0,23.314319999999995,0.9763200044631958,mulu
,645,645x1266,17.0,375.0,51.0,21.939360000000008,0.38288000226020813,mulu
,625,625x1272,23.0,375.0,51.0,22.252880000000005,0.3610752046108246,mulu
,823,823x1627,23.0,375.0,52.0,22.523399999999995,0.6652928113937377,mulu
,733,733x1399,23.0,375.0,52.0,22.528639999999996,0.5153280019760131,mulu
,830,830x1951,23.0,375.0,51.0,22.405879999999993,0.7997119903564454,mulu
,665,665x1691,23.0,375.0,51.0,22.78939999999999,0.5675520062446594,mulu
,797,797x1206,23.0,375.0,52.0,22.79792000000001,0.48068479895591737,mulu
,1000,1000x1063,23.0,375.0,52.0,22.854280000000003,0.5335040092468262,mulu
,841,841x3694,23.0,375.0,52.0,23.80256,1.5610880136489869,mulu
,837,837x3613,24.92,375.0,52.0,23.181800000000003,1.5052223920822143,mulu
,774,774x2416,29.0,375.0,52.0,23.51196,0.9326272010803223,mulu
,572,572x3269,29.0,375.0,52.0,23.315520000000003,0.9417984127998352,mulu
,636,636x2261,29.0,375.0,52.0,22.98152,0.7079424023628235,mulu
,838,838x3952,29.0,375.0,52.0,23.476320000000005,1.6603008031845092,mulu
,616,616x3057,29.0,375.0,52.0,23.282040000000002,0.953606390953064,mulu
