Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,40.0,975.0,56.0,41.17999999999998,0.006758400145918131,pow
,18,18x218,40.0,975.0,56.0,35.99800000000002,0.006169600039720535,pow
,209,209x112,40.0,975.0,56.0,35.87599999999998,0.006527999974787235,pow
,83,83x236,33.88,975.0,56.0,35.94548000000002,0.006566400080919266,pow
,1,1x37,23.0,975.0,56.0,35.957,0.005350399948656559,pow
,172,172x29,23.0,975.0,56.0,35.89200000000001,0.006169600132852793,pow
,188,188x90,23.0,975.0,56.0,35.96399999999998,0.006527999974787235,pow
,116,116x165,23.0,975.0,56.0,35.84500000000002,0.006694400031119585,pow
,232,232x249,23.0,975.0,56.0,35.808999999999976,0.00835839994251728,pow
,235,235x45,23.0,975.0,56.0,35.90876000000002,0.00632959995418787,pow
,58,58x332,23.0,975.0,56.0,35.87028000000001,0.006700799986720085,pow
,178,178x472,23.0,975.0,56.0,35.84584,0.008736000210046769,pow
,211,211x432,23.0,975.0,56.0,35.88408,0.009094399958848953,pow
,134,134x373,10.04,975.0,56.0,35.9478,0.008147200010716915,pow
,86,86x339,5.0,975.0,56.0,35.988360000000014,0.0069887999445199965,pow
,163,163x321,5.0,975.0,56.0,36.067160000000015,0.008147200010716915,pow
,76,76x447,5.0,375.0,56.0,36.008599999999994,0.012364799901843072,pow
,235,235x420,5.0,375.0,56.0,35.82668000000002,0.018912000209093095,pow
,174,174x314,5.0,375.0,55.32,35.87099999999999,0.014841599948704242,pow
,229,229x439,5.0,375.0,55.0,35.851,0.01892479993402958,pow
,43,43x969,5.0,375.0,55.0,35.94500000000002,0.013913600146770478,pow
,76,76x950,5.0,375.0,55.0,35.798,0.016870399937033653,pow
,229,229x602,6.2,375.0,55.0,35.81299999999998,0.022540800273418427,pow
,72,72x601,8.0,375.0,55.0,35.885,0.014099200256168842,pow
