Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,32.0,825.0,56.0,37.69548,0.008044799976050853,powu
,18,18x218,32.0,774.6,56.0,35.92732000000001,0.007212799973785877,powu
,209,209x112,32.0,765.0,56.0,35.86599999999999,0.008166399784386158,powu
,83,83x236,32.0,705.0,56.0,35.89099999999999,0.008179199881851673,powu
,1,1x37,32.0,705.0,56.0,35.87900000000001,0.0062016000971198085,powu
,172,172x29,32.0,660.0,56.0,35.85699999999998,0.008179199881851673,powu
,188,188x90,32.0,660.0,56.0,35.788999999999994,0.008191999979317188,powu
,116,116x165,32.0,615.0,56.0,35.81799999999999,0.008313599973917007,powu
,232,232x249,12.8,615.0,56.0,35.79600000000002,0.010323200188577176,powu
,235,235x45,8.0,570.0,56.0,35.86000000000001,0.008339199796319008,powu
,58,58x332,8.0,570.0,55.52,35.851,0.00892159976065159,powu
,178,178x472,8.0,525.0,55.0,35.91999999999999,0.012915199995040894,powu
,211,211x432,8.0,525.0,55.0,35.81799999999999,0.014303999952971935,powu
,134,134x373,8.0,495.0,55.0,35.83267999999998,0.010905599966645241,powu
,86,86x339,8.0,491.4,55.0,35.86268000000001,0.010348800010979176,powu
,163,163x321,8.0,450.0,55.0,35.90371999999998,0.012332800216972828,powu
,76,76x447,8.0,422.4,55.0,35.78099999999998,0.010911999829113483,powu
,235,235x420,7.24,420.0,55.0,35.91700000000002,0.016448000073432924,powu
,174,174x314,7.0,390.0,55.0,35.86699999999999,0.01431680005043745,powu
,229,229x439,7.0,390.0,55.0,35.87300000000002,0.017459199577569962,powu
,43,43x969,7.0,375.0,55.0,35.85299999999998,0.013081600330770016,powu
,76,76x950,7.0,375.0,55.0,35.832,0.01640320010483265,powu
,229,229x602,7.0,375.0,55.0,35.90099999999998,0.02051199972629547,powu
,72,72x601,7.0,375.0,55.0,35.86900000000002,0.013843199983239175,powu
,4,4x932,7.0,375.0,55.0,35.812999999999995,0.01034879982471466,powu
,149,149x1015,7.0,375.0,55.0,35.87,0.02250239998102188,powu
,79,79x781,7.0,375.0,55.0,35.84900000000002,0.014572800137102604,powu
,15,15x635,10.0,375.0,55.0,35.88300000000001,0.010444799810647965,powu
,62,62x895,10.0,375.0,55.0,33.48807999999999,0.01674879975616932,powu
,183,183x680,10.0,375.0,55.0,26.65280000000001,0.02178560011088848,powu
,40,40x1421,10.0,375.0,55.0,25.914600000000018,0.01640320010483265,powu
,50,50x1745,10.0,375.0,54.0,25.920840000000013,0.01852159984409809,powu
,84,84x1234,10.0,375.0,54.0,25.797000000000015,0.020473599433898926,powu
,60,60x1293,10.0,375.0,54.0,24.058200000000006,0.019417599588632584,powu
,89,89x1648,10.08,375.0,53.24,22.362800000000004,0.025164799764752388,powu
,108,108x1291,12.0,375.0,53.0,22.3318,0.02419840022921562,powu
,101,101x1245,12.0,375.0,53.0,22.384120000000003,0.02388480007648468,powu
,6,6x1222,12.0,375.0,53.0,22.618239999999986,0.014329600147902966,powu
,143,143x1737,12.0,375.0,53.0,22.245160000000006,0.03275519981980324,powu
,99,99x1602,12.0,375.0,53.0,22.179519999999997,0.02650879994034767,powu
,55,55x2789,14.0,375.0,53.0,21.776879999999995,0.02654080018401146,powu
,64,64x3957,14.0,375.0,52.0,21.748,0.0329535998404026,powu
,253,253x2522,14.0,375.0,52.0,21.871880000000004,0.27820160388946535,powu
,220,220x2822,14.0,375.0,52.0,22.564559999999993,0.27215999364852905,powu
,225,225x2397,15.76,375.0,52.0,22.605360000000008,0.24597759842872619,powu
,102,102x3436,18.0,375.0,52.0,22.11528,0.09683199971914291,powu
,205,205x3507,18.0,375.0,52.0,21.917999999999992,0.31022719740867616,powu
,129,129x4053,18.0,375.0,52.0,22.201399999999985,0.2365887999534607,powu
,14,14x2782,18.0,375.0,52.0,21.77788,0.01658239997923374,powu
,104,104x3251,17.16,375.0,52.0,21.815759999999987,0.07437440007925034,powu
,453,453x231,17.0,375.0,52.0,21.903039999999997,0.02165759988129139,powu
,341,341x252,17.0,375.0,52.0,21.846399999999996,0.020179199427366255,powu
,500,500x81,17.0,375.0,52.0,21.73528,0.016614400222897528,powu
,288,288x15,17.0,375.0,52.0,21.70355999999999,0.014323200099170208,powu
,476,476x177,15.32,375.0,52.0,21.74312000000001,0.020441599562764166,powu
,300,300x34,15.0,375.0,52.0,22.107560000000007,0.014681600220501422,powu
,473,473x216,15.0,375.0,52.0,21.551600000000004,0.02120319977402687,powu
,307,307x251,15.0,375.0,52.0,21.698440000000005,0.020307200402021407,powu
,480,480x104,15.0,375.0,52.0,22.082639999999987,0.016761599853634835,powu
,372,372x48,15.64,375.0,52.0,22.026600000000013,0.015283200331032277,powu
,296,296x411,17.0,375.0,52.0,22.180600000000005,0.022681600227952004,powu
,349,349x266,17.0,375.0,52.0,21.500000000000004,0.0211776003241539,powu
,443,443x493,17.0,375.0,52.0,22.03815999999999,0.03070719987154007,powu
,361,361x468,17.0,375.0,52.0,22.016399999999994,0.026713600009679796,powu
,333,333x355,17.0,375.0,52.0,21.515200000000007,0.02273920029401779,powu
,360,360x338,16.0,375.0,52.0,21.703679999999995,0.02274559997022152,powu
,267,267x285,16.0,375.0,52.0,21.45872,0.019865600392222404,powu
,328,328x377,16.0,375.0,52.0,21.78560000000001,0.02309119962155819,powu
,417,417x425,16.0,375.0,52.0,21.885399999999986,0.027347199991345404,powu
,397,397x482,16.0,375.0,52.0,22.28152,0.028684800118207933,powu
,500,500x765,16.0,375.0,51.0,21.7606,0.16253440082073212,powu
,284,284x758,16.0,375.0,51.0,21.97023999999999,0.030688000097870826,powu
,261,261x915,16.0,375.0,51.0,21.981239999999993,0.03205120041966438,powu
,419,419x929,16.0,375.0,51.0,22.043159999999997,0.16336000263690947,powu
,308,308x677,16.0,375.0,51.0,22.25800000000001,0.02911999970674515,powu
,351,351x967,16.0,375.0,51.0,22.29659999999999,0.07989120036363602,powu
,337,337x768,16.0,375.0,51.32,21.95779999999999,0.033631999790668485,powu
,424,424x801,16.0,375.0,52.0,21.872000000000003,0.08136959969997407,powu
,267,267x536,16.0,375.0,51.96,21.822200000000006,0.02478719986975193,powu
,476,476x779,16.0,375.0,51.0,22.03368,0.14230400025844575,powu
,510,510x1267,16.88,375.0,51.0,22.096999999999998,0.28785919547080996,powu
,477,477x1448,17.0,375.0,51.0,22.220680000000005,0.3004863977432251,powu
,405,405x1561,17.0,375.0,51.0,22.04584000000001,0.2815168023109436,powu
,325,325x1687,17.0,375.0,51.0,22.038200000000003,0.243327996134758,powu
,283,283x1706,17.24,375.0,51.0,21.929559999999995,0.22202879786491395,powu
,459,459x1784,18.0,375.0,52.0,22.351199999999995,0.36246399879455565,powu
,324,324x1208,18.0,375.0,52.0,22.244319999999988,0.1553792029619217,powu
,512,512x1600,18.0,375.0,51.08,22.25635999999999,0.3650815963745117,powu
,418,418x2031,18.0,375.0,51.0,22.393079999999994,0.39586560130119325,powu
,275,275x1988,19.36,375.0,51.92,21.741720000000004,0.24869759678840636,powu
,439,439x4036,20.0,375.0,52.0,22.766959999999994,0.8892672061920166,powu
,402,402x2788,20.0,375.0,52.0,23.105800000000016,0.569926404953003,powu
,512,512x2435,20.0,375.0,52.0,22.843599999999995,0.6378175973892212,powu
,335,335x2167,20.0,375.0,52.0,22.726799999999997,0.3220799922943115,powu
,488,488x3379,24.0,375.0,52.0,23.57056,0.8195903897285461,powu
,304,304x3682,24.0,375.0,52.0,22.689080000000004,0.5712512016296387,powu
,455,455x3697,24.0,375.0,52.0,22.948999999999998,0.8299968004226684,powu
,440,440x2442,24.0,375.0,52.0,22.439719999999987,0.5529663801193238,powu
,303,303x3779,25.68,375.0,52.0,22.813199999999988,0.5789695978164673,powu
,371,371x2684,26.0,375.0,52.0,22.53136000000001,0.4966911911964417,powu
,665,665x66,26.0,375.0,52.0,21.918039999999998,0.016646400094032288,powu
,948,948x212,26.0,375.0,52.0,21.723359999999992,0.02882559970021248,powu
,986,986x92,25.04,375.0,52.0,21.715320000000006,0.021171199902892113,powu
,973,973x136,18.0,375.0,52.0,21.857840000000007,0.023769600316882133,powu
,531,531x3,18.0,375.0,52.0,21.889599999999994,0.014336000196635723,powu
,823,823x185,18.0,375.0,51.36,21.916760000000004,0.025907200202345847,powu
,529,529x97,18.0,375.0,51.0,21.97796,0.016863999888300896,powu
,821,821x238,18.0,375.0,51.32,21.644999999999992,0.028652800247073174,powu
,1009,1009x242,15.0,375.0,52.0,21.659279999999995,0.032761599868535995,powu
,521,521x53,15.0,375.0,51.96,21.905280000000012,0.015846399962902068,powu
,1012,1012x375,15.0,375.0,51.0,21.84923999999999,0.15051519870758057,powu
,632,632x510,15.0,375.0,51.0,22.03604,0.04264959990978241,powu
,865,865x481,15.24,375.0,51.0,21.98572,0.18772479891777039,powu
,881,881x498,16.0,375.0,51.0,22.137719999999998,0.1991807997226715,powu
,673,673x508,16.0,375.0,51.0,21.97812,0.0776319995522499,powu
,880,880x390,16.0,375.0,51.0,21.9318,0.08064640015363693,powu
,745,745x318,16.0,375.0,51.0,21.882440000000006,0.03173759952187538,powu
,619,619x282,16.0,375.0,51.0,21.717519999999993,0.027404799684882165,powu
,633,633x362,16.0,375.0,51.68,21.960320000000007,0.03128960020840168,powu
,855,855x327,16.0,375.0,52.0,21.757919999999984,0.03500799983739853,powu
,806,806x688,16.0,375.0,52.0,22.18588,0.2523455947637558,powu
,746,746x654,16.0,375.0,52.0,22.09868000000001,0.21839360296726226,powu
,523,523x584,16.0,375.0,52.0,22.326879999999996,0.038630399852991104,powu
,550,550x667,16.0,375.0,52.0,22.114160000000012,0.13400960117578506,powu
,799,799x663,16.0,375.0,52.0,22.124839999999995,0.2377920001745224,powu
,599,599x550,16.0,375.0,52.0,21.647800000000004,0.05252479910850525,powu
,676,676x536,16.0,375.0,52.0,21.790120000000012,0.12985599935054778,powu
,778,778x875,17.0,375.0,52.0,21.921959999999995,0.2924543976783752,powu
,754,754x752,17.0,375.0,52.0,21.82692,0.2580416023731232,powu
,710,710x882,17.0,375.0,52.0,22.129920000000013,0.2775296032428741,powu
,948,948x1291,17.0,375.0,52.0,22.956200000000003,0.6330368041992187,powu
