Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,32.0,795.0,56.0,37.54399999999999,0.006137600168585777,relu
,18,18x218,32.0,795.0,56.0,35.878000000000014,0.0060928001068532465,relu
,209,209x112,32.0,735.0,56.0,35.948999999999984,0.006150400079786777,relu
,83,83x236,32.0,735.0,56.0,35.846,0.006137600168585777,relu
,1,1x37,32.0,690.0,56.0,35.871999999999986,0.0061056000180542466,relu
,172,172x29,16.0,680.4,55.52,35.8884,0.00614400003105402,relu
,188,188x90,16.0,630.0,55.0,35.855839999999986,0.006144000124186278,relu
,116,116x165,16.0,603.0,55.0,35.97459999999999,0.006278399936854839,relu
,232,232x249,16.0,585.0,55.0,35.85280000000001,0.006937599927186966,relu
,235,235x45,16.0,549.0,55.0,35.915200000000006,0.006259199976921081,relu
,58,58x332,16.0,540.0,55.0,35.86923999999999,0.0062848000787198545,relu
,178,178x472,16.0,510.0,55.0,35.865,0.00818559993058443,relu
,211,211x432,16.0,510.0,55.0,35.801000000000016,0.008256000094115734,relu
,134,134x373,16.0,465.0,55.0,35.74900000000002,0.007647999841719866,relu
,86,86x339,7.0,465.0,55.0,35.763000000000005,0.007212799973785877,relu
,163,163x321,7.0,435.0,55.0,35.72000000000002,0.008172799833118916,relu
,76,76x447,7.0,435.0,55.0,35.927000000000014,0.00780800012871623,relu
,235,235x420,7.0,405.0,55.0,35.81100000000001,0.008966400101780892,relu
,174,174x314,7.0,405.0,55.0,35.87,0.008371199853718281,relu
,229,229x439,7.0,375.0,55.0,35.85400000000001,0.009734399989247322,relu
,43,43x969,7.0,375.0,55.0,35.83027999999999,0.008211200125515461,relu
,76,76x950,7.0,375.0,55.0,35.900279999999995,0.008908799849450588,relu
,229,229x602,7.0,375.0,55.0,35.540519999999994,0.010867200046777725,relu
,72,72x601,8.36,375.0,55.0,27.362640000000003,0.010240000113844872,relu
,4,4x932,9.0,375.0,55.0,25.657519999999998,0.009414399787783623,relu
,149,149x1015,9.0,375.0,55.0,25.924999999999997,0.012569599971175193,relu
,79,79x781,9.0,375.0,54.0,25.817000000000004,0.01084160003811121,relu
,15,15x635,9.0,375.0,54.0,25.717799999999993,0.009222399815917015,relu
,62,62x895,9.0,375.0,54.0,25.600200000000005,0.010438399761915207,relu
,183,183x680,9.0,375.0,54.0,23.26460000000001,0.012377599999308587,relu
,40,40x1421,9.64,375.0,54.0,22.232519999999994,0.010931199789047242,relu
,50,50x1745,13.0,375.0,54.0,22.2942,0.012230400182306766,relu
,84,84x1234,13.0,375.0,53.0,22.2008,0.01233920007944107,relu
,60,60x1293,13.0,375.0,53.0,22.50152000000001,0.01148159969598055,relu
,89,89x1648,13.0,375.0,53.0,22.5424,0.01283199992030859,relu
,108,108x1291,13.0,375.0,53.0,21.83208000000001,0.013081599771976472,relu
,101,101x1245,14.84,375.0,52.72,21.890840000000004,0.01267199981957674,relu
,6,6x1222,15.0,375.0,52.0,21.655999999999995,0.010233599878847598,relu
,143,143x1737,15.0,375.0,52.0,21.807199999999995,0.01631359979510307,relu
,99,99x1602,15.0,375.0,52.0,22.016680000000004,0.01409280002117157,relu
,55,55x2789,15.0,375.0,52.0,22.147000000000002,0.01393279992043972,relu
,64,64x3957,15.96,375.0,52.0,22.0828,0.0162687998265028,relu
,253,253x2522,16.0,375.0,52.0,22.71512,0.24899199604988098,relu
,220,220x2822,16.0,375.0,52.0,22.391,0.2571008026599884,relu
,225,225x2397,16.0,375.0,52.0,22.085160000000005,0.23221119940280915,relu
,102,102x3436,16.0,375.0,52.0,22.270159999999986,0.0942208006978035,relu
,205,205x3507,19.0,375.0,52.0,22.333720000000003,0.3009663999080658,relu
,129,129x4053,19.0,375.0,52.0,22.076359999999994,0.22551040053367616,relu
,14,14x2782,19.0,375.0,52.0,21.80548,0.010944000259041787,relu
,104,104x3251,19.0,375.0,52.0,21.998359999999995,0.07265280038118363,relu
,453,453x231,19.0,375.0,52.0,22.316840000000003,0.01230079997330904,relu
,341,341x252,17.0,375.0,52.0,22.038040000000002,0.012256000190973282,relu
,500,500x81,17.0,375.0,52.0,21.798360000000002,0.010771199874579907,relu
,288,288x15,17.0,375.0,52.0,21.916680000000007,0.0102207999676466,relu
,476,476x177,17.0,375.0,52.0,21.887880000000006,0.01230080034583807,relu
,300,300x34,17.0,375.0,52.0,22.13676,0.010252800025045871,relu
,473,473x216,16.0,375.0,52.0,21.91824,0.012275200337171555,relu
,307,307x251,16.0,375.0,52.0,21.917880000000004,0.011871999874711037,relu
,480,480x104,16.0,375.0,52.0,22.0784,0.010867200046777725,relu
,372,372x48,16.0,375.0,52.0,22.058600000000002,0.010451199859380722,relu
,296,296x411,16.0,375.0,52.0,21.777400000000004,0.012531199865043164,relu
,349,349x266,15.0,375.0,52.0,21.8306,0.012243200093507767,relu
,443,443x493,15.0,375.0,52.0,21.95827999999999,0.015142400003969669,relu
,361,361x468,15.0,375.0,52.0,21.93460000000001,0.014547200128436088,relu
,333,333x355,15.0,375.0,52.0,21.92032,0.012691199965775012,relu
,360,360x338,15.0,375.0,51.08,22.094479999999994,0.012268800288438797,relu
,267,267x285,15.0,375.0,51.0,22.06788,0.01194240003824234,relu
,328,328x377,15.0,375.0,51.6,22.1642,0.012601599842309952,relu
,417,417x425,15.0,375.0,52.0,21.970000000000006,0.01439359989017248,relu
,397,397x482,15.0,375.0,52.0,21.725960000000004,0.014355200156569482,relu
,500,500x765,15.0,375.0,52.0,21.87484,0.1552639991044998,relu
,284,284x758,16.0,375.0,52.0,22.088479999999993,0.015001600049436093,relu
,261,261x915,16.0,375.0,52.0,21.994519999999987,0.01612800024449825,relu
,419,419x929,16.0,375.0,52.0,22.381600000000013,0.1536960005760193,relu
,308,308x677,16.0,375.0,51.0,22.2498,0.014579200185835361,relu
,351,351x967,16.0,375.0,51.0,22.15188000000001,0.073996801674366,relu
,337,337x768,16.0,375.0,51.0,21.87224,0.016364799812436104,relu
,424,424x801,16.0,375.0,51.0,21.98132000000001,0.0710207998752594,relu
,267,267x536,16.0,375.0,51.76,21.74152,0.012921600043773651,relu
,476,476x779,16.0,375.0,52.0,22.565400000000004,0.12431999742984771,relu
,510,510x1267,16.08,375.0,52.0,22.495200000000015,0.27141759395599363,relu
,477,477x1448,17.0,375.0,52.0,22.523479999999992,0.29019519686698914,relu
,405,405x1561,17.0,375.0,52.0,22.34004,0.26663039326667787,relu
,325,325x1687,17.0,375.0,52.0,22.227199999999996,0.2320063978433609,relu
,283,283x1706,17.0,375.0,52.0,21.835600000000003,0.20802560150623323,relu
,459,459x1784,17.72,375.0,52.0,22.36020000000001,0.36996479630470275,relu
,324,324x1208,19.0,375.0,52.0,22.318720000000003,0.15032320320606232,relu
,512,512x1600,19.0,375.0,52.0,22.631399999999996,0.37081599831581114,relu
,418,418x2031,19.0,375.0,52.0,22.93524,0.4021759986877441,relu
,275,275x1988,19.0,375.0,52.0,22.486760000000007,0.23232639729976653,relu
,439,439x4036,21.52,375.0,52.0,23.41132,0.8736511826515198,relu
,402,402x2788,22.0,375.0,52.0,22.667880000000004,0.5688639998435974,relu
,512,512x2435,22.0,375.0,52.0,22.591720000000006,0.6290303945541382,relu
,335,335x2167,22.0,375.0,51.0,21.95064,0.31687679290771487,relu
,488,488x3379,23.04,375.0,51.0,22.883279999999996,0.8120576024055481,relu
,304,304x3682,24.0,375.0,52.0,22.939440000000005,0.5577727913856506,relu
,455,455x3697,24.0,375.0,52.0,22.947439999999997,0.8268223881721497,relu
,440,440x2442,24.0,375.0,52.0,22.735840000000003,0.5465407967567444,relu
,303,303x3779,24.0,375.0,52.0,22.56068,0.5717183947563171,relu
,371,371x2684,24.0,375.0,52.0,22.283919999999995,0.4992191970348358,relu
,665,665x66,24.0,375.0,52.0,21.806640000000005,0.011007999815046788,relu
,948,948x212,24.0,375.0,52.0,22.061919999999997,0.014617600105702877,relu
,986,986x92,24.0,375.0,52.0,22.387279999999997,0.012275200337171555,relu
,973,973x136,24.0,375.0,52.0,21.951399999999992,0.01278079990297556,relu
,531,531x3,16.0,375.0,52.0,21.278319999999994,0.010239999741315842,relu
,823,823x185,16.0,375.0,52.0,21.560119999999998,0.013497599959373474,relu
,529,529x97,16.0,375.0,52.0,21.549679999999995,0.010982400178909302,relu
,821,821x238,16.0,375.0,52.0,22.04524,0.014476799964904785,relu
,1009,1009x242,16.0,375.0,52.0,22.065600000000003,0.016089599579572678,relu
,521,521x53,15.0,375.0,52.0,22.18964,0.010470400005578995,relu
,1012,1012x375,15.0,375.0,51.4,21.912,0.14092160165309905,relu
,632,632x510,15.0,375.0,51.0,21.562559999999998,0.039187200367450714,relu
,865,865x481,15.0,375.0,51.44,21.962760000000003,0.17898879945278168,relu
,881,881x498,15.0,375.0,52.0,22.056920000000005,0.1772287979722023,relu
,673,673x508,16.0,375.0,51.52,21.976759999999995,0.07245440185070037,relu
,880,880x390,16.0,375.0,51.0,21.884240000000005,0.07326080054044723,relu
,745,745x318,16.0,375.0,51.0,21.98024,0.015980800054967402,relu
,619,619x282,16.0,375.0,51.0,21.472400000000007,0.014431999996304512,relu
,633,633x362,15.8,375.0,51.24,21.988839999999993,0.01568639986217022,relu
,855,855x327,15.0,375.0,52.0,21.796799999999994,0.016550399735569953,relu
,806,806x688,15.0,375.0,51.96,21.966040000000003,0.2393919974565506,relu
,746,746x654,15.0,375.0,51.0,22.0566,0.18872319757938386,relu
,523,523x584,15.0,375.0,51.0,21.77256,0.028511999920010567,relu
,550,550x667,15.4,375.0,51.92,22.284320000000008,0.1261696010828018,relu
,799,799x663,17.0,375.0,52.0,21.905759999999997,0.22643839716911315,relu
,599,599x550,17.0,375.0,51.16,21.693440000000006,0.052582400292158125,relu
,676,676x536,17.0,375.0,51.0,21.712279999999993,0.10863359868526459,relu
,778,778x875,17.0,375.0,51.0,21.899640000000005,0.2840768039226532,relu
,754,754x752,17.0,375.0,51.0,22.44904,0.24355839788913727,relu
,710,710x882,17.0,375.0,51.68,22.227199999999993,0.26342400908470154,relu
,948,948x1291,17.0,375.0,52.0,22.56488,0.618284797668457,relu
,1023,1023x1892,17.0,375.0,52.0,23.32188000000001,0.9720767974853516,relu
,645,645x1266,17.0,375.0,52.0,22.58999999999999,0.38099839687347414,relu
,625,625x1272,23.0,375.0,52.0,22.526760000000014,0.3574847996234894,relu
,823,823x1627,23.0,375.0,52.0,22.914879999999997,0.6653695940971375,relu
,733,733x1399,23.0,375.0,52.0,22.4514,0.5256255984306335,relu
,830,830x1951,23.0,375.0,52.0,22.628359999999997,0.7933056116104126,relu
,665,665x1691,23.44,375.0,52.0,22.795320000000007,0.5725183844566345,relu
,797,797x1206,24.0,375.0,52.0,22.71516,0.4831295907497406,relu
,1000,1000x1063,24.0,375.0,52.0,22.849880000000002,0.5307968020439148,relu
,841,841x3694,24.0,375.0,52.0,23.82879999999999,1.559283185005188,relu
,837,837x3613,25.2,375.0,52.0,23.691880000000015,1.5231296300888062,relu
,774,774x2416,29.0,375.0,52.0,23.03120000000001,0.9349503993988038,relu
,572,572x3269,29.0,375.0,52.0,23.184040000000003,0.9326655983924865,relu
,636,636x2261,29.0,375.0,52.0,22.532720000000005,0.7134591937065125,relu
,838,838x3952,29.0,375.0,52.0,24.135639999999988,1.6570879936218261,relu
,616,616x3057,29.0,375.0,52.0,23.491079999999997,0.9502848029136658,relu
,685,685x3053,29.0,375.0,52.0,23.410640000000008,1.0663296222686767,relu
,574,574x4024,29.0,375.0,52.0,23.285,1.1565759897232055,relu
,584,584x3280,29.2,375.0,52.0,23.250719999999998,0.9659968018531799,relu
,1726,1726x134,30.0,375.0,52.0,22.255599999999994,0.015187199972569943,relu
,1057,1057x69,30.0,375.0,52.0,21.73783999999999,0.012083199992775916,relu
,1191,1191x40,30.0,375.0,52.0,21.58424000000001,0.010816000029444694,relu
,1042,1042x64,30.0,375.0,52.0,21.83108000000001,0.011270399764180183,relu
,1757,1757x99,29.44,375.0,52.0,21.88492,0.014393600076436997,relu
,2034,2034x108,16.0,375.0,52.0,22.045079999999988,0.015296000055968761,relu
,1421,1421x90,16.0,375.0,52.0,21.857840000000007,0.012441600114107132,relu
,1072,1072x130,16.0,375.0,52.0,21.69364000000001,0.012819200195372105,relu
,1274,1274x239,16.0,375.0,52.0,21.947120000000005,0.036748800054192544,relu
,1672,1672x3,16.0,375.0,52.0,21.642919999999993,0.010233599878847598,relu
,1536,1536x357,15.0,375.0,52.0,21.990439999999992,0.23223040103912354,relu
,1074,1074x428,15.0,375.0,52.0,22.32924,0.19795839488506317,relu
,1509,1509x294,15.0,375.0,52.0,21.95307999999999,0.1966720014810562,relu
,1666,1666x290,15.0,375.0,52.0,22.28203999999999,0.2128383994102478,relu
,1139,1139x283,15.96,375.0,52.0,22.403360000000003,0.04604799970984459,relu
,1811,1811x494,18.0,375.0,52.0,22.589360000000006,0.4419072031974792,relu
,1235,1235x263,18.0,375.0,52.0,22.075039999999994,0.05294719934463501,relu
,1405,1405x381,18.0,375.0,52.0,22.24828,0.22903680205345153,relu
,1323,1323x332,18.0,375.0,52.0,21.856039999999997,0.1902976006269455,relu
,1511,1511x284,18.36,375.0,52.0,22.104560000000003,0.18360320031642913,relu
,1999,1999x991,19.0,375.0,52.0,23.02296,0.9927231907844544,relu
,1111,1111x1020,19.0,375.0,52.0,22.99124,0.5751423954963684,relu
,1703,1703x897,19.0,375.0,52.0,22.94928,0.7523648023605347,relu
,1086,1086x630,19.0,375.0,52.0,22.502320000000008,0.28558719754219053,relu
,1430,1430x803,24.0,375.0,52.0,22.038280000000004,0.5827263951301574,relu
,1069,1069x693,24.0,375.0,52.0,22.23072,0.3195007979869843,relu
,1649,1649x980,24.0,375.0,52.0,22.879799999999996,0.7920576095581054,relu
,1292,1292x707,24.0,375.0,52.0,22.8336,0.4510079979896545,relu
,1627,1627x665,22.64,375.0,52.0,22.530880000000003,0.5483264088630676,relu
,1988,1988x579,22.0,375.0,52.0,22.96955999999999,0.5836160063743592,relu
,2014,2014x2038,22.0,375.0,52.0,23.882799999999996,2.0631104707717896,relu
,1505,1505x1835,22.0,375.0,52.0,23.442160000000005,1.400492787361145,relu
,1300,1300x1197,28.08,375.0,52.0,22.677679999999995,0.7645951986312867,relu
,1948,1948x1982,30.0,375.0,52.0,23.559960000000004,1.9417152166366578,relu
,1392,1392x1929,30.0,375.0,52.0,23.319240000000004,1.3517247915267945,relu
,1491,1491x1226,30.0,385.8,52.0,24.3008,0.9228415966033936,relu
,1537,1537x1644,32.0,405.0,52.0,24.4536,1.2749696254730225,relu
,1852,1852x1855,32.0,418.2,52.0,24.331799999999994,1.740492820739746,relu
,1503,1503x1984,32.0,435.0,52.0,23.72136,1.5120831966400146,relu
,1923,1923x1946,35.04,435.0,52.0,24.037920000000007,1.8937599897384643,relu
,1720,1720x2972,36.0,471.0,52.0,24.895960000000006,2.5775295734405517,relu
,1339,1339x3401,36.0,490.8,52.0,24.376039999999993,2.3012736320495604,relu
,1247,1247x3395,36.96,510.0,52.0,24.223159999999996,2.1324671268463136,relu
,1079,1079x2813,38.0,510.0,52.0,23.6614,1.527724814414978,relu
,1956,1956x2284,38.0,510.0,52.0,23.924519999999998,2.2554240226745605,relu
,1289,1289x3762,37.52,561.0,52.0,24.67056000000001,2.43351035118103,relu
,1997,1997x2699,36.0,645.0,52.0,24.917600000000007,1.0523199796676637,relu
,1156,1156x3684,36.0,735.0,52.0,23.822279999999996,0.8257791996002197,relu
,1959,1959x3469,36.0,735.0,52.0,24.205959999999994,1.3185343742370605,relu
,1812,1812x2800,36.0,735.0,52.0,24.061679999999996,0.9734975934028626,relu
,2938,2938x253,29.0,735.0,52.0,23.223000000000017,0.13317759782075883,relu
,2724,2724x130,29.0,735.0,52.0,22.712999999999994,0.03312000036239624,relu
,3684,3684x100,29.0,735.0,52.0,22.217640000000006,0.04619520008563995,relu
,4034,4034x237,29.0,735.0,52.0,22.186359999999993,0.17233919799327851,relu
,2747,2747x10,29.0,735.0,52.0,22.376480000000004,0.0070975999347865585,relu
,3168,3168x79,19.12,735.0,52.0,22.602720000000005,0.010649600066244602,relu
,2470,2470x200,10.0,390.0,52.0,22.728919999999995,0.21053439974784852,relu
,3583,3583x123,10.0,375.0,52.0,22.565999999999995,0.19488640427589415,relu
,2307,2307x113,10.0,375.0,52.0,22.27596,0.016416000202298164,relu
,2825,2825x107,10.0,375.0,52.0,22.243200000000012,0.031539200246334075,relu
,2760,2760x264,13.52,375.0,52.0,22.362080000000006,0.30970879793167116,relu
,3189,3189x445,18.0,375.0,52.0,22.74124000000001,0.703872001171112,relu
,3080,3080x305,18.0,375.0,52.0,22.56063999999999,0.46529280543327334,relu
,3421,3421x266,18.0,375.0,52.0,22.231079999999988,0.44312959909439087,relu
,3017,3017x476,18.0,375.0,52.0,22.535480000000003,0.7128383994102478,relu
,2670,2670x449,23.0,375.0,52.0,22.695399999999992,0.5985087990760803,relu
,2211,2211x469,23.0,375.0,52.0,22.367160000000002,0.52985600233078,relu
,3066,3066x370,23.0,375.0,52.0,22.74468,0.5789631962776184,relu
,2837,2837x283,23.0,375.0,52.0,22.49932,0.3683712065219879,relu
,3794,3794x496,24.44,375.0,52.0,23.408320000000014,0.9434944033622742,relu
,3217,3217x972,25.0,375.0,52.0,23.955400000000004,1.579321599006653,relu
,3977,3977x964,25.0,378.6,52.0,23.970880000000008,1.925273609161377,relu
,3278,3278x669,25.8,390.0,52.0,23.917519999999985,1.1058815956115722,relu
,4018,4018x586,35.0,390.0,52.0,22.557199999999995,1.1812992095947266,relu
