Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,39.0,735.0,56.88,39.676000000000016,0.0075264000333845615,softmax
,18,18x218,39.0,735.0,56.0,35.92767999999999,0.0077184000052511696,softmax
,209,209x112,39.0,735.0,56.0,35.976,0.007967999763786792,softmax
,83,83x236,39.0,735.0,56.0,35.923999999999985,0.008083200082182884,softmax
,1,1x37,39.0,735.0,56.0,35.961000000000006,0.006137600168585777,softmax
,172,172x29,17.88,735.0,56.0,35.88,0.006374399922788143,softmax
,188,188x90,17.0,735.0,56.0,35.864000000000004,0.008006399869918824,softmax
,116,116x165,17.0,735.0,56.0,35.87,0.007135999947786331,softmax
,232,232x249,17.0,735.0,56.0,35.88300000000001,0.008191999979317188,softmax
,235,235x45,17.0,735.0,56.0,35.88300000000001,0.006899199914187193,softmax
,58,58x332,17.0,735.0,56.0,35.75699999999998,0.008416000008583068,softmax
,178,178x472,17.0,735.0,56.0,35.82899999999998,0.010304000042378903,softmax
,211,211x432,17.0,735.0,56.0,35.871999999999986,0.010259199887514114,softmax
,134,134x373,17.0,735.0,56.0,35.84400000000002,0.00866559986025095,softmax
,86,86x339,17.0,375.0,56.0,35.92899999999998,0.012460799887776375,softmax
,163,163x321,7.0,375.0,56.0,35.87400000000002,0.014355200342833996,softmax
,76,76x447,7.0,375.0,56.0,35.95215999999999,0.014182399958372116,softmax
,235,235x420,7.0,375.0,56.0,35.87064,0.01646080017089844,softmax
,174,174x314,7.0,375.0,55.0,35.897,0.014355200342833996,softmax
,229,229x439,7.0,375.0,55.0,35.962519999999984,0.01645440012216568,softmax
,43,43x969,7.0,375.0,55.0,35.925199999999975,0.020735999941825865,softmax
,76,76x950,7.0,375.0,55.0,35.88939999999998,0.020793599635362627,softmax
,229,229x602,7.0,375.0,55.0,35.93476000000002,0.020505599677562714,softmax
,72,72x601,7.0,375.0,55.0,35.90179999999999,0.016659199446439742,softmax
,4,4x932,8.8,375.0,55.0,35.808920000000015,0.02048639953136444,softmax
,149,149x1015,10.0,375.0,55.0,35.88699999999998,0.02568959966301918,softmax
,79,79x781,10.0,375.0,55.0,35.79700000000002,0.01889920011162758,softmax
,15,15x635,10.0,375.0,55.0,34.527000000000015,0.01897600032389164,softmax
,62,62x895,10.0,375.0,55.0,26.144999999999992,0.02239999994635582,softmax
,183,183x680,10.0,375.0,55.0,25.894000000000002,0.02325120009481907,softmax
,40,40x1421,10.0,375.0,54.56,25.835800000000013,0.022515200078487396,softmax
,50,50x1745,10.0,375.0,54.0,25.75859999999999,0.02454400062561035,softmax
,84,84x1234,10.0,375.0,54.0,25.757559999999998,0.024793599918484687,softmax
,60,60x1293,10.0,375.0,54.0,25.695679999999992,0.02250880002975464,softmax
,89,89x1648,10.0,375.0,54.0,25.792439999999985,0.027263999730348588,softmax
,108,108x1291,10.0,375.0,54.0,23.897639999999996,0.028332800045609473,softmax
