Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,31.0,738.0,56.0,38.981439999999985,0.006304000038653612,tanh
,18,18x218,31.0,720.0,56.0,35.98656000000001,0.00614400003105402,tanh
,209,209x112,31.0,660.0,56.0,35.9504,0.00614400003105402,tanh
,83,83x236,31.0,660.0,56.0,35.906199999999984,0.006425600033253431,tanh
,1,1x37,31.0,615.0,56.0,35.93044,0.006137600168585777,tanh
,172,172x29,31.0,615.0,56.0,35.981,0.006342399958521127,tanh
,188,188x90,31.0,570.0,56.0,36.038000000000004,0.006700799986720085,tanh
,116,116x165,10.0,564.6,56.0,36.03300000000001,0.006412800028920173,tanh
,232,232x249,10.0,525.0,56.0,36.048999999999985,0.008172799833118916,tanh
,235,235x45,10.0,505.8,56.0,35.96839999999999,0.006547199934720993,tanh
,58,58x332,10.0,495.0,56.0,35.94720000000001,0.006771200057119131,tanh
,178,178x472,10.0,451.8,55.0,35.96216000000002,0.008447999879717828,tanh
,211,211x432,10.0,450.0,55.0,35.92431999999998,0.008819200098514557,tanh
,134,134x373,10.0,420.0,55.0,35.89779999999999,0.008262399956583977,tanh
,86,86x339,10.0,420.0,55.0,35.91404000000001,0.008191999979317188,tanh
,163,163x321,10.0,390.0,55.0,35.95492000000001,0.008524800091981888,tanh
,76,76x447,8.0,390.0,55.0,35.981240000000014,0.00823040008544922,tanh
,235,235x420,8.0,375.0,55.0,35.98303999999998,0.010239999927580356,tanh
,174,174x314,8.0,375.0,55.0,36.05499999999999,0.008799999952316284,tanh
,229,229x439,8.0,375.0,55.0,36.12,0.010252799838781357,tanh
,43,43x969,8.0,375.0,55.0,36.040999999999976,0.008511999994516373,tanh
,76,76x950,8.0,375.0,55.0,36.01599999999999,0.010080000013113022,tanh
,229,229x602,8.0,375.0,55.0,35.450599999999994,0.010796800069510937,tanh
,72,72x601,8.0,375.0,55.0,30.100359999999988,0.010547200031578541,tanh
,4,4x932,8.0,375.0,55.0,26.001480000000004,0.009964800253510476,tanh
,149,149x1015,9.92,375.0,55.0,25.941680000000005,0.013478399999439717,tanh
,79,79x781,10.0,375.0,55.0,26.059360000000016,0.010783999972045422,tanh
,15,15x635,10.0,375.0,54.2,25.997,0.010208000428974628,tanh
,62,62x895,10.0,375.0,54.0,25.928999999999984,0.010700799897313118,tanh
,183,183x680,10.0,375.0,54.0,25.80412000000001,0.01255040019750595,tanh
,40,40x1421,10.0,375.0,54.0,25.820919999999997,0.01075840014964342,tanh
,50,50x1745,10.0,375.0,54.0,23.503680000000003,0.012275200337171555,tanh
,84,84x1234,10.0,375.0,54.0,23.180199999999996,0.012275200337171555,tanh
,60,60x1293,13.0,375.0,53.52,22.971000000000004,0.01226240023970604,tanh
,89,89x1648,13.0,375.0,53.0,22.4392,0.01393279992043972,tanh
,108,108x1291,13.0,375.0,53.0,22.50848,0.013260800018906593,tanh
,101,101x1245,13.0,375.0,53.0,22.05156,0.013017600029706955,tanh
,6,6x1222,13.0,375.0,53.0,21.99848,0.01060480009764433,tanh
,143,143x1737,14.84,375.0,52.08,21.394640000000003,0.016422399878501893,tanh
,99,99x1602,15.0,375.0,52.0,21.58675999999999,0.014329600147902966,tanh
,55,55x2789,15.0,375.0,52.0,21.853080000000006,0.01436160020530224,tanh
,64,64x3957,15.0,375.0,52.0,21.89136000000001,0.01651199981570244,tanh
,253,253x2522,15.0,375.0,52.0,22.062319999999996,0.2629503905773163,tanh
,220,220x2822,15.0,375.0,52.0,22.168319999999998,0.25287039279937745,tanh
,225,225x2397,15.0,375.0,52.0,22.212439999999983,0.23067519664764405,tanh
,102,102x3436,15.0,375.0,52.0,22.273040000000005,0.0921984001994133,tanh
,205,205x3507,15.0,375.0,52.0,22.628959999999996,0.2993920028209686,tanh
,129,129x4053,15.0,375.0,52.0,22.479,0.2247424006462097,tanh
,14,14x2782,19.0,375.0,52.0,22.21551999999999,0.01111680008471012,tanh
,104,104x3251,19.0,375.0,52.0,21.849359999999994,0.07070720046758652,tanh
,453,453x231,19.0,375.0,52.0,22.426959999999994,0.01263360008597374,tanh
,341,341x252,19.0,375.0,52.0,21.973599999999983,0.01233920007944107,tanh
,500,500x81,19.0,375.0,52.0,21.972000000000012,0.01106560006737709,tanh
,288,288x15,16.0,375.0,52.0,22.059720000000006,0.010239999741315842,tanh
,476,476x177,16.0,375.0,52.0,22.024160000000006,0.012332800030708312,tanh
,300,300x34,16.0,375.0,52.0,21.954999999999988,0.010848000086843968,tanh
,473,473x216,16.0,375.0,52.0,21.670720000000006,0.012371200136840343,tanh
,307,307x251,16.0,375.0,52.0,21.829279999999997,0.012243200093507767,tanh
,480,480x104,16.0,375.0,51.0,21.93291999999999,0.011833600141108036,tanh
,372,372x48,16.0,375.0,51.0,21.674640000000004,0.01063039992004633,tanh
,296,296x411,16.0,375.0,51.68,22.055120000000006,0.01264639999717474,tanh
,349,349x266,16.0,375.0,52.0,22.34616000000001,0.012288000248372555,tanh
,443,443x493,16.0,375.0,51.76,22.00556000000001,0.015724799782037734,tanh
,361,361x468,16.64,375.0,51.0,22.060319999999994,0.014560000039637089,tanh
,333,333x355,17.0,375.0,51.0,21.994200000000006,0.012985600158572197,tanh
,360,360x338,17.0,375.0,51.0,21.736320000000006,0.012716799974441528,tanh
,267,267x285,17.0,375.0,51.0,21.63492,0.012275200337171555,tanh
,328,328x377,17.0,375.0,51.0,21.673400000000004,0.012780800089240074,tanh
,417,417x425,16.72,375.0,51.0,21.850959999999997,0.0144896000623703,tanh
,397,397x482,16.0,375.0,51.48,21.938680000000005,0.015270400047302245,tanh
,500,500x765,16.0,375.0,52.0,22.21099999999999,0.15125759840011596,tanh
,284,284x758,16.0,375.0,51.84,22.18628,0.01605760008096695,tanh
,261,261x915,16.0,375.0,51.0,22.04144000000001,0.01637759990990162,tanh
,419,419x929,16.0,375.0,51.0,21.890639999999983,0.15146880149841307,tanh
,308,308x677,16.0,375.0,51.0,21.744359999999986,0.01564160007983446,tanh
,351,351x967,16.0,375.0,51.0,21.755480000000006,0.07443840056657791,tanh
,337,337x768,16.0,375.0,51.0,21.585840000000005,0.016633599996566772,tanh
,424,424x801,16.0,375.0,51.0,21.889679999999988,0.0771136000752449,tanh
,267,267x536,16.24,375.0,51.0,21.843000000000007,0.014111999981105327,tanh
,476,476x779,17.0,375.0,51.0,22.24096000000001,0.1345279961824417,tanh
,510,510x1267,17.0,375.0,51.0,22.099000000000004,0.2536831974983215,tanh
,477,477x1448,17.0,375.0,51.0,22.4522,0.26944640278816223,tanh
,405,405x1561,17.0,375.0,51.2,22.66776000000001,0.2603008091449738,tanh
,325,325x1687,17.4,375.0,52.0,22.260719999999992,0.2165695995092392,tanh
,283,283x1706,19.0,375.0,52.0,21.903000000000002,0.20657280087471008,tanh
,459,459x1784,19.0,375.0,52.0,22.673600000000008,0.373088002204895,tanh
,324,324x1208,19.0,375.0,52.0,22.722439999999995,0.1536320000886917,tanh
,512,512x1600,19.0,375.0,52.0,22.162239999999997,0.362745600938797,tanh
,418,418x2031,20.2,375.0,52.0,22.671279999999996,0.3977727949619293,tanh
,275,275x1988,21.0,375.0,52.0,22.725040000000003,0.212364798784256,tanh
,439,439x4036,21.0,375.0,52.0,22.608480000000007,0.8896448016166687,tanh
,402,402x2788,21.0,375.0,52.0,22.82960000000001,0.5644224047660827,tanh
,512,512x2435,21.0,375.0,52.0,22.87776000000001,0.6247423887252808,tanh
,335,335x2167,23.0,375.0,52.0,22.927160000000004,0.3130687952041626,tanh
,488,488x3379,23.0,375.0,52.0,23.188,0.8142143964767456,tanh
,304,304x3682,23.0,375.0,52.0,22.74839999999999,0.5572543978691101,tanh
,455,455x3697,23.0,375.0,52.0,22.41879999999999,0.8322751998901368,tanh
,440,440x2442,23.6,375.0,52.0,22.625480000000003,0.5487872004508972,tanh
,303,303x3779,24.0,375.0,52.0,23.105279999999993,0.5764863967895508,tanh
,371,371x2684,24.0,375.0,52.0,22.509839999999993,0.5036864042282104,tanh
,665,665x66,24.0,375.0,52.0,22.42955999999999,0.011315200105309486,tanh
,948,948x212,24.0,375.0,52.0,22.17699999999999,0.015743999928236007,tanh
,986,986x92,22.0,375.0,52.0,21.630840000000013,0.012416000291705132,tanh
,973,973x136,22.0,375.0,52.0,21.567639999999994,0.012921600043773651,tanh
,531,531x3,22.0,375.0,52.0,21.670200000000012,0.01028479989618063,tanh
,823,823x185,22.0,375.0,52.0,21.967480000000002,0.014329600147902966,tanh
,529,529x97,22.0,375.0,51.0,21.910959999999996,0.011123199947178364,tanh
