Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,8,8x2x18x16,8.0,1470.0,47.0,43.558999999999976,0.0046079999767243,bmm
,18,18x1x11x28,8.0,1470.0,47.0,43.886,0.0050111999735236,bmm
,6,6x19x24x13,5.0,1470.0,47.0,43.99,0.006195200048387,bmm
,5,5x11x16x43,5.0,1470.0,47.0,43.92899999999999,0.004851199965924,bmm
,26,26x30x10x49,5.0,1470.0,47.04,43.97199999999999,0.0085760001093149,bmm
,5,5x25x25x62,5.0,1470.0,48.0,44.211000000000006,0.0103551998734474,bmm
,20,20x33x13x84,5.0,1470.0,48.0,44.28099999999998,0.0102399997413158,bmm
,9,9x9x31x86,5.0,1470.0,48.0,44.44299999999999,0.0058752000331878,bmm
,15,15x1x5x72,5.0,1470.0,48.0,44.52999999999998,0.0042816000059247,bmm
,7,7x7x28x219,5.0,1470.0,49.0,44.40099999999998,0.0062720000743865,bmm
,18,18x30x16x148,5.0,1470.0,49.0,44.43100000000001,0.0102591997012496,bmm
,25,25x17x30x202,5.0,1470.0,49.0,44.86699999999999,0.0104127997532486,bmm
,12,12x5x5x377,5.0,1470.0,49.0,45.11800000000002,0.0054911999963223,bmm
,21,21x5x1x491,5.0,1470.0,49.0,44.598120000000016,0.0051008000038564,bmm
,9,9x17x8x311,5.0,1470.0,49.0,44.64432,0.0081919999793171,bmm
,9,9x17x11x965,5.0,1470.0,49.0,44.537600000000005,0.0108224000781774,bmm
,16,16x7x23x929,5.0,1470.0,49.0,44.57312000000002,0.0131840001791715,bmm
,15,15x13x30x871,5.0,1470.0,49.44,44.65519999999999,0.0184256006032228,bmm
,12,12x17x35x7,5.0,1470.0,50.0,44.65952,0.0106560001149773,bmm
,22,22x21x40x20,5.0,1470.0,50.0,44.62239999999998,0.0105279998853802,bmm
,14,14x28x53x30,5.0,1470.0,50.0,44.75776000000002,0.0122944002971053,bmm
,2,2x3x48x63,4.04,1470.0,50.0,45.30739999999999,0.004838400054723,bmm
