Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,37.0,1140.0,68.0,50.12048000000001,0.004377599991858006,add
,18,18x218,37.0,1140.0,68.0,45.83815999999998,0.004230399895459413,add
,209,209x112,30.24,1140.0,68.0,45.587800000000016,0.004281599912792445,add
,83,83x236,24.0,1140.0,68.0,45.688680000000005,0.004390399996191263,add
,1,1x37,24.0,1140.0,67.2,45.67459999999999,0.004095999989658594,add
,172,172x29,24.0,1140.0,67.0,45.60420000000001,0.004108799900859594,add
,188,188x90,24.0,1140.0,67.0,45.58299999999999,0.004166399873793125,add
,116,116x165,24.0,1140.0,67.0,45.513999999999996,0.0043391999788582325,add
,232,232x249,24.0,1140.0,67.0,45.71000000000001,0.004627200122922659,add
,235,235x45,24.0,1140.0,67.0,45.83899999999997,0.004211199935525656,add
,58,58x332,24.0,1140.0,67.0,45.73800000000003,0.0045056000351905824,add
,178,178x472,24.0,585.0,67.0,44.66100000000003,0.008191999979317188,add
,211,211x432,5.0,579.0,66.8,39.653560000000006,0.00818559993058443,add
,134,134x373,5.0,555.0,66.0,39.39423999999999,0.007340799923986197,add
,86,86x339,5.0,522.6,66.0,39.38392,0.006803199928253889,add
,163,163x321,5.0,510.0,66.0,39.23464000000002,0.008128000423312187,add
,76,76x447,5.0,480.0,66.0,39.18639999999999,0.007334399968385696,add
,235,235x420,5.0,480.0,66.0,39.08627999999999,0.008844800107181073,add
,174,174x314,5.0,450.0,66.0,38.94132000000001,0.008172799833118916,add
,229,229x439,5.0,445.2,66.0,38.92999999999998,0.009023999981582164,add
,43,43x969,5.16,420.0,65.24,38.977239999999995,0.008191999979317188,add
,76,76x950,9.0,397.2,65.0,38.703,0.009113600105047226,add
,229,229x602,9.0,390.0,65.0,38.64284000000003,0.011449600011110306,add
,72,72x601,9.0,377.4,65.0,38.58120000000001,0.008550400100648402,add
,4,4x932,9.0,375.0,65.0,38.52864000000002,0.006707199942320585,add
,149,149x1015,9.0,375.0,65.0,38.425599999999974,0.012307200022041798,add
,79,79x781,9.0,375.0,65.0,38.50272000000001,0.009241600148379802,add
,15,15x635,9.0,375.0,65.0,38.526119999999985,0.006924800015985966,add
,62,62x895,9.0,375.0,65.0,38.25748,0.008851199969649315,add
,183,183x680,9.0,375.0,65.0,36.389,0.013113599829375744,add
,40,40x1421,9.0,375.0,65.0,27.838999999999988,0.010956800170242786,add
,50,50x1745,9.0,375.0,65.0,27.88999999999999,0.012492799945175648,add
,84,84x1234,9.0,375.0,64.52,27.855,0.01269760001450777,add
,60,60x1293,9.0,375.0,64.0,27.872000000000018,0.012051199749112129,add
,89,89x1648,9.0,375.0,64.0,27.828599999999998,0.01405439991503954,add
,108,108x1291,9.0,375.0,64.0,27.81443999999999,0.014297599904239178,add
,101,101x1245,9.0,375.0,63.72,27.8096,0.012927999906241893,add
,6,6x1222,9.0,375.0,63.0,27.800239999999988,0.008960000053048135,add
,143,143x1737,9.0,375.0,63.0,27.65864000000001,0.017235199734568597,add
,99,99x1602,12.0,375.0,62.76,24.60863999999999,0.014656000025570392,add
,55,55x2789,12.0,375.0,62.0,24.33612,0.014444800093770027,add
,64,64x3957,12.0,375.0,61.72,24.44295999999999,0.059014400094747545,add
,253,253x2522,12.0,375.0,61.0,23.772280000000002,0.4143807977437973,add
,220,220x2822,13.76,375.0,61.0,23.723599999999987,0.4516607940196991,add
,225,225x2397,16.0,375.0,61.0,24.004280000000005,0.39675519466400144,add
,102,102x3436,16.0,375.0,61.0,23.52204,0.2693887948989868,add
,205,205x3507,16.0,375.0,60.0,23.664159999999995,0.5371583938598633,add
,129,129x4053,16.0,375.0,60.0,23.58736,0.39030399918556213,add
,14,14x2782,20.8,375.0,60.0,22.844480000000004,0.010796800069510937,add
,104,104x3251,22.0,375.0,60.0,23.007959999999994,0.26371840238571165,add
