Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,40.0,690.0,67.0,42.84987999999999,0.006124800071120262,addu
,18,18x218,40.0,690.0,67.0,40.35075999999998,0.005907200090587139,addu
,209,209x112,40.0,690.0,67.0,39.80515999999998,0.006239999923855067,addu
,83,83x236,40.0,690.0,66.0,39.95335999999998,0.006111999973654747,addu
,1,1x37,40.0,690.0,66.0,39.64591999999998,0.005529600009322166,addu
,172,172x29,40.0,690.0,66.0,39.70232000000001,0.00613120011985302,addu
,188,188x90,40.0,690.0,66.0,39.76567999999999,0.00613120011985302,addu
,116,116x165,13.0,690.0,66.0,39.67899999999998,0.006124800071120262,addu
,232,232x249,13.0,690.0,66.0,39.936000000000014,0.0062720000743865965,addu
,235,235x45,13.0,690.0,66.0,39.63800000000001,0.0061056001111865045,addu
,58,58x332,13.0,690.0,66.0,39.69600000000002,0.006144000217318535,addu
,178,178x472,13.0,690.0,66.0,39.61300000000003,0.006425599940121174,addu
,211,211x432,13.0,690.0,66.0,39.63699999999997,0.00649600001052022,addu
,134,134x373,13.0,690.0,66.0,40.03052,0.006188799999654293,addu
,86,86x339,13.0,690.0,66.0,39.93344,0.006137600168585777,addu
,163,163x321,13.0,375.0,66.0,39.75584,0.008191999979317188,addu
,76,76x447,8.0,375.0,66.0,39.47059999999999,0.008089600130915642,addu
,235,235x420,8.0,375.0,66.0,39.327,0.009107200056314468,addu
,174,174x314,8.0,375.0,66.0,39.24099999999999,0.008313600160181522,addu
,229,229x439,8.0,375.0,66.0,39.45600000000001,0.009420800022780895,addu
,43,43x969,8.0,375.0,66.0,39.10299999999998,0.008140800148248672,addu
,76,76x950,8.0,375.0,66.0,39.15599999999998,0.008761600032448769,addu
,229,229x602,8.0,375.0,66.0,39.139,0.010246399976313113,addu
,72,72x601,8.0,375.0,65.8,38.92899999999998,0.008204800076782703,addu
,4,4x932,8.0,375.0,65.0,39.048999999999985,0.006700800079852342,addu
,149,149x1015,9.68,375.0,65.0,38.94299999999999,0.0102463997900486,addu
