Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,8,8x2x18x16,12.0,1470.0,60.0,47.339879999999994,0.004691199958324432,bmm
,18,18x1x11x28,12.0,1470.0,60.0,47.76000000000002,0.004537599999457598,bmm
,6,6x19x24x13,12.0,1470.0,60.0,48.27420000000001,0.00618240013718605,bmm
,5,5x11x16x43,12.0,1470.0,60.0,48.400799999999975,0.004672000091522932,bmm
,26,26x30x10x49,12.0,1470.0,61.04,48.48040000000002,0.008473599888384342,bmm
,5,5x25x25x62,12.0,1470.0,62.0,48.54872,0.010239999741315842,bmm
,20,20x33x13x84,7.32,1470.0,62.0,48.44295999999999,0.010239999741315842,bmm
,9,9x9x31x86,3.0,1470.0,62.0,48.586000000000006,0.005747200082987547,bmm
,15,15x1x5x72,3.0,1470.0,62.72,49.13915999999999,0.004313599970191717,bmm
,7,7x7x28x219,3.0,1470.0,63.0,49.35535999999999,0.006144000217318535,bmm
,18,18x30x16x148,3.0,1470.0,63.0,49.74615999999998,0.010214399732649326,bmm
,25,25x17x30x202,3.0,1470.0,63.32,50.23784,0.010547199845314026,bmm
,12,12x5x5x377,3.0,1470.0,64.0,50.40792,0.004921599943190813,bmm
,21,21x5x1x491,3.0,1470.0,64.0,50.62039999999999,0.005535999871790409,bmm
,9,9x17x8x311,3.0,1470.0,64.0,50.88084,0.008217599987983704,bmm
,9,9x17x11x965,3.88,1470.0,64.0,50.914039999999986,0.01060480009764433,bmm
,16,16x7x23x929,4.0,1470.0,65.0,50.87963999999999,0.013043199852108955,bmm
,15,15x13x30x871,4.0,1470.0,65.0,50.93896000000001,0.01839360035955906,bmm
,12,12x17x35x7,4.0,1470.0,65.0,51.12992000000001,0.010739199817180634,bmm
,22,22x21x40x20,4.0,1470.0,65.0,51.261199999999974,0.010553599894046783,bmm
,14,14x28x53x30,4.0,1470.0,65.0,51.31448,0.01228800043463707,bmm
,2,2x3x48x63,4.0,1470.0,65.0,51.845479999999995,0.004800000041723251,bmm
,16,16x8x62x41,4.0,1470.0,65.0,52.05916000000002,0.00540799992159009,bmm
,5,5x19x48x50,4.0,1470.0,65.0,51.85436000000001,0.010918400064110757,bmm
,14,14x27x57x67,4.0,1470.0,65.0,51.927080000000025,0.01305599994957447,bmm
,26,26x11x62x81,5.0,1470.0,66.0,52.00131999999999,0.008076800219714641,bmm
,25,25x18x59x97,5.0,1470.0,66.0,52.00108000000002,0.01895040012896061,bmm
,8,8x14x62x194,5.0,1470.0,66.0,52.015000000000015,0.007359999977052212,bmm
,3,3x23x60x223,5.0,1470.0,66.0,51.71052000000002,0.01283199992030859,bmm
,28,28x18x53x191,5.0,1470.0,66.16,51.61139999999997,0.018457600474357606,bmm
,18,18x18x33x354,5.0,1470.0,67.0,51.66424000000002,0.012294400297105313,bmm
,31,31x23x60x426,5.0,1470.0,67.0,51.87919999999999,0.027039999887347222,bmm
,7,7x13x51x373,5.0,1470.0,67.0,52.11260000000002,0.007705599907785654,bmm
,29,29x22x44x565,5.0,1470.0,67.0,52.001800000000024,0.02731520012021065,bmm
,25,25x29x61x817,5.0,1470.0,67.0,52.27984000000002,0.0390079990029335,bmm
,31,31x19x35x750,5.0,1470.0,67.0,52.5094,0.02884479984641075,bmm
,20,20x19x121x8,5.0,1470.0,67.0,52.59099999999998,0.019065600261092185,bmm
,18,18x3x87x31,5.0,1470.0,67.0,52.005000000000024,0.0055935999378561975,bmm
,19,19x26x69x30,5.0,1470.0,67.0,51.855599999999974,0.014208000153303146,bmm
,18,18x9x101x61,5.0,1470.0,67.0,51.85159999999998,0.006687999982386827,bmm
,33,33x18x118x63,5.0,1470.0,67.0,51.72527999999998,0.018502400442957877,bmm
,32,32x10x122x63,5.0,1470.0,67.0,51.80352,0.008294399827718735,bmm
,32,32x3x81x129,5.0,1470.0,67.56,51.759840000000004,0.007142399996519088,bmm
,25,25x21x127x69,5.0,1470.0,68.0,51.706199999999974,0.030719999223947525,bmm
,23,23x24x120x83,4.2,1470.0,68.0,51.7842,0.02868480049073696,bmm
,30,30x19x85x147,4.0,1470.0,68.0,51.66248000000002,0.02458240054547787,bmm
,2,2x26x100x131,4.0,1470.0,68.0,51.897999999999996,0.016460799798369407,bmm
,6,6x19x106x235,4.0,1470.0,68.0,51.769,0.01770880036056042,bmm
,26,26x24x76x459,4.0,1470.0,68.0,51.81400000000001,0.030105600506067275,bmm
,20,20x27x79x328,4.0,1470.0,68.0,52.210000000000015,0.018348800018429756,bmm
,27,27x18x69x446,4.0,1470.0,68.0,52.035,0.02746879979968071,bmm
,2,2x4x107x762,4.0,1470.0,68.0,52.21399999999997,0.0066304000094532965,bmm
,9,9x1x110x756,4.0,1470.0,68.0,51.79700000000002,0.00984320007264614,bmm
,3,3x20x123x544,4.0,445.2,68.0,45.75260000000001,0.05934720113873482,bmm
,19,19x30x239x7,4.0,435.0,68.0,28.025000000000006,0.09571200162172318,bmm
,10,10x31x146x6,4.0,408.6,66.0,27.957160000000012,0.0704704001545906,bmm
,7,7x33x183x10,4.0,405.0,66.0,27.865320000000008,0.04730240032076836,bmm
