Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,40.0,1035.0,68.0,50.84028,0.006124800164252519,div
,18,18x218,40.0,1035.0,68.0,45.611240000000016,0.005676800105720759,div
,209,209x112,40.0,1035.0,68.0,45.57424,0.006144000217318535,div
,83,83x236,40.0,1035.0,68.0,45.6652,0.0061056000180542466,div
,1,1x37,21.52,1035.0,68.0,45.62048,0.004569600056856871,div
,172,172x29,19.0,1035.0,68.0,45.57535999999999,0.004947199951857328,div
,188,188x90,19.0,1035.0,68.0,45.58771999999999,0.006067200005054474,div
,116,116x165,19.0,1035.0,68.0,45.55955999999999,0.006086400151252747,div
,232,232x249,19.0,1035.0,68.0,45.532080000000015,0.006265600025653839,div
,235,235x45,19.0,1035.0,68.0,45.69299999999999,0.005363199952989816,div
,58,58x332,19.0,856.8,68.0,45.59500000000002,0.005894400086253882,div
,178,178x472,19.0,540.0,67.16,43.02200000000002,0.010233600065112114,div
,211,211x432,19.0,496.8,67.0,40.099399999999996,0.010591999813914298,div
,134,134x373,10.68,495.0,67.0,40.072759999999995,0.009945600107312203,div
,86,86x339,6.0,465.0,67.0,40.087520000000005,0.009343999810516835,div
,163,163x321,6.0,465.0,67.0,39.917599999999986,0.010239999741315842,div
,76,76x447,6.0,435.0,67.0,39.882559999999984,0.009785600006580353,div
,235,235x420,6.0,435.0,67.0,39.883959999999995,0.012256000190973282,div
,174,174x314,6.0,405.0,67.0,39.985880000000016,0.010783999972045422,div
,229,229x439,6.0,405.0,66.52,39.69540000000001,0.012492799945175648,div
,43,43x969,6.0,390.0,66.0,39.62656000000002,0.010617600008845329,div
,76,76x950,6.0,379.8,66.0,39.59464,0.012288000248372555,div
,229,229x602,9.2,375.0,66.0,39.46303999999999,0.014380800165235996,div
,72,72x601,11.0,375.0,66.0,39.42259999999999,0.01142400000244379,div
,4,4x932,11.0,375.0,66.0,39.25500000000002,0.009056000038981438,div
,149,149x1015,11.0,375.0,66.0,39.32755999999998,0.015507199987769126,div
,79,79x781,11.0,375.0,66.0,39.01444000000002,0.01230079997330904,div
,15,15x635,11.0,375.0,66.0,38.88915999999999,0.009715200029313564,div
,62,62x895,11.0,375.0,66.0,38.92200000000002,0.01214079987257719,div
,183,183x680,11.0,375.0,66.0,38.94600000000002,0.014348800294101238,div
,40,40x1421,11.0,375.0,66.0,38.850759999999994,0.012192000076174736,div
,50,50x1745,10.24,375.0,66.0,38.770999999999994,0.012793600000441075,div
,84,84x1234,10.0,375.0,66.0,38.79859999999999,0.01357439998537302,div
,60,60x1293,10.0,375.0,66.0,38.848759999999984,0.012563200108706951,div
,89,89x1648,10.0,375.0,66.0,33.97572000000001,0.01698560006916523,div
,108,108x1291,10.0,375.0,65.0,27.84699999999999,0.016441600024700166,div
,101,101x1245,10.0,375.0,65.0,27.922000000000015,0.01651199981570244,div
,6,6x1222,10.0,375.0,65.0,27.886,0.010956799797713756,div
,143,143x1737,10.0,375.0,65.0,27.832999999999984,0.021670399978756905,div
,99,99x1602,10.0,375.0,64.0,27.538959999999992,0.018425600603222847,div
,55,55x2789,12.0,375.0,64.0,24.552520000000012,0.018432000651955605,div
,64,64x3957,12.0,375.0,63.36,24.597840000000005,0.06035839915275574,div
,253,253x2522,12.0,375.0,63.0,24.236240000000006,0.1878592014312744,div
,220,220x2822,12.0,375.0,62.8,24.39280000000001,0.18484480381011964,div
,225,225x2397,12.0,375.0,62.0,24.187359999999998,0.15927039682865143,div
,102,102x3436,16.0,375.0,62.0,24.49291999999999,0.11061759889125825,div
,205,205x3507,16.0,375.0,61.0,24.089399999999998,0.49928959012031554,div
,129,129x4053,16.0,375.0,61.0,23.043439999999997,0.3886592030525208,div
,14,14x2782,16.0,375.0,61.0,22.625959999999996,0.013606399670243264,div
,104,104x3251,18.24,375.0,61.0,23.345959999999987,0.2646656036376953,div
,453,453x231,20.0,375.0,60.0,22.9232,0.01612799968570471,div
,341,341x252,20.0,375.0,60.0,22.647039999999993,0.015148799866437912,div
,500,500x81,20.0,375.0,60.0,22.97611999999999,0.013792000152170658,div
,288,288x15,20.0,375.0,60.0,22.919080000000005,0.012268800288438797,div
,476,476x177,19.64,375.0,60.0,22.58124,0.014950400218367577,div
,300,300x34,17.0,375.0,60.0,22.69836,0.012665599957108498,div
,473,473x216,17.0,375.0,59.44,23.354800000000004,0.016364799812436104,div
,307,307x251,17.0,375.0,59.0,23.281919999999996,0.014867199771106242,div
,480,480x104,17.0,375.0,59.0,22.9892,0.01388159990310669,div
,372,372x48,15.8,375.0,59.0,23.454599999999996,0.012441599927842616,div
,296,296x411,15.0,375.0,59.0,23.59579999999999,0.016787200048565865,div
,349,349x266,15.0,375.0,59.0,22.936320000000006,0.016019199788570405,div
,443,443x493,15.0,375.0,59.0,22.73736000000001,0.07368959933519363,div
,361,361x468,15.0,375.0,59.0,23.073439999999987,0.019833599776029588,div
,333,333x355,15.6,375.0,59.0,22.841399999999993,0.01637759990990162,div
,360,360x338,18.0,375.0,59.0,23.401120000000006,0.01653119958937168,div
,267,267x285,18.0,375.0,59.0,23.19212,0.014841600134968758,div
,328,328x377,18.0,375.0,59.0,22.338720000000002,0.016921599954366685,div
,417,417x425,18.0,375.0,59.0,23.027479999999997,0.02316800020635128,div
,397,397x482,18.0,375.0,59.0,22.802919999999993,0.0243648000061512,div
,500,500x765,17.2,375.0,59.0,23.2556,0.30501759648323057,div
,284,284x758,17.0,375.0,59.0,23.074679999999997,0.05833600014448166,div
,261,261x915,17.0,375.0,59.0,23.038960000000003,0.12334720194339752,div
,419,419x929,17.0,375.0,58.0,23.63248,0.3030975997447968,div
,308,308x677,17.0,375.0,58.0,22.882560000000012,0.04776960015296936,div
,351,351x967,18.92,375.0,58.0,23.398960000000006,0.26738559603691103,div
,337,337x768,20.0,375.0,58.0,23.01396,0.17368320226669312,div
,424,424x801,20.0,375.0,58.0,22.778479999999995,0.2660287916660309,div
,267,267x536,20.0,375.0,58.0,23.076120000000007,0.018400000408291817,div
,476,476x779,20.0,375.0,58.0,22.88915999999999,0.2935743987560272,div
,510,510x1267,18.08,375.0,58.0,23.100839999999998,0.4869055986404419,div
,477,477x1448,18.0,375.0,58.0,23.273399999999995,0.5132288098335266,div
,405,405x1561,18.0,375.0,58.0,23.404400000000006,0.463155198097229,div
,325,325x1687,18.0,375.0,58.0,23.246320000000004,0.4077247977256775,div
,283,283x1706,18.8,375.0,58.0,23.46,0.3554560005664825,div
,459,459x1784,23.0,375.0,58.0,23.762600000000006,0.5390144109725952,div
,324,324x1208,23.0,375.0,58.0,23.62151999999999,0.2812735974788666,div
,512,512x1600,23.0,375.0,58.0,23.106120000000004,0.6076544046401977,div
,418,418x2031,23.0,375.0,58.0,23.079039999999996,0.6259775996208191,div
,275,275x1988,24.2,375.0,58.0,23.498199999999997,0.4110655963420868,div
,439,439x4036,25.0,375.0,58.0,24.17024,1.297651195526123,div
,402,402x2788,25.0,375.0,58.0,23.94747999999999,0.8152575969696045,div
,512,512x2435,25.0,375.0,58.0,23.851239999999994,0.9102271914482116,div
,335,335x2167,25.36,375.0,58.0,23.458119999999994,0.5360896110534668,div
,488,488x3379,26.0,375.0,58.0,24.345919999999996,1.1949055671691895,div
,304,304x3682,26.0,375.0,58.0,24.120919999999987,0.8256127953529357,div
,455,455x3697,26.0,375.0,58.0,23.710920000000005,1.2215167999267578,div
,440,440x2442,27.12,375.0,58.0,24.221000000000007,0.7917439937591553,div
,303,303x3779,30.0,375.0,58.0,23.82799999999999,0.8345792055130005,div
,371,371x2684,30.0,375.0,58.0,23.97807999999999,0.7295935988426209,div
,665,665x66,30.0,375.0,58.0,23.148839999999996,0.014207999967038632,div
,948,948x212,30.0,375.0,58.0,22.89388000000001,0.026483200117945672,div
,986,986x92,27.44,375.0,58.0,22.099119999999992,0.01601279992610216,div
,973,973x136,22.0,375.0,58.0,22.392159999999993,0.017548799514770508,div
,531,531x3,22.0,375.0,58.0,22.59952,0.012313600070774556,div
,823,823x185,22.0,375.0,58.0,22.847040000000007,0.018681600317358972,div
,529,529x97,22.0,375.0,58.0,23.11259999999999,0.014054400101304054,div
