Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,32.0,930.0,67.0,43.63300000000001,0.005171199887990951,divu
,18,18x218,32.0,930.0,67.0,40.15700000000001,0.004646399989724159,divu
,209,209x112,32.0,930.0,67.0,39.947,0.004940799903124571,divu
,83,83x236,32.0,735.0,66.48,39.94600000000002,0.006144000217318535,divu
,1,1x37,18.0,735.0,66.0,39.37599999999998,0.005356799997389317,divu
,172,172x29,18.0,675.0,66.0,39.083400000000005,0.006073600053787232,divu
,188,188x90,18.0,662.4,66.0,38.965,0.006137600168585777,divu
,116,116x165,18.0,630.0,66.0,38.73703999999998,0.006144000217318535,divu
,232,232x249,18.0,595.8,66.0,38.75683999999998,0.006220799963921308,divu
,235,235x45,18.0,585.0,66.0,38.72900000000001,0.006144000217318535,divu
,58,58x332,18.0,541.8,66.0,38.909,0.0061760000884532925,divu
,178,178x472,18.0,540.0,65.36,38.790999999999976,0.007635200023651123,divu
,211,211x432,18.0,510.0,65.0,38.808999999999976,0.0081088000908494,divu
,134,134x373,7.0,510.0,65.0,38.701000000000015,0.00667519997805357,divu
,86,86x339,7.0,465.0,65.0,38.607999999999976,0.0067263999953866005,divu
,163,163x321,7.0,465.0,65.0,38.58799999999999,0.008000000193715096,divu
,76,76x447,7.0,435.0,65.0,38.59407999999999,0.0071679999120533465,divu
,235,235x420,7.0,429.0,65.0,38.57871999999998,0.008377599902451039,divu
,174,174x314,7.0,405.0,65.0,38.47724000000002,0.008179199881851673,divu
,229,229x439,7.0,389.4,65.0,38.63011999999999,0.008895999938249587,divu
,43,43x969,7.0,375.0,65.0,38.60987999999999,0.00814720019698143,divu
,76,76x950,7.0,375.0,65.0,38.477599999999995,0.00923519991338253,divu
,229,229x602,8.68,375.0,65.0,28.717999999999993,0.012281600385904312,divu
,72,72x601,9.0,375.0,64.56,27.85799999999999,0.010233599878847598,divu
,4,4x932,9.0,375.0,64.0,27.874000000000013,0.008883200213313102,divu
,149,149x1015,9.0,375.0,64.0,27.801000000000002,0.012281600385904312,divu
,79,79x781,9.0,375.0,64.0,27.887279999999997,0.010342399962246418,divu
,15,15x635,9.0,375.0,63.8,27.802999999999994,0.008819199912250043,divu
,62,62x895,9.0,375.0,63.0,27.806680000000007,0.010265599936246872,divu
,183,183x680,9.0,375.0,63.0,27.82816000000001,0.011955200135707856,divu
,40,40x1421,9.0,375.0,63.0,27.852399999999992,0.010259199887514114,divu
,50,50x1745,11.04,375.0,63.0,25.40856,0.011110400222241879,divu
,84,84x1234,12.0,375.0,63.0,23.69524,0.011699199862778186,divu
,60,60x1293,12.0,375.0,62.96,24.388560000000002,0.010726400092244149,divu
,89,89x1648,12.0,375.0,62.0,24.30952000000001,0.01231359988451004,divu
,108,108x1291,12.0,375.0,61.8,24.256439999999987,0.012326399981975555,divu
,101,101x1245,12.84,375.0,61.0,22.748559999999994,0.012294400110840797,divu
,6,6x1222,13.0,375.0,61.0,22.719919999999988,0.009465599991381168,divu
,143,143x1737,13.0,375.0,60.0,22.66296,0.015110400132834911,divu
,99,99x1602,13.0,375.0,60.0,23.137120000000003,0.012582400068640708,divu
,55,55x2789,13.0,375.0,60.0,23.194559999999996,0.01263360008597374,divu
,64,64x3957,14.44,375.0,60.0,22.64724,0.015206399746239186,divu
,253,253x2522,16.0,375.0,60.0,23.233359999999994,0.2459839940071106,divu
,220,220x2822,16.0,375.0,60.0,23.30692,0.25120640099048613,divu
,225,225x2397,16.0,375.0,60.0,23.75680000000001,0.2280703991651535,divu
,102,102x3436,16.0,375.0,60.0,23.19784,0.10236160010099411,divu
,205,205x3507,17.0,375.0,60.0,23.30931999999999,0.30491520166397096,divu
,129,129x4053,17.0,375.0,59.0,23.3254,0.22300159633159639,divu
,14,14x2782,17.0,375.0,59.0,22.83843999999999,0.010534399934113026,divu
,104,104x3251,17.0,375.0,59.0,23.15879999999999,0.059507199376821515,divu
,453,453x231,17.0,375.0,59.0,23.3618,0.012095999903976917,divu
,341,341x252,17.84,375.0,59.0,22.56699999999999,0.010854400135576725,divu
,500,500x81,18.0,375.0,59.0,22.491880000000005,0.01040639989078045,divu
,288,288x15,18.0,375.0,59.0,22.49076000000001,0.009670400060713291,divu
,476,476x177,18.0,375.0,59.0,23.00904,0.011308799870312214,divu
,300,300x34,18.0,375.0,59.0,23.032360000000004,0.009785599820315839,divu
,473,473x216,17.12,375.0,59.0,22.563200000000002,0.011865600012242794,divu
,307,307x251,16.0,375.0,59.0,22.872200000000003,0.01085439994931221,divu
,480,480x104,16.0,375.0,58.76,22.992600000000007,0.010252799838781357,divu
,372,372x48,16.0,375.0,58.0,22.90916,0.010201599821448326,divu
,296,296x411,16.0,375.0,58.0,22.6124,0.012204800359904766,divu
