Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,34.0,780.0,65.0,42.570599999999985,0.006291199941188097,gelu
,18,18x218,34.0,729.6,65.0,38.93635999999998,0.006163199990987777,gelu
,209,209x112,23.44,720.0,65.0,38.589959999999984,0.006144000124186278,gelu
,83,83x236,23.0,675.0,65.0,38.63,0.00613120011985302,gelu
,1,1x37,23.0,675.0,65.0,38.64800000000002,0.006124800071120262,gelu
,172,172x29,23.0,615.0,65.0,38.639,0.006291200034320354,gelu
,188,188x90,23.0,604.2,65.0,38.37880000000002,0.006137600168585777,gelu
,116,116x165,23.0,570.0,65.0,38.28535999999999,0.006547200120985508,gelu
,232,232x249,23.0,548.4,65.0,38.294800000000016,0.008121600188314915,gelu
,235,235x45,23.0,540.0,65.0,38.19255999999998,0.006457599997520447,gelu
,58,58x332,23.0,500.4,65.0,38.49983999999998,0.006975999940186739,gelu
,178,178x472,10.76,495.0,65.0,38.351199999999984,0.008223999850451946,gelu
,211,211x432,6.0,465.0,65.0,38.22544000000002,0.008723199926316738,gelu
,134,134x373,6.0,465.0,65.0,38.29999999999998,0.008191999979317188,gelu
,86,86x339,6.0,420.0,65.0,38.27200000000002,0.008211200125515461,gelu
,163,163x321,6.0,420.0,65.0,38.484000000000016,0.008672000095248222,gelu
,76,76x447,6.0,390.0,65.0,38.38300000000002,0.00818559993058443,gelu
,235,235x420,6.0,390.0,65.0,38.49099999999999,0.010214400291442872,gelu
,174,174x314,6.0,375.0,65.0,38.465000000000025,0.0091711999848485,gelu
,229,229x439,6.0,375.0,65.0,38.02667999999999,0.010252799838781357,gelu
,43,43x969,6.96,375.0,65.0,38.24832000000001,0.00854399986565113,gelu
,76,76x950,9.0,375.0,65.0,38.07696000000003,0.010239999741315842,gelu
,229,229x602,9.0,375.0,65.0,38.12623999999999,0.011020799912512303,gelu
,72,72x601,9.0,375.0,65.0,37.99383999999998,0.008966399915516376,gelu
,4,4x932,9.0,375.0,65.0,38.061200000000014,0.007187199965119362,gelu
,149,149x1015,9.0,375.0,65.0,38.131079999999976,0.012300800159573555,gelu
,79,79x781,9.0,375.0,65.0,38.173479999999984,0.00948479976505041,gelu
,15,15x635,9.0,375.0,65.0,37.149999999999984,0.010214400291442872,gelu
,62,62x895,9.0,375.0,65.0,27.811000000000003,0.010854400135576725,gelu
,183,183x680,9.0,375.0,65.0,27.850000000000012,0.012787199951708317,gelu
,40,40x1421,10.0,375.0,64.32,27.802800000000005,0.010368000157177449,gelu
,50,50x1745,10.0,375.0,64.0,27.849360000000004,0.012275200337171555,gelu
,84,84x1234,10.0,375.0,64.0,27.821640000000006,0.01230079997330904,gelu
,60,60x1293,10.0,375.0,64.0,27.739359999999998,0.012281600385904312,gelu
,89,89x1648,10.0,375.0,63.0,24.217799999999997,0.014566399902105332,gelu
,108,108x1291,10.0,375.0,63.0,23.978920000000002,0.013958399929106236,gelu
,101,101x1245,10.32,375.0,62.56,23.568559999999998,0.012940800003707408,gelu
,6,6x1222,14.0,375.0,62.0,23.579639999999994,0.010227200016379357,gelu
,143,143x1737,14.0,375.0,61.92,23.658000000000005,0.017337600141763686,gelu
,99,99x1602,14.0,375.0,61.0,24.05331999999999,0.014963200129568578,gelu
,55,55x2789,14.0,375.0,61.0,23.326999999999998,0.014707199856638908,gelu
,64,64x3957,14.0,375.0,61.0,23.098800000000004,0.018156799674034118,gelu
,253,253x2522,15.76,375.0,61.0,23.5724,0.2667136013507843,gelu
,220,220x2822,16.0,375.0,60.36,23.250600000000006,0.25555199980735777,gelu
,225,225x2397,16.0,375.0,60.0,23.325080000000003,0.21383040249347687,gelu
,102,102x3436,16.0,375.0,60.0,23.435439999999986,0.09804800003767014,gelu
,205,205x3507,16.0,375.0,60.0,23.397599999999997,0.3035520017147064,gelu
,129,129x4053,19.0,375.0,60.0,23.45852,0.2268992006778717,gelu
,14,14x2782,19.0,375.0,60.0,23.260519999999996,0.010905600152909756,gelu
,104,104x3251,19.0,375.0,60.0,22.637760000000004,0.06640640124678612,gelu
,453,453x231,19.0,375.0,59.0,22.51452,0.012608000077307224,gelu
,341,341x252,19.0,375.0,59.0,22.9986,0.012300800159573555,gelu
,500,500x81,16.0,375.0,59.0,23.17991999999999,0.01116160023957491,gelu
,288,288x15,16.0,375.0,59.0,22.784799999999997,0.010227200016379357,gelu
,476,476x177,16.0,375.0,59.0,23.10039999999999,0.012307200022041798,gelu
,300,300x34,16.0,375.0,59.0,22.742440000000006,0.010527999885380269,gelu
,473,473x216,16.0,375.0,59.0,22.774279999999994,0.012518400140106679,gelu
,307,307x251,16.0,375.0,59.0,22.433240000000005,0.01231359988451004,gelu
,480,480x104,16.0,375.0,59.0,22.841560000000005,0.010912000015377999,gelu
,372,372x48,16.0,375.0,59.0,23.063320000000004,0.010809599980711937,gelu
,296,296x411,16.0,375.0,59.0,22.595959999999994,0.013292800076305867,gelu
,349,349x266,16.0,375.0,59.0,22.75983999999999,0.012300800159573555,gelu
,443,443x493,16.0,375.0,59.0,22.844,0.01642879992723465,gelu
,361,361x468,16.0,375.0,58.8,22.94272000000001,0.016089599579572678,gelu
,333,333x355,16.0,375.0,58.0,22.922960000000007,0.013286400213837623,gelu
,360,360x338,16.0,375.0,58.0,22.737680000000008,0.013311999849975109,gelu
,267,267x285,16.0,375.0,58.0,22.45031999999999,0.01231359988451004,gelu
,328,328x377,16.0,375.0,58.0,22.75416,0.012876800075173379,gelu
,417,417x425,16.0,375.0,58.0,22.702999999999992,0.015168000012636185,gelu
,397,397x482,16.0,375.0,58.0,22.31808,0.016313599422574043,gelu
,500,500x765,16.0,375.0,58.0,22.99360000000001,0.14508160054683686,gelu
,284,284x758,16.0,375.0,58.0,23.009520000000006,0.016422399878501893,gelu
,261,261x915,16.0,375.0,58.0,22.724280000000007,0.017139199748635293,gelu
,419,419x929,16.0,375.0,58.0,22.35380000000001,0.15507199764251708,gelu
,308,308x677,16.0,375.0,58.0,22.568920000000002,0.01637759990990162,gelu
,351,351x967,16.0,375.0,58.0,22.46952000000001,0.06599039882421494,gelu
,337,337x768,16.0,375.0,58.0,22.314159999999998,0.018368000537157057,gelu
,424,424x801,16.0,375.0,58.0,22.66872000000001,0.06880640089511872,gelu
,267,267x536,16.0,375.0,58.0,22.466800000000013,0.014464000053703786,gelu
,476,476x779,16.0,375.0,58.0,22.57528,0.11998720020055771,gelu
,510,510x1267,16.0,375.0,58.0,22.677359999999993,0.27168639898300173,gelu
,477,477x1448,16.0,375.0,58.0,23.233240000000002,0.28792319893836976,gelu
,405,405x1561,17.36,375.0,58.0,22.841399999999993,0.26576640009880065,gelu
,325,325x1687,18.0,375.0,58.0,22.915399999999998,0.2335999995470047,gelu
,283,283x1706,18.0,375.0,58.0,22.906680000000016,0.20738560259342192,gelu
,459,459x1784,18.0,375.0,58.0,23.298559999999995,0.3682815968990326,gelu
,324,324x1208,18.0,375.0,58.0,22.870679999999997,0.1420608013868332,gelu
,512,512x1600,19.0,375.0,58.0,22.87368,0.36205439567565917,gelu
,418,418x2031,19.0,375.0,58.0,23.281040000000004,0.3939456045627594,gelu
,275,275x1988,19.0,375.0,58.0,22.89016000000001,0.2330816000699997,gelu
,439,439x4036,19.0,375.0,58.0,24.05356,0.879091215133667,gelu
,402,402x2788,21.6,375.0,58.0,23.89400000000001,0.5601215958595276,gelu
,512,512x2435,24.0,375.0,58.0,23.95728,0.6232959985733032,gelu
,335,335x2167,24.0,375.0,58.0,23.800600000000017,0.30529919266700745,gelu
,488,488x3379,24.0,375.0,58.0,24.121840000000002,0.7873855948448181,gelu
,304,304x3682,24.0,375.0,58.0,23.563120000000005,0.5507776021957398,gelu
,455,455x3697,25.0,375.0,58.0,23.561000000000003,0.828659200668335,gelu
,440,440x2442,25.0,375.0,58.0,23.578240000000005,0.5299968004226685,gelu
,303,303x3779,25.0,375.0,58.0,23.114640000000012,0.5662720084190369,gelu
,371,371x2684,25.0,375.0,58.0,23.184120000000004,0.4945919930934906,gelu
,665,665x66,24.72,375.0,58.0,23.02855999999999,0.011455999687314034,gelu
,948,948x212,24.0,375.0,58.0,22.480400000000003,0.01637119986116886,gelu
,986,986x92,24.0,375.0,58.0,22.599800000000005,0.012294400297105313,gelu
,973,973x136,24.0,375.0,58.0,22.54871999999999,0.012665599957108498,gelu
,531,531x3,24.0,375.0,58.0,22.804560000000006,0.010240000113844872,gelu
,823,823x185,24.0,375.0,58.0,23.07963999999999,0.014867199957370758,gelu
,529,529x97,16.0,375.0,58.0,22.286800000000003,0.011020800098776817,gelu
,821,821x238,16.0,375.0,58.0,22.59792000000001,0.016358400136232375,gelu
,1009,1009x242,16.0,375.0,58.0,22.525399999999994,0.017715200036764144,gelu
,521,521x53,16.0,375.0,58.0,22.619399999999995,0.01103999987244606,gelu
,1012,1012x375,16.0,375.0,58.0,22.417039999999997,0.12858880162239075,gelu
,632,632x510,16.0,375.0,58.0,22.86271999999999,0.04367999956011772,gelu
,865,865x481,16.0,375.0,58.0,23.278799999999997,0.1552959993481636,gelu
,881,881x498,16.0,375.0,58.0,23.14188,0.18446079790592193,gelu
,673,673x508,16.0,375.0,58.0,22.562760000000008,0.07873919755220413,gelu
,880,880x390,16.12,375.0,58.0,22.13876,0.08695680052042007,gelu
,745,745x318,17.0,375.0,58.0,22.373600000000007,0.017107199877500534,gelu
,619,619x282,17.0,375.0,58.0,22.84764,0.01598720010370016,gelu
,633,633x362,17.0,375.0,58.0,23.103399999999993,0.018009600043296815,gelu
,855,855x327,17.0,375.0,58.0,22.939240000000005,0.023923199996352194,gelu
,806,806x688,17.0,375.0,58.0,22.8644,0.23948799967765808,gelu
,746,746x654,17.0,375.0,58.0,22.945000000000004,0.20663680136203766,gelu
,523,523x584,17.0,375.0,58.0,22.892,0.038489599525928495,gelu
,550,550x667,17.0,375.0,58.0,23.114959999999993,0.11399040073156357,gelu
,799,799x663,17.0,375.0,58.0,23.04219999999999,0.22592639923095703,gelu
,599,599x550,17.0,375.0,58.0,22.602639999999997,0.05866880044341087,gelu
,676,676x536,17.0,375.0,58.0,22.868959999999994,0.11991040110588073,gelu
,778,778x875,17.0,375.0,58.0,23.17,0.28237439393997193,gelu
,754,754x752,17.0,375.0,58.0,23.526480000000003,0.23962880074977874,gelu
,710,710x882,17.0,375.0,58.0,22.988800000000012,0.26391680240631105,gelu
,948,948x1291,17.48,375.0,58.0,23.13436000000001,0.6164864063262939,gelu
,1023,1023x1892,20.0,375.0,58.0,23.5024,0.9680063843727111,gelu
,645,645x1266,20.0,375.0,58.0,23.77727999999999,0.37463040351867677,gelu
,625,625x1272,20.0,375.0,58.0,23.211800000000004,0.3324544012546539,gelu
,823,823x1627,20.0,375.0,58.0,23.48423999999999,0.6579391956329346,gelu
,733,733x1399,22.8,375.0,58.0,23.753800000000002,0.5181120157241821,gelu
,830,830x1951,25.0,375.0,58.0,23.770239999999998,0.8011391997337342,gelu
,665,665x1691,25.0,375.0,58.0,23.90612000000001,0.5576320052146911,gelu
,797,797x1206,25.0,375.0,58.0,23.29684000000001,0.47121280431747437,gelu
,1000,1000x1063,25.0,375.0,58.0,23.71212,0.5336511969566345,gelu
,841,841x3694,24.0,375.0,58.0,24.380480000000013,1.5496319770812987,gelu
,837,837x3613,24.0,375.0,58.0,23.961759999999995,1.5147456169128417,gelu
,774,774x2416,24.0,375.0,58.0,24.049120000000013,0.9240063905715943,gelu
,572,572x3269,24.0,375.0,58.0,24.601039999999994,0.9274432063102722,gelu
,636,636x2261,33.0,375.0,58.0,24.10688000000001,0.7051007986068726,gelu
,838,838x3952,33.0,375.0,58.0,24.40631999999999,1.667680025100708,gelu
,616,616x3057,33.0,375.0,58.0,24.66556000000001,0.950764799118042,gelu
,685,685x3053,32.76,375.0,58.0,24.29868,1.043494415283203,gelu
,574,574x4024,32.0,375.0,58.0,23.807719999999996,1.152838397026062,gelu
,584,584x3280,32.0,375.0,58.0,24.44512000000001,0.9597056031227111,gelu
,1726,1726x134,32.0,375.0,58.0,22.757119999999997,0.016940800100564958,gelu
,1057,1057x69,32.0,375.0,58.0,23.231959999999994,0.012300800159573555,gelu
,1191,1191x40,25.6,375.0,58.0,22.3296,0.01088000014424324,gelu
,1042,1042x64,24.0,375.0,58.0,22.832200000000004,0.011916800029575824,gelu
,1757,1757x99,24.0,375.0,58.0,22.839000000000006,0.01568639986217022,gelu
,2034,2034x108,24.0,375.0,58.0,23.231879999999993,0.016537600383162498,gelu
,1421,1421x90,24.0,375.0,58.0,22.623120000000007,0.013535999879240989,gelu
,1072,1072x130,22.6,375.0,58.0,22.302119999999995,0.01426560003310442,gelu
,1274,1274x239,17.0,375.0,58.0,22.68444000000001,0.023846400156617164,gelu
,1672,1672x3,17.0,375.0,58.0,22.006439999999994,0.010636799968779087,gelu
,1536,1536x357,17.0,375.0,58.0,23.50696,0.22610559761524202,gelu
,1074,1074x428,17.0,375.0,58.0,23.133960000000005,0.19992319941520692,gelu
,1509,1509x294,17.0,375.0,58.0,22.78543999999999,0.18791039884090424,gelu
,1666,1666x290,17.0,375.0,58.0,22.846079999999994,0.20958080291748046,gelu
,1139,1139x283,17.0,375.0,58.0,22.36003999999999,0.049350399523973465,gelu
,1811,1811x494,17.0,375.0,58.0,22.789639999999995,0.4222591996192932,gelu
,1235,1235x263,17.0,375.0,58.0,22.805199999999996,0.06191360056400299,gelu
,1405,1405x381,17.36,375.0,58.0,22.5992,0.2308351993560791,gelu
,1323,1323x332,18.0,375.0,58.0,22.5636,0.1927040010690689,gelu
,1511,1511x284,18.0,375.0,58.0,22.982960000000013,0.17377279996871947,gelu
,1999,1999x991,18.0,398.4,58.0,24.7408,0.9890623927116394,gelu
,1111,1111x1020,18.96,420.0,58.0,23.126479999999997,0.5717120051383973,gelu
,1703,1703x897,24.0,420.0,58.0,23.387839999999997,0.7508800148963928,gelu
,1086,1086x630,24.0,420.0,58.0,23.54728000000001,0.2861247956752777,gelu
,1430,1430x803,24.0,420.0,58.0,23.084239999999994,0.5783872008323669,gelu
,1069,1069x693,24.0,420.0,58.0,23.607200000000002,0.3137983977794647,gelu
,1649,1649x980,23.4,420.0,58.0,24.214039999999997,0.7995967864990234,gelu
,1292,1292x707,23.0,420.0,58.0,23.363520000000005,0.4368064045906067,gelu
,1627,1627x665,23.0,403.8,58.0,23.682240000000007,0.549721610546112,gelu
,1988,1988x579,23.0,375.0,58.0,23.327480000000005,0.585913610458374,gelu
,2014,2014x2038,23.64,377.4,58.0,24.56127999999999,2.0709248065948485,gelu
,1505,1505x1835,25.0,435.0,58.0,24.41488000000001,1.3845824241638183,gelu
,1300,1300x1197,25.0,435.0,58.0,24.249480000000013,0.7634239912033081,gelu
,1948,1948x1982,25.0,435.0,58.0,24.390520000000002,1.9393280029296875,gelu
,1392,1392x1929,32.0,435.0,58.0,24.608280000000008,1.3421695947647094,gelu
,1491,1491x1226,32.0,435.0,58.0,24.28456000000001,0.9122623920440673,gelu
,1537,1537x1644,32.0,435.0,58.0,24.709000000000007,1.2644543886184691,gelu
,1852,1852x1855,32.16,426.0,58.0,24.391280000000016,1.7222975969314576,gelu
,1503,1503x1984,34.0,419.4,58.0,24.40632,1.5051519870758057,gelu
,1923,1923x1946,34.0,405.0,58.0,25.353040000000014,1.893625593185425,gelu
,1720,1720x2972,34.0,498.0,58.0,25.234640000000002,2.5792640209198,gelu
,1339,1339x3401,39.0,552.6,58.72,25.47576,1.7328256130218507,gelu
,1247,1247x3395,39.0,645.0,59.0,25.249119999999998,0.7985792040824891,gelu
,1079,1079x2813,39.0,645.0,58.0,24.826480000000014,0.5709951996803284,gelu
,1956,1956x2284,39.0,645.0,58.0,25.23592,0.8345919966697692,gelu
,1289,1289x3762,29.0,645.0,59.0,26.22776000000001,0.9108736157417298,gelu
,1997,1997x2699,29.0,645.0,59.0,25.475240000000003,1.0139136075973512,gelu
,1156,1156x3684,29.0,645.0,59.0,25.344000000000015,0.795795202255249,gelu
,1959,1959x3469,29.0,645.0,59.0,25.75472,1.2746367931365967,gelu
,1812,1812x2800,28.48,645.0,59.0,26.259520000000013,0.9568127989768982,gelu
,2938,2938x253,28.0,538.8,59.0,24.67460000000001,0.31733760237693787,gelu
,2724,2724x130,28.0,507.6,59.0,23.275599999999994,0.10371199995279312,gelu
,3684,3684x100,28.0,477.6,59.0,22.922359999999998,0.12278400063514709,gelu
,4034,4034x237,28.0,456.6,58.2,23.540399999999998,0.46681600213050845,gelu
,2747,2747x10,19.6,430.8,58.0,23.062440000000002,0.010252799838781357,gelu
,3168,3168x79,18.0,409.2,58.0,22.75528,0.01658879965543747,gelu
,2470,2470x200,18.0,382.8,58.0,23.043200000000006,0.21033599972724915,gelu
,3583,3583x123,18.0,375.0,58.0,23.28168,0.19075839817523957,gelu
,2307,2307x113,18.0,375.0,58.0,22.948799999999995,0.01828480027616024,gelu
,2825,2825x107,16.0,375.0,58.0,23.017599999999998,0.024691200628876687,gelu
,2760,2760x264,16.0,375.0,58.0,23.14884000000001,0.3093695998191833,gelu
