Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,1,1x58x13x141,97.0,1738.2,85.0,66.79500000000002,0.007916799932718276,linear
,1,1x102x215x113,97.0,1680.0,85.0,68.068,0.01223680041730404,linear
,1,1x195x50x184,75.24,1816.8,85.0,64.30899999999998,0.009676799923181535,linear
,1,1x117x149x297,65.0,1860.0,85.0,72.81500000000004,0.012844800017774105,linear
,1,1x88x126x340,65.0,1860.0,83.08,76.70800000000003,0.010502400062978267,linear
,1,1x109x162x365,65.0,1860.0,82.0,77.23399999999997,0.014297600090503692,linear
,1,1x71x253x606,65.0,1860.0,82.0,77.57799999999999,0.016339199990034102,linear
,1,1x137x175x627,65.0,1860.0,82.0,77.36899999999997,0.018464000523090364,linear
,1,1x192x83x513,65.0,1860.0,82.0,77.26099999999998,0.012761599943041801,linear
,1,1x36x65x1287,65.0,1860.0,82.0,77.09500000000001,0.012211200222373009,linear
,1,1x127x116x1156,65.0,1860.0,82.0,77.173,0.02067839987576008,linear
,1,1x122x143x2019,65.0,1860.0,82.0,77.46700000000004,0.027328000217676163,linear
,1,1x211x240x2270,3.0,1860.0,82.0,77.98700000000002,0.0701312005519867,linear
,1,1x143x237x3072,3.0,1860.0,82.0,79.77580000000003,0.06958720088005066,linear
,1,1x206x31x2723,3.0,1860.0,82.0,79.48528000000005,0.026412800326943396,linear
,1,1x30x32x6666,3.0,1860.0,82.0,77.78867999999996,0.01352319996803999,linear
,1,1x127x21x4768,3.0,931.2,82.0,72.13139999999997,0.021535999700427057,linear
,1,1x38x5x7851,3.0,568.2,78.0,48.42323999999999,0.0377920001745224,linear
,1,1x155x5x13098,3.0,520.2,78.0,42.28099999999998,0.1523904025554657,linear
,1,1x251x129x9025,3.0,495.0,78.0,43.36484000000002,0.48543360233306887,linear
,1,1x58x39x10635,8.0,466.2,73.0,43.742599999999996,0.08983680009841918,linear
,1,1x53x182x29701,8.0,465.0,73.0,43.26763999999997,0.48539519906044004,linear
,1,1x56x196x17653,8.0,427.8,72.16,42.15788000000001,0.39315840005874636,linear
,1,1x143x36x25531,8.0,379.8,70.0,39.12268000000001,0.7331135869026184,linear
,1,1x161x224x40347,12.8,414.0,69.2,33.48284000000001,3.002790403366089,linear
,1,1x64x154x53038,23.0,570.0,68.0,31.358960000000003,1.881983995437622,linear
,1,1x156x147x46543,23.0,570.0,65.0,30.975519999999996,2.9306687831878664,linear
,1,1x121x415x116,23.0,570.0,65.0,26.98088,0.044403199851512906,linear
,1,1x205x381x76,28.52,570.0,63.0,25.365319999999997,0.045209600031375884,linear
,1,1x163x483x219,29.0,570.0,63.0,24.44572,0.06951680034399033,linear
,1,1x147x377x396,29.0,570.0,62.68,24.40056000000001,0.09178240001201629,linear
,1,1x170x495x469,29.0,570.0,62.0,24.656279999999995,0.11396480053663254,linear
,1,1x113x506x369,29.0,476.4,61.64,24.24596000000001,0.07436159998178482,linear
,1,1x14x299x951,15.56,381.0,61.0,24.114760000000004,0.06436479985713958,linear
,1,1x143x472x771,13.0,375.0,60.28,23.595240000000004,0.19250560104846953,linear
,1,1x79x379x642,13.0,375.0,60.0,23.304680000000012,0.0917503997683525,linear
,1,1x160x449x1837,13.0,375.0,60.0,24.58208,0.5367423892021179,linear
,1,1x7x472x2028,14.96,375.0,60.0,23.95003999999999,0.34078720211982727,linear
,1,1x166x382x1202,20.0,375.0,59.76,24.036440000000017,0.22014719843864441,linear
,1,1x182x389x3443,20.0,408.0,59.0,25.360399999999995,0.9683328151702881,linear
,1,1x9x304x3254,20.0,450.0,59.0,23.6662,0.3657664000988007,linear
,1,1x157x385x2993,20.0,450.0,59.0,24.993599999999994,0.8487039923667907,linear
