Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,60,60x272,99.0,1680.0,86.0,82.42699999999996,0.005254399962723255,ln
,16,16x304,99.0,1680.0,86.0,64.53700000000002,0.005011199973523617,ln
,144,144x260,99.0,1864.2,86.0,68.053,0.005478399898856878,ln
,48,48x452,99.0,1875.0,81.0,75.23619999999995,0.004787199944257736,ln
,44,44x408,99.0,1875.0,81.0,77.03883999999998,0.00435839993879199,ln
,52,52x452,99.0,1875.0,81.0,77.66700000000003,0.005254399869590998,ln
,40,40x344,99.0,1875.0,81.0,77.99356000000003,0.004774400033056736,ln
,120,120x276,22.0,1875.0,81.0,77.74524,0.004819200001657009,ln
,204,204x492,22.0,1875.0,82.0,77.68544000000001,0.006182400044053793,ln
,116,116x328,22.0,1875.0,82.0,77.58879999999999,0.005388799961656332,ln
,200,200x904,22.0,1875.0,82.0,77.57671999999997,0.008012799918651581,ln
,224,224x676,22.0,1875.0,82.0,78.08639999999998,0.007417600043118,ln
,80,80x896,22.0,1875.0,82.0,78.17943999999996,0.006156800128519535,ln
,124,124x572,22.0,1875.0,82.0,78.19943999999997,0.006131200212985277,ln
,88,88x784,22.0,1875.0,82.0,78.09487999999997,0.006124800164252519,ln
,64,64x768,22.0,1875.0,82.0,78.15223999999995,0.006112000066787004,ln
,32,32x748,22.0,1875.0,82.0,78.25643999999998,0.005996800027787685,ln
,68,68x1000,3.0,913.8,82.0,77.24260000000005,0.006291200034320354,ln
,220,220x936,3.0,540.0,82.0,42.86,0.023622399568557738,ln
,100,100x708,3.0,482.4,82.0,42.41999999999999,0.017158399894833566,ln
,228,228x1228,3.0,451.2,74.0,42.27168,0.03233279958367348,ln
,112,112x1848,3.0,421.2,74.0,42.08028,0.034028800576925276,ln
,220,220x2024,3.0,420.0,74.0,42.03300000000001,0.04954879954457283,ln
,28,28x2004,3.0,390.0,74.0,41.97500000000001,0.028723200038075446,ln
,208,208x1272,6.68,390.0,72.0,41.73500000000001,0.035968000441789626,ln
,124,124x1568,7.0,375.0,72.0,41.847999999999985,0.036454399675130846,ln
,52,52x1176,7.0,375.0,72.0,41.78200000000001,0.022495999932289124,ln
,84,84x1924,7.0,375.0,72.0,41.52135999999999,0.0330559991300106,ln
,80,80x1584,7.0,375.0,71.2,41.46751999999999,0.03296639919281006,ln
,48,48x1892,7.0,375.0,71.0,41.37799999999999,0.030771199613809586,ln
,220,220x2088,7.0,375.0,71.0,41.19659999999998,0.052940798550844194,ln
,24,24x3312,7.0,375.0,71.0,41.032199999999996,0.031385600194334985,ln
,80,80x3020,7.0,375.0,69.24,40.66068000000001,0.0384832002222538,ln
,140,140x2704,10.0,375.0,69.0,40.633599999999994,0.04851839989423752,ln
,160,160x2984,10.0,375.0,69.0,40.71383999999998,0.05532800033688545,ln
,180,180x3688,10.0,375.0,69.0,40.41576000000001,0.07955839931964874,ln
,224,224x3464,10.0,375.0,69.0,40.486,0.07992319762706757,ln
,4,4x2856,10.0,375.0,69.0,40.361,0.02749439999461174,ln
,212,212x3388,10.0,375.0,69.0,40.04499999999999,0.07753600031137467,ln
,208,208x2052,10.0,375.0,69.0,38.72919999999998,0.053497599065303804,ln
,368,368x500,10.0,375.0,67.0,28.000879999999984,0.037196800112724304,ln
,360,360x332,10.12,375.0,67.0,27.863359999999993,0.03361919969320297,ln
,456,456x512,11.0,375.0,67.0,27.785480000000003,0.04108159989118576,ln
,496,496x284,11.0,375.0,67.0,27.946000000000016,0.03703040033578873,ln
,476,476x488,11.0,375.0,66.0,27.864999999999988,0.04302079975605011,ln
,400,400x484,11.0,375.0,66.0,25.678240000000013,0.04258560091257095,ln
,336,336x376,11.0,375.0,64.72,24.79892,0.0370048001408577,ln
,472,472x288,11.8,375.0,64.0,24.917919999999995,0.03877120092511177,ln
,412,412x456,12.0,375.0,63.12,24.18208000000001,0.04216959923505783,ln
,456,456x432,12.0,375.0,63.0,24.740039999999993,0.042822399735450746,ln
,476,476x652,12.0,375.0,63.0,24.558719999999997,0.06958720088005066,ln
,424,424x860,12.0,375.0,63.0,23.742600000000003,0.1219007983803749,ln
,436,436x744,13.6,375.0,63.0,23.683639999999997,0.06929280012845992,ln
,324,324x1000,17.0,375.0,62.0,23.616559999999996,0.08133119791746139,ln
,416,416x624,17.0,375.0,62.0,23.892,0.04888960123062134,ln
,412,412x636,17.0,375.0,61.28,22.992279999999997,0.04812799915671349,ln
,508,508x624,17.0,375.0,61.0,22.93736,0.06233599931001663,ln
,496,496x960,17.4,375.0,61.0,23.212519999999994,0.2159551978111267,ln
,452,452x860,19.0,375.0,61.0,23.3018,0.16169599890708924,ln
,432,432x800,19.0,375.0,61.0,23.44628,0.10682879984378815,ln
,500,500x2032,19.0,375.0,61.0,24.6252,0.5947775959968566,ln
,448,448x1996,19.0,375.0,61.0,24.178280000000004,0.4814912021160126,ln
,376,376x1272,21.72,375.0,61.0,23.10252000000001,0.2254527986049652,ln
,404,404x1232,23.0,375.0,60.56,23.04416,0.23523840308189392,ln
,400,400x1120,23.0,375.0,60.0,22.953400000000002,0.20144640207290648,ln
,504,504x1928,23.0,378.6,60.0,25.430640000000004,0.5520832061767578,ln
,508,508x1176,22.28,405.0,60.0,23.338639999999995,0.2790336012840271,ln
,372,372x1804,22.0,405.0,60.0,23.448159999999998,0.33853439092636106,ln
,368,368x1568,22.0,405.0,60.0,23.30132,0.295686399936676,ln
,488,488x1988,22.0,405.0,60.0,24.413320000000013,0.5472704172134399,ln
,392,392x2860,22.0,405.0,60.0,23.99892,0.6898303866386414,ln
,344,344x3308,24.0,405.0,60.0,24.73211999999999,0.7591679930686951,ln
,512,512x3844,24.0,405.0,60.0,24.598919999999993,1.741868805885315,ln
,268,268x3152,24.0,405.0,60.0,24.368999999999996,0.57363840341568,ln
,304,304x3976,25.8,394.2,60.0,24.556120000000007,0.9763007879257202,ln
,512,512x3232,33.0,392.4,60.0,24.859720000000006,1.310092806816101,ln
,464,464x2056,33.0,405.0,60.0,23.77276000000001,0.5082944154739379,ln
,364,364x3144,33.0,405.0,60.0,24.89443999999999,0.724883210659027,ln
,416,416x2108,32.28,405.0,59.12,24.375480000000007,0.47218560576438906,ln
,408,408x3168,31.0,405.0,59.0,24.786440000000017,0.8704895973205566,ln
,652,652x292,31.0,405.0,59.0,23.359160000000006,0.045024000108242035,ln
,1016,1016x336,31.0,405.0,59.0,23.121199999999995,0.09769599884748459,ln
,760,760x456,31.0,405.0,59.0,22.642000000000007,0.10810880064964294,ln
,1020,1020x276,24.28,391.8,59.0,23.123559999999998,0.061318399757146834,ln
,660,660x468,23.0,375.0,59.0,22.945,0.061804800480604175,ln
,904,904x420,23.0,375.0,59.0,22.6864,0.16219519674777985,ln
,616,616x308,23.0,375.0,59.0,22.8594,0.04755839928984642,ln
,880,880x448,21.32,375.0,59.0,23.056800000000006,0.16563840210437775,ln
,904,904x380,16.0,375.0,59.0,22.98284,0.1133760005235672,ln
,992,992x404,16.0,375.0,59.0,22.930680000000002,0.16611839830875397,ln
,824,824x716,16.0,375.0,59.0,23.126640000000002,0.2950528085231781,ln
,536,536x920,16.0,375.0,59.0,23.499319999999994,0.2331008017063141,ln
,708,708x772,17.28,375.0,59.0,23.2628,0.26956799626350403,ln
,608,608x816,20.0,375.0,59.0,23.561399999999995,0.242425599694252,ln
,684,684x776,20.0,375.0,59.0,23.4752,0.2632448077201843,ln
,920,920x888,20.0,375.0,59.0,23.348119999999994,0.4002431988716125,ln
,904,904x896,20.0,375.0,59.0,23.320359999999997,0.388998407125473,ln
,824,824x932,21.52,375.0,59.0,22.94816000000001,0.3816255986690521,ln
,756,756x652,22.0,375.0,59.0,24.028760000000005,0.24767360091209412,ln
,932,932x800,22.0,375.0,59.0,23.85432,0.3696575939655304,ln
,892,892x1760,22.0,375.0,59.0,24.42259999999999,0.9463744044303894,ln
,536,536x1128,23.44,375.0,59.0,23.691879999999998,0.2902079999446869,ln
,852,852x1328,28.0,375.0,59.0,24.05320000000001,0.5888704061508179,ln
,648,648x1056,28.0,375.0,59.0,23.765520000000002,0.34074880480766295,ln
,944,944x1260,28.0,375.0,59.0,24.512279999999997,0.6031296014785766,ln
,560,560x1644,28.0,375.0,59.0,23.831320000000005,0.5182655930519104,ln
,968,968x1176,28.0,375.0,59.0,24.31063999999999,0.5632575988769531,ln
