Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,37.0,720.0,66.0,42.28080000000002,0.006137600168585777,mul
,18,18x218,37.0,720.0,66.0,39.359239999999986,0.0061056001111865045,mul
,209,209x112,37.0,720.0,66.0,39.382360000000006,0.006124800071120262,mul
,83,83x236,37.0,720.0,65.0,39.44439999999999,0.006144000217318535,mul
,1,1x37,37.0,720.0,65.0,39.067119999999996,0.004979199916124344,mul
,172,172x29,37.0,720.0,65.0,38.991760000000006,0.006099200062453747,mul
,188,188x90,37.0,720.0,65.0,39.42499999999998,0.006124800071120262,mul
,116,116x165,37.0,720.0,65.0,39.08899999999998,0.00613120011985302,mul
,232,232x249,37.0,720.0,65.0,39.063999999999986,0.006604800000786781,mul
,235,235x45,7.0,720.0,65.0,39.142000000000024,0.006137600168585777,mul
,58,58x332,7.0,720.0,65.0,39.034,0.006137600168585777,mul
,178,178x472,7.0,720.0,65.0,39.017000000000024,0.006790400017052889,mul
,211,211x432,7.0,720.0,65.0,39.302000000000014,0.006860799994319678,mul
,134,134x373,7.0,720.0,65.0,39.082960000000014,0.00631040008738637,mul
,86,86x339,7.0,720.0,65.0,39.13219999999999,0.006387200020253658,mul
,163,163x321,7.0,430.2,65.0,39.06008000000002,0.008652799949049949,mul
,76,76x447,7.0,375.0,65.0,38.60172000000002,0.008243199996650219,mul
,235,235x420,7.0,375.0,65.0,38.60883999999999,0.010393599979579449,mul
,174,174x314,9.76,375.0,65.0,38.316479999999984,0.009081599861383438,mul
,229,229x439,10.0,375.0,65.0,38.31976000000002,0.010329599864780903,mul
,43,43x969,10.0,375.0,65.0,38.16999999999999,0.008428800106048583,mul
,76,76x950,10.0,375.0,65.0,38.29200000000002,0.01022719983011484,mul
,229,229x602,10.0,375.0,65.0,38.05700000000001,0.011948800086975098,mul
,72,72x601,10.0,375.0,65.0,38.21299999999999,0.008691199868917466,mul
,4,4x932,10.0,375.0,65.0,37.965000000000025,0.006707200035452843,mul
,149,149x1015,10.0,375.0,65.0,37.86599999999999,0.01228800043463707,mul
,79,79x781,10.0,375.0,65.0,38.065600000000025,0.009081599675118924,mul
,15,15x635,10.0,375.0,65.0,37.869,0.007046400010585785,mul
,62,62x895,10.0,375.0,65.0,37.88579999999999,0.009081599861383438,mul
,183,183x680,10.0,375.0,65.0,37.78355999999999,0.010988800041377544,mul
,40,40x1421,10.0,375.0,65.0,35.69716000000002,0.010342399962246418,mul
,50,50x1745,10.0,375.0,65.0,28.868520000000004,0.012339200265705586,mul
,84,84x1234,10.0,375.0,64.0,27.800679999999986,0.012492799945175648,mul
,60,60x1293,10.0,375.0,64.0,27.798,0.011744000017642975,mul
,89,89x1648,10.0,375.0,64.0,27.787000000000003,0.013849600218236446,mul
,108,108x1291,10.0,375.0,64.0,27.821119999999997,0.014297599904239178,mul
,101,101x1245,10.64,375.0,63.0,25.464200000000005,0.013676799647510052,mul
,6,6x1222,11.0,375.0,63.0,24.317520000000005,0.010156800411641598,mul
,143,143x1737,11.0,375.0,62.6,24.115799999999993,0.049817600101232526,mul
,99,99x1602,11.0,375.0,62.0,23.87556,0.014963200129568578,mul
,55,55x2789,11.0,357.0,61.6,24.271959999999993,0.014560000039637089,mul
,64,64x3957,13.88,300.0,61.0,24.18036000000001,0.060115200281143186,mul
,253,253x2522,14.0,300.0,61.0,24.332400000000007,0.4755967974662781,mul
,220,220x2822,14.0,300.0,61.0,24.160999999999998,0.45987200140953066,mul
,225,225x2397,14.0,300.0,60.04,23.88923999999999,0.3997760057449341,mul
,102,102x3436,26.92,300.0,60.0,23.6026,0.2521023988723755,mul
,205,205x3507,33.0,300.0,60.0,24.157719999999998,0.514495986700058,mul
,129,129x4053,33.0,300.0,60.0,24.06944,0.39469440579414367,mul
,14,14x2782,33.0,300.0,60.0,23.281760000000006,0.01767039969563484,mul
,104,104x3251,29.32,300.0,59.24,23.85439999999999,0.2672704041004181,mul
,453,453x231,29.0,300.0,59.0,23.334440000000004,0.02252800017595291,mul
,341,341x252,29.0,300.0,59.0,23.49672000000001,0.020684799551963805,mul
,500,500x81,29.0,300.0,59.0,23.345999999999993,0.017216000333428384,mul
