Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,30.0,675.0,65.0,41.630999999999986,0.006124800071120262,mulu
,18,18x218,30.0,648.6,65.0,39.350000000000016,0.006112000159919262,mulu
,209,209x112,30.0,615.0,65.0,39.10699999999998,0.00613120011985302,mulu
,83,83x236,30.0,601.8,65.0,38.871799999999986,0.006118400022387505,mulu
,1,1x37,30.0,585.0,65.0,39.019,0.006124800164252519,mulu
,172,172x29,30.0,550.8,65.0,38.798999999999985,0.006137600168585777,mulu
,188,188x90,30.0,540.0,65.0,38.57000000000002,0.006188799999654293,mulu
,116,116x165,30.0,496.8,65.0,38.58899999999998,0.006137600168585777,mulu
,232,232x249,14.88,495.0,65.0,38.32799999999998,0.00703999986872077,mulu
,235,235x45,9.0,465.0,65.0,38.41920000000002,0.006304000038653612,mulu
,58,58x332,9.0,465.0,65.0,38.63875999999999,0.006208000052720308,mulu
,178,178x472,9.0,435.0,65.0,38.41660000000001,0.008179199881851673,mulu
,211,211x432,9.0,432.6,65.0,38.17240000000002,0.00825599990785122,mulu
,134,134x373,9.0,405.0,65.0,38.25600000000001,0.008057600073516368,mulu
,86,86x339,9.0,395.4,65.0,38.37200000000002,0.007615999970585108,mulu
,163,163x321,9.0,375.0,65.0,38.638760000000005,0.008313599973917007,mulu
,76,76x447,9.0,375.0,65.0,38.53099999999998,0.007935999985784292,mulu
,235,235x420,9.0,375.0,65.0,38.301000000000016,0.008748800121247768,mulu
,174,174x314,9.0,375.0,65.0,38.552000000000014,0.008204800076782703,mulu
,229,229x439,9.0,375.0,65.0,38.548,0.009081599861383438,mulu
,43,43x969,9.0,375.0,65.0,38.53099999999998,0.008159999921917915,mulu
,76,76x950,9.0,375.0,65.0,38.437999999999995,0.0084927998483181,mulu
,229,229x602,9.0,375.0,65.0,37.343679999999985,0.01226240023970604,mulu
,72,72x601,9.0,375.0,65.0,30.22216,0.010233599878847598,mulu
,4,4x932,9.0,375.0,64.2,27.77296000000001,0.008550399914383888,mulu
,149,149x1015,9.0,375.0,64.0,27.813599999999983,0.012256000190973282,mulu
,79,79x781,9.0,375.0,64.0,27.8812,0.010316799767315388,mulu
,15,15x635,10.0,375.0,64.0,27.841959999999993,0.00899839997291565,mulu
,62,62x895,10.0,375.0,63.0,27.894999999999992,0.010252799838781357,mulu
