Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,39.0,885.0,66.0,44.36591999999999,0.007263999991118908,pow
,18,18x218,39.0,885.0,66.0,39.743280000000006,0.006713599897921085,pow
,209,209x112,39.0,885.0,66.0,39.66896000000002,0.007046400010585785,pow
,83,83x236,39.0,885.0,66.0,39.52563999999998,0.006828800030052662,pow
,1,1x37,39.0,885.0,66.0,39.561000000000014,0.005888000130653381,pow
,172,172x29,39.0,885.0,65.0,39.29399999999999,0.0063807999715209006,pow
,188,188x90,39.0,885.0,65.0,39.438999999999986,0.006796799879521131,pow
,116,116x165,39.0,885.0,65.0,39.74,0.007404799852520227,pow
,232,232x249,28.12,885.0,65.0,39.65680000000002,0.008966399915516376,pow
,235,235x45,5.0,885.0,65.0,39.54735999999997,0.0066559999249875546,pow
,58,58x332,5.0,885.0,65.0,39.543719999999986,0.007155199907720089,pow
,178,178x472,5.0,885.0,65.0,39.53347999999998,0.010124799981713294,pow
,211,211x432,5.0,885.0,65.0,39.71503999999998,0.010239999927580356,pow
,134,134x373,5.0,885.0,65.0,39.76343999999999,0.008211199939250947,pow
,86,86x339,5.0,864.6,65.0,39.822999999999986,0.0077887999825179575,pow
,163,163x321,5.0,375.0,65.0,39.503000000000014,0.014348800294101238,pow
,76,76x447,5.0,375.0,65.0,39.01499999999999,0.012307200394570828,pow
,235,235x420,5.16,375.0,65.0,38.57100000000002,0.01897599995136261,pow
,174,174x314,9.0,375.0,65.0,38.97199999999999,0.014675200171768665,pow
,229,229x439,9.0,375.0,65.0,38.649999999999984,0.018912000209093095,pow
,43,43x969,9.0,375.0,65.0,38.40700000000001,0.013215999864041806,pow
,76,76x950,9.0,375.0,65.0,38.29844000000001,0.01674240007996559,pow
,229,229x602,9.0,375.0,65.0,38.31087999999999,0.022540800273418427,pow
,72,72x601,9.0,375.0,65.0,38.1716,0.01392000000923872,pow
,4,4x932,9.0,375.0,65.0,38.27360000000001,0.010451200045645237,pow
,149,149x1015,9.0,375.0,65.0,38.399879999999996,0.023520000278949738,pow
,79,79x781,9.0,375.0,65.0,38.431,0.01512960009276867,pow
,15,15x635,10.0,375.0,65.0,38.443640000000016,0.010291199944913388,pow
,62,62x895,10.0,375.0,65.0,38.198999999999984,0.015052799880504609,pow
,183,183x680,10.0,375.0,65.0,38.15968000000001,0.021267199888825417,pow
,40,40x1421,10.0,375.0,65.0,32.27628,0.01674879975616932,pow
,50,50x1745,10.0,375.0,65.0,27.787959999999998,0.01899519972503185,pow
,84,84x1234,10.0,375.0,65.0,27.820879999999985,0.021132799983024596,pow
,60,60x1293,10.0,375.0,63.0,27.87900000000001,0.019129600003361703,pow
,89,89x1648,10.0,375.0,63.0,27.733,0.025740800052881242,pow
,108,108x1291,10.88,375.0,63.0,24.659559999999992,0.025062399730086327,pow
,101,101x1245,11.0,375.0,62.0,24.188680000000005,0.024569600820541382,pow
,6,6x1222,11.0,375.0,62.0,24.100400000000015,0.013503999821841717,pow
,143,143x1737,11.0,375.0,61.48,24.122560000000004,0.05899520069360733,pow
,99,99x1602,11.0,375.0,61.0,23.949000000000005,0.027404800057411194,pow
,55,55x2789,13.88,375.0,61.0,24.023400000000006,0.026847999915480612,pow
,64,64x3957,14.0,375.0,61.0,23.028080000000013,0.1435391992330551,pow
,253,253x2522,14.0,375.0,61.0,23.129399999999997,0.47596160173416135,pow
,220,220x2822,14.0,375.0,61.0,23.448719999999994,0.4647104024887085,pow
,225,225x2397,14.48,375.0,60.36,23.57308,0.40609920024871826,pow
,102,102x3436,20.0,375.0,60.0,23.12231999999999,0.26888319849967957,pow
,205,205x3507,20.0,375.0,60.0,23.8044,0.5180736064910889,pow
,129,129x4053,20.0,375.0,60.0,24.020040000000005,0.3937023997306824,pow
,14,14x2782,20.0,375.0,60.0,23.458120000000005,0.016358399763703346,pow
,104,104x3251,21.28,375.0,60.0,23.077199999999994,0.2638975977897644,pow
,453,453x231,22.0,375.0,59.68,23.335560000000005,0.022483200207352637,pow
,341,341x252,22.0,375.0,59.0,22.983600000000006,0.020454399287700653,pow
,500,500x81,22.0,375.0,59.0,23.075,0.01640959978103638,pow
,288,288x15,22.0,375.0,59.0,23.001560000000005,0.013964799791574478,pow
,476,476x177,15.56,375.0,59.0,22.59508,0.02045439966022968,pow
,300,300x34,15.0,375.0,59.0,22.124400000000005,0.014656000211834908,pow
,473,473x216,15.0,375.0,59.0,22.773039999999995,0.022572799772024154,pow
,307,307x251,15.0,375.0,59.0,22.563320000000004,0.020204799622297286,pow
,480,480x104,15.0,375.0,59.0,22.687800000000006,0.01642879992723465,pow
,372,372x48,16.52,375.0,59.0,23.101160000000004,0.015091200172901154,pow
,296,296x411,17.0,375.0,59.0,22.9424,0.024531199783086776,pow
,349,349x266,17.0,375.0,59.0,23.132960000000004,0.021663999557495116,pow
,443,443x493,17.0,375.0,59.0,23.181359999999998,0.06074879989027977,pow
,361,361x468,17.0,375.0,59.0,23.044600000000006,0.0281920000910759,pow
,333,333x355,17.0,375.0,58.0,22.925559999999997,0.023257600143551826,pow
,360,360x338,17.0,375.0,58.0,22.70095999999999,0.02404480017721653,pow
,267,267x285,17.0,375.0,58.0,22.914119999999997,0.01974399983882904,pow
,328,328x377,17.0,375.0,58.0,23.09072,0.024595200642943384,pow
,417,417x425,17.0,375.0,58.0,22.979879999999998,0.029817599803209305,pow
,397,397x482,17.0,375.0,58.0,22.973440000000004,0.03196799978613853,pow
,500,500x765,17.0,375.0,58.0,23.29180000000001,0.3040063977241516,pow
,284,284x758,17.0,375.0,58.0,23.19468,0.035840000957250595,pow
,261,261x915,17.0,375.0,58.0,23.090280000000003,0.12663679867982863,pow
,419,419x929,17.0,375.0,58.0,23.290999999999993,0.30272639989852906,pow
,308,308x677,17.0,375.0,58.0,23.399039999999996,0.047065599262714385,pow
,351,351x967,19.0,375.0,58.0,23.175799999999995,0.2660927951335907,pow
,337,337x768,19.0,375.0,58.0,22.77956000000001,0.17370240092277528,pow
,424,424x801,19.0,375.0,58.0,23.111560000000004,0.26608639359474184,pow
,267,267x536,19.0,375.0,58.0,23.062039999999993,0.02661759965121746,pow
,476,476x779,18.8,375.0,58.0,22.781760000000006,0.2940288007259369,pow
,510,510x1267,18.0,375.0,58.0,23.082400000000007,0.48525439500808715,pow
,477,477x1448,18.0,375.0,58.0,23.35844,0.5189823985099793,pow
,405,405x1561,18.0,375.0,58.0,23.286760000000005,0.4690496027469635,pow
,325,325x1687,18.0,375.0,58.0,23.438599999999997,0.4083136022090912,pow
,283,283x1706,20.24,375.0,58.0,23.43244000000001,0.35893760323524476,pow
,459,459x1784,22.0,375.0,58.0,23.585000000000004,0.6091904044151306,pow
,324,324x1208,22.0,375.0,58.0,23.07956,0.2995967984199524,pow
,512,512x1600,22.0,375.0,58.0,23.367959999999986,0.6085888028144837,pow
,418,418x2031,22.0,375.0,58.0,23.8836,0.6257216095924377,pow
,275,275x1988,23.0,375.0,58.0,23.519999999999996,0.4181120038032532,pow
,439,439x4036,23.0,375.0,58.0,24.152400000000007,1.3010176181793214,pow
,402,402x2788,23.0,375.0,58.0,24.590079999999986,0.8190143942832947,pow
,512,512x2435,23.0,375.0,58.0,24.171640000000004,0.9081024050712585,pow
,335,335x2167,28.52,375.0,58.0,24.012320000000003,0.5418303966522217,pow
,488,488x3379,29.0,375.0,58.0,24.40924,1.2023616075515746,pow
,304,304x3682,29.0,375.0,58.0,23.21972,0.8248127937316895,pow
,455,455x3697,29.0,387.6,58.0,24.905479999999997,1.2297216415405274,pow
,440,440x2442,29.0,420.0,58.0,23.674599999999995,0.7935680031776429,pow
,303,303x3779,29.0,420.0,58.0,24.31504,0.8376703977584838,pow
,371,371x2684,29.0,420.0,58.0,24.005119999999998,0.7284543991088868,pow
,665,665x66,29.0,420.0,58.0,23.457039999999992,0.015097599849104882,pow
,948,948x212,28.76,420.0,58.0,23.353119999999993,0.03509759977459907,pow
,986,986x92,23.0,420.0,58.0,23.178119999999993,0.020115200057625772,pow
,973,973x136,23.0,420.0,58.0,22.996679999999998,0.023372800275683402,pow
,531,531x3,23.0,420.0,58.0,23.157679999999992,0.012768000178039075,pow
,823,823x185,23.0,391.2,58.0,23.193880000000004,0.026784000173211097,pow
,529,529x97,23.0,375.0,58.0,22.85844,0.01646080017089844,pow
,821,821x238,16.0,375.0,58.0,22.592359999999996,0.03218559995293617,pow
,1009,1009x242,16.0,375.0,58.0,22.693679999999993,0.1281023994088173,pow
,521,521x53,16.0,375.0,58.0,22.66624,0.0152191998437047,pow
,1012,1012x375,16.0,375.0,58.0,23.120279999999994,0.29616640210151673,pow
,632,632x510,16.0,375.0,58.0,23.259599999999992,0.250655996799469,pow
,865,865x481,18.88,375.0,58.0,23.38323999999999,0.3180288076400757,pow
,881,881x498,19.0,375.0,58.0,22.84384,0.332614403963089,pow
,673,673x508,19.0,375.0,58.0,23.017839999999993,0.27240960001945497,pow
,880,880x390,19.0,375.0,58.0,22.61232,0.2680512011051178,pow
,745,745x318,19.0,375.0,58.0,22.959400000000006,0.10342399924993514,pow
,619,619x282,20.0,375.0,58.0,22.975720000000006,0.030694400519132616,pow
,633,633x362,20.0,375.0,58.0,23.12644,0.09523840248584747,pow
,855,855x327,20.0,375.0,58.0,23.134600000000006,0.19809919893741607,pow
,806,806x688,20.0,375.0,58.0,22.99756,0.41347840428352356,pow
,746,746x654,20.0,375.0,58.0,23.001400000000004,0.3751807987689972,pow
,523,523x584,20.0,375.0,58.0,22.772040000000008,0.23954559862613678,pow
,550,550x667,20.0,375.0,58.0,23.060879999999994,0.28904319405555723,pow
,799,799x663,20.0,375.0,58.0,22.851799999999994,0.39004799723625183,pow
,599,599x550,20.0,375.0,58.0,23.0598,0.26781439781188965,pow
,676,676x536,20.0,375.0,58.0,23.121640000000003,0.28481280207633974,pow
,778,778x875,21.0,375.0,58.0,23.202600000000007,0.4988031923770905,pow
,754,754x752,21.0,375.0,58.0,23.324600000000004,0.4353472054004669,pow
,710,710x882,21.0,375.0,58.0,23.067119999999985,0.46435199975967406,pow
,948,948x1291,21.0,375.0,58.0,23.621760000000005,0.9047616124153137,pow
,1023,1023x1892,23.88,375.0,58.0,24.301719999999985,1.4077439785003663,pow
,645,645x1266,25.0,375.0,58.0,23.845319999999987,0.6075263857841492,pow
,625,625x1272,25.0,375.0,58.0,23.939400000000006,0.597708797454834,pow
,823,823x1627,25.0,375.0,58.0,24.590719999999987,0.9703487873077392,pow
,733,733x1399,27.4,375.0,58.0,23.903799999999993,0.7434303998947144,pow
,830,830x1951,30.0,401.4,58.0,25.337719999999994,1.1861055850982667,pow
,665,665x1691,30.0,435.0,58.0,24.01232,0.8172992110252381,pow
,797,797x1206,30.0,437.4,58.0,26.034039999999987,0.708294403553009,pow
,1000,1000x1063,33.6,450.0,58.0,24.289679999999997,0.7835072040557861,pow
,841,841x3694,35.0,495.6,58.0,25.396800000000013,2.3372735500335695,pow
,837,837x3613,35.0,514.2,58.32,24.857200000000002,2.218886375427246,pow
,774,774x2416,35.2,525.0,59.0,24.56472000000001,1.3640192031860352,pow
,572,572x3269,36.0,525.0,58.04,24.44652,1.3711999893188476,pow
,636,636x2261,36.0,525.0,58.04,24.882039999999996,1.052070426940918,pow
,838,838x3952,36.0,525.0,59.0,24.789999999999992,2.472748804092407,pow
,616,616x3057,34.72,600.0,59.0,25.09864,1.3880640029907227,pow
,685,685x3053,34.0,600.0,59.0,24.557040000000015,1.548639988899231,pow
,574,574x4024,34.0,600.0,59.0,24.96127999999999,1.7145983934402467,pow
,584,584x3280,34.0,616.8,59.0,25.083560000000006,0.7407935857772827,pow
,1726,1726x134,32.64,705.0,59.0,24.792999999999992,0.03944959938526153,pow
,1057,1057x69,32.0,705.0,59.0,23.94156000000001,0.012288000248372555,pow
,1191,1191x40,32.0,705.0,59.0,24.510040000000018,0.01076479982584715,pow
,1042,1042x64,32.0,705.0,59.0,24.463359999999998,0.011686399951577187,pow
,1757,1757x99,32.0,705.0,59.0,24.33683999999999,0.016780799999833108,pow
,2034,2034x108,32.0,705.0,58.0,24.595959999999994,0.030752000212669373,pow
,1421,1421x90,17.72,705.0,58.0,24.57163999999999,0.01479679998010397,pow
,1072,1072x130,11.0,705.0,58.0,23.596999999999994,0.015449599921703338,pow
,1274,1274x239,11.0,705.0,58.0,24.420120000000008,0.09087999910116196,pow
,1672,1672x3,11.0,705.0,58.0,24.611119999999996,0.009094400145113469,pow
,1536,1536x357,11.0,586.2,58.0,24.121599999999997,0.16012159883975982,pow
,1074,1074x428,11.0,375.0,58.0,23.295599999999993,0.3261568009853363,pow
,1509,1509x294,14.0,375.0,58.0,23.46288,0.33831040263175965,pow
,1666,1666x290,14.0,375.0,58.0,23.533039999999996,0.366841596364975,pow
,1139,1139x283,14.0,375.0,58.0,23.566080000000003,0.25818880200386046,pow
,1811,1811x494,14.0,375.0,58.0,23.18227999999999,0.6548863887786865,pow
,1235,1235x263,17.2,375.0,58.0,23.2174,0.2578560054302216,pow
,1405,1405x381,22.0,375.0,58.0,23.633079999999993,0.4121663987636566,pow
,1323,1323x332,22.0,375.0,58.0,23.50615999999999,0.33953920006752014,pow
,1511,1511x284,22.0,375.0,58.0,23.35308,0.32615039944648744,pow
,1999,1999x991,22.0,375.0,58.0,24.41475999999999,1.4428735971450806,pow
,1111,1111x1020,23.68,375.0,58.0,24.452520000000014,0.8371008038520813,pow
,1703,1703x897,24.0,375.0,58.0,24.321159999999992,1.1073023796081543,pow
,1086,1086x630,24.0,375.0,58.0,23.79468,0.5063232064247132,pow
,1430,1430x803,24.0,375.0,58.0,23.879439999999992,0.8477183938026428,pow
,1069,1069x693,24.96,375.0,58.0,23.615560000000006,0.551468801498413,pow
,1649,1649x980,26.0,375.0,58.0,25.16447999999999,1.186400008201599,pow
,1292,1292x707,26.0,375.0,58.0,23.951520000000002,0.6757568001747132,pow
,1627,1627x665,26.0,375.0,58.0,24.000080000000004,0.7955392003059387,pow
,1988,1988x579,28.6,375.0,58.0,24.58059999999999,0.8511999845504761,pow
,2014,2014x2038,31.0,415.8,58.0,25.377080000000007,3.2144256114959715,pow
,1505,1505x1835,31.0,435.0,58.0,25.1822,2.0492608547210693,pow
,1300,1300x1197,33.16,435.0,58.0,24.989,1.1295552015304566,pow
,1948,1948x1982,37.0,468.6,58.0,25.68472,3.0449279308319093,pow
,1392,1392x1929,37.0,562.8,58.0,26.27788,0.7695039987564087,pow
,1491,1491x1226,37.0,675.0,58.0,24.992639999999987,0.5149247884750366,pow
,1537,1537x1644,36.16,675.0,58.0,26.002800000000015,0.7130303978919983,pow
,1852,1852x1855,36.0,675.0,58.84,26.08659999999999,0.9697983980178833,pow
,1503,1503x1984,36.0,675.0,59.0,25.887880000000006,0.840448009967804,pow
,1923,1923x1946,36.0,675.0,59.0,26.539,1.0522816181182861,pow
,1720,1720x2972,32.8,675.0,59.0,26.900480000000016,1.4444096088409424,pow
,1339,1339x3401,26.0,675.0,59.0,26.57544,1.286342406272888,pow
,1247,1247x3395,26.0,654.0,59.0,26.92391999999999,1.2011967897415161,pow
,1079,1079x2813,26.0,624.0,59.0,25.498600000000007,0.8550336003303528,pow
,1956,1956x2284,27.2,645.0,59.0,26.241000000000017,1.2568639993667603,pow
,1289,1289x3762,31.0,645.0,59.0,26.243439999999993,1.3658687829971314,pow
,1997,1997x2699,31.0,645.0,59.0,26.909319999999997,1.5207615852355958,pow
,1156,1156x3684,31.0,645.0,59.0,26.346479999999982,1.1994304180145263,pow
,1959,1959x3469,30.68,645.0,59.0,26.83920000000001,1.9182976007461547,pow
,1812,1812x2800,29.0,645.0,59.0,27.003120000000003,1.4298240184783935,pow
,2938,2938x253,29.0,645.0,59.0,26.25079999999999,0.21486719846725463,pow
,2724,2724x130,29.0,539.4,59.0,24.48936,0.17633920013904572,pow
,3684,3684x100,29.0,496.2,59.0,22.945000000000007,0.28535680174827577,pow
,4034,4034x237,25.16,479.4,59.0,23.393440000000005,0.708409595489502,pow
,2747,2747x10,21.0,463.8,59.0,23.268639999999994,0.013631999865174294,pow
,3168,3168x79,21.0,435.0,59.0,23.04776000000001,0.1591103971004486,pow
,2470,2470x200,21.0,418.2,58.84,23.380520000000004,0.3677440047264099,pow
,3583,3583x123,21.0,399.0,58.0,23.474480000000003,0.33868799805641175,pow
,2307,2307x113,19.64,375.0,58.0,23.57904,0.17716480195522308,pow
,2825,2825x107,19.0,375.0,58.0,23.255200000000006,0.23446400165557862,pow
,2760,2760x264,19.0,375.0,58.0,23.596599999999988,0.5523840069770813,pow
,3189,3189x445,19.0,375.0,58.0,23.42200000000001,1.0379199981689453,pow
,3080,3080x305,21.24,375.0,58.0,24.79740000000001,0.6879040002822876,pow
,3421,3421x266,26.0,375.0,58.0,23.166520000000002,0.6756352066993714,pow
,3017,3017x476,26.0,375.0,58.0,24.05579999999999,1.0512896060943604,pow
,2670,2670x449,26.0,375.0,58.0,24.09268,0.8896511912345886,pow
,2211,2211x469,26.48,375.0,58.0,23.9322,0.7552640080451966,pow
,3066,3066x370,27.0,375.0,58.0,24.102520000000005,0.8370432138442994,pow
,2837,2837x283,27.0,375.0,58.0,23.0702,0.5965759992599488,pow
,3794,3794x496,27.0,392.4,58.0,26.337439999999994,1.4149567842483521,pow
,3217,3217x972,31.6,405.0,58.0,25.27880000000001,2.3404543876647947,pow
,3977,3977x964,32.0,441.0,58.0,25.056319999999996,2.9818624019622804,pow
,3278,3278x669,32.0,481.8,58.68,24.759120000000003,1.5982399940490724,pow
,4018,4018x586,37.28,495.0,59.0,24.61968,1.7516671657562255,pow
,3581,3581x1016,38.0,495.0,59.0,25.67872,2.7655360221862795,pow
,3723,3723x552,38.0,495.0,58.32,25.05652000000001,1.5245952129364013,pow
,3557,3557x572,38.0,495.0,58.08,24.83600000000001,1.488153600692749,pow
,2654,2654x780,38.0,495.0,59.0,24.442360000000004,1.5208384037017821,pow
,3623,3623x920,38.0,574.2,59.0,25.781399999999994,0.9487039923667908,pow
,3616,3616x828,38.0,675.0,59.0,25.710760000000008,0.8439808011054992,pow
,3310,3310x1038,31.0,675.0,59.0,25.9172,0.9697599887847901,pow
,3814,3814x1374,31.0,675.0,59.0,26.779959999999996,1.4817663908004761,pow
,3894,3894x1460,31.0,675.0,59.0,27.13000000000001,1.6063168048858643,pow
,2496,2496x1365,31.0,675.0,59.0,26.378680000000003,0.9603584170341491,pow
,2170,2170x1505,29.08,675.0,59.0,25.646800000000013,0.9266815900802612,pow
,2445,2445x1457,28.0,675.0,59.0,26.082799999999988,1.002892804145813,pow
,3567,3567x1727,28.0,603.6,59.0,26.35396000000001,1.7563904047012329,pow
,2459,2459x1031,28.0,645.0,59.0,25.64803999999999,0.7153343796730042,pow
,3900,3900x1998,29.6,645.0,59.0,27.632399999999993,2.194918394088745,pow
,3868,3868x1503,30.0,645.0,59.0,26.840759999999996,1.6393344163894654,pow
,3252,3252x2848,30.0,669.0,59.0,27.960280000000008,2.604633617401123,pow
,3876,3876x2522,31.44,765.0,59.0,28.655,2.794591951370239,pow
,2168,2168x2705,36.0,765.0,59.0,27.728000000000012,1.658412790298462,pow
,4064,4064x2419,36.0,765.0,59.08,29.157760000000007,2.7935359954833983,pow
,2964,2964x3110,36.0,765.0,60.0,29.28136,2.6245503425598145,pow
,3555,3555x2570,36.64,816.0,60.0,29.847760000000008,0.3716736018657684,pow
,3358,3358x3544,37.0,870.0,60.0,35.5324,0.48094079494476316,pow
,3264,3264x2945,37.0,870.0,60.0,41.37147999999998,0.390175998210907,pow
,2554,2554x3169,37.0,870.0,60.56,41.37479999999999,0.32887679934501646,pow
,2911,2911x2970,37.0,870.0,62.0,40.909999999999975,0.35062400102615354,pow
,6861,6861x217,37.0,870.0,62.0,42.41100000000003,0.066041599214077,pow
,7322,7322x50,37.0,870.0,62.0,39.24099999999999,0.020953600108623505,pow
