Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,26.0,795.0,65.0,41.42580000000002,0.008064000122249126,powu
,18,18x218,26.0,744.0,65.0,39.60608,0.006982399988919497,powu
,209,209x112,26.0,720.0,65.0,39.115,0.00818559993058443,powu
,83,83x236,26.0,676.8,65.0,39.12400000000002,0.00825599990785122,powu
,1,1x37,15.44,675.0,65.0,39.17499999999998,0.006400000024586916,powu
,172,172x29,15.0,615.0,65.0,39.09500000000002,0.008179199881851673,powu
,188,188x90,15.0,615.0,65.0,39.16068000000002,0.00830719992518425,powu
,116,116x165,15.0,585.0,65.0,38.915000000000006,0.008416000008583068,powu
,232,232x249,15.0,585.0,65.0,38.81463999999998,0.01049600001424551,powu
,235,235x45,15.0,540.0,65.0,38.48940000000002,0.008672000095248222,powu
,58,58x332,15.0,513.0,65.0,38.47152000000001,0.009343999996781349,powu
,178,178x472,15.0,495.0,65.0,38.27599999999998,0.013817599974572659,powu
,211,211x432,15.0,465.0,65.0,38.41899999999999,0.014931200072169304,powu
,134,134x373,7.32,465.0,65.0,38.70799999999998,0.011833600141108036,powu
,86,86x339,7.0,435.0,65.0,38.63199999999998,0.010847999900579452,powu
,163,163x321,7.0,435.0,65.0,38.77800000000001,0.01260799989104271,powu
,76,76x447,7.0,405.0,65.0,38.78099999999998,0.011187199875712395,powu
,235,235x420,7.0,405.0,65.0,38.732999999999976,0.017164799943566324,powu
,174,174x314,7.0,375.0,65.0,38.57100000000002,0.014432000368833542,powu
,229,229x439,7.0,375.0,65.0,38.38676000000001,0.01768320016562939,powu
,43,43x969,7.0,375.0,65.0,38.43155999999998,0.01329279989004135,powu
,76,76x950,7.0,375.0,65.0,38.481,0.01648639962077141,powu
,229,229x602,7.0,375.0,65.0,38.5884,0.0204927995800972,powu
,72,72x601,10.0,375.0,65.0,38.37387999999997,0.013196799904108047,powu
,4,4x932,10.0,375.0,65.0,34.74779999999999,0.012588800117373466,powu
,149,149x1015,10.0,375.0,65.0,28.794199999999986,0.024307200312614442,powu
,79,79x781,10.0,375.0,64.0,27.91156000000002,0.01681919991970062,powu
,15,15x635,10.0,375.0,64.0,27.797320000000003,0.012614399939775468,powu
,62,62x895,10.0,375.0,64.0,27.84772,0.016665599867701532,powu
,183,183x680,10.0,375.0,64.0,27.883000000000006,0.021433599665760993,powu
,40,40x1421,10.0,375.0,63.0,27.851999999999986,0.01637119986116886,powu
,50,50x1745,10.4,375.0,63.0,26.979839999999985,0.019494399800896643,powu
,84,84x1234,12.0,375.0,63.0,23.960480000000008,0.021350399404764176,powu
,60,60x1293,12.0,375.0,62.0,23.935080000000003,0.019417599961161613,powu
,89,89x1648,12.0,375.0,62.0,23.71824000000001,0.024832000210881233,powu
,108,108x1291,12.0,375.0,61.24,24.357960000000013,0.023955199867486954,powu
,101,101x1245,12.88,375.0,61.0,23.866880000000005,0.023840000107884406,powu
,6,6x1222,14.0,375.0,61.0,22.621400000000005,0.01431680005043745,powu
,143,143x1737,14.0,375.0,61.0,22.600399999999993,0.032761599868535995,powu
