Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,38.0,675.0,67.0,43.808,0.008025600016117096,softmax
,18,18x218,38.0,675.0,67.0,39.85500000000001,0.007660799939185381,softmax
,209,209x112,38.0,675.0,67.0,39.548999999999985,0.00825599990785122,softmax
,83,83x236,38.0,675.0,66.16,39.77556000000001,0.008191999979317188,softmax
,1,1x37,38.0,675.0,66.0,39.603360000000016,0.006310399994254113,softmax
,172,172x29,38.0,675.0,66.0,39.38596000000001,0.006540799979120493,softmax
,188,188x90,38.0,675.0,66.0,39.19044,0.008089600130915642,softmax
,116,116x165,26.8,675.0,65.08,39.101639999999996,0.007993599958717823,softmax
,232,232x249,10.0,675.0,65.0,38.873720000000006,0.008211199939250947,softmax
,235,235x45,10.0,675.0,65.0,38.85400000000001,0.006815999932587147,softmax
,58,58x332,10.0,675.0,65.0,38.649999999999984,0.008665600046515464,softmax
,178,178x472,10.0,663.0,65.0,39.01091999999999,0.01089280005544424,softmax
,211,211x432,10.0,375.0,65.0,39.00900000000001,0.016383999958634377,softmax
,134,134x373,10.0,375.0,65.0,38.681280000000015,0.013228799961507321,softmax
,86,86x339,10.0,375.0,65.0,38.72600000000001,0.012531200051307678,softmax
,163,163x321,10.0,375.0,65.0,38.716719999999995,0.014348800294101238,softmax
,76,76x447,10.0,375.0,65.0,38.50619999999999,0.013932800106704234,softmax
,235,235x420,10.0,375.0,65.0,38.381760000000014,0.01639680005609989,softmax
,174,174x314,10.0,375.0,65.0,38.38656000000001,0.014355200342833996,softmax
,229,229x439,10.0,375.0,65.0,38.37704000000001,0.016416000202298164,softmax
,43,43x969,10.0,375.0,65.0,38.30023999999999,0.02080640010535717,softmax
,76,76x950,10.0,375.0,65.0,38.25704000000001,0.020825599879026414,softmax
,229,229x602,10.0,375.0,65.0,38.30731999999999,0.02051199972629547,softmax
,72,72x601,10.0,375.0,65.0,38.30915999999999,0.016486399993300437,softmax
,4,4x932,10.0,375.0,65.0,38.349040000000024,0.020537599548697473,softmax
