Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,31.0,705.0,66.0,41.75120000000001,0.006271999981254339,tanh
,18,18x218,31.0,660.0,66.0,39.59476000000001,0.0062848000787198545,tanh
,209,209x112,31.0,660.0,66.0,39.213399999999986,0.00613120011985302,tanh
,83,83x236,31.0,615.0,66.0,39.022360000000006,0.006348800007253885,tanh
,1,1x37,31.0,615.0,66.0,38.98300000000002,0.00613120011985302,tanh
,172,172x29,31.0,570.0,65.48,38.94959999999999,0.006393600068986416,tanh
,188,188x90,14.0,570.0,65.0,38.936560000000014,0.006406399887055159,tanh
,116,116x165,14.0,525.0,65.0,38.80720000000002,0.0067135999910533425,tanh
,232,232x249,14.0,525.0,65.0,38.68835999999998,0.007628800068050623,tanh
,235,235x45,14.0,495.0,65.0,39.02599999999998,0.006457599904388189,tanh
,58,58x332,14.0,495.0,65.0,39.07899999999998,0.006662400066852569,tanh
,178,178x472,14.0,450.0,65.0,38.99199999999998,0.008326399885118008,tanh
,211,211x432,14.0,446.4,65.0,38.976,0.008857599832117558,tanh
,134,134x373,14.0,420.0,65.0,38.99139999999999,0.008275200054049492,tanh
,86,86x339,14.0,403.2,65.0,38.81635999999998,0.008198400028049946,tanh
,163,163x321,11.12,390.0,65.0,38.68635999999999,0.008467199839651584,tanh
,76,76x447,8.0,379.2,65.0,38.7192,0.008236799947917461,tanh
,235,235x420,8.0,375.0,65.0,38.80420000000001,0.010022400133311748,tanh
,174,174x314,8.0,375.0,65.0,38.947600000000016,0.008652799949049949,tanh
,229,229x439,8.0,375.0,65.0,38.722999999999985,0.010239999741315842,tanh
,43,43x969,8.0,375.0,65.0,38.63944000000001,0.008448000065982342,tanh
,76,76x950,8.0,375.0,65.0,38.64459999999998,0.009670399874448777,tanh
,229,229x602,8.0,375.0,65.0,38.51604,0.010438399948179721,tanh
,72,72x601,8.0,375.0,65.0,38.703640000000014,0.008351999893784523,tanh
,4,4x932,8.0,375.0,65.0,35.92888000000001,0.009555199928581715,tanh
,149,149x1015,10.0,375.0,65.0,27.89200000000001,0.012915200181305408,tanh
,79,79x781,10.0,375.0,64.08,27.89408,0.010726400092244149,tanh
,15,15x635,10.0,375.0,64.0,27.881200000000007,0.010201600380241871,tanh
,62,62x895,10.0,375.0,64.0,27.82992,0.010560000129044057,tanh
,183,183x680,10.0,375.0,64.0,27.857000000000003,0.012294400110840797,tanh
,40,40x1421,10.0,375.0,63.0,27.792000000000016,0.010303999856114387,tanh
,50,50x1745,10.0,375.0,63.0,27.88199999999999,0.011718400008976459,tanh
