Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,8,8x2x18x16,12.0,1470.0,60.0,47.33988,0.0046911999583244,bmm
,18,18x1x11x28,12.0,1470.0,60.0,47.76000000000002,0.0045375999994575,bmm
,6,6x19x24x13,12.0,1470.0,60.0,48.27420000000001,0.006182400137186,bmm
,5,5x11x16x43,12.0,1470.0,60.0,48.400799999999975,0.0046720000915229,bmm
,26,26x30x10x49,12.0,1470.0,61.04,48.48040000000002,0.0084735998883843,bmm
,5,5x25x25x62,12.0,1470.0,62.0,48.54872,0.0102399997413158,bmm
,20,20x33x13x84,7.32,1470.0,62.0,48.44295999999999,0.0102399997413158,bmm
,9,9x9x31x86,3.0,1470.0,62.0,48.586000000000006,0.0057472000829875,bmm
,15,15x1x5x72,3.0,1470.0,62.72,49.13915999999999,0.0043135999701917,bmm
,7,7x7x28x219,3.0,1470.0,63.0,49.35535999999999,0.0061440002173185,bmm
,18,18x30x16x148,3.0,1470.0,63.0,49.74615999999998,0.0102143997326493,bmm
,25,25x17x30x202,3.0,1470.0,63.32,50.23784,0.010547199845314,bmm
,12,12x5x5x377,3.0,1470.0,64.0,50.40792,0.0049215999431908,bmm
,21,21x5x1x491,3.0,1470.0,64.0,50.62039999999999,0.0055359998717904,bmm
,9,9x17x8x311,3.0,1470.0,64.0,50.88084,0.0082175999879837,bmm
,9,9x17x11x965,3.88,1470.0,64.0,50.91403999999999,0.0106048000976443,bmm
,16,16x7x23x929,4.0,1470.0,65.0,50.87963999999999,0.0130431998521089,bmm
,15,15x13x30x871,4.0,1470.0,65.0,50.93896000000001,0.018393600359559,bmm
,12,12x17x35x7,4.0,1470.0,65.0,51.12992000000001,0.0107391998171806,bmm
,22,22x21x40x20,4.0,1470.0,65.0,51.26119999999997,0.0105535998940467,bmm
,14,14x28x53x30,4.0,1470.0,65.0,51.31448,0.012288000434637,bmm
,2,2x3x48x63,4.0,1470.0,65.0,51.84548,0.0048000000417232,bmm
,16,16x8x62x41,4.0,1470.0,65.0,52.05916000000002,0.00540799992159,bmm
,5,5x19x48x50,4.0,1470.0,65.0,51.85436000000001,0.0109184000641107,bmm
,14,14x27x57x67,4.0,1470.0,65.0,51.927080000000025,0.0130559999495744,bmm
,26,26x11x62x81,5.0,1470.0,66.0,52.00131999999999,0.0080768002197146,bmm
,25,25x18x59x97,5.0,1470.0,66.0,52.00108000000002,0.0189504001289606,bmm
,8,8x14x62x194,5.0,1470.0,66.0,52.015000000000015,0.0073599999770522,bmm
,3,3x23x60x223,5.0,1470.0,66.0,51.71052000000002,0.0128319999203085,bmm
,28,28x18x53x191,5.0,1470.0,66.16,51.61139999999997,0.0184576004743576,bmm
,18,18x18x33x354,5.0,1470.0,67.0,51.66424000000002,0.0122944002971053,bmm
,31,31x23x60x426,5.0,1470.0,67.0,51.87919999999999,0.0270399998873472,bmm
,7,7x13x51x373,5.0,1470.0,67.0,52.11260000000002,0.0077055999077856,bmm
,29,29x22x44x565,5.0,1470.0,67.0,52.00180000000002,0.0273152001202106,bmm
,25,25x29x61x817,5.0,1470.0,67.0,52.27984000000002,0.0390079990029335,bmm
,31,31x19x35x750,5.0,1470.0,67.0,52.5094,0.0288447998464107,bmm
,20,20x19x121x8,5.0,1470.0,67.0,52.59099999999998,0.0190656002610921,bmm
,18,18x3x87x31,5.0,1470.0,67.0,52.00500000000002,0.0055935999378561,bmm
,19,19x26x69x30,5.0,1470.0,67.0,51.85559999999997,0.0142080001533031,bmm
,18,18x9x101x61,5.0,1470.0,67.0,51.85159999999998,0.0066879999823868,bmm
,33,33x18x118x63,5.0,1470.0,67.0,51.72527999999998,0.0185024004429578,bmm
,32,32x10x122x63,5.0,1470.0,67.0,51.80352,0.0082943998277187,bmm
,32,32x3x81x129,5.0,1470.0,67.56,51.75984,0.007142399996519,bmm
,25,25x21x127x69,5.0,1470.0,68.0,51.70619999999997,0.0307199992239475,bmm
,23,23x24x120x83,4.2,1470.0,68.0,51.7842,0.0286848004907369,bmm
,30,30x19x85x147,4.0,1470.0,68.0,51.66248000000002,0.0245824005454778,bmm
,2,2x26x100x131,4.0,1470.0,68.0,51.898,0.0164607997983694,bmm
,6,6x19x106x235,4.0,1470.0,68.0,51.769,0.0177088003605604,bmm
,26,26x24x76x459,4.0,1470.0,68.0,51.81400000000001,0.0301056005060672,bmm
,20,20x27x79x328,4.0,1470.0,68.0,52.210000000000015,0.0183488000184297,bmm
,27,27x18x69x446,4.0,1470.0,68.0,52.035,0.0274687997996807,bmm
,2,2x4x107x762,4.0,1470.0,68.0,52.21399999999997,0.0066304000094532,bmm
,9,9x1x110x756,4.0,1470.0,68.0,51.79700000000002,0.0098432000726461,bmm
,3,3x20x123x544,4.0,445.2,68.0,45.75260000000001,0.0593472011387348,bmm
,19,19x30x239x7,4.0,435.0,68.0,28.02500000000001,0.0957120016217231,bmm
,10,10x31x146x6,4.0,408.6,66.0,27.95716000000001,0.0704704001545906,bmm
,7,7x33x183x10,4.0,405.0,66.0,27.865320000000008,0.0473024003207683,bmm
,23,23x1x175x42,4.0,375.0,66.0,27.82371999999999,0.0460928000509738,bmm
,10,10x11x141x38,4.0,375.0,66.0,27.692999999999994,0.0192128002643585,bmm
,3,3x15x230x36,4.0,375.0,64.0,27.668000000000003,0.022265600040555,bmm
,33,33x23x147x115,4.0,375.0,64.0,27.67008000000001,0.1310208022594451,bmm
,24,24x6x240x78,10.08,375.0,62.48,24.51864,0.0361855991184711,bmm
,10,10x16x155x83,12.0,375.0,62.0,24.176600000000004,0.0303295999765396,bmm
,20,20x18x143x219,12.0,375.0,61.92,24.11748000000001,0.1539583981037139,bmm
,21,21x31x257x167,12.0,375.0,60.0,24.383680000000005,0.4291711986064911,bmm
,27,27x22x142x214,12.0,375.0,60.0,24.39908000000001,0.3359488010406494,bmm
,25,25x22x161x304,21.2,375.0,60.0,24.58039999999999,0.5068863987922668,bmm
,7,7x33x138x429,22.0,375.0,60.0,24.13408,0.1322239995002746,bmm
,20,20x31x178x445,22.0,375.0,59.36,24.906400000000016,0.6182719945907593,bmm
,6,6x11x198x973,22.0,375.0,59.0,24.447479999999995,0.4342208027839661,bmm
,15,15x2x210x614,22.0,375.0,58.68,24.440200000000004,0.5559296011924744,bmm
,8,8x19x189x821,26.0,375.0,58.0,24.2436,0.4504575967788696,bmm
,16,16x27x352x6,27.0,375.0,58.0,23.922479999999982,0.1509952008724212,bmm
,9,9x3x437x22,27.0,375.0,58.0,23.56864,0.0306816007941961,bmm
,26,26x31x386x3,27.0,375.0,58.0,23.483640000000005,0.167289599776268,bmm
,24,24x18x299x60,27.0,375.0,57.08,23.54724,0.167628800868988,bmm
,3,3x23x479x50,19.0,375.0,57.0,23.56584000000001,0.1058304011821746,bmm
,3,3x10x487x56,19.0,375.0,57.0,23.381039999999995,0.0347968004643917,bmm
,17,17x29x366x101,19.0,375.0,57.0,23.99552,0.2948288023471832,bmm
,24,24x33x371x80,19.0,375.0,56.52,24.05732000000001,0.4332160055637359,bmm
,5,5x9x419x74,19.0,375.0,56.0,23.716799999999992,0.0333503998816013,bmm
,23,23x19x297x193,20.92,375.0,56.0,24.064200000000007,0.5061568021774292,bmm
,27,27x2x511x203,23.0,427.8,56.0,25.98168,0.7471743941307067,bmm
,21,21x21x433x231,23.0,435.0,56.0,24.19784,0.6860992074012756,bmm
,16,16x11x424x417,23.0,642.0,56.0,25.256559999999997,0.2030335947871208,bmm
,19,19x32x497x403,45.0,1560.0,58.0,43.236,0.0984191983938217,bmm
,33,33x29x400x317,45.0,1560.0,58.0,52.28400000000002,0.0845248028635978,bmm
,31,31x30x333x656,45.0,1560.0,58.0,53.244,0.137363201379776,bmm
,31,31x17x373x565,45.0,1560.0,58.0,54.88300000000002,0.1249983966350555,bmm
,33,33x31x288x654,45.0,1560.0,60.64,54.59867999999999,0.1210112005472183,bmm
,20,20x19x725x32,45.0,1560.0,61.0,53.36316,0.0716416016221046,bmm
,17,17x31x732x13,45.0,1560.0,62.52,52.00800000000001,0.0723583996295929,bmm
,1,1x11x929x31,5.0,1560.0,63.0,51.76775999999997,0.0102399997413158,bmm
,19,19x3x522x52,5.0,1560.0,63.0,51.97,0.0106303999200463,bmm
,22,22x19x710x44,5.0,1560.0,63.0,52.15719999999998,0.0706815987825393,bmm
,18,18x22x822x33,5.0,1560.0,63.16,52.21920000000003,0.0799487978219986,bmm
,9,9x31x669x123,5.0,1560.0,64.0,52.2548,0.067603200674057,bmm
,29,29x8x723x127,5.0,1560.0,64.0,52.46687999999998,0.0429823994636535,bmm
,5,5x3x946x109,5.0,1560.0,64.0,52.53159999999998,0.0163711998611688,bmm
,9,9x23x634x174,5.0,1560.0,64.0,52.39356000000001,0.0659264013171196,bmm
,8,8x3x942x133,5.0,1477.2,65.0,52.16439999999998,0.0200767997652292,bmm
,19,19x15x839x211,5.0,1470.0,65.0,51.69696,0.090022400021553,bmm
,27,27x10x820x449,4.0,1470.0,65.0,53.0878,0.1453568041324615,bmm
,6,6x29x892x304,4.0,1470.0,65.0,53.98527999999998,0.0949952006340026,bmm
,31,31x16x722x460,4.0,1470.0,65.8,53.569120000000005,0.2292096018791198,bmm
,24,24x21x936x559,4.0,1470.0,66.0,53.74099999999999,0.2454655975103378,bmm
,32,32x30x685x873,4.0,1470.0,66.12,57.11487999999998,0.3284800052642822,bmm
,33,33x30x895x574,4.0,1470.0,67.0,53.227,0.3131456017494202,bmm
,13,13x49x23x18,4.0,1470.0,67.0,59.21800000000001,0.0089727997779846,bmm
,1,1x43x6x32,4.64,1470.0,67.0,51.47000000000002,0.0060416000895202,bmm
,10,10x58x5x20,8.0,1470.0,67.0,51.48299999999997,0.0081151999533176,bmm
,21,21x34x18x61,8.0,1470.0,67.0,51.423,0.009184000082314,bmm
,25,25x53x24x39,8.0,1470.0,67.0,51.52800000000001,0.0091583998873829,bmm
,6,6x55x6x53,8.0,1470.0,67.0,51.53600000000003,0.0081088000908494,bmm
,5,5x43x28x100,8.0,1470.0,67.0,51.47600000000002,0.0102399997413158,bmm
,25,25x54x29x107,8.0,1470.0,67.36,51.628,0.0131135998293757,bmm
,26,26x56x8x90,8.0,540.0,68.0,48.65879999999999,0.021017600223422,bmm
,5,5x61x31x231,8.0,529.8,68.0,32.625040000000006,0.0268800001591444,bmm
,17,17x47x33x185,8.0,525.0,68.0,27.972559999999984,0.0390783995389938,bmm
,20,20x54x30x181,6.0,480.0,65.12,27.975679999999997,0.0384383998811245,bmm
,12,12x43x22x475,6.0,478.8,64.0,27.974000000000004,0.0350271999835968,bmm
,5,5x39x12x444,6.0,450.0,64.0,28.000159999999987,0.0287488002330064,bmm
,9,9x53x8x379,6.0,427.2,63.2,26.0952,0.0252479996532201,bmm
,19,19x41x12x835,6.0,390.0,63.0,24.716040000000007,0.0717760011553764,bmm
,6,6x34x15x812,6.0,378.6,62.84,25.01972,0.0374527998268604,bmm
,16,16x52x3x973,11.88,375.0,61.0,24.8146,0.0864831984043121,bmm
,11,11x53x51x19,13.0,375.0,61.0,24.68356,0.0450432002544403,bmm
,18,18x59x57x29,13.0,375.0,60.44,24.37048,0.0477952003479003,bmm
,28,28x46x64x18,13.0,375.0,60.0,24.62520000000001,0.047078400850296,bmm
,28,28x45x41x52,13.0,375.0,60.0,24.14896,0.0429759994149208,bmm
,14,14x63x37x41,13.0,375.0,59.2,24.37136,0.0394111990928649,bmm
,24,24x52x41x57,17.0,375.0,59.0,23.737919999999995,0.0430015996098518,bmm
,25,25x55x60x105,18.0,375.0,58.8,23.8154,0.07063679844141,bmm
,25,25x40x48x128,18.0,375.0,58.0,23.46624000000001,0.0574464000761508,bmm
,3,3x36x58x129,18.0,375.0,58.0,23.57619999999999,0.047673600167036,bmm
,20,20x60x48x143,18.0,375.0,58.0,24.064999999999998,0.0575295999646186,bmm
,11,11x56x41x197,18.0,375.0,58.0,23.525120000000005,0.0593792013823986,bmm
,11,11x49x39x158,18.0,375.0,57.32,23.298920000000003,0.0400384001433849,bmm
,16,16x59x53x395,18.0,375.0,57.0,23.76095999999999,0.0770239993929862,bmm
,24,24x45x51x412,18.0,375.0,57.0,23.6392,0.1874816015362739,bmm
,20,20x39x46x378,18.0,375.0,57.0,23.84332,0.0692479997873306,bmm
,5,5x36x60x646,18.0,375.0,57.0,23.64048,0.0702015995979309,bmm
,11,11x61x62x834,18.92,375.0,56.48,23.630560000000006,0.2832895934581756,bmm
,6,6x48x55x918,19.0,375.0,56.0,23.77784,0.069420801103115,bmm
,15,15x41x90x26,19.0,375.0,56.0,23.710799999999995,0.0593728013336658,bmm
,28,28x58x128x2,19.0,375.0,56.0,23.28864000000001,0.069836801290512,bmm
,4,4x38x100x25,19.0,375.0,56.0,23.392160000000004,0.037049601227045,bmm
,21,21x47x68x50,19.0,375.0,56.0,23.737680000000008,0.0512639991939067,bmm
,21,21x55x68x55,21.0,375.0,56.0,23.51604,0.0516672007739543,bmm
,9,9x54x87x53,21.0,375.0,56.0,23.37419999999999,0.0573120005428791,bmm
,32,32x53x87x110,21.0,375.0,56.0,23.5874,0.0939392015337944,bmm
,22,22x37x95x109,21.0,375.0,56.0,23.285999999999994,0.0932031989097595,bmm
,29,29x59x86x117,21.0,375.0,56.0,23.178479999999983,0.0931328013539314,bmm
,5,5x54x86x225,20.96,375.0,55.0,23.344040000000003,0.0576575994491577,bmm
,17,17x51x103x189,20.0,375.0,55.0,23.42908,0.1023487985134124,bmm
,11,11x51x75x250,20.0,375.0,55.0,23.236079999999998,0.0819199979305267,bmm
,29,29x62x98x372,20.0,375.0,55.0,23.87708,0.5238016068935394,bmm
,26,26x35x129x332,20.0,375.0,55.0,24.327679999999987,0.5365312099456787,bmm
,6,6x57x115x423,20.0,375.0,55.0,23.547199999999997,0.1104703992605209,bmm
,32,32x63x69x689,23.0,450.6,55.0,25.27668,0.8725759863853455,bmm
,18,18x64x77x746,23.0,585.0,55.0,24.917600000000007,0.5282879948616028,bmm
,20,20x65x116x651,23.0,585.0,55.0,24.77132,0.7305536150932312,bmm
,8,8x34x190x24,23.0,585.0,55.0,24.004680000000008,0.0368512012064456,bmm
,15,15x46x197x27,24.6,585.0,55.0,22.89300000000001,0.0642943978309631,bmm
,14,14x62x206x26,33.0,585.0,55.0,23.8084,0.0672191992402076,bmm
,16,16x36x232x53,33.0,585.0,55.0,23.01995999999999,0.0716608017683029,bmm
,12,12x51x153x63,33.0,585.0,55.0,23.696480000000005,0.0556736007332801,bmm
,31,31x36x147x63,33.0,585.0,55.0,23.053120000000003,0.0780799984931945,bmm
,6,6x64x214x87,33.0,585.0,55.0,23.610959999999995,0.0686719998717308,bmm
,25,25x33x138x90,33.0,585.0,55.0,23.22944,0.0841792002320289,bmm
,5,5x35x205x102,19.4,425.4,55.0,23.47416,0.0806271985173225,bmm
,33,33x43x160x222,16.0,769.2,55.0,27.23839999999999,0.0441792003810405,bmm
,14,14x33x206x236,16.0,1470.0,55.0,43.72539999999999,0.0456767998635768,bmm
,27,27x51x170x139,16.0,1470.0,55.0,47.07052000000002,0.0415231995284557,bmm
,15,15x62x204x392,16.0,1470.0,55.0,47.22572,0.0512703992426395,bmm
,23,23x61x197x304,16.0,1470.0,55.64,47.63212000000001,0.051520000398159,bmm
,7,7x59x252x481,16.0,1470.0,59.0,47.9574,0.0552960000932216,bmm
,22,22x39x239x767,25.0,1470.0,59.0,48.09500000000002,0.1045503988862037,bmm
,4,4x65x186x900,25.0,1470.0,59.0,49.52099999999999,0.047231999784708,bmm
,3,3x33x152x824,25.0,1470.0,59.0,48.45900000000003,0.0349311999976635,bmm
,22,22x55x406x24,25.0,1470.0,61.0,47.90599999999998,0.0456064008176326,bmm
,7,7x59x280x8,25.0,1470.0,61.0,48.321000000000005,0.0185728006064891,bmm
,25,25x59x384x18,25.0,1470.0,61.0,48.25004000000002,0.0434432007372379,bmm
,12,12x65x422x40,25.0,1470.0,61.0,48.774080000000005,0.0475136004388332,bmm
,17,17x42x288x51,25.0,1470.0,61.64,48.74779999999997,0.0345983989536762,bmm
,1,1x49x360x61,20.8,1470.0,62.0,48.37599999999998,0.0126783998683094,bmm
,9,9x43x387x65,4.0,1470.0,62.0,49.003,0.0442560002207756,bmm
,11,11x59x463x76,4.0,1470.0,62.0,49.599,0.0513471998274326,bmm
,21,21x57x315x114,4.0,1470.0,63.0,49.68639999999998,0.0675007998943328,bmm
,1,1x37x364x183,4.0,1470.0,63.0,49.99192000000001,0.013145600259304,bmm
,15,15x49x465x228,4.0,1470.0,63.0,50.68599999999998,0.0942528024315834,bmm
,6,6x51x481x226,4.0,1470.0,63.0,51.25488,0.0539840005338192,bmm
,26,26x38x413x364,4.0,1470.0,63.48,51.34832,0.1283392012119293,bmm
,17,17x39x358x506,4.0,1470.0,64.0,52.70872,0.0822272002696991,bmm
,28,28x43x259x417,4.0,1470.0,64.0,52.74351999999997,0.1098623976111412,bmm
,18,18x41x357x782,5.0,1470.0,64.0,53.04064,0.1472768008708954,bmm
,33,33x65x303x919,5.0,1470.0,64.0,55.42819999999997,0.4911743938922882,bmm
,15,15x37x392x891,5.0,1470.0,66.0,57.65887999999996,0.1545536011457443,bmm
,24,24x37x770x25,5.0,1470.0,66.0,53.967440000000025,0.0843072012066841,bmm
,10,10x44x674x24,5.0,1470.0,66.0,52.17739999999997,0.0706688001751899,bmm
,9,9x65x553x10,5.0,1470.0,66.0,51.61159999999998,0.0334016002714634,bmm
,12,12x65x783x43,5.0,1470.0,66.0,51.68200000000002,0.0878976002335548,bmm
,33,33x40x608x63,5.0,1470.0,66.0,51.89687999999999,0.069836801290512,bmm
,15,15x38x803x59,5.0,1470.0,66.0,52.21299999999999,0.086387200653553,bmm
,28,28x56x795x115,5.08,1470.0,66.0,51.917,0.1556479930877685,bmm
,14,14x65x923x108,7.0,1470.0,66.2,53.47199999999999,0.1767744034528732,bmm
,26,26x51x571x87,7.0,1470.0,67.0,53.23600000000002,0.1131839990615844,bmm
,26,26x55x917x232,7.0,655.8,67.0,46.18959999999999,0.3939839988946915,bmm
,33,33x39x587x257,7.0,570.0,67.0,30.89104000000001,0.6538624048233033,bmm
,5,5x57x738x187,7.0,558.0,64.0,29.95240000000001,0.2008767992258072,bmm
,18,18x44x707x512,7.0,540.0,64.0,28.782279999999982,0.7871104001998901,bmm
,31,31x56x835x509,9.4,522.6,63.76,30.66119999999999,1.5027135848999025,bmm
,30,30x53x521x263,19.0,504.6,63.0,25.795359999999988,0.625766396522522,bmm
,14,14x59x894x886,19.0,485.4,61.8,26.839,1.2179647922515868,bmm
,12,12x59x1024x650,19.0,467.4,61.0,26.499479999999995,0.8866943955421448,bmm
,24,24x56x776x865,20.28,451.8,60.12,27.946799999999996,1.8329408168792725,bmm
,10,10x86x22x27,27.0,465.0,60.0,24.253640000000004,0.0200448002666234,bmm
,11,11x88x2x9,27.0,465.0,59.0,22.318319999999996,0.0164991997182369,bmm
,10,10x75x25x20,27.0,465.0,59.0,22.946079999999984,0.0211008001118898,bmm
,12,12x123x28x52,27.0,465.0,58.72,22.8698,0.0312128003686666,bmm
,31,31x66x32x63,22.68,465.0,58.0,24.21828,0.0390271991491317,bmm
,17,17x75x28x48,15.0,465.0,58.0,22.94619999999999,0.0308607999235391,bmm
,2,2x84x4x67,15.0,465.0,58.0,22.632400000000008,0.0167104002088308,bmm
,32,32x112x30x69,15.0,465.0,57.28,23.195920000000005,0.0460160009562969,bmm
,29,29x96x3x90,15.0,378.6,57.0,23.964839999999995,0.0319616004824638,bmm
,14,14x79x16x240,18.0,375.0,57.0,24.03615999999999,0.0410943999886512,bmm
,6,6x108x4x144,18.0,375.0,57.0,24.4254,0.0288512002676725,bmm
,32,32x121x19x254,18.0,944.4,57.0,26.51659999999999,0.0225536003708839,bmm
,12,12x67x24x379,18.0,1470.0,57.0,37.31779999999999,0.0147199999541044,bmm
,3,3x90x7x505,18.0,1470.0,57.0,47.15324,0.0085055997595191,bmm
,24,24x118x24x286,18.0,1470.0,57.36,47.58303999999998,0.0225535999983549,bmm
,23,23x123x28x619,22.32,1470.0,60.0,48.20463999999999,0.0409535989165306,bmm
,17,17x111x29x971,24.0,1470.0,60.0,48.72496,0.0455616004765033,bmm
,7,7x69x30x877,24.0,1470.0,60.0,49.154640000000015,0.0224511999636888,bmm
,7,7x103x35x25,24.0,1470.0,60.0,48.727080000000015,0.0081919999793171,bmm
,33,33x93x42x4,24.0,1470.0,62.0,48.53708,0.0163839999586343,bmm
,6,6x116x65x28,24.0,1470.0,62.0,48.33812000000002,0.0101504001766443,bmm
,28,28x111x55x45,24.0,1470.0,62.0,48.89556,0.018342399969697,bmm
,4,4x96x42x51,24.0,1470.0,62.72,49.61555999999997,0.0083519998937845,bmm
,3,3x97x43x36,9.72,1470.0,63.0,49.904,0.0082495998591184,bmm
,33,33x77x53x127,3.0,1470.0,63.0,50.3328,0.0203839998692274,bmm
,23,23x103x48x129,3.0,1470.0,63.0,50.614880000000014,0.0227776002138853,bmm
,10,10x119x52x107,3.0,1470.0,63.0,50.53999999999999,0.018054400011897,bmm
,10,10x68x53x234,3.0,1470.0,64.0,50.658,0.0184320006519556,bmm
,6,6x126x41x257,3.0,1470.0,64.0,51.234,0.0167616002261638,bmm
,13,13x91x37x174,3.0,1470.0,64.0,51.02999999999998,0.0161536000669002,bmm
,16,16x115x35x455,3.0,1470.0,64.0,51.06099999999999,0.0282943997532129,bmm
,33,33x79x44x326,3.0,1470.0,64.36,51.40676000000002,0.0455487996339798,bmm
,29,29x111x38x453,3.0,1470.0,65.0,51.77279999999998,0.0453056000173091,bmm
,19,19x88x40x647,4.28,1470.0,65.0,51.9062,0.0453696005046367,bmm
,1,1x96x50x725,5.0,1470.0,65.0,51.772519999999965,0.0092287998646497,bmm
