Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,46.0,885.0,67.0,111.32499999999999,0.006144000217318535,add
,18,18x218,46.0,885.0,67.0,111.32499999999999,0.006144000217318535,add
,209,209x112,46.0,885.0,67.0,111.32499999999999,0.006131200212985277,add
,83,83x236,46.0,885.0,67.0,111.32499999999999,0.006144000217318535,add
,1,1x37,46.0,885.0,67.0,111.32499999999999,0.005119999870657921,add
,172,172x29,46.0,885.0,67.0,111.32499999999999,0.006144000217318535,add
,188,188x90,46.0,885.0,67.0,111.32499999999999,0.006144000217318535,add
,116,116x165,46.0,885.0,67.0,111.32499999999999,0.006131200212985277,add
,232,232x249,7.0,990.0,65.0,107.31500000000004,0.006144000217318535,add
,235,235x45,7.0,990.0,65.0,107.31500000000004,0.006131200212985277,add
,58,58x332,7.0,990.0,65.0,107.31500000000004,0.006144000217318535,add
,178,178x472,7.0,990.0,65.0,107.31500000000004,0.006144000217318535,add
,211,211x432,7.0,990.0,65.0,107.31500000000004,0.006144000217318535,add
,134,134x373,7.0,990.0,65.0,107.31500000000004,0.006144000217318535,add
,86,86x339,7.0,990.0,65.0,107.31500000000004,0.006131200212985277,add
,163,163x321,7.0,990.0,65.0,107.31500000000004,0.006144000217318535,add
,76,76x447,7.0,990.0,65.0,107.31500000000004,0.006144000217318535,add
,235,235x420,6.0,990.0,65.0,99.32799999999999,0.006553600169718265,add
,174,174x314,6.0,990.0,65.0,99.32799999999999,0.006144000217318535,add
,229,229x439,6.0,990.0,65.0,99.32799999999999,0.006144000217318535,add
,43,43x969,6.0,990.0,65.0,99.32799999999999,0.006144000217318535,add
,76,76x950,6.0,990.0,65.0,99.32799999999999,0.006144000217318535,add
,229,229x602,6.0,990.0,65.0,99.32799999999999,0.0071680000983178616,add
,72,72x601,6.0,990.0,65.0,99.32799999999999,0.006144000217318535,add
,4,4x932,6.0,990.0,65.0,99.32799999999999,0.005932800099253654,add
,149,149x1015,6.0,990.0,65.0,99.32799999999999,0.0071680000983178616,add
,79,79x781,6.0,990.0,65.0,99.32799999999999,0.006144000217318535,add
,15,15x635,6.0,990.0,65.0,95.04700000000001,0.006137600168585777,add
,62,62x895,6.0,990.0,65.0,95.04700000000001,0.006144000217318535,add
,183,183x680,6.0,990.0,65.0,95.04700000000001,0.0071680000983178616,add
,40,40x1421,6.0,990.0,65.0,95.04700000000001,0.006144000217318535,add
,50,50x1745,6.0,990.0,65.0,95.04700000000001,0.006144000217318535,add
,84,84x1234,6.0,990.0,65.0,95.04700000000001,0.006144000217318535,add
,60,60x1293,6.0,990.0,65.0,95.04700000000001,0.006144000217318535,add
,89,89x1648,6.0,990.0,65.0,95.04700000000001,0.007161600049585104,add
,108,108x1291,6.0,990.0,65.0,95.04700000000001,0.010239999741315842,add
,101,101x1245,6.0,990.0,65.0,95.04700000000001,0.010239999741315842,add
,6,6x1222,10.0,345.0,64.0,94.80600000000003,0.008191999979317188,add
,143,143x1737,10.0,345.0,64.0,94.80600000000003,0.01228800043463707,add
,99,99x1602,10.0,345.0,64.0,94.80600000000003,0.011264000087976456,add
,55,55x2789,10.0,345.0,64.0,94.80600000000003,0.011456000059843064,add
,64,64x3957,10.0,345.0,64.0,94.80600000000003,0.012697600200772286,add
,253,253x2522,10.0,345.0,64.0,94.80600000000003,0.02252800017595291,add
,220,220x2822,10.0,345.0,64.0,94.80600000000003,0.02232320010662079,add
,225,225x2397,10.0,345.0,64.0,94.80600000000003,0.018432000651955605,add
,102,102x3436,10.0,345.0,64.0,94.80600000000003,0.014732800051569938,add
,205,205x3507,10.0,345.0,64.0,94.80600000000003,0.025599999353289604,add
,129,129x4053,13.0,285.0,64.0,93.94700000000006,0.018636800348758698,add
,14,14x2782,13.0,285.0,64.0,93.94700000000006,0.009817600063979626,add
,104,104x3251,13.0,285.0,64.0,93.94700000000006,0.015359999611973763,add
,453,453x231,13.0,285.0,64.0,93.94700000000006,0.010828799754381179,add
,341,341x252,13.0,285.0,64.0,93.94700000000006,0.011264000087976456,add
,500,500x81,13.0,285.0,64.0,93.94700000000006,0.010015999898314476,add
,288,288x15,13.0,285.0,64.0,93.94700000000006,0.009216000325977802,add
,476,476x177,13.0,285.0,64.0,93.94700000000006,0.011264000087976456,add
,300,300x34,13.0,285.0,64.0,93.94700000000006,0.009216000325977802,add
,473,473x216,13.0,285.0,64.0,93.94700000000006,0.011673600226640702,add
,307,307x251,14.0,255.0,64.0,92.71599999999995,0.011264000087976456,add
,480,480x104,14.0,255.0,64.0,92.71599999999995,0.010239999741315842,add
,372,372x48,14.0,255.0,64.0,92.71599999999995,0.010239999741315842,add
,296,296x411,14.0,255.0,64.0,92.71599999999995,0.01228800043463707,add
,349,349x266,14.0,255.0,64.0,92.71599999999995,0.01228800043463707,add
,443,443x493,14.0,255.0,64.0,92.71599999999995,0.014924800023436546,add
,361,361x468,14.0,255.0,64.0,92.71599999999995,0.01576959975063801,add
,333,333x355,14.0,255.0,64.0,92.71599999999995,0.014336000196635723,add
,360,360x338,14.0,255.0,64.0,92.71599999999995,0.013721599988639355,add
,267,267x285,14.0,255.0,64.0,92.71599999999995,0.013107199966907502,add
,328,328x377,15.0,210.0,62.0,85.51199999999997,0.0141312001273036,add
,417,417x425,15.0,210.0,62.0,85.51199999999997,0.01576959975063801,add
,397,397x482,15.0,210.0,62.0,85.51199999999997,0.01576959975063801,add
,500,500x765,15.0,210.0,62.0,85.51199999999997,0.020479999482631683,add
,284,284x758,15.0,210.0,62.0,85.51199999999997,0.016383999958634377,add
,261,261x915,15.0,210.0,62.0,85.51199999999997,0.01720320023596287,add
,419,419x929,15.0,210.0,62.0,85.51199999999997,0.019865599274635316,add
,308,308x677,15.0,210.0,62.0,85.51199999999997,0.016383999958634377,add
,351,351x967,15.0,210.0,62.0,85.51199999999997,0.018432000651955605,add
,337,337x768,16.0,210.0,60.0,70.12100000000004,0.016383999958634377,add
,424,424x801,16.0,210.0,60.0,70.12100000000004,0.018432000651955605,add
,267,267x536,16.0,210.0,60.0,70.12100000000004,0.014336000196635723,add
,476,476x779,16.0,210.0,60.0,70.12100000000004,0.020070399343967437,add
,510,510x1267,16.0,210.0,60.0,70.12100000000004,0.12287999838590621,add
,477,477x1448,16.0,210.0,60.0,70.12100000000004,0.1363968014717102,add
,405,405x1561,16.0,210.0,60.0,70.12100000000004,0.11878400295972824,add
,325,325x1687,16.0,210.0,60.0,70.12100000000004,0.06840320080518722,add
,283,283x1706,19.0,210.0,58.0,56.385,0.02252800017595291,add
,459,459x1784,19.0,210.0,58.0,56.385,0.1634304016828537,add
,324,324x1208,19.0,210.0,58.0,56.385,0.020275199413299562,add
,512,512x1600,19.0,210.0,58.0,56.385,0.1644544005393982,add
,418,418x2031,19.0,210.0,58.0,56.385,0.16957440078258515,add
,275,275x1988,19.0,210.0,58.0,56.385,0.06676480025053025,add
,439,439x4036,19.0,210.0,58.0,56.385,0.35430399775505067,add
,402,402x2788,19.0,210.0,58.0,56.385,0.22773759663105012,add
,512,512x2435,19.0,210.0,58.0,56.385,0.25354239344596863,add
,335,335x2167,24.0,210.0,57.0,56.619,0.1462271988391876,add
,488,488x3379,24.0,210.0,57.0,56.619,0.5969919860363007,add
,304,304x3682,24.0,210.0,57.0,56.619,0.5273599863052368,add
