Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,55.0,1005.0,66.0,109.54899999999999,0.005119999870657921,addu
,18,18x218,32.0,1005.0,66.0,112.53000000000003,0.005119999870657921,addu
,209,209x112,32.0,1005.0,66.0,112.53000000000003,0.005119999870657921,addu
,83,83x236,32.0,1005.0,66.0,112.53000000000003,0.005119999870657921,addu
,1,1x37,32.0,1005.0,66.0,112.53000000000003,0.005119999870657921,addu
,172,172x29,32.0,1005.0,66.0,112.53000000000003,0.005119999870657921,addu
,188,188x90,32.0,1005.0,66.0,112.53000000000003,0.005119999870657921,addu
,116,116x165,32.0,1005.0,66.0,112.53000000000003,0.005119999870657921,addu
,232,232x249,32.0,1005.0,66.0,112.53000000000003,0.005119999870657921,addu
,235,235x45,32.0,1005.0,66.0,112.53000000000003,0.005119999870657921,addu
,58,58x332,32.0,1005.0,66.0,112.53000000000003,0.005119999870657921,addu
,178,178x472,32.0,1005.0,66.0,112.53000000000003,0.005119999870657921,addu
,211,211x432,4.0,1005.0,65.0,104.608,0.005119999870657921,addu
,134,134x373,4.0,1005.0,65.0,104.608,0.005126399919390678,addu
,86,86x339,4.0,1005.0,65.0,104.608,0.005119999870657921,addu
,163,163x321,4.0,1005.0,65.0,104.608,0.005119999870657921,addu
,76,76x447,4.0,1005.0,65.0,104.608,0.005119999870657921,addu
,235,235x420,4.0,1005.0,65.0,104.608,0.005145599879324436,addu
,174,174x314,4.0,1005.0,65.0,104.608,0.005119999870657921,addu
,229,229x439,4.0,1005.0,65.0,104.608,0.005119999870657921,addu
,43,43x969,4.0,1005.0,65.0,104.608,0.005119999870657921,addu
,76,76x950,4.0,1005.0,65.0,104.608,0.005119999870657921,addu
,229,229x602,6.0,1005.0,65.0,96.33300000000003,0.006067200098186731,addu
,72,72x601,6.0,1005.0,65.0,96.33300000000003,0.005119999870657921,addu
,4,4x932,6.0,1005.0,65.0,96.33300000000003,0.005119999870657921,addu
,149,149x1015,6.0,1005.0,65.0,96.33300000000003,0.005478399991989136,addu
,79,79x781,6.0,1005.0,65.0,96.33300000000003,0.005119999870657921,addu
,15,15x635,6.0,1005.0,65.0,96.33300000000003,0.005119999870657921,addu
,62,62x895,6.0,1005.0,65.0,96.33300000000003,0.005119999870657921,addu
,183,183x680,6.0,1005.0,65.0,96.33300000000003,0.005516800004988909,addu
,40,40x1421,6.0,1005.0,65.0,96.33300000000003,0.005311999935656786,addu
,50,50x1745,6.0,1005.0,65.0,96.33300000000003,0.005119999870657921,addu
,84,84x1234,5.0,1005.0,65.0,95.06500000000004,0.005574400071054697,addu
,60,60x1293,5.0,1005.0,65.0,95.06500000000004,0.005119999870657921,addu
,89,89x1648,5.0,1005.0,65.0,95.06500000000004,0.005932800099253654,addu
,108,108x1291,5.0,1005.0,65.0,95.06500000000004,0.009216000325977802,addu
,101,101x1245,5.0,1005.0,65.0,95.06500000000004,0.009216000325977802,addu
,6,6x1222,5.0,1005.0,65.0,95.06500000000004,0.008191999979317188,addu
,143,143x1737,5.0,1005.0,65.0,95.06500000000004,0.010239999741315842,addu
,99,99x1602,5.0,1005.0,65.0,95.06500000000004,0.010239999741315842,addu
,55,55x2789,5.0,1005.0,65.0,95.06500000000004,0.010220799781382083,addu
,64,64x3957,5.0,1005.0,65.0,95.06500000000004,0.011046399921178817,addu
,253,253x2522,11.0,315.0,64.0,94.44599999999997,0.015359999611973763,addu
,220,220x2822,11.0,315.0,64.0,94.44599999999997,0.015359999611973763,addu
,225,225x2397,11.0,315.0,64.0,94.44599999999997,0.01454080007970333,addu
,102,102x3436,11.0,315.0,64.0,94.44599999999997,0.01228800043463707,addu
,205,205x3507,11.0,315.0,64.0,94.44599999999997,0.01740800030529499,addu
,129,129x4053,11.0,315.0,64.0,94.44599999999997,0.015359999611973763,addu
,14,14x2782,11.0,315.0,64.0,94.44599999999997,0.009216000325977802,addu
,104,104x3251,11.0,315.0,64.0,94.44599999999997,0.01228800043463707,addu
,453,453x231,11.0,315.0,64.0,94.44599999999997,0.010239999741315842,addu
,341,341x252,11.0,315.0,64.0,94.44599999999997,0.010239999741315842,addu
,500,500x81,10.0,255.0,64.0,93.35599999999998,0.010015999898314476,addu
,288,288x15,10.0,255.0,64.0,93.35599999999998,0.009216000325977802,addu
,476,476x177,10.0,255.0,64.0,93.35599999999998,0.010239999741315842,addu
,300,300x34,10.0,255.0,64.0,93.35599999999998,0.009216000325977802,addu
,473,473x216,10.0,255.0,64.0,93.35599999999998,0.011257600039243698,addu
,307,307x251,10.0,255.0,64.0,93.35599999999998,0.01103999987244606,addu
,480,480x104,10.0,255.0,64.0,93.35599999999998,0.010239999741315842,addu
,372,372x48,10.0,255.0,64.0,93.35599999999998,0.009216000325977802,addu
