Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,8,8x2x18x16,0.0,1005.0,57.0,93.23999999999997,0.006144000217318535,bmm
,18,18x1x11x28,0.0,1005.0,57.0,93.23999999999997,0.006073600146919489,bmm
,6,6x19x24x13,0.0,1005.0,57.0,93.23999999999997,0.014336000196635723,bmm
,5,5x11x16x43,0.0,1005.0,57.0,93.23999999999997,0.006144000217318535,bmm
,26,26x30x10x49,0.0,1005.0,57.0,93.23999999999997,0.013311999849975109,bmm
,5,5x25x25x62,0.0,1005.0,57.0,93.23999999999997,0.016383999958634377,bmm
,20,20x33x13x84,0.0,1005.0,57.0,93.23999999999997,0.013311999849975109,bmm
,9,9x9x31x86,0.0,1005.0,57.0,93.23999999999997,0.006675200071185827,bmm
,15,15x1x5x72,5.0,1005.0,60.0,118.20800000000004,0.005119999870657921,bmm
,7,7x7x28x219,5.0,1005.0,60.0,118.20800000000004,0.0071680000983178616,bmm
,18,18x30x16x148,5.0,1005.0,60.0,118.20800000000004,0.013311999849975109,bmm
,25,25x17x30x202,5.0,1005.0,60.0,118.20800000000004,0.01695359982550144,bmm
,12,12x5x5x377,5.0,1005.0,60.0,118.20800000000004,0.006144000217318535,bmm
,21,21x5x1x491,5.0,1005.0,60.0,118.20800000000004,0.005119999870657921,bmm
,9,9x17x8x311,5.0,1005.0,60.0,118.20800000000004,0.011264000087976456,bmm
,9,9x17x11x965,5.0,1005.0,60.0,118.20800000000004,0.013478399813175201,bmm
,16,16x7x23x929,5.0,1005.0,60.0,118.20800000000004,0.00891520008444786,bmm
,15,15x13x30x871,5.0,1005.0,60.0,118.20800000000004,0.012217600271105767,bmm
,12,12x17x35x7,5.0,1005.0,62.0,119.98399999999997,0.018348800018429756,bmm
,22,22x21x40x20,5.0,1005.0,62.0,119.98399999999997,0.01740800030529499,bmm
,14,14x28x53x30,5.0,1005.0,62.0,119.98399999999997,0.02138879969716072,bmm
,2,2x3x48x63,5.0,1005.0,62.0,119.98399999999997,0.0064640000462532045,bmm
,16,16x8x62x41,5.0,1005.0,62.0,119.98399999999997,0.0071680000983178616,bmm
,5,5x19x48x50,5.0,1005.0,62.0,119.98399999999997,0.019404799863696098,bmm
,14,14x27x57x67,5.0,1005.0,62.0,119.98399999999997,0.022688000276684762,bmm
,26,26x11x62x81,5.0,1005.0,62.0,119.98399999999997,0.008095999993383885,bmm
,25,25x18x59x97,5.0,1005.0,62.0,119.98399999999997,0.0233024001121521,bmm
,8,8x14x62x194,5.0,1005.0,62.0,119.98399999999997,0.0071680000983178616,bmm
,3,3x23x60x223,5.0,1005.0,64.0,121.49200000000005,0.023231999948620796,bmm
,28,28x18x53x191,5.0,1005.0,64.0,121.49200000000005,0.021503999829292297,bmm
,18,18x18x33x354,5.0,1005.0,64.0,121.49200000000005,0.018432000651955605,bmm
,31,31x23x60x426,5.0,1005.0,64.0,121.49200000000005,0.03788800165057182,bmm
,7,7x13x51x373,5.0,1005.0,64.0,121.49200000000005,0.008191999979317188,bmm
