Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,39.0,1005.0,67.0,114.43899999999998,0.006144000217318535,div
,18,18x218,39.0,1005.0,67.0,114.43899999999998,0.006144000217318535,div
,209,209x112,39.0,1005.0,67.0,114.43899999999998,0.006144000217318535,div
,83,83x236,39.0,1005.0,67.0,114.43899999999998,0.006144000217318535,div
,1,1x37,39.0,1005.0,67.0,114.43899999999998,0.005119999870657921,div
,172,172x29,5.0,1005.0,67.0,113.10399999999998,0.006144000217318535,div
,188,188x90,5.0,1005.0,67.0,113.10399999999998,0.006144000217318535,div
,116,116x165,5.0,1005.0,67.0,113.10399999999998,0.006144000217318535,div
,232,232x249,5.0,1005.0,67.0,113.10399999999998,0.006144000217318535,div
,235,235x45,5.0,1005.0,67.0,113.10399999999998,0.006144000217318535,div
,58,58x332,5.0,1005.0,67.0,113.10399999999998,0.006144000217318535,div
,178,178x472,5.0,1005.0,67.0,113.10399999999998,0.006873599905520678,div
,211,211x432,5.0,1005.0,67.0,113.10399999999998,0.006726400088518858,div
,134,134x373,5.0,1005.0,67.0,113.10399999999998,0.006144000217318535,div
,86,86x339,5.0,1005.0,67.0,113.10399999999998,0.006144000217318535,div
,163,163x321,4.0,1005.0,66.0,102.44000000000004,0.006144000217318535,div
,76,76x447,4.0,1005.0,66.0,102.44000000000004,0.006144000217318535,div
,235,235x420,4.0,1005.0,66.0,102.44000000000004,0.007129600085318088,div
,174,174x314,4.0,1005.0,66.0,102.44000000000004,0.006144000217318535,div
,229,229x439,4.0,1005.0,66.0,102.44000000000004,0.006912000011652708,div
,43,43x969,4.0,1005.0,66.0,102.44000000000004,0.006144000217318535,div
,76,76x950,4.0,1005.0,66.0,102.44000000000004,0.00654080007225275,div
,229,229x602,4.0,1005.0,66.0,102.44000000000004,0.0071680000983178616,div
,72,72x601,4.0,1005.0,66.0,102.44000000000004,0.006144000217318535,div
,4,4x932,4.0,1005.0,66.0,102.44000000000004,0.006144000217318535,div
,149,149x1015,6.0,1005.0,65.0,95.48299999999999,0.0071680000983178616,div
,79,79x781,6.0,1005.0,65.0,95.48299999999999,0.006144000217318535,div
,15,15x635,6.0,1005.0,65.0,95.48299999999999,0.006144000217318535,div
,62,62x895,6.0,1005.0,65.0,95.48299999999999,0.006144000217318535,div
,183,183x680,6.0,1005.0,65.0,95.48299999999999,0.0071680000983178616,div
,40,40x1421,6.0,1005.0,65.0,95.48299999999999,0.006144000217318535,div
,50,50x1745,6.0,1005.0,65.0,95.48299999999999,0.006156800128519535,div
,84,84x1234,6.0,1005.0,65.0,95.48299999999999,0.0063488001935184,div
,60,60x1293,6.0,1005.0,65.0,95.48299999999999,0.006496000103652477,div
,89,89x1648,6.0,1005.0,65.0,95.48299999999999,0.013516799919307232,div
,108,108x1291,4.0,345.0,65.0,95.25299999999999,0.013311999849975109,div
,101,101x1245,4.0,345.0,65.0,95.25299999999999,0.013311999849975109,div
,6,6x1222,4.0,345.0,65.0,95.25299999999999,0.010239999741315842,div
,143,143x1737,4.0,345.0,65.0,95.25299999999999,0.015359999611973763,div
,99,99x1602,4.0,345.0,65.0,95.25299999999999,0.014336000196635723,div
,55,55x2789,4.0,345.0,65.0,95.25299999999999,0.014336000196635723,div
,64,64x3957,4.0,345.0,65.0,95.25299999999999,0.015967999771237373,div
,253,253x2522,4.0,345.0,65.0,95.25299999999999,0.025798399373888968,div
,220,220x2822,4.0,345.0,65.0,95.25299999999999,0.025599999353289604,div
,225,225x2397,4.0,345.0,65.0,95.25299999999999,0.023340800404548646,div
,102,102x3436,12.0,300.0,64.0,94.20100000000001,0.019033600017428397,div
,205,205x3507,12.0,300.0,64.0,94.20100000000001,0.028672000393271446,div
,129,129x4053,12.0,300.0,64.0,94.20100000000001,0.023347200453281404,div
,14,14x2782,12.0,300.0,64.0,94.20100000000001,0.012902400083839893,div
,104,104x3251,12.0,300.0,64.0,94.20100000000001,0.01945599913597107,div
,453,453x231,12.0,300.0,64.0,94.20100000000001,0.014937600120902061,div
,341,341x252,12.0,300.0,64.0,94.20100000000001,0.014336000196635723,div
,500,500x81,12.0,300.0,64.0,94.20100000000001,0.013094400055706501,div
,288,288x15,12.0,300.0,64.0,94.20100000000001,0.01228800043463707,div
,476,476x177,12.0,300.0,64.0,94.20100000000001,0.015359999611973763,div
,300,300x34,12.0,255.0,64.0,92.97700000000003,0.013311999849975109,div
,473,473x216,12.0,255.0,64.0,92.97700000000003,0.015359999611973763,div
,307,307x251,12.0,255.0,64.0,92.97700000000003,0.014336000196635723,div
,480,480x104,12.0,255.0,64.0,92.97700000000003,0.015347199887037278,div
,372,372x48,12.0,255.0,64.0,92.97700000000003,0.0141312001273036,div
,296,296x411,12.0,255.0,64.0,92.97700000000003,0.016383999958634377,div
,349,349x266,12.0,255.0,64.0,92.97700000000003,0.016383999958634377,div
,443,443x493,12.0,255.0,64.0,92.97700000000003,0.01945599913597107,div
,361,361x468,12.0,255.0,64.0,92.97700000000003,0.018432000651955605,div
,333,333x355,12.0,255.0,64.0,92.97700000000003,0.016383999958634377,div
,360,360x338,14.0,240.0,64.0,92.51700000000001,0.016383999958634377,div
,267,267x285,14.0,240.0,64.0,92.51700000000001,0.015359999611973763,div
,328,328x377,14.0,240.0,64.0,92.51700000000001,0.016575999930500983,div
,417,417x425,14.0,240.0,64.0,92.51700000000001,0.01884160004556179,div
,397,397x482,14.0,240.0,64.0,92.51700000000001,0.01945599913597107,div
,500,500x765,14.0,240.0,64.0,92.51700000000001,0.025599999353289604,div
,284,284x758,14.0,240.0,64.0,92.51700000000001,0.022118400037288665,div
,261,261x915,14.0,240.0,64.0,92.51700000000001,0.02232320010662079,div
,419,419x929,14.0,240.0,64.0,92.51700000000001,0.025599999353289604,div
,308,308x677,14.0,240.0,64.0,92.51700000000001,0.021503999829292297,div
,351,351x967,15.0,210.0,61.0,85.74700000000001,0.02457600086927414,div
,337,337x768,15.0,210.0,61.0,85.74700000000001,0.02252800017595291,div
,424,424x801,15.0,210.0,61.0,85.74700000000001,0.02457600086927414,div
,267,267x536,15.0,210.0,61.0,85.74700000000001,0.019251199439167976,div
,476,476x779,15.0,210.0,61.0,85.74700000000001,0.02539519965648651,div
,510,510x1267,15.0,210.0,61.0,85.74700000000001,0.12533759772777558,div
,477,477x1448,15.0,210.0,61.0,85.74700000000001,0.14008319675922393,div
,405,405x1561,15.0,210.0,61.0,85.74700000000001,0.12247039824724197,div
,325,325x1687,15.0,210.0,61.0,85.74700000000001,0.07065600156784058,div
,283,283x1706,21.0,210.0,59.0,68.31400000000002,0.02805760018527508,div
,459,459x1784,21.0,210.0,59.0,68.31400000000002,0.16814079880714417,div
,324,324x1208,21.0,210.0,59.0,68.31400000000002,0.02539519965648651,div
,512,512x1600,21.0,210.0,59.0,68.31400000000002,0.1677311986684799,div
,418,418x2031,21.0,210.0,59.0,68.31400000000002,0.1744896024465561,div
,275,275x1988,21.0,210.0,59.0,68.31400000000002,0.06901760101318359,div
,439,439x4036,21.0,210.0,59.0,68.31400000000002,0.35717120170593264,div
,402,402x2788,21.0,210.0,59.0,68.31400000000002,0.22876159846782684,div
,512,512x2435,25.08,210.0,59.0,64.33959999999996,0.2570239961147308,div
,335,335x2167,38.0,210.0,58.0,57.27399999999998,0.1482752025127411,div
,488,488x3379,38.0,210.0,58.0,57.27399999999998,0.3338239908218384,div
,304,304x3682,38.0,210.0,58.0,57.27399999999998,0.22527999877929689,div
,455,455x3697,38.0,210.0,58.0,57.27399999999998,0.3395583987236023,div
,440,440x2442,38.0,210.0,58.0,57.27399999999998,0.22261759638786316,div
,303,303x3779,38.0,210.0,58.0,57.27399999999998,0.2365440011024475,div
,371,371x2684,38.0,210.0,58.0,57.27399999999998,0.20582399666309356,div
,665,665x66,38.0,210.0,58.0,57.27399999999998,0.016179199889302255,div
,948,948x212,25.0,210.0,58.0,57.935999999999986,0.020479999482631683,div
,986,986x92,25.0,210.0,58.0,57.935999999999986,0.017612800374627112,div
,973,973x136,25.0,210.0,58.0,57.935999999999986,0.019046399742364883,div
,531,531x3,25.0,210.0,58.0,57.935999999999986,0.014336000196635723,div
,823,823x185,25.0,210.0,58.0,57.935999999999986,0.019046399742364883,div
,529,529x97,25.0,210.0,58.0,57.935999999999986,0.016383999958634377,div
,821,821x238,25.0,210.0,58.0,57.935999999999986,0.02088959962129593,div
,1009,1009x242,25.0,210.0,58.0,57.935999999999986,0.022118400037288665,div
,521,521x53,25.0,210.0,58.0,57.935999999999986,0.015359999611973763,div
,1012,1012x375,15.0,210.0,57.0,56.947000000000024,0.025599999353289604,div
,632,632x510,15.0,210.0,57.0,56.947000000000024,0.023552000522613525,div
,865,865x481,15.0,210.0,57.0,56.947000000000024,0.026419199630618097,div
,881,881x498,15.0,210.0,57.0,56.947000000000024,0.026623999699950218,div
,673,673x508,15.0,210.0,57.0,56.947000000000024,0.026419199630618097,div
,880,880x390,15.0,210.0,57.0,56.947000000000024,0.026623999699950218,div
,745,745x318,15.0,210.0,57.0,56.947000000000024,0.023756800591945647,div
,619,619x282,15.0,210.0,57.0,56.947000000000024,0.02252800017595291,div
,633,633x362,15.0,210.0,57.0,56.947000000000024,0.024371200799942018,div
,855,855x327,9.0,210.0,56.0,53.53299999999999,0.02457600086927414,div
,806,806x688,9.0,210.0,56.0,53.53299999999999,0.15687679946422578,div
,746,746x654,9.0,210.0,56.0,53.53299999999999,0.029900800436735153,div
,523,523x584,9.0,210.0,56.0,53.53299999999999,0.026214399561285972,div
,550,550x667,9.0,210.0,56.0,53.53299999999999,0.027648000046610832,div
,799,799x663,9.0,210.0,56.0,53.53299999999999,0.08949760049581527,div
,599,599x550,9.0,210.0,56.0,53.53299999999999,0.025599999353289604,div
,676,676x536,9.0,210.0,56.0,53.53299999999999,0.027648000046610832,div
,778,778x875,9.0,210.0,56.0,53.53299999999999,0.30781440138816835,div
,754,754x752,17.0,210.0,55.0,51.31300000000002,0.18391039967536926,div
,710,710x882,17.0,210.0,55.0,51.31300000000002,0.26603519916534424,div
,948,948x1291,17.0,210.0,55.0,51.31300000000002,0.5763072013854981,div
,1023,1023x1892,17.0,210.0,55.0,51.31300000000002,0.8941567897796631,div
,645,645x1266,17.0,210.0,55.0,51.31300000000002,0.3870720028877258,div
,625,625x1272,17.0,210.0,55.0,51.31300000000002,0.3801088035106659,div
,823,823x1627,23.84,231.6,55.0,51.487959999999994,0.6289407968521118,div
,733,733x1399,36.0,270.0,55.0,51.798999999999985,0.48250879645347594,div
,830,830x1951,36.0,270.0,55.0,51.798999999999985,0.75796480178833,div
,665,665x1691,36.0,270.0,55.0,51.798999999999985,0.530022406578064,div
,797,797x1206,36.0,270.0,55.0,51.798999999999985,0.45137920379638674,div
,1000,1000x1063,36.0,270.0,55.0,51.798999999999985,0.5029888212680816,div
,841,841x3694,32.16,284.4,55.0,52.589559999999985,1.4215168237686158,div
,837,837x3613,28.0,300.0,55.0,53.446,1.3864959955215455,div
,774,774x2416,28.0,300.0,55.0,53.446,0.3756032049655914,div
