Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,49.0,765.0,67.0,110.25399999999995,0.006144000217318535,divu
,18,18x218,49.0,765.0,67.0,110.25399999999995,0.006144000217318535,divu
,209,209x112,49.0,765.0,67.0,110.25399999999995,0.00613120011985302,divu
,83,83x236,49.0,765.0,67.0,110.25399999999995,0.006137600168585777,divu
,1,1x37,49.0,765.0,67.0,110.25399999999995,0.005932800099253654,divu
,172,172x29,49.0,765.0,67.0,110.25399999999995,0.006137600168585777,divu
,188,188x90,49.0,765.0,67.0,110.25399999999995,0.006131200212985277,divu
,116,116x165,49.0,765.0,67.0,110.25399999999995,0.006137600168585777,divu
,232,232x249,49.0,765.0,67.0,110.25399999999995,0.006144000217318535,divu
,235,235x45,5.0,885.0,66.0,106.97899999999998,0.006131200212985277,divu
,58,58x332,5.0,885.0,66.0,106.97899999999998,0.006131200212985277,divu
,178,178x472,5.0,885.0,66.0,106.97899999999998,0.006144000217318535,divu
,211,211x432,5.0,885.0,66.0,106.97899999999998,0.006144000217318535,divu
,134,134x373,5.0,885.0,66.0,106.97899999999998,0.006144000217318535,divu
,86,86x339,5.0,885.0,66.0,106.97899999999998,0.006144000217318535,divu
,163,163x321,5.0,885.0,66.0,106.97899999999998,0.006144000217318535,divu
,76,76x447,5.0,885.0,66.0,106.97899999999998,0.006144000217318535,divu
,235,235x420,5.0,885.0,66.0,106.97899999999998,0.006144000217318535,divu
,174,174x314,5.0,885.0,66.0,106.97899999999998,0.006144000217318535,divu
,229,229x439,5.0,885.0,66.0,106.97899999999998,0.006144000217318535,divu
,43,43x969,6.0,885.0,65.0,98.83500000000002,0.006144000217318535,divu
,76,76x950,6.0,885.0,65.0,98.83500000000002,0.006144000217318535,divu
,229,229x602,6.0,885.0,65.0,98.83500000000002,0.006547200120985508,divu
,72,72x601,6.0,885.0,65.0,98.83500000000002,0.006144000217318535,divu
,4,4x932,6.0,885.0,65.0,98.83500000000002,0.005939200147986412,divu
,149,149x1015,6.0,885.0,65.0,98.83500000000002,0.006547200120985508,divu
,79,79x781,6.0,885.0,65.0,98.83500000000002,0.006144000217318535,divu
,15,15x635,6.0,885.0,65.0,98.83500000000002,0.00613120011985302,divu
,62,62x895,6.0,885.0,65.0,98.83500000000002,0.006144000217318535,divu
,183,183x680,6.0,885.0,65.0,98.83500000000002,0.006144000217318535,divu
,40,40x1421,6.0,885.0,65.0,94.84700000000002,0.006144000217318535,divu
,50,50x1745,6.0,885.0,65.0,94.84700000000002,0.006144000217318535,divu
,84,84x1234,6.0,885.0,65.0,94.84700000000002,0.006144000217318535,divu
,60,60x1293,6.0,885.0,65.0,94.84700000000002,0.006144000217318535,divu
,89,89x1648,6.0,885.0,65.0,94.84700000000002,0.006144000217318535,divu
,108,108x1291,6.0,885.0,65.0,94.84700000000002,0.006144000217318535,divu
,101,101x1245,6.0,885.0,65.0,94.84700000000002,0.01022719983011484,divu
,6,6x1222,6.0,885.0,65.0,94.84700000000002,0.008191999979317188,divu
,143,143x1737,6.0,885.0,65.0,94.84700000000002,0.011257600039243698,divu
,99,99x1602,6.0,885.0,65.0,94.84700000000002,0.010239999741315842,divu
,55,55x2789,10.0,300.0,65.0,94.561,0.01085439994931221,divu
,64,64x3957,10.0,300.0,65.0,94.561,0.012083200365304947,divu
,253,253x2522,10.0,300.0,65.0,94.561,0.01740800030529499,divu
,220,220x2822,10.0,300.0,65.0,94.561,0.01698560006916523,divu
,225,225x2397,10.0,300.0,65.0,94.561,0.016383999958634377,divu
,102,102x3436,10.0,300.0,65.0,94.561,0.013516799919307232,divu
,205,205x3507,10.0,300.0,65.0,94.561,0.01945599913597107,divu
,129,129x4053,10.0,300.0,65.0,94.561,0.016383999958634377,divu
,14,14x2782,10.0,300.0,65.0,94.561,0.010239999741315842,divu
,104,104x3251,10.0,300.0,65.0,94.561,0.014336000196635723,divu
,453,453x231,11.0,240.0,64.0,93.41900000000001,0.011264000087976456,divu
,341,341x252,11.0,240.0,64.0,93.41900000000001,0.011264000087976456,divu
,500,500x81,11.0,240.0,64.0,93.41900000000001,0.010220799781382083,divu
,288,288x15,11.0,240.0,64.0,93.41900000000001,0.009216000325977802,divu
,476,476x177,11.0,240.0,64.0,93.41900000000001,0.010630399733781815,divu
,300,300x34,11.0,240.0,64.0,93.41900000000001,0.009216000325977802,divu
,473,473x216,11.0,240.0,64.0,93.41900000000001,0.011264000087976456,divu
,307,307x251,11.0,240.0,64.0,93.41900000000001,0.011257600039243698,divu
,480,480x104,11.0,240.0,64.0,93.41900000000001,0.010239999741315842,divu
,372,372x48,11.0,240.0,64.0,93.41900000000001,0.009216000325977802,divu
,296,296x411,18.0,240.0,64.0,92.46900000000004,0.01228800043463707,divu
,349,349x266,18.0,240.0,64.0,92.46900000000004,0.01228800043463707,divu
,443,443x493,18.0,240.0,64.0,92.46900000000004,0.0141312001273036,divu
,361,361x468,18.0,240.0,64.0,92.46900000000004,0.013311999849975109,divu
,333,333x355,18.0,240.0,64.0,92.46900000000004,0.01228800043463707,divu
,360,360x338,18.0,240.0,64.0,92.46900000000004,0.01228800043463707,divu
,267,267x285,18.0,240.0,64.0,92.46900000000004,0.01228800043463707,divu
,328,328x377,18.0,240.0,64.0,92.46900000000004,0.01228800043463707,divu
,417,417x425,18.0,240.0,64.0,92.46900000000004,0.013311999849975109,divu
,397,397x482,14.24,214.8,62.2,82.17460000000004,0.013311999849975109,divu
,500,500x765,13.0,210.0,61.0,79.60100000000006,0.015564799681305886,divu
,284,284x758,13.0,210.0,61.0,79.60100000000006,0.013926400057971477,divu
,261,261x915,13.0,210.0,61.0,79.60100000000006,0.014336000196635723,divu
,419,419x929,13.0,210.0,61.0,79.60100000000006,0.016383999958634377,divu
,308,308x677,13.0,210.0,61.0,79.60100000000006,0.013721599988639355,divu
,351,351x967,13.0,210.0,61.0,79.60100000000006,0.015359999611973763,divu
,337,337x768,13.0,210.0,61.0,79.60100000000006,0.014336000196635723,divu
,424,424x801,13.0,210.0,61.0,79.60100000000006,0.015359999611973763,divu
,267,267x536,13.0,210.0,61.0,79.60100000000006,0.013311999849975109,divu
,476,476x779,10.0,210.0,59.0,60.65200000000002,0.016383999958634377,divu
,510,510x1267,10.0,210.0,59.0,60.65200000000002,0.02088959962129593,divu
,477,477x1448,10.0,210.0,59.0,60.65200000000002,0.021503999829292297,divu
,405,405x1561,10.0,210.0,59.0,60.65200000000002,0.020479999482631683,divu
,325,325x1687,10.0,210.0,59.0,60.65200000000002,0.01945599913597107,divu
,283,283x1706,10.0,210.0,59.0,60.65200000000002,0.018227200582623483,divu
,459,459x1784,10.0,210.0,59.0,60.65200000000002,0.06799360066652298,divu
,324,324x1208,10.0,210.0,59.0,60.65200000000002,0.016383999958634377,divu
,512,512x1600,10.0,210.0,59.0,60.65200000000002,0.06594559997320175,divu
,418,418x2031,16.0,210.0,58.0,56.34,0.08294399827718735,divu
,275,275x1988,16.0,210.0,58.0,56.34,0.01945599913597107,divu
,439,439x4036,16.0,210.0,58.0,56.34,0.23552000224590303,divu
,402,402x2788,16.0,210.0,58.0,56.34,0.14008319675922393,divu
,512,512x2435,16.0,210.0,58.0,56.34,0.1644544005393982,divu
,335,335x2167,16.0,210.0,58.0,56.34,0.02170879989862442,divu
,488,488x3379,16.0,210.0,58.0,56.34,0.49151999950408937,divu
,304,304x3682,16.0,210.0,58.0,56.34,0.315391993522644,divu
,455,455x3697,39.0,210.0,57.0,56.071,0.5009408056735992,divu
,440,440x2442,39.0,210.0,57.0,56.071,0.29593599438667295,divu
,303,303x3779,39.0,210.0,57.0,56.071,0.317849600315094,divu
,371,371x2684,39.0,210.0,57.0,56.071,0.27688959836959837,divu
,665,665x66,39.0,210.0,57.0,56.071,0.013311999849975109,divu
,948,948x212,39.0,210.0,57.0,56.071,0.015359999611973763,divu
,986,986x92,39.0,210.0,57.0,56.071,0.014336000196635723,divu
,973,973x136,39.0,210.0,57.0,56.071,0.014950399845838546,divu
,531,531x3,16.0,210.0,56.0,54.173999999999985,0.01228800043463707,divu
,823,823x185,16.0,210.0,56.0,54.173999999999985,0.015155199728906155,divu
,529,529x97,16.0,210.0,56.0,54.173999999999985,0.013311999849975109,divu
,821,821x238,16.0,210.0,56.0,54.173999999999985,0.015359999611973763,divu
,1009,1009x242,16.0,210.0,56.0,54.173999999999985,0.016383999958634377,divu
,521,521x53,16.0,210.0,56.0,54.173999999999985,0.013311999849975109,divu
,1012,1012x375,16.0,210.0,56.0,54.173999999999985,0.018432000651955605,divu
,632,632x510,16.0,210.0,56.0,54.173999999999985,0.017612800374627112,divu
,865,865x481,23.0,210.0,56.0,51.00800000000002,0.018432000651955605,divu
,881,881x498,23.0,210.0,56.0,51.00800000000002,0.01945599913597107,divu
,673,673x508,23.0,210.0,56.0,51.00800000000002,0.017612800374627112,divu
,880,880x390,23.0,210.0,56.0,51.00800000000002,0.01740800030529499,divu
,745,745x318,23.0,210.0,56.0,51.00800000000002,0.016383999958634377,divu
,619,619x282,23.0,210.0,56.0,51.00800000000002,0.015359999611973763,divu
,633,633x362,23.0,210.0,56.0,51.00800000000002,0.01597439981997013,divu
,855,855x327,23.0,210.0,56.0,51.00800000000002,0.016383999958634377,divu
,806,806x688,23.0,210.0,56.0,51.00800000000002,0.021503999829292297,divu
,746,746x654,18.44,210.0,55.24,49.69396,0.01966079920530319,divu
,523,523x584,17.0,210.0,55.0,49.279,0.01740800030529499,divu
,550,550x667,17.0,210.0,55.0,49.279,0.018432000651955605,divu
,799,799x663,17.0,210.0,55.0,49.279,0.021503999829292297,divu
,599,599x550,17.0,210.0,55.0,49.279,0.018227200582623483,divu
,676,676x536,17.0,210.0,55.0,49.279,0.018227200582623483,divu
,778,778x875,17.0,210.0,55.0,49.279,0.023552000522613525,divu
,754,754x752,17.0,210.0,55.0,49.279,0.02170879989862442,divu
,710,710x882,17.0,210.0,55.0,49.279,0.02252800017595291,divu
,948,948x1291,26.0,210.0,55.0,49.77999999999998,0.3598336100578308,divu
,1023,1023x1892,26.0,210.0,55.0,49.77999999999998,0.5775359988212585,divu
,645,645x1266,26.0,210.0,55.0,49.77999999999998,0.13721599876880647,divu
,625,625x1272,26.0,210.0,55.0,49.77999999999998,0.10772479921579362,divu
,823,823x1627,26.0,210.0,55.0,49.77999999999998,0.3985408008098602,divu
,733,733x1399,26.0,210.0,55.0,49.77999999999998,0.2797567963600159,divu
,830,830x1951,26.0,210.0,55.0,49.77999999999998,0.48435199856758115,divu
,665,665x1691,26.0,210.0,55.0,49.77999999999998,0.3078144073486328,divu
,797,797x1206,23.0,210.0,55.0,50.417,0.26378238797187803,divu
,1000,1000x1063,23.0,210.0,55.0,50.417,0.29122560024261473,divu
,841,841x3694,23.0,210.0,55.0,50.417,0.9261055827140808,divu
,837,837x3613,23.0,210.0,55.0,50.417,0.8994815945625305,divu
,774,774x2416,23.0,210.0,55.0,50.417,0.5599231839179992,divu
,572,572x3269,23.0,210.0,55.0,50.417,0.558080005645752,divu
,636,636x2261,23.0,229.2,55.0,50.99684000000002,0.42680320143699646,divu
,838,838x3952,30.0,270.0,55.0,52.22900000000002,0.9801728129386902,divu
,616,616x3057,30.0,270.0,55.0,52.22900000000002,0.5609472036361695,divu
,685,685x3053,30.0,270.0,55.0,52.22900000000002,0.6230015993118286,divu
,574,574x4024,30.0,270.0,55.0,52.22900000000002,0.6879231929779053,divu
,584,584x3280,30.0,270.0,55.0,52.22900000000002,0.5672960042953491,divu
,1726,1726x134,30.0,270.0,55.0,52.22900000000002,0.013311999849975109,divu
,1057,1057x69,50.0,330.0,55.0,53.872,0.01228800043463707,divu
,1191,1191x40,50.0,330.0,55.0,53.872,0.011264000087976456,divu
,1042,1042x64,50.0,330.0,55.0,53.872,0.01228800043463707,divu
,1757,1757x99,50.0,330.0,55.0,53.872,0.013311999849975109,divu
,2034,2034x108,50.0,330.0,55.0,53.872,0.013311999849975109,divu
,1421,1421x90,50.0,330.0,55.0,53.872,0.01228800043463707,divu
,1072,1072x130,50.0,330.0,55.0,53.872,0.012492800317704677,divu
,1274,1274x239,50.0,330.0,55.0,53.872,0.0141312001273036,divu
,1672,1672x3,50.0,330.0,55.0,53.872,0.011264000087976456,divu
,1536,1536x357,50.0,330.0,55.0,53.872,0.016588800027966498,divu
,1074,1074x428,13.0,330.0,54.0,52.266000000000005,0.015359999611973763,divu
,1509,1509x294,13.0,330.0,54.0,52.266000000000005,0.015359999611973763,divu
,1666,1666x290,13.0,330.0,54.0,52.266000000000005,0.01576959975063801,divu
,1139,1139x283,13.0,330.0,54.0,52.266000000000005,0.014336000196635723,divu
,1811,1811x494,13.0,330.0,54.0,52.266000000000005,0.22937600016593934,divu
,1235,1235x263,13.0,330.0,54.0,52.266000000000005,0.014336000196635723,divu
,1405,1405x381,13.0,330.0,54.0,52.266000000000005,0.016383999958634377,divu
,1323,1323x332,13.0,330.0,54.0,52.266000000000005,0.015359999611973763,divu
,1511,1511x284,13.0,330.0,54.0,52.266000000000005,0.015359999611973763,divu
,1999,1999x991,14.0,330.0,54.0,50.03400000000001,0.5875712037086487,divu
,1111,1111x1020,14.0,330.0,54.0,50.03400000000001,0.3102719962596893,divu
,1703,1703x897,14.0,330.0,54.0,50.03400000000001,0.4579327940940857,divu
,1086,1086x630,14.0,330.0,54.0,50.03400000000001,0.018432000651955605,divu
,1430,1430x803,14.0,330.0,54.0,50.03400000000001,0.3219456017017365,divu
,1069,1069x693,14.0,330.0,54.0,50.03400000000001,0.01945599913597107,divu
,1649,1649x980,14.0,330.0,54.0,50.03400000000001,0.4806656002998352,divu
,1292,1292x707,14.0,330.0,54.0,50.03400000000001,0.2445311963558197,divu
