Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,37.0,510.0,65.0,104.39000000000001,0.0071680000983178616,gelu
,18,18x218,37.0,510.0,65.0,104.39000000000001,0.0071680000983178616,gelu
,209,209x112,37.0,510.0,65.0,104.39000000000001,0.0071680000983178616,gelu
,83,83x236,37.0,510.0,65.0,104.39000000000001,0.006924800015985966,gelu
,1,1x37,37.0,510.0,65.0,104.39000000000001,0.006336000189185143,gelu
,172,172x29,37.0,510.0,65.0,104.39000000000001,0.0071680000983178616,gelu
,188,188x90,9.0,540.0,65.0,103.19999999999999,0.006732800137251615,gelu
,116,116x165,9.0,540.0,65.0,103.19999999999999,0.006745600048452616,gelu
,232,232x249,9.0,540.0,65.0,103.19999999999999,0.0071680000983178616,gelu
,235,235x45,9.0,540.0,65.0,103.19999999999999,0.0071680000983178616,gelu
,58,58x332,9.0,540.0,65.0,103.19999999999999,0.0071680000983178616,gelu
,178,178x472,9.0,540.0,65.0,103.19999999999999,0.0071680000983178616,gelu
,211,211x432,9.0,540.0,65.0,103.19999999999999,0.0071680000983178616,gelu
,134,134x373,9.0,540.0,65.0,103.19999999999999,0.0071680000983178616,gelu
,86,86x339,9.0,540.0,65.0,103.19999999999999,0.0071680000983178616,gelu
,163,163x321,9.0,540.0,65.0,103.19999999999999,0.0071680000983178616,gelu
,76,76x447,10.0,540.0,64.0,96.79500000000003,0.0071680000983178616,gelu
,235,235x420,10.0,540.0,64.0,96.79500000000003,0.008191999979317188,gelu
,174,174x314,10.0,540.0,64.0,96.79500000000003,0.007571200001984834,gelu
,229,229x439,10.0,540.0,64.0,96.79500000000003,0.007558400090783834,gelu
,43,43x969,10.0,540.0,64.0,96.79500000000003,0.0071680000983178616,gelu
,76,76x950,10.0,540.0,64.0,96.79500000000003,0.0071680000983178616,gelu
,229,229x602,10.0,540.0,64.0,96.79500000000003,0.008191999979317188,gelu
,72,72x601,10.0,540.0,64.0,96.79500000000003,0.0071680000983178616,gelu
,4,4x932,10.0,540.0,64.0,96.79500000000003,0.007136000040918589,gelu
,149,149x1015,10.0,540.0,64.0,96.79500000000003,0.008191999979317188,gelu
,79,79x781,7.0,540.0,64.0,93.71099999999997,0.007545600179582834,gelu
,15,15x635,7.0,540.0,64.0,93.71099999999997,0.0071680000983178616,gelu
,62,62x895,7.0,540.0,64.0,93.71099999999997,0.0071680000983178616,gelu
,183,183x680,7.0,540.0,64.0,93.71099999999997,0.00818559993058443,gelu
,40,40x1421,7.0,540.0,64.0,93.71099999999997,0.0071680000983178616,gelu
,50,50x1745,7.0,540.0,64.0,93.71099999999997,0.0071680000983178616,gelu
,84,84x1234,7.0,540.0,64.0,93.71099999999997,0.007955200131982565,gelu
,60,60x1293,7.0,540.0,64.0,93.71099999999997,0.007360000163316727,gelu
,89,89x1648,7.0,540.0,64.0,93.71099999999997,0.011456000246107578,gelu
,108,108x1291,7.0,540.0,64.0,93.71099999999997,0.013273600116372108,gelu
,101,101x1245,10.0,240.0,64.0,93.65900000000005,0.01228800043463707,gelu
,6,6x1222,10.0,240.0,64.0,93.65900000000005,0.010239999741315842,gelu
,143,143x1737,10.0,240.0,64.0,93.65900000000005,0.014950399845838546,gelu
,99,99x1602,10.0,240.0,64.0,93.65900000000005,0.013311999849975109,gelu
,55,55x2789,10.0,240.0,64.0,93.65900000000005,0.013107199966907502,gelu
,64,64x3957,10.0,240.0,64.0,93.65900000000005,0.01535359974950552,gelu
,253,253x2522,10.0,240.0,64.0,93.65900000000005,0.021503999829292297,gelu
,220,220x2822,10.0,240.0,64.0,93.65900000000005,0.02088959962129593,gelu
,225,225x2397,10.0,240.0,64.0,93.65900000000005,0.01945599913597107,gelu
,102,102x3436,10.0,240.0,64.0,93.65900000000005,0.016383999958634377,gelu
,205,205x3507,13.0,240.0,64.0,93.189,0.022732800245285033,gelu
,129,129x4053,13.0,240.0,64.0,93.189,0.01945599913597107,gelu
,14,14x2782,13.0,240.0,64.0,93.189,0.010239999741315842,gelu
,104,104x3251,13.0,240.0,64.0,93.189,0.016364799812436104,gelu
,453,453x231,13.0,240.0,64.0,93.189,0.01228800043463707,gelu
,341,341x252,13.0,240.0,64.0,93.189,0.01228800043463707,gelu
,500,500x81,13.0,240.0,64.0,93.189,0.010239999741315842,gelu
,288,288x15,13.0,240.0,64.0,93.189,0.010239999741315842,gelu
,476,476x177,13.0,240.0,64.0,93.189,0.011456000059843064,gelu
