Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,1,1x58x13x141,100.0,315.0,86.0,207.82399999999996,0.01228800043463707,linear
,1,1x102x215x113,100.0,315.0,86.0,207.82399999999996,0.01945599913597107,linear
,1,1x195x50x184,3.0,1005.0,82.0,210.192,0.015321599878370762,linear
,1,1x117x149x297,3.0,1005.0,82.0,210.192,0.018432000651955605,linear
,1,1x88x126x340,3.0,1005.0,82.0,210.192,0.01740800030529499,linear
,1,1x109x162x365,3.0,1005.0,82.0,210.192,0.01945599913597107,linear
,1,1x71x253x606,3.0,1005.0,82.0,210.192,0.021503999829292297,linear
,1,1x137x175x627,3.0,1005.0,82.0,210.192,0.021503999829292297,linear
,1,1x192x83x513,3.0,1005.0,82.0,210.192,0.018432000651955605,linear
,1,1x36x65x1287,3.0,1005.0,82.0,210.192,0.016383999958634377,linear
,1,1x127x116x1156,3.0,1005.0,82.0,210.192,0.01945599913597107,linear
,1,1x122x143x2019,3.0,1005.0,82.0,210.192,0.028672000393271446,linear
,1,1x211x240x2270,5.0,1005.0,78.0,149.42000000000004,0.04710400104522705,linear
,1,1x143x237x3072,5.0,1005.0,78.0,149.42000000000004,0.048128001391887665,linear
,1,1x206x31x2723,5.0,1005.0,78.0,149.42000000000004,0.02252800017595291,linear
,1,1x30x32x6666,5.0,1005.0,78.0,149.42000000000004,0.016383999958634377,linear
,1,1x127x21x4768,5.0,1005.0,78.0,149.42000000000004,0.020479999482631683,linear
,1,1x38x5x7851,5.0,1005.0,78.0,149.42000000000004,0.016383999958634377,linear
,1,1x155x5x13098,5.0,1005.0,78.0,149.42000000000004,0.058553601056337355,linear
,1,1x251x129x9025,5.0,1005.0,78.0,149.42000000000004,0.11059200018644333,linear
,1,1x58x39x10635,5.0,1005.0,78.0,149.42000000000004,0.027648000046610832,linear
,1,1x53x182x29701,5.0,1005.0,78.0,149.42000000000004,0.1228799968957901,linear
,1,1x56x196x17653,10.0,1005.0,76.0,109.42900000000004,0.07475200295448303,linear
,1,1x143x36x25531,10.0,1005.0,76.0,109.42900000000004,0.13516800105571747,linear
,1,1x161x224x40347,10.0,1005.0,76.0,109.42900000000004,0.3745791971683502,linear
,1,1x64x154x53038,10.0,1005.0,76.0,109.42900000000004,0.23736320436000824,linear
,1,1x156x147x46543,10.0,1005.0,76.0,109.42900000000004,0.3354495942592621,linear
,1,1x121x415x116,10.0,1005.0,76.0,109.42900000000004,0.020211200416088104,linear
,1,1x205x381x76,10.0,1005.0,76.0,109.42900000000004,0.020479999482631683,linear
,1,1x163x483x219,10.0,1005.0,76.0,109.42900000000004,0.025599999353289604,linear
,1,1x147x377x396,10.0,1005.0,76.0,109.42900000000004,0.02699519954621792,linear
,1,1x170x495x469,5.0,1005.0,74.0,107.29500000000003,0.035840000957250595,linear
,1,1x113x506x369,5.0,1005.0,74.0,107.29500000000003,0.02969600073993206,linear
,1,1x14x299x951,5.0,1005.0,74.0,107.29500000000003,0.020479999482631683,linear
,1,1x143x472x771,5.0,1005.0,74.0,107.29500000000003,0.03352319970726967,linear
,1,1x79x379x642,5.0,1005.0,74.0,107.29500000000003,0.03788800165057182,linear
,1,1x160x449x1837,5.0,1005.0,74.0,107.29500000000003,0.08191999793052673,linear
,1,1x7x472x2028,5.0,1005.0,74.0,107.29500000000003,0.03788800165057182,linear
,1,1x166x382x1202,5.0,1005.0,74.0,107.29500000000003,0.07045120149850845,linear
,1,1x182x389x3443,5.0,1005.0,74.0,107.29500000000003,0.131071999669075,linear
,1,1x9x304x3254,9.0,555.0,72.0,104.238,0.043007999658584595,linear
,1,1x157x385x2993,9.0,555.0,72.0,104.238,0.10649599879980087,linear
,1,1x152x373x7053,9.0,555.0,72.0,104.238,0.2211775988340378,linear
,1,1x146x497x8018,9.0,555.0,72.0,104.238,0.2957247972488403,linear
,1,1x78x333x6586,9.0,555.0,72.0,104.238,0.12390399724245071,linear
,1,1x51x363x11650,9.0,555.0,72.0,104.238,0.1894271969795227,linear
,1,1x17x375x12913,9.0,555.0,72.0,104.238,0.12573440372943878,linear
,1,1x37x287x10911,9.0,555.0,72.0,104.238,0.13598079681396485,linear
,1,1x222x422x24589,19.0,495.0,71.0,99.686,0.9908223867416381,linear
,1,1x252x303x31786,19.0,495.0,71.0,99.686,0.9844607830047607,linear
,1,1x233x302x26691,19.0,495.0,71.0,99.686,0.833126425743103,linear
,1,1x27x361x50270,19.0,495.0,71.0,99.686,0.3031040132045746,linear
,1,1x116x315x63010,19.0,495.0,71.0,99.686,0.828006386756897,linear
,1,1x98x326x37344,19.0,495.0,71.0,99.686,0.5271552205085754,linear
,1,1x171x899x234,21.4,507.6,71.08,100.52384,0.04710400104522705,linear
,1,1x254x550x65,39.0,600.0,72.0,106.66800000000006,0.03379200026392937,linear
,1,1x174x920x42,39.0,600.0,72.0,106.66800000000006,0.03276799991726875,linear
,1,1x52x967x342,39.0,600.0,72.0,106.66800000000006,0.041356799006462094,linear
,1,1x93x687x346,39.0,600.0,72.0,106.66800000000006,0.04198399931192398,linear
,1,1x148x674x294,39.0,600.0,72.0,106.66800000000006,0.043007999658584595,linear
,1,1x196x880x815,39.0,600.0,72.0,106.66800000000006,0.11264000087976456,linear
,1,1x129x653x612,39.0,600.0,72.0,106.66800000000006,0.0575360007584095,linear
,1,1x68x887x792,39.0,600.0,72.0,106.66800000000006,0.05632000043988228,linear
,1,1x47x917x1053,39.0,600.0,72.0,106.66800000000006,0.05939200147986412,linear
,1,1x114x577x1975,7.0,600.0,70.0,107.17399999999999,0.09233920127153397,linear
,1,1x199x977x1784,7.0,600.0,70.0,107.17399999999999,0.1771455943584442,linear
