Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,60,60x272,100.0,1005.0,84.0,236.9830000000001,0.008191999979317188,ln
,16,16x304,100.0,1005.0,84.0,236.9830000000001,0.0071680000983178616,ln
,144,144x260,100.0,1005.0,84.0,236.9830000000001,0.008505599945783615,ln
,48,48x452,100.0,1005.0,84.0,236.9830000000001,0.008191999979317188,ln
,44,44x408,5.0,1005.0,80.0,212.753,0.008179200068116187,ln
,52,52x452,5.0,1005.0,80.0,212.753,0.008191999979317188,ln
,40,40x344,5.0,1005.0,80.0,212.753,0.008191999979317188,ln
,120,120x276,5.0,1005.0,80.0,212.753,0.008191999979317188,ln
,204,204x492,5.0,1005.0,80.0,212.753,0.009216000325977802,ln
,116,116x328,5.0,1005.0,80.0,212.753,0.008191999979317188,ln
,200,200x904,5.0,1005.0,80.0,212.753,0.01022719983011484,ln
,224,224x676,5.0,1005.0,80.0,212.753,0.010233599878847598,ln
,80,80x896,5.0,1005.0,80.0,212.753,0.009216000325977802,ln
,124,124x572,5.0,1005.0,80.0,212.753,0.009216000325977802,ln
,88,88x784,5.0,1005.0,76.0,164.49699999999996,0.009216000325977802,ln
,64,64x768,5.0,1005.0,76.0,164.49699999999996,0.009216000325977802,ln
,32,32x748,5.0,1005.0,76.0,164.49699999999996,0.008191999979317188,ln
,68,68x1000,5.0,1005.0,76.0,164.49699999999996,0.009216000325977802,ln
,220,220x936,5.0,1005.0,76.0,164.49699999999996,0.010239999741315842,ln
,100,100x708,5.0,1005.0,76.0,164.49699999999996,0.009216000325977802,ln
,228,228x1228,5.0,1005.0,76.0,164.49699999999996,0.011180800013244152,ln
,112,112x1848,5.0,1005.0,76.0,164.49699999999996,0.013311999849975109,ln
,220,220x2024,5.0,1005.0,76.0,164.49699999999996,0.014336000196635723,ln
,28,28x2004,5.0,1005.0,76.0,164.49699999999996,0.013267199881374836,ln
,208,208x1272,5.0,1005.0,75.0,130.3180000000001,0.011264000087976456,ln
,124,124x1568,5.0,1005.0,75.0,130.3180000000001,0.014336000196635723,ln
,52,52x1176,5.0,1005.0,75.0,130.3180000000001,0.01015039999037981,ln
,84,84x1924,5.0,1005.0,75.0,130.3180000000001,0.01228800043463707,ln
,80,80x1584,5.0,1005.0,75.0,130.3180000000001,0.01365119982510805,ln
,48,48x1892,5.0,1005.0,75.0,130.3180000000001,0.013247999735176564,ln
,220,220x2088,5.0,1005.0,75.0,130.3180000000001,0.012800000049173832,ln
,24,24x3312,5.0,1005.0,75.0,130.3180000000001,0.013311999849975109,ln
,80,80x3020,5.0,1005.0,75.0,130.3180000000001,0.014169600047171115,ln
,140,140x2704,5.0,1005.0,75.0,130.3180000000001,0.014336000196635723,ln
,160,160x2984,5.0,1005.0,73.0,129.2309999999999,0.03276799991726875,ln
,180,180x3688,5.0,1005.0,73.0,129.2309999999999,0.04669440090656281,ln
,224,224x3464,5.0,1005.0,73.0,129.2309999999999,0.03891199827194214,ln
,4,4x2856,5.0,1005.0,73.0,129.2309999999999,0.02969600073993206,ln
,212,212x3388,5.0,1005.0,73.0,129.2309999999999,0.04198399931192398,ln
,208,208x2052,5.0,1005.0,73.0,129.2309999999999,0.03276799991726875,ln
,368,368x500,5.0,1005.0,73.0,129.2309999999999,0.023552000522613525,ln
,360,360x332,5.0,1005.0,73.0,129.2309999999999,0.02252800017595291,ln
,456,456x512,5.0,1005.0,73.0,129.2309999999999,0.025599999353289604,ln
,496,496x284,5.0,582.0,73.0,127.07723999999995,0.023552000522613525,ln
,476,476x488,11.0,300.0,70.0,115.77,0.02539519965648651,ln
,400,400x484,11.0,300.0,70.0,115.77,0.024985600262880325,ln
,336,336x376,11.0,300.0,70.0,115.77,0.023552000522613525,ln
,472,472x288,11.0,300.0,70.0,115.77,0.023552000522613525,ln
,412,412x456,11.0,300.0,70.0,115.77,0.025599999353289604,ln
,456,456x432,11.0,300.0,70.0,115.77,0.028672000393271446,ln
,476,476x652,11.0,300.0,70.0,115.77,0.03276799991726875,ln
,424,424x860,11.0,300.0,70.0,115.77,0.034361600130796435,ln
,436,436x744,11.0,300.0,70.0,115.77,0.03276799991726875,ln
,324,324x1000,12.0,255.0,69.0,100.90599999999996,0.03379200026392937,ln
,416,416x624,12.0,255.0,69.0,100.90599999999996,0.0329535998404026,ln
,412,412x636,12.0,255.0,69.0,100.90599999999996,0.03276799991726875,ln
,508,508x624,12.0,255.0,69.0,100.90599999999996,0.03481600061058998,ln
,496,496x960,12.0,255.0,69.0,100.90599999999996,0.039500799030065536,ln
,452,452x860,12.0,255.0,69.0,100.90599999999996,0.035840000957250595,ln
,432,432x800,12.0,255.0,69.0,100.90599999999996,0.03543040081858635,ln
,500,500x2032,12.0,255.0,69.0,100.90599999999996,0.06451199948787689,ln
,448,448x1996,12.0,255.0,69.0,100.90599999999996,0.060416001826524734,ln
,376,376x1272,12.0,255.0,69.0,100.90599999999996,0.03952639847993851,ln
,404,404x1232,19.0,240.0,67.0,95.596,0.039923199266195294,ln
,400,400x1120,19.0,240.0,67.0,95.596,0.03870079964399338,ln
,504,504x1928,19.0,240.0,67.0,95.596,0.06430719941854476,ln
,508,508x1176,19.0,240.0,67.0,95.596,0.04403200000524521,ln
,372,372x1804,19.0,240.0,67.0,95.596,0.05427199974656105,ln
,368,368x1568,19.0,240.0,67.0,95.596,0.051801598817110064,ln
,488,488x1988,19.0,240.0,67.0,95.596,0.061235199123620986,ln
,392,392x2860,19.0,240.0,67.0,95.596,0.06286079883575439,ln
,344,344x3308,19.0,240.0,67.0,95.596,0.06860800087451935,ln
,512,512x3844,15.0,240.0,66.0,94.13699999999999,0.09830400347709656,ln
,268,268x3152,15.0,240.0,66.0,94.13699999999999,0.05918080136179924,ln
,304,304x3976,15.0,240.0,66.0,94.13699999999999,0.07699200361967087,ln
,512,512x3232,15.0,240.0,66.0,94.13699999999999,0.08028159737586975,ln
,464,464x2056,15.0,240.0,66.0,94.13699999999999,0.05570560023188591,ln
,364,364x3144,15.0,240.0,66.0,94.13699999999999,0.06696960031986236,ln
,416,416x2108,15.0,240.0,66.0,94.13699999999999,0.05632000043988228,ln
,408,408x3168,15.0,240.0,66.0,94.13699999999999,0.0681984007358551,ln
,652,652x292,15.0,240.0,66.0,94.13699999999999,0.02969600073993206,ln
,1016,1016x336,16.0,240.0,65.0,94.00700000000005,0.04689280092716217,ln
,760,760x456,16.0,240.0,65.0,94.00700000000005,0.038284800946712494,ln
,1020,1020x276,16.0,240.0,65.0,94.00700000000005,0.04585600048303604,ln
,660,660x468,16.0,240.0,65.0,94.00700000000005,0.035840000957250595,ln
,904,904x420,16.0,240.0,65.0,94.00700000000005,0.04792320132255554,ln
,616,616x308,16.0,240.0,65.0,94.00700000000005,0.02969600073993206,ln
,880,880x448,16.0,240.0,65.0,94.00700000000005,0.04710400104522705,ln
,904,904x380,16.0,240.0,65.0,94.00700000000005,0.04608000069856644,ln
,992,992x404,16.0,240.0,65.0,94.00700000000005,0.047513601183891294,ln
,824,824x716,12.0,240.0,65.0,93.57799999999999,0.05877760127186775,ln
,536,536x920,12.0,240.0,65.0,93.57799999999999,0.043622399866580966,ln
,708,708x772,12.0,240.0,65.0,93.57799999999999,0.050175998359918594,ln
,608,608x816,12.0,240.0,65.0,93.57799999999999,0.04608000069856644,ln
,684,684x776,12.0,240.0,65.0,93.57799999999999,0.04956160038709641,ln
,920,920x888,12.0,240.0,65.0,93.57799999999999,0.07659520357847213,ln
,904,904x896,12.0,240.0,65.0,93.57799999999999,0.06758400052785873,ln
,824,824x932,12.0,240.0,65.0,93.57799999999999,0.06307839900255204,ln
,756,756x652,12.0,240.0,65.0,93.57799999999999,0.04853760153055191,ln
,932,932x800,20.0,210.0,61.0,77.28199999999997,0.06574079990386963,ln
,892,892x1760,20.0,210.0,61.0,77.28199999999997,0.262963193655014,ln
,536,536x1128,20.0,210.0,61.0,77.28199999999997,0.048128001391887665,ln
,852,852x1328,20.0,210.0,61.0,77.28199999999997,0.14336000084877015,ln
,648,648x1056,20.0,210.0,61.0,77.28199999999997,0.05181439891457558,ln
,944,944x1260,20.0,210.0,61.0,77.28199999999997,0.15974399745464324,ln
,560,560x1644,20.0,210.0,61.0,77.28199999999997,0.10751999914646149,ln
,968,968x1176,20.0,210.0,61.0,77.28199999999997,0.1601535975933075,ln
,816,816x1956,25.0,210.0,60.0,58.029,0.26583040356636045,ln
,860,860x1956,25.0,210.0,60.0,58.029,0.2985984027385712,ln
,672,672x1996,25.0,210.0,60.0,58.029,0.19578880369663237,ln
,576,576x3400,25.0,210.0,60.0,58.029,0.35778560042381286,ln
,620,620x2920,25.0,210.0,60.0,58.029,0.3190783977508545,ln
,744,744x3808,25.0,210.0,60.0,58.029,0.5607423901557922,ln
,520,520x2792,25.0,210.0,60.0,58.029,0.2207744002342224,ln
,944,944x3908,30.0,210.0,59.0,58.332000000000036,0.7120895981788635,ln
,676,676x2252,30.0,210.0,59.0,58.332000000000036,0.23142400085926057,ln
,736,736x2516,30.0,210.0,59.0,58.332000000000036,0.3201023995876312,ln
,920,920x2276,30.0,210.0,59.0,58.332000000000036,0.36270079016685486,ln
,636,636x2080,30.0,210.0,59.0,58.332000000000036,0.1751039981842041,ln
,588,588x3676,30.0,210.0,59.0,58.332000000000036,0.4034560024738312,ln
,1880,1880x408,30.0,210.0,59.0,58.332000000000036,0.06656000018119812,ln
,1920,1920x312,25.0,270.0,58.0,59.77500000000002,0.05980160161852836,ln
,1708,1708x344,25.0,270.0,58.0,59.77500000000002,0.058368001133203506,ln
,1324,1324x388,25.0,270.0,58.0,59.77500000000002,0.050175998359918594,ln
,1688,1688x420,25.0,270.0,58.0,59.77500000000002,0.06205439865589142,ln
,1748,1748x516,25.0,270.0,58.0,59.77500000000002,0.11714560240507126,ln
,1184,1184x304,25.0,270.0,58.0,59.77500000000002,0.043622399866580966,ln
,1336,1336x288,25.0,270.0,58.0,59.77500000000002,0.04505600035190582,ln
,1924,1924x340,25.0,270.0,58.0,59.77500000000002,0.06451199948787689,ln
,1160,1160x428,25.0,270.0,58.0,59.77500000000002,0.04997119903564453,ln
,1744,1744x832,20.0,270.0,57.0,58.10799999999997,0.4577280044555664,ln
,1892,1892x884,20.0,270.0,57.0,58.10799999999997,0.5244928002357483,ln
