Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,31.0,1005.0,66.0,111.52300000000001,0.005119999870657921,mul
,18,18x218,31.0,1005.0,66.0,111.52300000000001,0.005119999870657921,mul
,209,209x112,31.0,1005.0,66.0,111.52300000000001,0.005119999870657921,mul
,83,83x236,31.0,1005.0,66.0,111.52300000000001,0.005119999870657921,mul
,1,1x37,31.0,1005.0,66.0,111.52300000000001,0.005100799910724163,mul
,172,172x29,31.0,1005.0,66.0,111.52300000000001,0.005119999870657921,mul
,188,188x90,31.0,1005.0,66.0,111.52300000000001,0.005119999870657921,mul
,116,116x165,31.0,1005.0,66.0,111.52300000000001,0.005119999870657921,mul
,232,232x249,31.0,1005.0,66.0,111.52300000000001,0.005119999870657921,mul
,235,235x45,31.0,1005.0,66.0,111.52300000000001,0.005119999870657921,mul
,58,58x332,31.0,1005.0,66.0,111.52300000000001,0.005119999870657921,mul
,178,178x472,5.0,1005.0,65.0,105.64000000000001,0.005119999870657921,mul
,211,211x432,5.0,1005.0,65.0,105.64000000000001,0.005875200126320123,mul
,134,134x373,5.0,1005.0,65.0,105.64000000000001,0.005119999870657921,mul
,86,86x339,5.0,1005.0,65.0,105.64000000000001,0.005119999870657921,mul
,163,163x321,5.0,1005.0,65.0,105.64000000000001,0.005119999870657921,mul
,76,76x447,5.0,1005.0,65.0,105.64000000000001,0.005119999870657921,mul
,235,235x420,5.0,1005.0,65.0,105.64000000000001,0.006144000217318535,mul
,174,174x314,5.0,1005.0,65.0,105.64000000000001,0.005119999870657921,mul
,229,229x439,5.0,1005.0,65.0,105.64000000000001,0.006131200212985277,mul
,43,43x969,5.0,1005.0,65.0,101.62324000000001,0.005119999870657921,mul
,76,76x950,5.0,1005.0,65.0,96.51099999999998,0.005119999870657921,mul
,229,229x602,5.0,1005.0,65.0,96.51099999999998,0.00611840020865202,mul
