Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,42.0,930.0,65.0,105.15299999999996,0.005305599886924028,mulu
,18,18x218,42.0,930.0,65.0,105.15299999999996,0.005119999870657921,mulu
,209,209x112,42.0,930.0,65.0,105.15299999999996,0.005331199895590544,mulu
,83,83x236,42.0,930.0,65.0,105.15299999999996,0.005119999870657921,mulu
,1,1x37,42.0,930.0,65.0,105.15299999999996,0.005119999870657921,mulu
,172,172x29,42.0,930.0,65.0,105.15299999999996,0.005311999935656786,mulu
,188,188x90,42.0,930.0,65.0,105.15299999999996,0.005119999870657921,mulu
,116,116x165,6.0,1005.0,65.0,105.03900000000004,0.005119999870657921,mulu
,232,232x249,6.0,1005.0,65.0,105.03900000000004,0.005702400021255017,mulu
,235,235x45,6.0,1005.0,65.0,105.03900000000004,0.005119999870657921,mulu
,58,58x332,6.0,1005.0,65.0,105.03900000000004,0.005119999870657921,mulu
,178,178x472,6.0,1005.0,65.0,105.03900000000004,0.006131200212985277,mulu
,211,211x432,6.0,1005.0,65.0,105.03900000000004,0.005932800099253654,mulu
,134,134x373,6.0,1005.0,65.0,105.03900000000004,0.005728000029921532,mulu
,86,86x339,6.0,1005.0,65.0,105.03900000000004,0.005119999870657921,mulu
,163,163x321,6.0,1005.0,65.0,105.03900000000004,0.0054975999519228935,mulu
,76,76x447,6.0,1005.0,65.0,105.03900000000004,0.005324799939990044,mulu
,235,235x420,4.0,1005.0,65.0,98.22200000000002,0.00613120011985302,mulu
,174,174x314,4.0,1005.0,65.0,98.22200000000002,0.006137600168585777,mulu
,229,229x439,4.0,1005.0,65.0,98.22200000000002,0.006112000159919262,mulu
,43,43x969,4.0,1005.0,65.0,98.22200000000002,0.005356799997389317,mulu
,76,76x950,4.0,1005.0,65.0,98.22200000000002,0.006137600168585777,mulu
,229,229x602,4.0,1005.0,65.0,98.22200000000002,0.006144000217318535,mulu
,72,72x601,4.0,1005.0,65.0,98.22200000000002,0.005913600046187639,mulu
,4,4x932,4.0,1005.0,65.0,98.22200000000002,0.005119999870657921,mulu
,149,149x1015,4.0,1005.0,65.0,98.22200000000002,0.006144000217318535,mulu
,79,79x781,4.0,1005.0,65.0,98.22200000000002,0.005324799939990044,mulu
,15,15x635,6.0,1005.0,65.0,95.15100000000001,0.005119999870657921,mulu
,62,62x895,6.0,1005.0,65.0,95.15100000000001,0.005708799976855516,mulu
,183,183x680,6.0,1005.0,65.0,95.15100000000001,0.006144000217318535,mulu
,40,40x1421,6.0,1005.0,65.0,95.15100000000001,0.005875200033187866,mulu
,50,50x1745,6.0,1005.0,65.0,95.15100000000001,0.006131200212985277,mulu
,84,84x1234,6.0,1005.0,65.0,95.15100000000001,0.006144000217318535,mulu
,60,60x1293,6.0,1005.0,65.0,95.15100000000001,0.0059264000505208966,mulu
,89,89x1648,6.0,1005.0,65.0,95.15100000000001,0.006144000217318535,mulu
,108,108x1291,6.0,1005.0,65.0,95.15100000000001,0.006144000217318535,mulu
,101,101x1245,6.0,1005.0,65.0,95.15100000000001,0.009216000325977802,mulu
,6,6x1222,6.0,1005.0,65.0,95.15100000000001,0.00816000010818243,mulu
,143,143x1737,5.0,330.0,65.0,95.10100000000006,0.010239999741315842,mulu
,99,99x1602,5.0,330.0,65.0,95.10100000000006,0.009216000325977802,mulu
,55,55x2789,5.0,330.0,65.0,95.10100000000006,0.010239999741315842,mulu
,64,64x3957,5.0,330.0,65.0,95.10100000000006,0.011046399921178817,mulu
,253,253x2522,5.0,330.0,65.0,95.10100000000006,0.0159487996250391,mulu
,220,220x2822,5.0,330.0,65.0,95.10100000000006,0.015359999611973763,mulu
,225,225x2397,5.0,330.0,65.0,95.10100000000006,0.015359999611973763,mulu
,102,102x3436,5.0,330.0,65.0,95.10100000000006,0.01228800043463707,mulu
,205,205x3507,5.0,330.0,65.0,95.10100000000006,0.01740800030529499,mulu
,129,129x4053,12.0,285.0,64.0,94.27700000000003,0.015321599878370762,mulu
,14,14x2782,12.0,285.0,64.0,94.27700000000003,0.009216000325977802,mulu
,104,104x3251,12.0,285.0,64.0,94.27700000000003,0.01228800043463707,mulu
,453,453x231,12.0,285.0,64.0,94.27700000000003,0.010239999741315842,mulu
,341,341x252,12.0,285.0,64.0,94.27700000000003,0.010239999741315842,mulu
,500,500x81,12.0,285.0,64.0,94.27700000000003,0.009216000325977802,mulu
,288,288x15,12.0,285.0,64.0,94.27700000000003,0.009216000325977802,mulu
,476,476x177,12.0,285.0,64.0,94.27700000000003,0.010239999741315842,mulu
,300,300x34,12.0,285.0,64.0,94.27700000000003,0.009216000325977802,mulu
,473,473x216,12.0,285.0,64.0,94.27700000000003,0.011040000058710576,mulu
,307,307x251,11.0,240.0,64.0,93.27199999999998,0.01063039992004633,mulu
,480,480x104,11.0,240.0,64.0,93.27199999999998,0.010239999741315842,mulu
,372,372x48,11.0,240.0,64.0,93.27199999999998,0.009216000325977802,mulu
,296,296x411,11.0,240.0,64.0,93.27199999999998,0.011264000087976456,mulu
,349,349x266,11.0,240.0,64.0,93.27199999999998,0.01064319983124733,mulu
,443,443x493,11.0,240.0,64.0,93.27199999999998,0.01228800043463707,mulu
,361,361x468,11.0,240.0,64.0,93.27199999999998,0.011264000087976456,mulu
,333,333x355,11.0,240.0,64.0,93.27199999999998,0.011244799941778183,mulu
,360,360x338,11.0,240.0,64.0,93.27199999999998,0.011264000087976456,mulu
,267,267x285,11.0,240.0,64.0,93.27199999999998,0.010239999741315842,mulu
,328,328x377,12.0,240.0,64.0,92.75700000000005,0.011264000087976456,mulu
,417,417x425,12.0,240.0,64.0,92.75700000000005,0.013311999849975109,mulu
,397,397x482,12.0,240.0,64.0,92.75700000000005,0.013311999849975109,mulu
,500,500x765,12.0,240.0,64.0,92.75700000000005,0.016383999958634377,mulu
,284,284x758,12.0,240.0,64.0,92.75700000000005,0.013311999849975109,mulu
,261,261x915,12.0,240.0,64.0,92.75700000000005,0.0141312001273036,mulu
,419,419x929,12.0,240.0,64.0,92.75700000000005,0.016383999958634377,mulu
,308,308x677,12.0,240.0,64.0,92.75700000000005,0.013311999849975109,mulu
,351,351x967,12.0,240.0,64.0,92.75700000000005,0.015359999611973763,mulu
,337,337x768,23.04,210.0,61.6,78.98399999999997,0.014336000196635723,mulu
,424,424x801,24.0,210.0,60.0,78.98399999999997,0.015359999611973763,mulu
,267,267x536,24.0,210.0,60.0,78.98399999999997,0.012902400083839893,mulu
,476,476x779,24.0,210.0,60.0,78.98399999999997,0.016383999958634377,mulu
,510,510x1267,24.0,210.0,60.0,78.98399999999997,0.020479999482631683,mulu
,477,477x1448,24.0,210.0,60.0,78.98399999999997,0.021503999829292297,mulu
,405,405x1561,24.0,210.0,60.0,78.98399999999997,0.020479999482631683,mulu
,325,325x1687,24.0,210.0,60.0,78.98399999999997,0.01945599913597107,mulu
,283,283x1706,24.0,210.0,60.0,78.98399999999997,0.017612800374627112,mulu
,459,459x1784,24.0,210.0,60.0,78.98399999999997,0.0681984007358551,mulu
,324,324x1208,16.0,210.0,59.0,63.64200000000003,0.016383999958634377,mulu
,512,512x1600,16.0,210.0,59.0,63.64200000000003,0.06574079990386963,mulu
,418,418x2031,16.0,210.0,59.0,63.64200000000003,0.08273919820785522,mulu
,275,275x1988,16.0,210.0,59.0,63.64200000000003,0.01945599913597107,mulu
,439,439x4036,16.0,210.0,59.0,63.64200000000003,0.235110405087471,mulu
