Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,58.0,1005.0,66.0,112.08800000000002,0.00618240013718605,pow
,18,18x218,58.0,1005.0,66.0,112.08800000000002,0.006144000217318535,pow
,209,209x112,58.0,1005.0,66.0,112.08800000000002,0.006144000217318535,pow
,83,83x236,58.0,1005.0,66.0,112.08800000000002,0.006144000217318535,pow
,1,1x37,58.0,1005.0,66.0,112.08800000000002,0.005119999870657921,pow
,172,172x29,58.0,1005.0,66.0,112.08800000000002,0.006144000217318535,pow
,188,188x90,58.0,1005.0,66.0,112.08800000000002,0.006144000217318535,pow
,116,116x165,58.0,1005.0,66.0,112.08800000000002,0.006144000217318535,pow
,232,232x249,58.0,1005.0,66.0,112.08800000000002,0.0071680000983178616,pow
,235,235x45,7.0,1005.0,65.0,107.12800000000001,0.006144000217318535,pow
,58,58x332,7.0,1005.0,65.0,107.12800000000001,0.006144000217318535,pow
,178,178x472,7.0,1005.0,65.0,107.12800000000001,0.0071680000983178616,pow
,211,211x432,7.0,1005.0,65.0,107.12800000000001,0.0071680000983178616,pow
,134,134x373,7.0,1005.0,65.0,107.12800000000001,0.0071680000983178616,pow
,86,86x339,7.0,1005.0,65.0,107.12800000000001,0.0071552000939846035,pow
,163,163x321,7.0,1005.0,65.0,107.12800000000001,0.007148800045251846,pow
,76,76x447,7.0,1005.0,65.0,107.12800000000001,0.006323200184851885,pow
,235,235x420,7.0,1005.0,65.0,107.12800000000001,0.0071680000983178616,pow
,174,174x314,7.0,1005.0,65.0,107.12800000000001,0.007123200036585331,pow
,229,229x439,6.0,1005.0,65.0,98.57099999999997,0.0071680000983178616,pow
,43,43x969,6.0,1005.0,65.0,98.57099999999997,0.006144000217318535,pow
,76,76x950,6.0,1005.0,65.0,98.57099999999997,0.007136000040918589,pow
,229,229x602,6.0,1005.0,65.0,98.57099999999997,0.00818559993058443,pow
,72,72x601,6.0,1005.0,65.0,98.57099999999997,0.006496000103652477,pow
,4,4x932,6.0,1005.0,65.0,98.57099999999997,0.006144000217318535,pow
,149,149x1015,6.0,1005.0,65.0,98.57099999999997,0.00817280001938343,pow
,79,79x781,6.0,1005.0,65.0,98.57099999999997,0.007142399996519088,pow
,15,15x635,6.0,1005.0,65.0,98.57099999999997,0.006144000217318535,pow
,62,62x895,6.0,1005.0,65.0,98.57099999999997,0.007142399996519088,pow
,183,183x680,6.0,1005.0,65.0,95.14699999999998,0.0071680000983178616,pow
,40,40x1421,6.0,1005.0,65.0,95.14699999999998,0.007135999947786331,pow
,50,50x1745,6.0,1005.0,65.0,95.14699999999998,0.0071680000983178616,pow
,84,84x1234,6.0,1005.0,65.0,95.14699999999998,0.0071680000983178616,pow
,60,60x1293,6.0,1005.0,65.0,95.14699999999998,0.0071680000983178616,pow
,89,89x1648,6.0,1005.0,65.0,95.14699999999998,0.008191999979317188,pow
,108,108x1291,6.0,1005.0,65.0,95.14699999999998,0.015359999611973763,pow
,101,101x1245,6.0,1005.0,65.0,95.14699999999998,0.014726400189101697,pow
,6,6x1222,6.0,1005.0,65.0,95.14699999999998,0.01228800043463707,pow
,143,143x1737,6.0,1005.0,65.0,95.14699999999998,0.01945599913597107,pow
,99,99x1602,7.76,330.0,65.0,94.729,0.01717760004103184,pow
,55,55x2789,10.0,330.0,64.0,94.729,0.016383999958634377,pow
,64,64x3957,10.0,330.0,64.0,94.729,0.020479999482631683,pow
,253,253x2522,10.0,330.0,64.0,94.729,0.03399680033326149,pow
,220,220x2822,10.0,330.0,64.0,94.729,0.035840000957250595,pow
,225,225x2397,10.0,330.0,64.0,94.729,0.033587200194597246,pow
,102,102x3436,10.0,330.0,64.0,94.729,0.026623999699950218,pow
,205,205x3507,10.0,330.0,64.0,94.729,0.04198399931192398,pow
,129,129x4053,10.0,330.0,64.0,94.729,0.03379200026392937,pow
,14,14x2782,10.0,330.0,64.0,94.729,0.014336000196635723,pow
,104,104x3251,14.0,285.0,64.0,93.811,0.026815999671816824,pow
,453,453x231,14.0,285.0,64.0,93.811,0.016383999958634377,pow
,341,341x252,14.0,285.0,64.0,93.811,0.01740800030529499,pow
,500,500x81,14.0,285.0,64.0,93.811,0.014336000196635723,pow
,288,288x15,14.0,285.0,64.0,93.811,0.014336000196635723,pow
,476,476x177,14.0,285.0,64.0,93.811,0.016793600097298623,pow
,300,300x34,14.0,285.0,64.0,93.811,0.015359999611973763,pow
,473,473x216,14.0,285.0,64.0,93.811,0.01740800030529499,pow
,307,307x251,14.0,285.0,64.0,93.811,0.01677439995110035,pow
,480,480x104,14.0,285.0,64.0,93.811,0.016383999958634377,pow
,372,372x48,12.0,240.0,64.0,92.75600000000003,0.016383999958634377,pow
,296,296x411,12.0,240.0,64.0,92.75600000000003,0.018432000651955605,pow
,349,349x266,12.0,240.0,64.0,92.75600000000003,0.018432000651955605,pow
,443,443x493,12.0,240.0,64.0,92.75600000000003,0.025599999353289604,pow
,361,361x468,12.0,240.0,64.0,92.75600000000003,0.02252800017595291,pow
,333,333x355,12.0,240.0,64.0,92.75600000000003,0.01945599913597107,pow
,360,360x338,12.0,240.0,64.0,92.75600000000003,0.019033600017428397,pow
,267,267x285,12.0,240.0,64.0,92.75600000000003,0.01740800030529499,pow
,328,328x377,12.0,240.0,64.0,92.75600000000003,0.019046399742364883,pow
,417,417x425,12.0,240.0,64.0,92.75600000000003,0.02271360009908676,pow
,397,397x482,12.0,240.0,64.0,92.45699999999994,0.023552000522613525,pow
,500,500x765,12.0,240.0,64.0,92.45699999999994,0.03276799991726875,pow
,284,284x758,12.0,240.0,64.0,92.45699999999994,0.02497280053794384,pow
,261,261x915,12.0,240.0,64.0,92.45699999999994,0.025599999353289604,pow
,419,419x929,12.0,240.0,64.0,92.45699999999994,0.033587200194597246,pow
,308,308x677,12.0,240.0,64.0,92.45699999999994,0.023552000522613525,pow
,351,351x967,12.0,240.0,64.0,92.45699999999994,0.030719999223947525,pow
,337,337x768,12.0,240.0,64.0,92.45699999999994,0.027648000046610832,pow
,424,424x801,12.0,240.0,64.0,92.45699999999994,0.030719999223947525,pow
,267,267x536,12.0,240.0,64.0,92.45699999999994,0.020479999482631683,pow
,476,476x779,13.0,240.0,63.0,92.28099999999996,0.03174399957060814,pow
,510,510x1267,13.0,240.0,63.0,92.28099999999996,0.04403200000524521,pow
,477,477x1448,13.0,240.0,63.0,92.28099999999996,0.04608000069856644,pow
,405,405x1561,13.0,240.0,63.0,92.28099999999996,0.1226751983165741,pow
,325,325x1687,13.0,240.0,63.0,92.28099999999996,0.06922240108251572,pow
,283,283x1706,13.0,240.0,63.0,92.28099999999996,0.04095999896526337,pow
,459,459x1784,13.0,240.0,63.0,92.28099999999996,0.17121280133724212,pow
,324,324x1208,13.0,240.0,63.0,92.28099999999996,0.03686400130391121,pow
,512,512x1600,13.0,240.0,63.0,92.28099999999996,0.17162240147590638,pow
,418,418x2031,10.0,210.0,61.0,82.29400000000004,0.1769471973180771,pow
,275,275x1988,10.0,210.0,61.0,82.29400000000004,0.06451199948787689,pow
,439,439x4036,10.0,210.0,61.0,82.29400000000004,0.36085760593414307,pow
,402,402x2788,10.0,210.0,61.0,82.29400000000004,0.23060480058193206,pow
,512,512x2435,10.0,210.0,61.0,82.29400000000004,0.2570240020751953,pow
,335,335x2167,10.0,210.0,61.0,82.29400000000004,0.1515520066022873,pow
,488,488x3379,10.0,210.0,61.0,82.29400000000004,0.33689600229263306,pow
,304,304x3682,10.0,210.0,61.0,82.29400000000004,0.2338815987110138,pow
,455,455x3697,31.0,210.0,59.0,68.14899999999996,0.34078720211982727,pow
,440,440x2442,31.0,210.0,59.0,68.14899999999996,0.22527999877929689,pow
,303,303x3779,31.0,210.0,59.0,68.14899999999996,0.23715840280056,pow
,371,371x2684,31.0,210.0,59.0,68.14899999999996,0.20910080373287201,pow
,665,665x66,31.0,210.0,59.0,68.14899999999996,0.018432000651955605,pow
,948,948x212,31.0,210.0,59.0,68.14899999999996,0.025599999353289604,pow
,986,986x92,31.0,210.0,59.0,68.14899999999996,0.020275199413299562,pow
,973,973x136,31.0,210.0,59.0,68.14899999999996,0.02252800017595291,pow
,531,531x3,31.0,210.0,59.0,68.14899999999996,0.016588800027966498,pow
,823,823x185,14.0,210.0,58.0,57.91000000000001,0.02252800017595291,pow
,529,529x97,14.0,210.0,58.0,57.91000000000001,0.018432000651955605,pow
,821,821x238,14.0,210.0,58.0,57.91000000000001,0.026214399561285972,pow
,1009,1009x242,14.0,210.0,58.0,57.91000000000001,0.028672000393271446,pow
,521,521x53,14.0,210.0,58.0,57.91000000000001,0.018432000651955605,pow
,1012,1012x375,14.0,210.0,58.0,57.91000000000001,0.035840000957250595,pow
,632,632x510,14.0,210.0,58.0,57.91000000000001,0.03276799991726875,pow
,865,865x481,14.0,210.0,58.0,57.91000000000001,0.03686400130391121,pow
,881,881x498,14.0,210.0,58.0,57.91000000000001,0.04095999896526337,pow
,673,673x508,8.0,210.0,57.0,56.26600000000001,0.03686400130391121,pow
,880,880x390,8.0,210.0,57.0,56.26600000000001,0.03706880137324333,pow
