Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,36.0,615.0,65.0,103.35300000000002,0.0071680000983178616,powu
,18,18x218,33.0,840.0,65.0,105.92799999999994,0.0071680000983178616,powu
,209,209x112,33.0,840.0,65.0,105.92799999999994,0.0071680000983178616,powu
,83,83x236,33.0,840.0,65.0,105.92799999999994,0.0071680000983178616,powu
,1,1x37,33.0,840.0,65.0,105.92799999999994,0.006144000217318535,powu
,172,172x29,33.0,840.0,65.0,105.92799999999994,0.0071680000983178616,powu
,188,188x90,33.0,840.0,65.0,105.92799999999994,0.0071680000983178616,powu
,116,116x165,33.0,840.0,65.0,105.92799999999994,0.0071680000983178616,powu
,232,232x249,33.0,840.0,65.0,105.92799999999994,0.007980799954384565,powu
,235,235x45,33.0,840.0,65.0,105.92799999999994,0.0071680000983178616,powu
,58,58x332,33.0,840.0,65.0,105.92799999999994,0.0071680000983178616,powu
,178,178x472,5.0,840.0,65.0,101.939,0.008191999979317188,powu
,211,211x432,5.0,840.0,65.0,101.939,0.008191999979317188,powu
,134,134x373,5.0,840.0,65.0,101.939,0.00818559993058443,powu
,86,86x339,5.0,840.0,65.0,101.939,0.0071680000983178616,powu
,163,163x321,5.0,840.0,65.0,101.939,0.00792960012331605,powu
,76,76x447,5.0,840.0,65.0,101.939,0.0071680000983178616,powu
,235,235x420,5.0,840.0,65.0,101.939,0.008191999979317188,powu
,174,174x314,5.0,840.0,65.0,101.939,0.007769600115716457,powu
,229,229x439,5.0,840.0,65.0,101.939,0.008191999979317188,powu
,43,43x969,5.0,840.0,65.0,101.939,0.0071680000983178616,powu
,76,76x950,6.0,840.0,65.0,96.41100000000004,0.00816000010818243,powu
,229,229x602,6.0,840.0,65.0,96.41100000000004,0.008768000081181527,powu
,72,72x601,6.0,840.0,65.0,96.41100000000004,0.007577600050717592,powu
,4,4x932,6.0,840.0,65.0,96.41100000000004,0.0071680000983178616,powu
,149,149x1015,6.0,840.0,65.0,96.41100000000004,0.009209600277245045,powu
,79,79x781,6.0,840.0,65.0,96.41100000000004,0.007744000107049942,powu
,15,15x635,6.0,840.0,65.0,96.41100000000004,0.0071680000983178616,powu
,62,62x895,6.0,840.0,65.0,96.41100000000004,0.007360000163316727,powu
,183,183x680,6.0,840.0,65.0,96.41100000000004,0.008191999979317188,powu
,40,40x1421,6.0,840.0,65.0,96.41100000000004,0.007987200003117322,powu
,50,50x1745,6.0,840.0,64.0,94.67799999999994,0.008191999979317188,powu
,84,84x1234,6.0,840.0,64.0,94.67799999999994,0.013311999849975109,powu
,60,60x1293,6.0,840.0,64.0,94.67799999999994,0.013311999849975109,powu
,89,89x1648,6.0,840.0,64.0,94.67799999999994,0.015334399603307246,powu
,108,108x1291,6.0,840.0,64.0,94.67799999999994,0.01474559996277094,powu
,101,101x1245,6.0,840.0,64.0,94.67799999999994,0.014336000196635723,powu
,6,6x1222,6.0,840.0,64.0,94.67799999999994,0.01228800043463707,powu
,143,143x1737,6.0,840.0,64.0,94.67799999999994,0.019244799762964247,powu
,99,99x1602,6.0,840.0,64.0,94.67799999999994,0.01637119986116886,powu
,55,55x2789,6.0,840.0,64.0,94.67799999999994,0.016383999958634377,powu
,64,64x3957,12.0,300.0,64.0,94.15200000000003,0.020479999482631683,powu
,253,253x2522,12.0,300.0,64.0,94.15200000000003,0.03276799991726875,powu
,220,220x2822,12.0,300.0,64.0,94.15200000000003,0.03379200026392937,powu
,225,225x2397,12.0,300.0,64.0,94.15200000000003,0.031724799424409866,powu
,102,102x3436,12.0,300.0,64.0,94.15200000000003,0.024780800566077232,powu
,205,205x3507,12.0,300.0,64.0,94.15200000000003,0.03686400130391121,powu
,129,129x4053,12.0,300.0,64.0,94.15200000000003,0.03212799951434135,powu
,14,14x2782,12.0,300.0,64.0,94.15200000000003,0.014336000196635723,powu
,104,104x3251,12.0,300.0,64.0,94.15200000000003,0.025593599304556847,powu
,453,453x231,12.0,300.0,64.0,94.15200000000003,0.016383999958634377,powu
,341,341x252,15.0,270.0,64.0,93.27399999999994,0.01719680018723011,powu
,500,500x81,15.0,270.0,64.0,93.27399999999994,0.015359999611973763,powu
,288,288x15,15.0,270.0,64.0,93.27399999999994,0.014336000196635723,powu
,476,476x177,15.0,270.0,64.0,93.27399999999994,0.016383999958634377,powu
,300,300x34,15.0,270.0,64.0,93.27399999999994,0.016179199889302255,powu
,473,473x216,15.0,270.0,64.0,93.27399999999994,0.01740800030529499,powu
,307,307x251,15.0,270.0,64.0,93.27399999999994,0.01720320023596287,powu
,480,480x104,15.0,270.0,64.0,93.27399999999994,0.016383999958634377,powu
,372,372x48,15.0,270.0,64.0,93.27399999999994,0.01740800030529499,powu
,296,296x411,15.0,270.0,64.0,93.27399999999994,0.019865599274635316,powu
,349,349x266,13.0,225.0,63.0,92.662,0.01945599913597107,powu
,443,443x493,13.0,225.0,63.0,92.662,0.025599999353289604,powu
,361,361x468,13.0,225.0,63.0,92.662,0.023552000522613525,powu
,333,333x355,13.0,225.0,63.0,92.662,0.020275199413299562,powu
,360,360x338,13.0,225.0,63.0,92.662,0.020479999482631683,powu
,267,267x285,13.0,225.0,63.0,92.662,0.01884160004556179,powu
,328,328x377,13.0,225.0,63.0,92.662,0.020479999482631683,powu
,417,417x425,13.0,225.0,63.0,92.662,0.023552000522613525,powu
,397,397x482,13.0,225.0,63.0,92.662,0.023552000522613525,powu
,500,500x765,14.0,210.0,60.0,75.308,0.03276799991726875,powu
,284,284x758,14.0,210.0,60.0,75.308,0.025599999353289604,powu
,261,261x915,14.0,210.0,60.0,75.308,0.02600959949195385,powu
,419,419x929,14.0,210.0,60.0,75.308,0.033587200194597246,powu
,308,308x677,14.0,210.0,60.0,75.308,0.024166400730609893,powu
,351,351x967,14.0,210.0,60.0,75.308,0.030719999223947525,powu
,337,337x768,14.0,210.0,60.0,75.308,0.027648000046610832,powu
,424,424x801,14.0,210.0,60.0,75.308,0.030719999223947525,powu
,267,267x536,14.0,210.0,60.0,75.308,0.021503999829292297,powu
,476,476x779,14.0,210.0,60.0,75.308,0.03174399957060814,powu
,510,510x1267,17.0,210.0,59.0,57.200000000000024,0.04403200000524521,powu
,477,477x1448,17.0,210.0,59.0,57.200000000000024,0.04505600035190582,powu
,405,405x1561,17.0,210.0,59.0,57.200000000000024,0.04403200000524521,powu
,325,325x1687,17.0,210.0,59.0,57.200000000000024,0.03993599861860275,powu
,283,283x1706,17.0,210.0,59.0,57.200000000000024,0.03686400130391121,powu
,459,459x1784,17.0,210.0,59.0,57.200000000000024,0.06860800087451935,powu
,324,324x1208,17.0,210.0,59.0,57.200000000000024,0.033587200194597246,powu
,512,512x1600,17.0,210.0,59.0,57.200000000000024,0.06778880059719086,powu
,418,418x2031,17.0,210.0,59.0,57.200000000000024,0.08478719890117645,powu
,275,275x1988,18.0,210.0,58.0,55.785,0.03993599861860275,powu
,439,439x4036,18.0,210.0,58.0,55.785,0.24064000248908995,powu
,402,402x2788,18.0,210.0,58.0,55.785,0.1476608008146286,powu
,512,512x2435,18.0,210.0,58.0,55.785,0.1689600020647049,powu
,335,335x2167,18.0,210.0,58.0,55.785,0.050175998359918594,powu
,488,488x3379,18.0,210.0,58.0,55.785,0.4954111993312836,powu
,304,304x3682,18.0,210.0,58.0,55.785,0.32317439913749696,powu
,455,455x3697,18.0,210.0,58.0,55.785,0.5048320174217225,powu
,440,440x2442,27.0,210.0,57.0,55.40900000000002,0.3012607991695404,powu
,303,303x3779,27.0,210.0,57.0,55.40900000000002,0.32460800409317014,powu
,371,371x2684,27.0,210.0,57.0,55.40900000000002,0.2828287959098816,powu
,665,665x66,27.0,210.0,57.0,55.40900000000002,0.020479999482631683,powu
