Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,38.0,780.0,65.0,105.654,0.006118400115519762,relu
,18,18x218,38.0,780.0,65.0,105.654,0.005888000037521124,relu
,209,209x112,38.0,780.0,65.0,105.654,0.006137600168585777,relu
,83,83x236,38.0,780.0,65.0,105.654,0.006131200212985277,relu
,1,1x37,38.0,780.0,65.0,105.654,0.006131200212985277,relu
,172,172x29,38.0,780.0,65.0,105.654,0.0059264001436531545,relu
,188,188x90,38.0,780.0,65.0,105.654,0.006131200212985277,relu
,116,116x165,38.0,780.0,65.0,105.654,0.00611840020865202,relu
,232,232x249,4.0,855.0,65.0,102.79500000000003,0.006144000217318535,relu
,235,235x45,4.0,855.0,65.0,102.79500000000003,0.005920000001788139,relu
,58,58x332,4.0,855.0,65.0,102.79500000000003,0.006144000217318535,relu
,178,178x472,4.0,855.0,65.0,102.79500000000003,0.006144000217318535,relu
,211,211x432,4.0,855.0,65.0,102.79500000000003,0.006144000217318535,relu
,134,134x373,4.0,855.0,65.0,102.79500000000003,0.006144000217318535,relu
,86,86x339,4.0,855.0,65.0,102.79500000000003,0.00611840020865202,relu
,163,163x321,4.0,855.0,65.0,102.79500000000003,0.006144000217318535,relu
,76,76x447,4.0,855.0,65.0,102.79500000000003,0.006131200212985277,relu
,235,235x420,4.0,855.0,65.0,102.79500000000003,0.006144000217318535,relu
,174,174x314,5.0,855.0,65.0,98.05699999999997,0.006144000217318535,relu
,229,229x439,5.0,855.0,65.0,98.05699999999997,0.006144000217318535,relu
,43,43x969,5.0,855.0,65.0,98.05699999999997,0.006144000217318535,relu
,76,76x950,5.0,855.0,65.0,98.05699999999997,0.006144000217318535,relu
,229,229x602,5.0,855.0,65.0,98.05699999999997,0.006144000217318535,relu
,72,72x601,5.0,855.0,65.0,98.05699999999997,0.006144000217318535,relu
,4,4x932,5.0,855.0,65.0,98.05699999999997,0.006131200212985277,relu
,149,149x1015,5.0,855.0,65.0,98.05699999999997,0.006739200092852116,relu
,79,79x781,5.0,855.0,65.0,98.05699999999997,0.006144000217318535,relu
,15,15x635,5.0,855.0,65.0,98.05699999999997,0.005932800099253654,relu
,62,62x895,7.0,855.0,65.0,94.72800000000002,0.006144000217318535,relu
,183,183x680,7.0,855.0,65.0,94.72800000000002,0.006144000217318535,relu
,40,40x1421,7.0,855.0,65.0,94.72800000000002,0.006144000217318535,relu
,50,50x1745,7.0,855.0,65.0,94.72800000000002,0.006144000217318535,relu
,84,84x1234,7.0,855.0,65.0,94.72800000000002,0.006144000217318535,relu
,60,60x1293,7.0,855.0,65.0,94.72800000000002,0.006144000217318535,relu
,89,89x1648,7.0,855.0,65.0,94.72800000000002,0.010239999741315842,relu
,108,108x1291,7.0,855.0,65.0,94.72800000000002,0.010239999741315842,relu
,101,101x1245,7.0,855.0,65.0,94.72800000000002,0.010239999741315842,relu
,6,6x1222,7.0,855.0,65.0,94.72800000000002,0.008191999979317188,relu
