Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,46.0,1005.0,67.0,112.23700000000004,0.006144000217318535,softmax
,18,18x218,46.0,1005.0,67.0,112.23700000000004,0.006144000217318535,softmax
,209,209x112,46.0,1005.0,67.0,112.23700000000004,0.006144000217318535,softmax
,83,83x236,46.0,1005.0,67.0,112.23700000000004,0.006144000217318535,softmax
,1,1x37,46.0,1005.0,67.0,112.23700000000004,0.005119999870657921,softmax
,172,172x29,6.0,1005.0,66.0,111.64100000000003,0.005305599886924028,softmax
,188,188x90,6.0,1005.0,66.0,111.64100000000003,0.006144000217318535,softmax
,116,116x165,6.0,1005.0,66.0,111.64100000000003,0.006144000217318535,softmax
,232,232x249,6.0,1005.0,66.0,111.64100000000003,0.006348800100386143,softmax
,235,235x45,6.0,1005.0,66.0,111.64100000000003,0.0060928001068532465,softmax
,58,58x332,6.0,1005.0,66.0,111.64100000000003,0.0071680000983178616,softmax
,178,178x472,6.0,1005.0,66.0,111.64100000000003,0.0071680000983178616,softmax
,211,211x432,6.0,1005.0,66.0,111.64100000000003,0.0071680000983178616,softmax
,134,134x373,6.0,1005.0,66.0,111.64100000000003,0.0071680000983178616,softmax
,86,86x339,6.0,1005.0,66.0,111.64100000000003,0.0071680000983178616,softmax
,163,163x321,5.0,1005.0,65.0,102.72299999999997,0.0071680000983178616,softmax
,76,76x447,5.0,1005.0,65.0,102.72299999999997,0.0071680000983178616,softmax
,235,235x420,5.0,1005.0,65.0,102.72299999999997,0.007699199952185154,softmax
,174,174x314,5.0,1005.0,65.0,102.72299999999997,0.007148800045251846,softmax
,229,229x439,5.0,1005.0,65.0,102.72299999999997,0.0071680000983178616,softmax
,43,43x969,5.0,1005.0,65.0,102.72299999999997,0.010239999741315842,softmax
,76,76x950,5.0,1005.0,65.0,102.72299999999997,0.010239999741315842,softmax
,229,229x602,5.0,1005.0,65.0,102.72299999999997,0.009216000325977802,softmax
,72,72x601,5.0,1005.0,65.0,102.72299999999997,0.008755199797451495,softmax
,4,4x932,5.0,1005.0,65.0,102.72299999999997,0.010239999741315842,softmax
,149,149x1015,5.0,1005.0,65.0,95.30299999999994,0.010239999741315842,softmax
,79,79x781,5.0,1005.0,65.0,95.30299999999994,0.009216000325977802,softmax
,15,15x635,5.0,1005.0,65.0,95.30299999999994,0.008768000081181527,softmax
,62,62x895,5.0,1005.0,65.0,95.30299999999994,0.010233599878847598,softmax
,183,183x680,5.0,1005.0,65.0,95.30299999999994,0.009209600277245045,softmax
,40,40x1421,5.0,1005.0,65.0,95.30299999999994,0.009216000325977802,softmax
,50,50x1745,5.0,1005.0,65.0,95.30299999999994,0.009216000325977802,softmax
,84,84x1234,5.0,1005.0,65.0,95.30299999999994,0.010239999741315842,softmax
,60,60x1293,5.0,1005.0,65.0,95.30299999999994,0.009216000325977802,softmax
,89,89x1648,5.0,1005.0,65.0,95.30299999999994,0.010239999741315842,softmax
,108,108x1291,5.0,1005.0,64.0,95.04400000000001,0.021503999829292297,softmax
,101,101x1245,5.0,1005.0,64.0,95.04400000000001,0.02252800017595291,softmax
,6,6x1222,5.0,1005.0,64.0,95.04400000000001,0.020678399503231047,softmax
,143,143x1737,5.0,1005.0,64.0,95.04400000000001,0.023340800404548646,softmax
,99,99x1602,5.0,1005.0,64.0,95.04400000000001,0.02457600086927414,softmax
,55,55x2789,5.0,1005.0,64.0,95.04400000000001,0.02457600086927414,softmax
,64,64x3957,5.0,1005.0,64.0,95.04400000000001,0.027648000046610832,softmax
,253,253x2522,5.0,1005.0,64.0,95.04400000000001,0.04771840125322342,softmax
,220,220x2822,5.0,1005.0,64.0,95.04400000000001,0.03686400130391121,softmax
,225,225x2397,5.0,1005.0,64.0,95.04400000000001,0.03686400130391121,softmax
