Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,42.0,480.0,65.0,106.02700000000003,0.006963200122117996,tanh
,18,18x218,42.0,480.0,65.0,106.02700000000003,0.006323200184851885,tanh
,209,209x112,42.0,480.0,65.0,106.02700000000003,0.006758400145918131,tanh
,83,83x236,42.0,480.0,65.0,106.02700000000003,0.006144000217318535,tanh
,1,1x37,42.0,480.0,65.0,106.02700000000003,0.006144000217318535,tanh
,172,172x29,8.0,615.0,65.0,105.04899999999999,0.006144000217318535,tanh
,188,188x90,8.0,615.0,65.0,105.04899999999999,0.006336000189185143,tanh
,116,116x165,8.0,615.0,65.0,105.04899999999999,0.006144000217318535,tanh
,232,232x249,8.0,615.0,65.0,105.04899999999999,0.0071680000983178616,tanh
,235,235x45,8.0,615.0,65.0,105.04899999999999,0.0067263999953866005,tanh
,58,58x332,8.0,615.0,65.0,105.04899999999999,0.00689920000731945,tanh
,178,178x472,8.0,615.0,65.0,105.04899999999999,0.0071680000983178616,tanh
,211,211x432,8.0,615.0,65.0,105.04899999999999,0.0071680000983178616,tanh
,134,134x373,8.0,615.0,65.0,105.04899999999999,0.0071552000939846035,tanh
,86,86x339,8.0,615.0,65.0,105.04899999999999,0.006950400117784738,tanh
,163,163x321,6.0,615.0,65.0,97.375,0.0071680000983178616,tanh
,76,76x447,6.0,615.0,65.0,97.375,0.0067072001285851,tanh
,235,235x420,6.0,615.0,65.0,97.375,0.0071680000983178616,tanh
,174,174x314,6.0,615.0,65.0,97.375,0.0071680000983178616,tanh
,229,229x439,6.0,615.0,65.0,97.375,0.0071680000983178616,tanh
,43,43x969,6.0,615.0,65.0,97.375,0.006950400024652481,tanh
,76,76x950,6.0,615.0,65.0,97.375,0.0071552000939846035,tanh
,229,229x602,6.0,615.0,65.0,97.375,0.0071680000983178616,tanh
,72,72x601,6.0,615.0,65.0,97.375,0.006956800073385239,tanh
,4,4x932,6.0,615.0,65.0,97.375,0.006144000217318535,tanh
,149,149x1015,7.0,615.0,64.0,93.90299999999998,0.007769600115716457,tanh
,79,79x781,7.0,615.0,64.0,93.90299999999998,0.0071680000983178616,tanh
,15,15x635,7.0,615.0,64.0,93.90299999999998,0.006144000217318535,tanh
,62,62x895,7.0,615.0,64.0,93.90299999999998,0.007142400089651346,tanh
,183,183x680,7.0,615.0,64.0,93.90299999999998,0.0071680000983178616,tanh
,40,40x1421,7.0,615.0,64.0,93.90299999999998,0.007123200036585331,tanh
,50,50x1745,7.0,615.0,64.0,93.90299999999998,0.0071680000983178616,tanh
,84,84x1234,7.0,615.0,64.0,93.90299999999998,0.0071680000983178616,tanh
,60,60x1293,7.0,615.0,64.0,93.90299999999998,0.0071680000983178616,tanh
,89,89x1648,7.0,615.0,64.0,93.90299999999998,0.0071680000983178616,tanh
,108,108x1291,6.0,615.0,64.0,93.78299999999996,0.01228800043463707,tanh
,101,101x1245,6.0,615.0,64.0,93.78299999999996,0.01228800043463707,tanh
,6,6x1222,6.0,615.0,64.0,93.78299999999996,0.010239999741315842,tanh
,143,143x1737,6.0,615.0,64.0,93.78299999999996,0.013894400000572205,tanh
,99,99x1602,6.0,615.0,64.0,93.78299999999996,0.01228800043463707,tanh
,55,55x2789,6.0,615.0,64.0,93.78299999999996,0.01228800043463707,tanh
,64,64x3957,6.0,615.0,64.0,93.78299999999996,0.0141312001273036,tanh
,253,253x2522,6.0,615.0,64.0,93.78299999999996,0.01945599913597107,tanh
,220,220x2822,6.0,615.0,64.0,93.78299999999996,0.01945599913597107,tanh
,225,225x2397,6.0,615.0,64.0,93.78299999999996,0.018432000651955605,tanh
,102,102x3436,12.0,240.0,64.0,93.29300000000006,0.015359999611973763,tanh
,205,205x3507,12.0,240.0,64.0,93.29300000000006,0.021503999829292297,tanh
,129,129x4053,12.0,240.0,64.0,93.29300000000006,0.018227200582623483,tanh
,14,14x2782,12.0,240.0,64.0,93.29300000000006,0.011007999815046788,tanh
,104,104x3251,12.0,240.0,64.0,93.29300000000006,0.015123199857771396,tanh
,453,453x231,12.0,240.0,64.0,93.29300000000006,0.012275200337171555,tanh
,341,341x252,12.0,240.0,64.0,93.29300000000006,0.011667200177907944,tanh
,500,500x81,12.0,240.0,64.0,93.29300000000006,0.01125119999051094,tanh
,288,288x15,12.0,240.0,64.0,93.29300000000006,0.010239999741315842,tanh
,476,476x177,12.0,240.0,64.0,93.29300000000006,0.011264000087976456,tanh
,300,300x34,11.0,240.0,64.0,92.68800000000005,0.010239999741315842,tanh
,473,473x216,11.0,240.0,64.0,92.68800000000005,0.012268800288438797,tanh
,307,307x251,11.0,240.0,64.0,92.68800000000005,0.011264000087976456,tanh
,480,480x104,11.0,240.0,64.0,92.68800000000005,0.011264000087976456,tanh
,372,372x48,11.0,240.0,64.0,92.68800000000005,0.010425599850714206,tanh
,296,296x411,11.0,240.0,64.0,92.68800000000005,0.01228800043463707,tanh
,349,349x266,11.0,240.0,64.0,92.68800000000005,0.012076800316572189,tanh
,443,443x493,11.0,240.0,64.0,92.68800000000005,0.013311999849975109,tanh
,361,361x468,11.0,240.0,64.0,92.68800000000005,0.014336000196635723,tanh
,333,333x355,11.0,240.0,64.0,92.68800000000005,0.013311999849975109,tanh
,360,360x338,12.0,210.0,64.0,89.751,0.013311999849975109,tanh
,267,267x285,12.0,210.0,64.0,89.751,0.013311999849975109,tanh
,328,328x377,12.0,210.0,64.0,89.751,0.013311999849975109,tanh
,417,417x425,12.0,210.0,64.0,89.751,0.014336000196635723,tanh
,397,397x482,12.0,210.0,64.0,89.751,0.014336000196635723,tanh
,500,500x765,12.0,210.0,64.0,89.751,0.01740800030529499,tanh
,284,284x758,12.0,210.0,64.0,89.751,0.015359999611973763,tanh
,261,261x915,12.0,210.0,64.0,89.751,0.015359999611973763,tanh
,419,419x929,12.0,210.0,64.0,89.751,0.017612800374627112,tanh
,308,308x677,14.0,210.0,60.0,71.53099999999996,0.015359999611973763,tanh
,351,351x967,14.0,210.0,60.0,71.53099999999996,0.016588800027966498,tanh
,337,337x768,14.0,210.0,60.0,71.53099999999996,0.015359999611973763,tanh
,424,424x801,14.0,210.0,60.0,71.53099999999996,0.016793600097298623,tanh
,267,267x536,14.0,210.0,60.0,71.53099999999996,0.0141312001273036,tanh
,476,476x779,14.0,210.0,60.0,71.53099999999996,0.01740800030529499,tanh
,510,510x1267,14.0,210.0,60.0,71.53099999999996,0.022118400037288665,tanh
,477,477x1448,14.0,210.0,60.0,71.53099999999996,0.02252800017595291,tanh
,405,405x1561,14.0,210.0,60.0,71.53099999999996,0.022118400037288665,tanh
,325,325x1687,14.0,210.0,60.0,71.53099999999996,0.020479999482631683,tanh
,283,283x1706,14.0,210.0,59.0,56.292,0.019046399742364883,tanh
,459,459x1784,14.0,210.0,59.0,56.292,0.06615040004253388,tanh
,324,324x1208,14.0,210.0,59.0,56.292,0.01740800030529499,tanh
,512,512x1600,14.0,210.0,59.0,56.292,0.06430719941854476,tanh
,418,418x2031,14.0,210.0,59.0,56.292,0.08191999793052673,tanh
,275,275x1988,14.0,210.0,59.0,56.292,0.020479999482631683,tanh
,439,439x4036,14.0,210.0,59.0,56.292,0.235724800825119,tanh
,402,402x2788,14.0,210.0,59.0,56.292,0.14192639887332917,tanh
,512,512x2435,14.0,210.0,59.0,56.292,0.16588799953460692,tanh
,335,335x2167,26.0,210.0,58.0,56.34300000000001,0.023552000522613525,tanh
,488,488x3379,26.0,210.0,58.0,56.34300000000001,0.21831680238246917,tanh
,304,304x3682,26.0,210.0,58.0,56.34300000000001,0.14417919814586638,tanh
,455,455x3697,26.0,210.0,58.0,56.34300000000001,0.5023744106292725,tanh
,440,440x2442,26.0,210.0,58.0,56.34300000000001,0.295526397228241,tanh
,303,303x3779,26.0,210.0,58.0,56.34300000000001,0.3176447987556458,tanh
,371,371x2684,26.0,210.0,58.0,56.34300000000001,0.27729920148849485,tanh
,665,665x66,26.0,210.0,58.0,56.34300000000001,0.014336000196635723,tanh
,948,948x212,24.0,210.0,57.0,55.33099999999999,0.01740800030529499,tanh
,986,986x92,24.0,210.0,57.0,55.33099999999999,0.015359999611973763,tanh
,973,973x136,24.0,210.0,57.0,55.33099999999999,0.016383999958634377,tanh
,531,531x3,24.0,210.0,57.0,55.33099999999999,0.014336000196635723,tanh
,823,823x185,24.0,210.0,57.0,55.33099999999999,0.016383999958634377,tanh
,529,529x97,24.0,210.0,57.0,55.33099999999999,0.014336000196635723,tanh
,821,821x238,24.0,210.0,57.0,55.33099999999999,0.01720320023596287,tanh
,1009,1009x242,24.0,210.0,57.0,55.33099999999999,0.018022400513291358,tanh
,521,521x53,24.0,210.0,57.0,55.33099999999999,0.014336000196635723,tanh
,1012,1012x375,18.0,210.0,56.0,51.76,0.01945599913597107,tanh
,632,632x510,18.0,210.0,56.0,51.76,0.018636800348758698,tanh
,865,865x481,18.0,210.0,56.0,51.76,0.020275199413299562,tanh
,881,881x498,18.0,210.0,56.0,51.76,0.020479999482631683,tanh
,673,673x508,18.0,210.0,56.0,51.76,0.019046399742364883,tanh
,880,880x390,18.0,210.0,56.0,51.76,0.019251199439167976,tanh
,745,745x318,18.0,210.0,56.0,51.76,0.01740800030529499,tanh
,619,619x282,18.0,210.0,56.0,51.76,0.01720320023596287,tanh
