Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,8,8x2x18x16,0.0,1005.0,57.0,93.23999999999997,0.0061440002173185,bmm
,18,18x1x11x28,0.0,1005.0,57.0,93.23999999999997,0.0060736001469194,bmm
,6,6x19x24x13,0.0,1005.0,57.0,93.23999999999997,0.0143360001966357,bmm
,5,5x11x16x43,0.0,1005.0,57.0,93.23999999999997,0.0061440002173185,bmm
,26,26x30x10x49,0.0,1005.0,57.0,93.23999999999997,0.0133119998499751,bmm
,5,5x25x25x62,0.0,1005.0,57.0,93.23999999999997,0.0163839999586343,bmm
,20,20x33x13x84,0.0,1005.0,57.0,93.23999999999997,0.0133119998499751,bmm
,9,9x9x31x86,0.0,1005.0,57.0,93.23999999999997,0.0066752000711858,bmm
,15,15x1x5x72,5.0,1005.0,60.0,118.20800000000004,0.0051199998706579,bmm
,7,7x7x28x219,5.0,1005.0,60.0,118.20800000000004,0.0071680000983178,bmm
,18,18x30x16x148,5.0,1005.0,60.0,118.20800000000004,0.0133119998499751,bmm
,25,25x17x30x202,5.0,1005.0,60.0,118.20800000000004,0.0169535998255014,bmm
,12,12x5x5x377,5.0,1005.0,60.0,118.20800000000004,0.0061440002173185,bmm
,21,21x5x1x491,5.0,1005.0,60.0,118.20800000000004,0.0051199998706579,bmm
,9,9x17x8x311,5.0,1005.0,60.0,118.20800000000004,0.0112640000879764,bmm
,9,9x17x11x965,5.0,1005.0,60.0,118.20800000000004,0.0134783998131752,bmm
,16,16x7x23x929,5.0,1005.0,60.0,118.20800000000004,0.0089152000844478,bmm
,15,15x13x30x871,5.0,1005.0,60.0,118.20800000000004,0.0122176002711057,bmm
,12,12x17x35x7,5.0,1005.0,62.0,119.98399999999997,0.0183488000184297,bmm
,22,22x21x40x20,5.0,1005.0,62.0,119.98399999999997,0.0174080003052949,bmm
,14,14x28x53x30,5.0,1005.0,62.0,119.98399999999997,0.0213887996971607,bmm
,2,2x3x48x63,5.0,1005.0,62.0,119.98399999999997,0.0064640000462532,bmm
,16,16x8x62x41,5.0,1005.0,62.0,119.98399999999997,0.0071680000983178,bmm
,5,5x19x48x50,5.0,1005.0,62.0,119.98399999999997,0.019404799863696,bmm
,14,14x27x57x67,5.0,1005.0,62.0,119.98399999999997,0.0226880002766847,bmm
,26,26x11x62x81,5.0,1005.0,62.0,119.98399999999997,0.0080959999933838,bmm
,25,25x18x59x97,5.0,1005.0,62.0,119.98399999999997,0.0233024001121521,bmm
,8,8x14x62x194,5.0,1005.0,62.0,119.98399999999997,0.0071680000983178,bmm
,3,3x23x60x223,5.0,1005.0,64.0,121.49200000000005,0.0232319999486207,bmm
,28,28x18x53x191,5.0,1005.0,64.0,121.49200000000005,0.0215039998292922,bmm
,18,18x18x33x354,5.0,1005.0,64.0,121.49200000000005,0.0184320006519556,bmm
,31,31x23x60x426,5.0,1005.0,64.0,121.49200000000005,0.0378880016505718,bmm
,7,7x13x51x373,5.0,1005.0,64.0,121.49200000000005,0.0081919999793171,bmm
,29,29x22x44x565,5.0,1005.0,64.0,121.49200000000005,0.0317311994731426,bmm
,25,25x29x61x817,5.0,1005.0,64.0,121.49200000000005,0.054271999746561,bmm
,31,31x19x35x750,5.0,1005.0,64.0,121.49200000000005,0.0404352001845836,bmm
,20,20x19x121x8,5.0,1005.0,64.0,121.49200000000005,0.0348160006105899,bmm
,18,18x3x87x31,5.0,1005.0,64.0,121.49200000000005,0.0071680000983178,bmm
,19,19x26x69x30,6.0,1005.0,66.0,122.90999999999995,0.0245760008692741,bmm
,18,18x9x101x61,6.0,1005.0,66.0,122.90999999999995,0.0081919999793171,bmm
,33,33x18x118x63,6.0,1005.0,66.0,122.90999999999995,0.0337920002639293,bmm
,32,32x10x122x63,6.0,1005.0,66.0,122.90999999999995,0.0091584000736474,bmm
,32,32x3x81x129,6.0,1005.0,66.0,122.90999999999995,0.0081919999793171,bmm
,25,25x21x127x69,6.0,1005.0,66.0,122.90999999999995,0.0358208008110523,bmm
,23,23x24x120x83,6.0,1005.0,66.0,122.90999999999995,0.033772800117731,bmm
,30,30x19x85x147,6.0,1005.0,66.0,122.90999999999995,0.0276480000466108,bmm
,2,2x26x100x131,6.0,1005.0,66.0,122.90999999999995,0.0307199992239475,bmm
,6,6x19x106x235,6.0,1005.0,66.0,122.90999999999995,0.0323071993887424,bmm
,26,26x24x76x459,6.0,1005.0,67.0,124.03400000000006,0.0440320000052452,bmm
,20,20x27x79x328,6.0,1005.0,67.0,124.03400000000006,0.0265344001352787,bmm
,27,27x18x69x446,6.0,1005.0,67.0,124.03400000000006,0.0409471988677978,bmm
,2,2x4x107x762,6.0,1005.0,67.0,124.03400000000006,0.0081919999793171,bmm
,9,9x1x110x756,6.0,1005.0,67.0,124.03400000000006,0.0102143997326493,bmm
,3,3x20x123x544,6.0,1005.0,67.0,124.03400000000006,0.035827200859785,bmm
,19,19x30x239x7,6.0,1005.0,67.0,124.03400000000006,0.0572544001042842,bmm
,10,10x31x146x6,6.0,1005.0,67.0,124.03400000000006,0.0399359986186027,bmm
,7,7x33x183x10,6.0,1005.0,67.0,124.03400000000006,0.0460800006985664,bmm
,23,23x1x175x42,6.0,1005.0,67.0,124.03400000000006,0.0071680000983178,bmm
,10,10x11x141x38,6.0,1005.0,67.0,124.03400000000006,0.0081919999793171,bmm
,3,3x15x230x36,6.0,1005.0,68.0,124.88299999999995,0.0092160003259778,bmm
,33,33x23x147x115,6.0,1005.0,68.0,124.88299999999995,0.0399359986186027,bmm
,24,24x6x240x78,6.0,1005.0,68.0,124.88299999999995,0.0109567999839782,bmm
,10,10x16x155x83,6.0,1005.0,68.0,124.88299999999995,0.0092160003259778,bmm
,20,20x18x143x219,6.0,1005.0,68.0,124.88299999999995,0.0388480007648468,bmm
,21,21x31x257x167,6.0,1005.0,68.0,124.88299999999995,0.0624127998948097,bmm
,27,27x22x142x214,6.0,1005.0,68.0,124.88299999999995,0.0389119982719421,bmm
,25,25x22x161x304,6.0,1005.0,68.0,124.88299999999995,0.0433471992611885,bmm
,7,7x33x138x429,6.0,1005.0,68.0,124.88299999999995,0.0389119982719421,bmm
,20,20x31x178x445,6.0,1005.0,68.16,125.11580000000002,0.047104001045227,bmm
,6,6x11x198x973,6.0,1005.0,69.0,125.85300000000002,0.0150975998491048,bmm
,15,15x2x210x614,6.0,1005.0,69.0,125.85300000000002,0.0163839999586343,bmm
,8,8x19x189x821,6.0,1005.0,69.0,125.85300000000002,0.0481280013918876,bmm
,16,16x27x352x6,6.0,1005.0,69.0,125.85300000000002,0.0785152018070221,bmm
,9,9x3x437x22,6.0,1005.0,69.0,125.85300000000002,0.012288000434637,bmm
,26,26x31x386x3,6.0,1005.0,69.0,125.85300000000002,0.0864959985017776,bmm
,24,24x18x299x60,6.0,1005.0,69.0,125.85300000000002,0.0696320012211799,bmm
,3,3x23x479x50,6.0,1005.0,69.0,125.85300000000002,0.103423997759819,bmm
,3,3x10x487x56,6.0,1005.0,69.0,125.85300000000002,0.0133119998499751,bmm
,17,17x29x366x101,8.0,1005.0,70.0,126.328,0.0819199979305267,bmm
,24,24x33x371x80,8.0,1005.0,70.0,126.328,0.0839679986238479,bmm
,5,5x9x419x74,8.0,1005.0,70.0,126.328,0.0124480003491044,bmm
,23,23x19x297x193,8.0,1005.0,70.0,126.328,0.0705472007393837,bmm
,27,27x2x511x203,8.0,1005.0,70.0,126.328,0.0225152000784873,bmm
,21,21x21x433x231,8.0,1005.0,70.0,126.328,0.096627202630043,bmm
,16,16x11x424x417,8.0,1005.0,70.0,126.328,0.0255999993532896,bmm
,19,19x32x497x403,8.0,1005.0,70.0,126.328,0.1091583997011184,bmm
,33,33x29x400x317,8.0,1005.0,70.0,126.328,0.1679359972476959,bmm
,31,31x30x333x656,8.0,1005.0,70.0,126.328,0.2109439969062805,bmm
,31,31x17x373x565,12.0,1005.0,71.0,127.40299999999992,0.1597055971622467,bmm
,33,33x31x288x654,12.0,1005.0,71.0,127.40299999999992,0.1824320018291473,bmm
,20,20x19x725x32,12.0,1005.0,71.0,127.40299999999992,0.1515520066022873,bmm
,17,17x31x732x13,12.0,1005.0,71.0,127.40299999999992,0.1535488039255142,bmm
,1,1x11x929x31,12.0,1005.0,71.0,127.40299999999992,0.0214784000068902,bmm
,19,19x3x522x52,12.0,1005.0,71.0,127.40299999999992,0.0143040001392364,bmm
,22,22x19x710x44,12.0,1005.0,71.0,127.40299999999992,0.1486527979373932,bmm
,18,18x22x822x33,12.0,1005.0,71.0,127.40299999999992,0.1701503992080688,bmm
,9,9x31x669x123,12.0,1005.0,71.0,127.40299999999992,0.1413056015968322,bmm
,29,29x8x723x127,14.0,1005.0,71.0,129.08899999999997,0.0266239996999502,bmm
,5,5x3x946x109,14.0,1005.0,71.0,129.08899999999997,0.0203583996742963,bmm
,9,9x23x634x174,14.0,1005.0,71.0,129.08899999999997,0.1351680010557174,bmm
,8,8x3x942x133,14.0,1005.0,71.0,129.08899999999997,0.0204735994338989,bmm
,19,19x15x839x211,14.0,1005.0,71.0,129.08899999999997,0.0474880009889602,bmm
,27,27x10x820x449,14.0,1005.0,71.0,129.08899999999997,0.1378303974866867,bmm
,6,6x29x892x304,14.0,1005.0,71.0,129.08899999999997,0.2109439969062805,bmm
,31,31x16x722x460,14.0,1005.0,71.0,129.08899999999997,0.1558527946472168,bmm
,24,24x21x936x559,37.0,885.0,69.0,121.98399999999997,0.4280320107936859,bmm
,32,32x30x685x873,37.0,885.0,69.0,121.98399999999997,0.4745088040828705,bmm
,33,33x30x895x574,37.0,885.0,69.0,121.98399999999997,0.609279990196228,bmm
,13,13x49x23x18,37.0,885.0,69.0,121.98399999999997,0.0182208005338907,bmm
,1,1x43x6x32,37.0,885.0,69.0,121.98399999999997,0.0094208002090454,bmm
,10,10x58x5x20,37.0,885.0,69.0,121.98399999999997,0.0143360001966357,bmm
,21,21x34x18x61,37.0,885.0,69.0,121.98399999999997,0.0184320006519556,bmm
,25,25x53x24x39,37.0,885.0,69.0,121.98399999999997,0.0174080003052949,bmm
,6,6x55x6x53,10.0,885.0,70.0,111.079,0.0143360001966357,bmm
,5,5x43x28x100,10.0,885.0,70.0,111.079,0.0204799994826316,bmm
,25,25x54x29x107,10.0,885.0,70.0,111.079,0.0204799994826316,bmm
,26,26x56x8x90,10.0,885.0,70.0,111.079,0.0137215999886393,bmm
,5,5x61x31x231,10.0,885.0,70.0,111.079,0.0204799994826316,bmm
,17,17x47x33x185,10.0,885.0,70.0,111.079,0.0215039998292922,bmm
,20,20x54x30x181,10.0,885.0,70.0,111.079,0.0204799994826316,bmm
,12,12x43x22x475,10.0,885.0,70.0,111.079,0.0184320006519556,bmm
,5,5x39x12x444,10.0,885.0,70.0,111.079,0.0163839999586343,bmm
,9,9x53x8x379,10.0,885.0,70.0,111.079,0.0143360001966357,bmm
,19,19x41x12x835,8.0,885.0,68.0,101.79500000000004,0.023123200237751,bmm
,6,6x34x15x812,8.0,885.0,68.0,101.79500000000004,0.0163839999586343,bmm
,16,16x52x3x973,8.0,885.0,68.0,101.79500000000004,0.019455999135971,bmm
,11,11x53x51x19,8.0,885.0,68.0,101.79500000000004,0.0251712001860141,bmm
,18,18x59x57x29,8.0,885.0,68.0,101.79500000000004,0.0266239996999502,bmm
,28,28x46x64x18,8.0,885.0,68.0,101.79500000000004,0.0259967993944883,bmm
,28,28x45x41x52,8.0,885.0,68.0,101.79500000000004,0.0235520005226135,bmm
,14,14x63x37x41,8.0,885.0,68.0,101.79500000000004,0.0215039998292922,bmm
,24,24x52x41x57,8.0,885.0,68.0,101.79500000000004,0.0235520005226135,bmm
,25,25x55x60x105,8.0,885.0,67.0,96.776,0.0276351999491453,bmm
,25,25x40x48x128,8.0,885.0,67.0,96.776,0.0229184001684188,bmm
,3,3x36x58x129,8.0,885.0,67.0,96.776,0.0266239996999502,bmm
,20,20x60x48x143,8.0,885.0,67.0,96.776,0.0409599989652633,bmm
,11,11x56x41x197,8.0,885.0,67.0,96.776,0.0419839993119239,bmm
,11,11x49x39x158,8.0,885.0,67.0,96.776,0.038502399623394,bmm
,16,16x59x53x395,8.0,885.0,67.0,96.776,0.0460800006985664,bmm
,24,24x45x51x412,8.0,885.0,67.0,96.776,0.0798719972372055,bmm
,20,20x39x46x378,8.0,885.0,67.0,96.776,0.0450560003519058,bmm
,5,5x36x60x646,8.0,885.0,67.0,96.776,0.0520191989839077,bmm
,11,11x61x62x834,20.0,420.0,66.0,95.09499999999998,0.0528319992125034,bmm
,6,6x48x55x918,20.0,420.0,66.0,95.09499999999998,0.0522239990532398,bmm
,15,15x41x90x26,20.0,420.0,66.0,95.09499999999998,0.0710528016090393,bmm
,28,28x58x128x2,20.0,420.0,66.0,95.09499999999998,0.0870399996638298,bmm
,4,4x38x100x25,20.0,420.0,66.0,95.09499999999998,0.074752002954483,bmm
,21,21x47x68x50,20.0,420.0,66.0,95.09499999999998,0.061439998447895,bmm
,21,21x55x68x55,20.0,420.0,66.0,95.09499999999998,0.0624639987945556,bmm
,9,9x54x87x53,20.0,420.0,66.0,95.09499999999998,0.0712512016296386,bmm
,32,32x53x87x110,20.0,420.0,66.0,95.09499999999998,0.071475201845169,bmm
,22,22x37x95x109,14.0,345.0,65.0,93.80999999999996,0.0808959975838661,bmm
,29,29x59x86x117,14.0,345.0,65.0,93.80999999999996,0.0768000036478042,bmm
,5,5x54x86x225,14.0,345.0,65.0,93.80999999999996,0.0768000036478042,bmm
,17,17x51x103x189,14.0,345.0,65.0,93.80999999999996,0.0901120007038116,bmm
,11,11x51x75x250,14.0,345.0,65.0,93.80999999999996,0.0751616030931472,bmm
,29,29x62x98x372,14.0,345.0,65.0,93.80999999999996,0.1580863952636718,bmm
