Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,51.0,1005.0,69.0,113.47200000000004,0.005311999935656786,add
,18,18x218,51.0,1005.0,69.0,113.47200000000004,0.005311999935656786,add
,209,209x112,51.0,1005.0,69.0,113.47200000000004,0.005708800069987774,add
,83,83x236,51.0,1005.0,69.0,113.47200000000004,0.005504000000655651,add
,1,1x37,51.0,1005.0,69.0,113.47200000000004,0.005119999870657921,add
,172,172x29,51.0,1005.0,69.0,113.47200000000004,0.005343999899923802,add
,188,188x90,51.0,1005.0,69.0,113.47200000000004,0.005504000000655651,add
,116,116x165,51.0,1005.0,69.0,113.47200000000004,0.005119999870657921,add
,232,232x249,51.0,1005.0,69.0,113.47200000000004,0.006144000217318535,add
,235,235x45,51.0,1005.0,69.0,113.47200000000004,0.005119999870657921,add
,58,58x332,5.0,1005.0,68.0,108.02500000000005,0.005696000065654516,add
,178,178x472,5.0,1005.0,68.0,108.02500000000005,0.006144000217318535,add
,211,211x432,5.0,1005.0,68.0,108.02500000000005,0.006144000217318535,add
,134,134x373,5.0,1005.0,68.0,108.02500000000005,0.006144000217318535,add
,86,86x339,5.0,1005.0,68.0,108.02500000000005,0.005119999870657921,add
,163,163x321,5.0,1005.0,68.0,108.02500000000005,0.006144000217318535,add
,76,76x447,5.0,1005.0,68.0,108.02500000000005,0.006144000217318535,add
,235,235x420,5.0,1005.0,68.0,108.02500000000005,0.006144000217318535,add
,174,174x314,5.0,1005.0,68.0,108.02500000000005,0.006144000217318535,add
,229,229x439,5.0,1005.0,68.0,108.02500000000005,0.006144000217318535,add
,43,43x969,6.0,1005.0,68.0,99.97600000000006,0.006144000217318535,add
,76,76x950,6.0,1005.0,68.0,99.97600000000006,0.006144000217318535,add
,229,229x602,6.0,1005.0,68.0,99.97600000000006,0.006144000217318535,add
,72,72x601,6.0,1005.0,68.0,99.97600000000006,0.006144000217318535,add
,4,4x932,6.0,1005.0,68.0,99.97600000000006,0.005516800004988909,add
,149,149x1015,6.0,1005.0,68.0,99.97600000000006,0.006943999882787466,add
,79,79x781,6.0,1005.0,68.0,99.97600000000006,0.006144000217318535,add
