Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,58.0,1005.0,70.0,114.42599999999997,0.005119999870657921,addu
,18,18x218,58.0,1005.0,70.0,114.42599999999997,0.005119999870657921,addu
,209,209x112,58.0,1005.0,70.0,114.42599999999997,0.005119999870657921,addu
,83,83x236,58.0,1005.0,70.0,114.42599999999997,0.005119999870657921,addu
,1,1x37,58.0,1005.0,70.0,114.42599999999997,0.005119999870657921,addu
,172,172x29,58.0,1005.0,70.0,114.42599999999997,0.005119999870657921,addu
,188,188x90,58.0,1005.0,70.0,114.42599999999997,0.005119999870657921,addu
,116,116x165,58.0,1005.0,70.0,114.42599999999997,0.005119999870657921,addu
,232,232x249,6.0,1005.0,69.0,109.37899999999995,0.005119999870657921,addu
,235,235x45,6.0,1005.0,69.0,109.37899999999995,0.005119999870657921,addu
,58,58x332,6.0,1005.0,69.0,109.37899999999995,0.005119999870657921,addu
,178,178x472,6.0,1005.0,69.0,109.37899999999995,0.005119999870657921,addu
,211,211x432,6.0,1005.0,69.0,109.37899999999995,0.005119999870657921,addu
,134,134x373,6.0,1005.0,69.0,109.37899999999995,0.005119999870657921,addu
,86,86x339,6.0,1005.0,69.0,109.37899999999995,0.005119999870657921,addu
,163,163x321,6.0,1005.0,69.0,109.37899999999995,0.005119999870657921,addu
,76,76x447,6.0,1005.0,69.0,109.37899999999995,0.005119999870657921,addu
,235,235x420,6.0,1005.0,69.0,109.37899999999995,0.005119999870657921,addu
,174,174x314,5.0,1005.0,68.0,100.744,0.005119999870657921,addu
,229,229x439,5.0,1005.0,68.0,100.744,0.005119999870657921,addu
,43,43x969,5.0,1005.0,68.0,100.744,0.005119999870657921,addu
,76,76x950,5.0,1005.0,68.0,100.744,0.005119999870657921,addu
,229,229x602,5.0,1005.0,68.0,100.744,0.005504000000655651,addu
,72,72x601,5.0,1005.0,68.0,100.744,0.005119999870657921,addu
,4,4x932,5.0,1005.0,68.0,100.744,0.005119999870657921,addu
,149,149x1015,5.0,1005.0,68.0,100.744,0.005478399991989136,addu
,79,79x781,5.0,1005.0,68.0,100.744,0.005119999870657921,addu
,15,15x635,5.0,1005.0,68.0,100.744,0.005119999870657921,addu
,62,62x895,5.0,1005.0,68.0,97.369,0.005119999870657921,addu
,183,183x680,5.0,1005.0,68.0,97.369,0.005119999870657921,addu
,40,40x1421,5.0,1005.0,68.0,97.369,0.005119999870657921,addu
,50,50x1745,5.0,1005.0,68.0,97.369,0.005119999870657921,addu
,84,84x1234,5.0,1005.0,68.0,97.369,0.005119999870657921,addu
,60,60x1293,5.0,1005.0,68.0,97.369,0.005299199931323528,addu
,89,89x1648,5.0,1005.0,68.0,97.369,0.005452799983322621,addu
,108,108x1291,5.0,1005.0,68.0,97.369,0.005888000130653381,addu
,101,101x1245,5.0,1005.0,68.0,97.369,0.009401600249111653,addu
,6,6x1222,5.0,1005.0,68.0,97.369,0.008191999979317188,addu
,143,143x1737,5.0,1005.0,68.0,97.369,0.011264000087976456,addu
,99,99x1602,11.0,315.0,68.0,97.19499999999998,0.010239999741315842,addu
