Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,8,8x2x18x16,0.0,1005.0,61.0,104.04599999999999,0.006144000217318535,bmm
,18,18x1x11x28,0.0,1005.0,61.0,104.04599999999999,0.005868800077587366,bmm
,6,6x19x24x13,0.0,1005.0,61.0,104.04599999999999,0.014336000196635723,bmm
,5,5x11x16x43,0.0,1005.0,61.0,104.04599999999999,0.006144000217318535,bmm
,26,26x30x10x49,0.0,1005.0,61.0,104.04599999999999,0.013311999849975109,bmm
,5,5x25x25x62,0.0,1005.0,61.0,104.04599999999999,0.016383999958634377,bmm
,20,20x33x13x84,0.0,1005.0,61.0,104.04599999999999,0.013311999849975109,bmm
,9,9x9x31x86,4.0,1005.0,64.0,121.634,0.006956799887120724,bmm
,15,15x1x5x72,4.0,1005.0,64.0,121.634,0.005119999870657921,bmm
,7,7x7x28x219,4.0,1005.0,64.0,121.634,0.0071680000983178616,bmm
,18,18x30x16x148,4.0,1005.0,64.0,121.634,0.013311999849975109,bmm
,25,25x17x30x202,4.0,1005.0,64.0,121.634,0.016383999958634377,bmm
,12,12x5x5x377,4.0,1005.0,64.0,121.634,0.006144000217318535,bmm
,21,21x5x1x491,4.0,1005.0,64.0,121.634,0.005119999870657921,bmm
,9,9x17x8x311,4.0,1005.0,64.0,121.634,0.011603200063109397,bmm
,9,9x17x11x965,4.0,1005.0,64.0,121.634,0.01347199995070696,bmm
,16,16x7x23x929,4.0,1005.0,64.0,121.634,0.009139199927449226,bmm
,15,15x13x30x871,4.0,1005.0,65.0,123.134,0.01228800043463707,bmm
,12,12x17x35x7,4.0,1005.0,65.0,123.134,0.018323199823498726,bmm
,22,22x21x40x20,4.0,1005.0,65.0,123.134,0.01740800030529499,bmm
,14,14x28x53x30,4.0,1005.0,65.0,123.134,0.021401600167155265,bmm
,2,2x3x48x63,4.0,1005.0,65.0,123.134,0.0070015999488532545,bmm
,16,16x8x62x41,4.0,1005.0,65.0,123.134,0.0071680000983178616,bmm
,5,5x19x48x50,4.0,1005.0,65.0,123.134,0.01939839981496334,bmm
,14,14x27x57x67,4.0,1005.0,65.0,123.134,0.02302720062434673,bmm
,26,26x11x62x81,4.0,1005.0,65.0,123.134,0.00816000010818243,bmm
,25,25x18x59x97,4.0,1005.0,65.0,123.134,0.022880000248551368,bmm
,8,8x14x62x194,4.0,1005.0,65.0,123.134,0.007878400105983018,bmm
,3,3x23x60x223,5.0,1005.0,67.0,124.39300000000001,0.02269440032541752,bmm
,28,28x18x53x191,5.0,1005.0,67.0,124.39300000000001,0.021503999829292297,bmm
,18,18x18x33x354,5.0,1005.0,67.0,124.39300000000001,0.018432000651955605,bmm
,31,31x23x60x426,5.0,1005.0,67.0,124.39300000000001,0.03788800165057182,bmm
,7,7x13x51x373,5.0,1005.0,67.0,124.39300000000001,0.008191999979317188,bmm
,29,29x22x44x565,5.0,1005.0,67.0,124.39300000000001,0.03174399957060814,bmm
,25,25x29x61x817,5.0,1005.0,67.0,124.39300000000001,0.054259199649095535,bmm
,31,31x19x35x750,5.0,1005.0,67.0,124.39300000000001,0.04060159996151924,bmm
,20,20x19x121x8,5.0,1005.0,67.0,124.39300000000001,0.0351231999695301,bmm
,18,18x3x87x31,5.0,1005.0,67.0,124.39300000000001,0.007328000105917454,bmm
,19,19x26x69x30,5.0,1005.0,68.0,125.62899999999995,0.024569600820541382,bmm
,18,18x9x101x61,5.0,1005.0,68.0,125.62899999999995,0.008191999979317188,bmm
