Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,51.0,1005.0,70.0,117.48799999999997,0.006144000217318535,div
,18,18x218,51.0,1005.0,70.0,117.48799999999997,0.006124800164252519,div
,209,209x112,51.0,1005.0,70.0,117.48799999999997,0.006144000217318535,div
,83,83x236,51.0,1005.0,70.0,117.48799999999997,0.006144000217318535,div
,1,1x37,51.0,1005.0,70.0,117.48799999999997,0.005119999870657921,div
,172,172x29,51.0,1005.0,70.0,117.48799999999997,0.006112000159919262,div
,188,188x90,51.0,1005.0,70.0,117.48799999999997,0.006131200212985277,div
,116,116x165,51.0,1005.0,70.0,117.48799999999997,0.006144000217318535,div
,232,232x249,6.0,1005.0,69.0,112.73,0.006144000217318535,div
,235,235x45,6.0,1005.0,69.0,112.73,0.005939200147986412,div
,58,58x332,6.0,1005.0,69.0,112.73,0.006112000159919262,div
,178,178x472,6.0,1005.0,69.0,112.73,0.006144000217318535,div
,211,211x432,6.0,1005.0,69.0,112.73,0.006496000103652477,div
,134,134x373,6.0,1005.0,69.0,112.73,0.006144000217318535,div
,86,86x339,6.0,1005.0,69.0,112.73,0.006144000217318535,div
,163,163x321,6.0,1005.0,69.0,112.73,0.006144000217318535,div
,76,76x447,6.0,1005.0,69.0,112.73,0.006144000217318535,div
,235,235x420,6.0,1005.0,69.0,112.73,0.0071680000983178616,div
,174,174x314,6.0,1005.0,69.0,101.712,0.006144000217318535,div
,229,229x439,6.0,1005.0,69.0,101.712,0.006720000132918358,div
,43,43x969,6.0,1005.0,69.0,101.712,0.006144000217318535,div
,76,76x950,6.0,1005.0,69.0,101.712,0.006144000217318535,div
,229,229x602,6.0,1005.0,69.0,101.712,0.007161600049585104,div
,72,72x601,6.0,1005.0,69.0,101.712,0.006144000217318535,div
,4,4x932,6.0,1005.0,69.0,101.712,0.006144000217318535,div
,149,149x1015,6.0,1005.0,69.0,101.712,0.0071680000983178616,div
,79,79x781,6.0,1005.0,69.0,101.712,0.006144000217318535,div
,15,15x635,6.0,1005.0,69.0,101.712,0.006124800164252519,div
,62,62x895,5.0,1005.0,68.0,97.33800000000001,0.006144000217318535,div
,183,183x680,5.0,1005.0,68.0,97.33800000000001,0.007103999983519316,div
,40,40x1421,5.0,1005.0,68.0,97.33800000000001,0.006144000217318535,div
,50,50x1745,5.0,1005.0,68.0,97.33800000000001,0.00618240013718605,div
,84,84x1234,5.0,1005.0,68.0,97.33800000000001,0.0063488001935184,div
,60,60x1293,5.0,1005.0,68.0,97.33800000000001,0.006144000217318535,div
,89,89x1648,5.0,1005.0,68.0,97.33800000000001,0.013503999821841717,div
,108,108x1291,5.0,1005.0,68.0,97.33800000000001,0.013311999849975109,div
,101,101x1245,5.0,1005.0,68.0,97.33800000000001,0.013311999849975109,div
,6,6x1222,5.0,1005.0,68.0,97.33800000000001,0.010239999741315842,div
,143,143x1737,9.0,345.0,68.0,96.61100000000002,0.015359999611973763,div
,99,99x1602,9.0,345.0,68.0,96.61100000000002,0.014336000196635723,div
,55,55x2789,9.0,345.0,68.0,96.61100000000002,0.014336000196635723,div
,64,64x3957,9.0,345.0,68.0,96.61100000000002,0.01720320023596287,div
,253,253x2522,9.0,345.0,68.0,96.61100000000002,0.026201599463820457,div
,220,220x2822,9.0,345.0,68.0,96.61100000000002,0.025599999353289604,div
,225,225x2397,9.0,345.0,68.0,96.61100000000002,0.022726400196552275,div
,102,102x3436,9.0,345.0,68.0,96.61100000000002,0.01945599913597107,div
,205,205x3507,9.0,345.0,68.0,96.61100000000002,0.028672000393271446,div
,129,129x4053,9.0,345.0,68.0,96.61100000000002,0.02314240038394928,div
,14,14x2782,13.0,285.0,68.0,95.50299999999999,0.01228800043463707,div
,104,104x3251,13.0,285.0,68.0,95.50299999999999,0.020479999482631683,div
,453,453x231,13.0,285.0,68.0,95.50299999999999,0.014515200071036816,div
,341,341x252,13.0,285.0,68.0,95.50299999999999,0.014336000196635723,div
,500,500x81,13.0,285.0,68.0,95.50299999999999,0.013088000006973743,div
,288,288x15,13.0,285.0,68.0,95.50299999999999,0.012665600329637528,div
,476,476x177,13.0,285.0,68.0,95.50299999999999,0.015359999611973763,div
,300,300x34,13.0,285.0,68.0,95.50299999999999,0.013311999849975109,div
,473,473x216,13.0,285.0,68.0,95.50299999999999,0.015359999611973763,div
,307,307x251,13.0,285.0,68.0,95.50299999999999,0.015359999611973763,div
,480,480x104,12.0,255.0,67.0,94.22800000000002,0.015155199728906155,div
,372,372x48,12.0,255.0,67.0,94.22800000000002,0.013887999951839447,div
,296,296x411,12.0,255.0,67.0,94.22800000000002,0.016383999958634377,div
,349,349x266,12.0,255.0,67.0,94.22800000000002,0.016383999958634377,div
,443,443x493,12.0,255.0,67.0,94.22800000000002,0.01945599913597107,div
,361,361x468,12.0,255.0,67.0,94.22800000000002,0.01759360022842884,div
,333,333x355,12.0,255.0,67.0,94.22800000000002,0.017395200207829475,div
,360,360x338,12.0,255.0,67.0,94.22800000000002,0.016383999958634377,div
,267,267x285,12.0,255.0,67.0,94.22800000000002,0.015359999611973763,div
,328,328x377,12.0,240.0,67.0,93.76399999999998,0.016383999958634377,div
,417,417x425,12.0,240.0,67.0,93.76399999999998,0.018432000651955605,div
,397,397x482,12.0,240.0,67.0,93.76399999999998,0.019046399742364883,div
,500,500x765,12.0,240.0,67.0,93.76399999999998,0.022937600314617158,div
,284,284x758,12.0,240.0,67.0,93.76399999999998,0.01945599913597107,div
,261,261x915,12.0,240.0,67.0,93.76399999999998,0.01945599913597107,div
,419,419x929,12.0,240.0,67.0,93.76399999999998,0.025599999353289604,div
,308,308x677,12.0,240.0,67.0,93.76399999999998,0.021503999829292297,div
,351,351x967,12.0,240.0,67.0,93.76399999999998,0.02457600086927414,div
,337,337x768,12.0,240.0,67.0,93.76399999999998,0.02252800017595291,div
,424,424x801,13.0,210.0,65.0,87.62799999999999,0.02457600086927414,div
,267,267x536,13.0,210.0,65.0,87.62799999999999,0.01945599913597107,div
,476,476x779,13.0,210.0,65.0,87.62799999999999,0.025599999353289604,div
,510,510x1267,13.0,210.0,65.0,87.62799999999999,0.12902399897575378,div
,477,477x1448,13.0,210.0,65.0,87.62799999999999,0.1411072015762329,div
,405,405x1561,13.0,210.0,65.0,87.62799999999999,0.1218559980392456,div
,325,325x1687,13.0,210.0,65.0,87.62799999999999,0.06942720115184783,div
,283,283x1706,13.0,210.0,65.0,87.62799999999999,0.027648000046610832,div
,459,459x1784,13.28,210.0,64.92,81.75248000000002,0.1687552034854889,div
,324,324x1208,14.0,210.0,63.0,69.26700000000004,0.025599999353289604,div
,512,512x1600,14.0,210.0,63.0,69.26700000000004,0.16752640008926392,div
,418,418x2031,14.0,210.0,63.0,69.26700000000004,0.17346560060977936,div
,275,275x1988,14.0,210.0,63.0,69.26700000000004,0.07352320253849029,div
,439,439x4036,14.0,210.0,63.0,69.26700000000004,0.3583999931812286,div
,402,402x2788,14.0,210.0,63.0,69.26700000000004,0.22917120158672333,div
,512,512x2435,14.0,210.0,63.0,69.26700000000004,0.25722879767417905,div
,335,335x2167,14.0,210.0,63.0,58.72900000000002,0.14848000407218934,div
,488,488x3379,16.0,210.0,62.0,58.72900000000002,0.33239039182662966,div
,304,304x3682,16.0,210.0,62.0,58.72900000000002,0.22999039888381959,div
,455,455x3697,16.0,210.0,62.0,58.72900000000002,0.34140159487724303,div
,440,440x2442,16.0,210.0,62.0,58.72900000000002,0.2236415982246399,div
,303,303x3779,16.0,210.0,62.0,58.72900000000002,0.23592959940433503,div
,371,371x2684,16.0,210.0,62.0,58.72900000000002,0.2066431999206543,div
,665,665x66,16.0,210.0,62.0,58.72900000000002,0.016383999958634377,div
,948,948x212,16.0,210.0,62.0,58.72900000000002,0.021299199759960176,div
,986,986x92,14.0,210.0,61.0,59.20399999999997,0.01740800030529499,div
,973,973x136,14.0,210.0,61.0,59.20399999999997,0.018432000651955605,div
,531,531x3,14.0,210.0,61.0,59.20399999999997,0.014336000196635723,div
,823,823x185,14.0,210.0,61.0,59.20399999999997,0.01945599913597107,div
,529,529x97,14.0,210.0,61.0,59.20399999999997,0.016383999958634377,div
,821,821x238,14.0,210.0,61.0,59.20399999999997,0.021299199759960176,div
,1009,1009x242,14.0,210.0,61.0,59.20399999999997,0.022118400037288665,div
,521,521x53,14.0,210.0,61.0,59.20399999999997,0.015359999611973763,div
