Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,62.0,525.0,69.0,110.959,0.006144000217318535,divu
,18,18x218,62.0,525.0,69.0,110.959,0.006144000217318535,divu
,209,209x112,62.0,525.0,69.0,110.959,0.006144000217318535,divu
,83,83x236,62.0,525.0,69.0,110.959,0.006144000217318535,divu
,1,1x37,6.0,660.0,69.0,111.65000000000005,0.006144000217318535,divu
,172,172x29,6.0,660.0,69.0,111.65000000000005,0.006144000217318535,divu
,188,188x90,6.0,660.0,69.0,111.65000000000005,0.006144000217318535,divu
,116,116x165,6.0,660.0,69.0,111.65000000000005,0.006144000217318535,divu
,232,232x249,6.0,660.0,69.0,111.65000000000005,0.006553600169718265,divu
,235,235x45,6.0,660.0,69.0,111.65000000000005,0.006144000217318535,divu
,58,58x332,6.0,660.0,69.0,111.65000000000005,0.006144000217318535,divu
,178,178x472,6.0,660.0,69.0,111.65000000000005,0.006950400117784738,divu
,211,211x432,6.0,660.0,69.0,111.65000000000005,0.006745600141584873,divu
,134,134x373,6.0,660.0,69.0,111.65000000000005,0.006931199971586466,divu
,86,86x339,7.0,660.0,68.0,103.43199999999996,0.006144000217318535,divu
,163,163x321,7.0,660.0,68.0,103.43199999999996,0.006144000217318535,divu
,76,76x447,7.0,660.0,68.0,103.43199999999996,0.006144000217318535,divu
,235,235x420,7.0,660.0,68.0,103.43199999999996,0.0071680000983178616,divu
,174,174x314,7.0,660.0,68.0,103.43199999999996,0.006144000217318535,divu
,229,229x439,7.0,660.0,68.0,103.43199999999996,0.006758400145918131,divu
,43,43x969,7.0,660.0,68.0,103.43199999999996,0.006144000217318535,divu
,76,76x950,7.0,660.0,68.0,103.43199999999996,0.006336000189185143,divu
,229,229x602,7.0,660.0,68.0,103.43199999999996,0.0071680000983178616,divu
,72,72x601,7.0,660.0,68.0,95.84200000000004,0.006144000217318535,divu
,4,4x932,7.0,660.0,68.0,95.84200000000004,0.006144000217318535,divu
,149,149x1015,7.0,660.0,68.0,95.84200000000004,0.0071680000983178616,divu
,79,79x781,7.0,660.0,68.0,95.84200000000004,0.006144000217318535,divu
,15,15x635,7.0,660.0,68.0,95.84200000000004,0.006144000217318535,divu
,62,62x895,7.0,660.0,68.0,95.84200000000004,0.006963200122117996,divu
,183,183x680,7.0,660.0,68.0,95.84200000000004,0.0071680000983178616,divu
,40,40x1421,7.0,660.0,68.0,95.84200000000004,0.006336000189185143,divu
,50,50x1745,7.0,660.0,68.0,95.84200000000004,0.006726400088518858,divu
,84,84x1234,7.0,660.0,68.0,95.84200000000004,0.0071680000983178616,divu
,60,60x1293,7.0,660.0,68.0,95.79300000000006,0.006739200092852116,divu
,89,89x1648,7.0,660.0,68.0,95.79300000000006,0.0071680000983178616,divu
,108,108x1291,7.0,660.0,68.0,95.79300000000006,0.011264000087976456,divu
,101,101x1245,7.0,660.0,68.0,95.79300000000006,0.011264000087976456,divu
,6,6x1222,7.0,660.0,68.0,95.79300000000006,0.009216000325977802,divu
,143,143x1737,7.0,660.0,68.0,95.79300000000006,0.012492800317704677,divu
,99,99x1602,7.0,660.0,68.0,95.79300000000006,0.011264000087976456,divu
,55,55x2789,7.0,660.0,68.0,95.79300000000006,0.011468800157308579,divu
,64,64x3957,7.0,660.0,68.0,95.79300000000006,0.013107199966907502,divu
,253,253x2522,7.0,660.0,68.0,95.79300000000006,0.018432000651955605,divu
,220,220x2822,14.0,240.0,67.0,95.33400000000002,0.018432000651955605,divu
,225,225x2397,14.0,240.0,67.0,95.33400000000002,0.01720320023596287,divu
,102,102x3436,14.0,240.0,67.0,95.33400000000002,0.014323200099170208,divu
,205,205x3507,14.0,240.0,67.0,95.33400000000002,0.020275199413299562,divu
,129,129x4053,14.0,240.0,67.0,95.33400000000002,0.01720320023596287,divu
,14,14x2782,14.0,240.0,67.0,95.33400000000002,0.010239999741315842,divu
,104,104x3251,14.0,240.0,67.0,95.33400000000002,0.013894399814307689,divu
,453,453x231,14.0,240.0,67.0,95.33400000000002,0.011264000087976456,divu
,341,341x252,14.0,240.0,67.0,95.33400000000002,0.010617599822580814,divu
