Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,29.0,375.0,68.0,104.71700000000006,0.0071680000983178616,gelu
,18,18x218,29.0,375.0,68.0,104.71700000000006,0.0071680000983178616,gelu
,209,209x112,17.0,555.0,68.0,106.32300000000001,0.0071680000983178616,gelu
,83,83x236,17.0,555.0,68.0,106.32300000000001,0.006956800073385239,gelu
,1,1x37,17.0,555.0,68.0,106.32300000000001,0.006144000217318535,gelu
,172,172x29,17.0,555.0,68.0,106.32300000000001,0.0071680000983178616,gelu
,188,188x90,17.0,555.0,68.0,106.32300000000001,0.007161600049585104,gelu
,116,116x165,17.0,555.0,68.0,106.32300000000001,0.007161600049585104,gelu
,232,232x249,17.0,555.0,68.0,106.32300000000001,0.0071680000983178616,gelu
,235,235x45,17.0,555.0,68.0,106.32300000000001,0.0071680000983178616,gelu
,58,58x332,17.0,555.0,68.0,106.32300000000001,0.0071680000983178616,gelu
,178,178x472,17.0,555.0,68.0,106.32300000000001,0.0071680000983178616,gelu
,211,211x432,6.0,555.0,68.0,101.454,0.007968000043183565,gelu
,134,134x373,6.0,555.0,68.0,101.454,0.0077632000669836995,gelu
,86,86x339,6.0,555.0,68.0,101.454,0.0071680000983178616,gelu
,163,163x321,6.0,555.0,68.0,101.454,0.0071680000983178616,gelu
,76,76x447,6.0,555.0,68.0,101.454,0.0071680000983178616,gelu
,235,235x420,6.0,555.0,68.0,101.454,0.008191999979317188,gelu
,174,174x314,6.0,555.0,68.0,101.454,0.0071680000983178616,gelu
,229,229x439,6.0,555.0,68.0,101.454,0.00818559993058443,gelu
,43,43x969,6.0,555.0,68.0,101.454,0.0071680000983178616,gelu
,76,76x950,6.0,555.0,68.0,101.454,0.0071680000983178616,gelu
,229,229x602,6.0,555.0,68.0,95.67599999999997,0.008191999979317188,gelu
,72,72x601,6.0,555.0,68.0,95.67599999999997,0.0071680000983178616,gelu
,4,4x932,6.0,555.0,68.0,95.67599999999997,0.0071680000983178616,gelu
,149,149x1015,6.0,555.0,68.0,95.67599999999997,0.008191999979317188,gelu
,79,79x781,6.0,555.0,68.0,95.67599999999997,0.0073472000658512115,gelu
,15,15x635,6.0,555.0,68.0,95.67599999999997,0.0071680000983178616,gelu
,62,62x895,6.0,555.0,68.0,95.67599999999997,0.0071680000983178616,gelu
,183,183x680,6.0,555.0,68.0,95.67599999999997,0.007974400091916323,gelu
,40,40x1421,6.0,555.0,68.0,95.67599999999997,0.0071680000983178616,gelu
,50,50x1745,6.0,555.0,68.0,95.67599999999997,0.007571200001984834,gelu
,84,84x1234,7.0,555.0,68.0,95.02600000000001,0.008191999979317188,gelu
,60,60x1293,7.0,555.0,68.0,95.02600000000001,0.007360000163316727,gelu
,89,89x1648,7.0,555.0,68.0,95.02600000000001,0.008191999979317188,gelu
,108,108x1291,7.0,555.0,68.0,95.02600000000001,0.012691200152039528,gelu
,101,101x1245,7.0,555.0,68.0,95.02600000000001,0.01228800043463707,gelu
,6,6x1222,7.0,555.0,68.0,95.02600000000001,0.010239999741315842,gelu
,143,143x1737,7.0,555.0,68.0,95.02600000000001,0.015142399817705154,gelu
,99,99x1602,7.0,555.0,68.0,95.02600000000001,0.013311999849975109,gelu
,55,55x2789,7.0,555.0,68.0,95.02600000000001,0.013311999849975109,gelu
,64,64x3957,7.0,555.0,68.0,95.02600000000001,0.015359999611973763,gelu
