Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,60,60x272,100.0,1005.0,87.0,241.06000000000012,0.008191999979317188,ln
,16,16x304,100.0,1005.0,87.0,241.06000000000012,0.008371200039982795,ln
,144,144x260,100.0,1005.0,87.0,241.06000000000012,0.009465600363910198,ln
,48,48x452,3.0,1005.0,83.0,231.616,0.009216000325977802,ln
,44,44x408,3.0,1005.0,83.0,231.616,0.009216000325977802,ln
,52,52x452,3.0,1005.0,83.0,231.616,0.009216000325977802,ln
,40,40x344,3.0,1005.0,83.0,231.616,0.009216000325977802,ln
,120,120x276,3.0,1005.0,83.0,231.616,0.009849600121378898,ln
,204,204x492,3.0,1005.0,83.0,231.616,0.010239999741315842,ln
,116,116x328,3.0,1005.0,83.0,231.616,0.010028799995779991,ln
,200,200x904,3.0,1005.0,83.0,231.616,0.011264000087976456,ln
,224,224x676,3.0,1005.0,83.0,231.616,0.011264000087976456,ln
,80,80x896,5.0,1005.0,77.0,162.93899999999994,0.010239999741315842,ln
,124,124x572,5.0,1005.0,77.0,162.93899999999994,0.010636799782514573,ln
,88,88x784,5.0,1005.0,77.0,162.93899999999994,0.011219199746847153,ln
,64,64x768,5.0,1005.0,77.0,162.93899999999994,0.010239999741315842,ln
,32,32x748,5.0,1005.0,77.0,162.93899999999994,0.009216000325977802,ln
,68,68x1000,5.0,1005.0,77.0,162.93899999999994,0.011264000087976456,ln
,220,220x936,5.0,1005.0,77.0,162.93899999999994,0.011264000087976456,ln
,100,100x708,5.0,1005.0,77.0,162.93899999999994,0.010419199801981449,ln
,228,228x1228,5.0,1005.0,77.0,162.93899999999994,0.012921599857509136,ln
,112,112x1848,5.0,1005.0,77.0,162.93899999999994,0.015359999611973763,ln
,220,220x2024,7.0,1005.0,74.0,109.59999999999995,0.015359999611973763,ln
,28,28x2004,7.0,1005.0,74.0,109.59999999999995,0.014086399972438813,ln
,208,208x1272,7.0,1005.0,74.0,109.59999999999995,0.013311999849975109,ln
,124,124x1568,7.0,1005.0,74.0,109.59999999999995,0.016383999958634377,ln
,52,52x1176,7.0,1005.0,74.0,109.59999999999995,0.011264000087976456,ln
,84,84x1924,7.0,1005.0,74.0,109.59999999999995,0.014336000196635723,ln
,80,80x1584,7.0,1005.0,74.0,109.59999999999995,0.015359999611973763,ln
,48,48x1892,7.0,1005.0,74.0,109.59999999999995,0.014336000196635723,ln
,220,220x2088,7.0,1005.0,74.0,109.59999999999995,0.014336000196635723,ln
,24,24x3312,7.0,1005.0,74.0,109.59999999999995,0.014528000168502331,ln
,80,80x3020,5.0,1005.0,72.0,102.77,0.016153599694371225,ln
,140,140x2704,5.0,1005.0,72.0,102.77,0.016383999958634377,ln
,160,160x2984,5.0,1005.0,72.0,102.77,0.016383999958634377,ln
,180,180x3688,5.0,1005.0,72.0,102.77,0.02003839984536171,ln
,224,224x3464,5.0,1005.0,72.0,102.77,0.018432000651955605,ln
,4,4x2856,5.0,1005.0,72.0,102.77,0.030719999223947525,ln
,212,212x3388,5.0,1005.0,72.0,102.77,0.040755198895931245,ln
,208,208x2052,5.0,1005.0,72.0,102.77,0.031724799424409866,ln
,368,368x500,5.0,1005.0,72.0,102.77,0.02252800017595291,ln
,360,360x332,5.0,1005.0,72.0,102.77,0.021503999829292297,ln
,456,456x512,12.0,315.0,70.0,99.47499999999997,0.02457600086927414,ln
,496,496x284,12.0,315.0,70.0,99.47499999999997,0.02252800017595291,ln
,476,476x488,12.0,315.0,70.0,99.47499999999997,0.025599999353289604,ln
,400,400x484,12.0,315.0,70.0,99.47499999999997,0.02457600086927414,ln
,336,336x376,12.0,315.0,70.0,99.47499999999997,0.02252800017595291,ln
,472,472x288,12.0,315.0,70.0,99.47499999999997,0.02252800017595291,ln
,412,412x456,12.0,315.0,70.0,99.47499999999997,0.025599999353289604,ln
,456,456x432,12.0,315.0,70.0,99.47499999999997,0.02595839984714985,ln
,476,476x652,12.0,315.0,70.0,99.47499999999997,0.02969600073993206,ln
,424,424x860,12.0,289.8,70.0,97.65051999999994,0.030719999223947525,ln
,436,436x744,12.0,285.0,69.0,97.30299999999994,0.03174399957060814,ln
,324,324x1000,12.0,285.0,69.0,97.30299999999994,0.029888000711798667,ln
,416,416x624,12.0,285.0,69.0,97.30299999999994,0.02969600073993206,ln
,412,412x636,12.0,285.0,69.0,97.30299999999994,0.02969600073993206,ln
,508,508x624,12.0,285.0,69.0,97.30299999999994,0.03296639993786812,ln
,496,496x960,12.0,285.0,69.0,97.30299999999994,0.03686400130391121,ln
,452,452x860,12.0,285.0,69.0,97.30299999999994,0.03420160040259361,ln
,432,432x800,12.0,285.0,69.0,97.30299999999994,0.033587200194597246,ln
,500,500x2032,12.0,285.0,69.0,97.30299999999994,0.06451199948787689,ln
,448,448x1996,12.0,240.0,68.0,95.30600000000003,0.060416001826524734,ln
,376,376x1272,12.0,240.0,68.0,95.30600000000003,0.03952639847993851,ln
,404,404x1232,12.0,240.0,68.0,95.30600000000003,0.03993599861860275,ln
,400,400x1120,12.0,240.0,68.0,95.30600000000003,0.03869439959526062,ln
,504,504x1928,12.0,240.0,68.0,95.30600000000003,0.06430719941854476,ln
,508,508x1176,12.0,240.0,68.0,95.30600000000003,0.04403200000524521,ln
,372,372x1804,12.0,240.0,68.0,95.30600000000003,0.05427199974656105,ln
,368,368x1568,12.0,240.0,68.0,95.30600000000003,0.05140479877591133,ln
,488,488x1988,12.0,240.0,68.0,95.30600000000003,0.06143359839916229,ln
,392,392x2860,14.0,240.0,68.0,94.90599999999996,0.0628735989332199,ln
,344,344x3308,14.0,240.0,68.0,94.90599999999996,0.06901760101318359,ln
,512,512x3844,14.0,240.0,68.0,94.90599999999996,0.09830400347709656,ln
,268,268x3152,14.0,240.0,68.0,94.90599999999996,0.05898240134119988,ln
,304,304x3976,14.0,240.0,68.0,94.90599999999996,0.07720960080623626,ln
,512,512x3232,14.0,240.0,68.0,94.90599999999996,0.08067839741706848,ln
,464,464x2056,14.0,240.0,68.0,94.90599999999996,0.055296000093221664,ln
,364,364x3144,14.0,240.0,68.0,94.90599999999996,0.06675840020179749,ln
,416,416x2108,14.0,240.0,68.0,94.90599999999996,0.055910400301218036,ln
,408,408x3168,15.0,240.0,67.0,94.99499999999995,0.06859520077705383,ln
,652,652x292,15.0,240.0,67.0,94.99499999999995,0.02969600073993206,ln
,1016,1016x336,15.0,240.0,67.0,94.99499999999995,0.04710400104522705,ln
,760,760x456,15.0,240.0,67.0,94.99499999999995,0.03869439959526062,ln
,1020,1020x276,15.0,240.0,67.0,94.99499999999995,0.04524160027503967,ln
,660,660x468,15.0,240.0,67.0,94.99499999999995,0.035840000957250595,ln
,904,904x420,15.0,240.0,67.0,94.99499999999995,0.0520191989839077,ln
,616,616x308,15.0,240.0,67.0,94.99499999999995,0.03276799991726875,ln
,880,880x448,15.0,240.0,67.0,94.99499999999995,0.05181439891457558,ln
,904,904x380,11.0,210.0,65.0,91.66400000000002,0.050175998359918594,ln
,992,992x404,11.0,210.0,65.0,91.66400000000002,0.052633599191904065,ln
,824,824x716,11.0,210.0,65.0,91.66400000000002,0.058163201063871385,ln
,536,536x920,11.0,210.0,65.0,91.66400000000002,0.04403200000524521,ln
,708,708x772,11.0,210.0,65.0,91.66400000000002,0.04956160038709641,ln
,608,608x816,11.0,210.0,65.0,91.66400000000002,0.04608000069856644,ln
,684,684x776,11.0,210.0,65.0,91.66400000000002,0.04956160038709641,ln
