Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,57.0,1005.0,68.0,111.49299999999995,0.005119999870657921,mul
,18,18x218,57.0,1005.0,68.0,111.49299999999995,0.005119999870657921,mul
,209,209x112,57.0,1005.0,68.0,111.49299999999995,0.005119999870657921,mul
,83,83x236,57.0,1005.0,68.0,111.49299999999995,0.005119999870657921,mul
,1,1x37,57.0,1005.0,68.0,111.49299999999995,0.005119999870657921,mul
,172,172x29,57.0,1005.0,68.0,111.49299999999995,0.005119999870657921,mul
,188,188x90,57.0,1005.0,68.0,111.49299999999995,0.005119999870657921,mul
,116,116x165,57.0,1005.0,68.0,111.49299999999995,0.005119999870657921,mul
,232,232x249,5.0,1005.0,68.0,108.90900000000006,0.005657599959522486,mul
,235,235x45,5.0,1005.0,68.0,108.90900000000006,0.005119999870657921,mul
,58,58x332,5.0,1005.0,68.0,108.90900000000006,0.005119999870657921,mul
,178,178x472,5.0,1005.0,68.0,108.90900000000006,0.005868800077587366,mul
,211,211x432,5.0,1005.0,68.0,108.90900000000006,0.006060800142586231,mul
,134,134x373,5.0,1005.0,68.0,108.90900000000006,0.005702400021255017,mul
,86,86x339,5.0,1005.0,68.0,108.90900000000006,0.005119999870657921,mul
,163,163x321,5.0,1005.0,68.0,108.90900000000006,0.0054847999475896355,mul
,76,76x447,5.0,1005.0,68.0,108.90900000000006,0.005151999928057194,mul
,235,235x420,5.0,1005.0,68.0,108.90900000000006,0.006137600168585777,mul
,174,174x314,5.0,1005.0,68.0,100.517,0.005119999870657921,mul
,229,229x439,5.0,1005.0,68.0,100.517,0.0060928001068532465,mul
,43,43x969,5.0,1005.0,68.0,100.517,0.005139199923723936,mul
,76,76x950,5.0,1005.0,68.0,100.517,0.006131200212985277,mul
,229,229x602,5.0,1005.0,68.0,100.517,0.006144000217318535,mul
,72,72x601,5.0,1005.0,68.0,100.517,0.00529279988259077,mul
,4,4x932,5.0,1005.0,68.0,100.517,0.005151999928057194,mul
,149,149x1015,5.0,1005.0,68.0,100.517,0.006144000217318535,mul
,79,79x781,5.0,1005.0,68.0,100.517,0.005119999870657921,mul
,15,15x635,5.0,1005.0,68.0,100.517,0.005119999870657921,mul
,62,62x895,5.0,1005.0,67.0,96.99800000000003,0.005311999935656786,mul
,183,183x680,5.0,1005.0,67.0,96.99800000000003,0.006144000217318535,mul
,40,40x1421,5.0,1005.0,67.0,96.99800000000003,0.0054975999519228935,mul
,50,50x1745,5.0,1005.0,67.0,96.99800000000003,0.00611840020865202,mul
,84,84x1234,5.0,1005.0,67.0,96.99800000000003,0.006144000217318535,mul
,60,60x1293,5.0,1005.0,67.0,96.99800000000003,0.006099200155586004,mul
,89,89x1648,5.0,1005.0,67.0,96.99800000000003,0.006144000217318535,mul
,108,108x1291,5.0,1005.0,67.0,96.99800000000003,0.010239999741315842,mul
,101,101x1245,5.0,1005.0,67.0,96.99800000000003,0.010239999741315842,mul
,6,6x1222,5.0,1005.0,67.0,96.99800000000003,0.008191999979317188,mul
,143,143x1737,5.0,345.0,67.0,96.53099999999996,0.01228800043463707,mul
,99,99x1602,10.0,345.0,67.0,96.53099999999996,0.011264000087976456,mul
,55,55x2789,10.0,345.0,67.0,96.53099999999996,0.011264000087976456,mul
,64,64x3957,10.0,345.0,67.0,96.53099999999996,0.013311999849975109,mul
,253,253x2522,10.0,345.0,67.0,96.53099999999996,0.02252800017595291,mul
,220,220x2822,10.0,345.0,67.0,96.53099999999996,0.02252800017595291,mul
,225,225x2397,10.0,345.0,67.0,96.53099999999996,0.018432000651955605,mul
,102,102x3436,10.0,345.0,67.0,96.53099999999996,0.015155199728906155,mul
,205,205x3507,10.0,345.0,67.0,96.53099999999996,0.025599999353289604,mul
,129,129x4053,10.0,345.0,67.0,96.53099999999996,0.018432000651955605,mul
,14,14x2782,11.0,285.0,67.0,95.285,0.010163199901580811,mul
,104,104x3251,11.0,285.0,67.0,95.285,0.015359999611973763,mul
,453,453x231,11.0,285.0,67.0,95.285,0.011264000087976456,mul
,341,341x252,11.0,285.0,67.0,95.285,0.011264000087976456,mul
,500,500x81,11.0,285.0,67.0,95.285,0.00942080020904541,mul
,288,288x15,11.0,285.0,67.0,95.285,0.009216000325977802,mul
,476,476x177,11.0,285.0,67.0,95.285,0.011264000087976456,mul
,300,300x34,11.0,285.0,67.0,95.285,0.009216000325977802,mul
,473,473x216,11.0,285.0,67.0,95.285,0.011462400108575821,mul
,307,307x251,11.0,285.0,67.0,95.285,0.011264000087976456,mul
,480,480x104,11.0,255.0,67.0,93.98299999999999,0.010239999741315842,mul
,372,372x48,13.0,255.0,66.0,93.98299999999999,0.010239999741315842,mul
,296,296x411,13.0,255.0,66.0,93.98299999999999,0.01228800043463707,mul
,349,349x266,13.0,255.0,66.0,93.98299999999999,0.01228800043463707,mul
,443,443x493,13.0,255.0,66.0,93.98299999999999,0.015142399817705154,mul
,361,361x468,13.0,255.0,66.0,93.98299999999999,0.013311999849975109,mul
,333,333x355,13.0,255.0,66.0,93.98299999999999,0.012492800317704677,mul
,360,360x338,13.0,255.0,66.0,93.98299999999999,0.012492800317704677,mul
,267,267x285,13.0,255.0,66.0,93.98299999999999,0.011264000087976456,mul
,328,328x377,13.0,255.0,66.0,93.98299999999999,0.012672000378370286,mul
,417,417x425,13.0,240.0,66.0,93.73499999999999,0.013497599959373474,mul
,397,397x482,13.0,240.0,66.0,93.73499999999999,0.014336000196635723,mul
,500,500x765,13.0,240.0,66.0,93.73499999999999,0.018400000408291817,mul
,284,284x758,13.0,240.0,66.0,93.73499999999999,0.014950399845838546,mul
,261,261x915,13.0,240.0,66.0,93.73499999999999,0.014950399845838546,mul
,419,419x929,13.0,240.0,66.0,93.73499999999999,0.018432000651955605,mul
,308,308x677,13.0,240.0,66.0,93.73499999999999,0.014336000196635723,mul
,351,351x967,13.0,240.0,66.0,93.73499999999999,0.01740800030529499,mul
,337,337x768,13.0,240.0,66.0,93.73499999999999,0.015359999611973763,mul
,424,424x801,12.0,240.0,66.0,93.56599999999999,0.01740800030529499,mul
,267,267x536,12.0,240.0,66.0,93.56599999999999,0.013100799918174744,mul
,476,476x779,12.0,240.0,66.0,93.56599999999999,0.018022400513291358,mul
,510,510x1267,12.0,240.0,66.0,93.56599999999999,0.02457600086927414,mul
,477,477x1448,12.0,240.0,66.0,93.56599999999999,0.13578239679336548,mul
,405,405x1561,12.0,240.0,66.0,93.56599999999999,0.1202176034450531,mul
,325,325x1687,12.0,240.0,66.0,93.56599999999999,0.06696960031986236,mul
,283,283x1706,12.0,240.0,66.0,93.56599999999999,0.02252800017595291,mul
,459,459x1784,12.0,240.0,66.0,93.56599999999999,0.16527360081672668,mul
,324,324x1208,12.0,240.0,66.0,93.56599999999999,0.020479999482631683,mul
,512,512x1600,20.0,210.0,64.0,86.92299999999999,0.16465920209884644,mul
,418,418x2031,20.0,210.0,64.0,86.92299999999999,0.17080320417881012,mul
,275,275x1988,20.0,210.0,64.0,86.92299999999999,0.0708608016371727,mul
,439,439x4036,20.0,210.0,64.0,86.92299999999999,0.3549183964729309,mul
,402,402x2788,20.0,210.0,64.0,86.92299999999999,0.22773759663105012,mul
,512,512x2435,20.0,210.0,64.0,86.92299999999999,0.25333759784698484,mul
,335,335x2167,20.0,210.0,64.0,86.92299999999999,0.1462271988391876,mul
,488,488x3379,21.6,210.0,63.6,78.09087999999996,0.3305471897125244,mul
,304,304x3682,25.0,210.0,62.0,66.84999999999997,0.22630399763584136,mul
,455,455x3697,25.0,210.0,62.0,66.84999999999997,0.33935359716415403,mul
,440,440x2442,25.0,210.0,62.0,66.84999999999997,0.21975039541721345,mul
,303,303x3779,25.0,210.0,62.0,66.84999999999997,0.23326720297336578,mul
,371,371x2684,25.0,210.0,62.0,66.84999999999997,0.20295679867267608,mul
,665,665x66,25.0,210.0,62.0,66.84999999999997,0.012083200365304947,mul
,948,948x212,25.0,210.0,62.0,66.84999999999997,0.01597439981997013,mul
,986,986x92,25.0,210.0,62.0,66.84999999999997,0.013311999849975109,mul
,973,973x136,13.0,210.0,61.0,59.77399999999998,0.014336000196635723,mul
,531,531x3,13.0,210.0,61.0,59.77399999999998,0.011264000087976456,mul
,823,823x185,13.0,210.0,61.0,59.77399999999998,0.014336000196635723,mul
,529,529x97,13.0,210.0,61.0,59.77399999999998,0.012083200365304947,mul
,821,821x238,13.0,210.0,61.0,59.77399999999998,0.016383999958634377,mul
,1009,1009x242,13.0,210.0,61.0,59.77399999999998,0.01740800030529499,mul
,521,521x53,13.0,210.0,61.0,59.77399999999998,0.011264000087976456,mul
,1012,1012x375,13.0,210.0,61.0,59.77399999999998,0.020070399343967437,mul
,632,632x510,13.0,210.0,61.0,59.77399999999998,0.018432000651955605,mul
,865,865x481,16.0,210.0,60.0,58.460000000000015,0.023347200453281404,mul
,881,881x498,16.0,210.0,60.0,58.460000000000015,0.023347200453281404,mul
,673,673x508,16.0,210.0,60.0,58.460000000000015,0.021503999829292297,mul
,880,880x390,16.0,210.0,60.0,58.460000000000015,0.021503999829292297,mul
,745,745x318,16.0,210.0,60.0,58.460000000000015,0.018636800348758698,mul
,619,619x282,16.0,210.0,60.0,58.460000000000015,0.01740800030529499,mul
,633,633x362,16.0,210.0,60.0,58.460000000000015,0.019251199439167976,mul
,855,855x327,16.0,210.0,60.0,58.460000000000015,0.01945599913597107,mul
,806,806x688,16.0,210.0,60.0,58.460000000000015,0.1538047969341278,mul
,746,746x654,21.0,210.0,59.0,55.11599999999999,0.024371200799942018,mul
,523,523x584,21.0,210.0,59.0,55.11599999999999,0.020479999482631683,mul
,550,550x667,21.0,210.0,59.0,55.11599999999999,0.022937600314617158,mul
,799,799x663,21.0,210.0,59.0,55.11599999999999,0.118374402821064,mul
,599,599x550,21.0,210.0,59.0,55.11599999999999,0.02088959962129593,mul
,676,676x536,21.0,210.0,59.0,55.11599999999999,0.021503999829292297,mul
,778,778x875,21.0,210.0,59.0,55.11599999999999,0.3051520049571991,mul
,754,754x752,21.0,210.0,59.0,55.11599999999999,0.18391039967536926,mul
,710,710x882,19.32,210.0,59.0,54.04808000000003,0.2633727967739105,mul
,948,948x1291,18.0,210.0,59.0,53.20900000000003,0.5718015909194947,mul
,1023,1023x1892,18.0,210.0,59.0,53.20900000000003,0.8953855991363525,mul
,645,645x1266,18.0,210.0,59.0,53.20900000000003,0.3868672072887421,mul
,625,625x1272,18.0,210.0,59.0,53.20900000000003,0.3721216022968292,mul
,823,823x1627,18.0,210.0,59.0,53.20900000000003,0.6240256071090698,mul
,733,733x1399,18.0,210.0,59.0,53.20900000000003,0.4829183995723724,mul
,830,830x1951,40.0,285.0,58.0,54.41599999999997,0.7548927783966064,mul
,665,665x1691,40.0,285.0,58.0,54.41599999999997,0.5277696013450622,mul
,797,797x1206,40.0,285.0,58.0,54.41599999999997,0.45506560802459717,mul
,1000,1000x1063,40.0,285.0,58.0,54.41599999999997,0.4958208084106445,mul
,841,841x3694,40.0,285.0,58.0,54.41599999999997,1.4112768411636352,mul
,837,837x3613,54.4,285.0,58.0,55.99519999999998,1.3826047897338867,mul
,774,774x2416,58.0,285.0,58.0,56.060999999999986,0.8609791994094849,mul
,572,572x3269,58.0,285.0,58.0,56.060999999999986,0.8663040041923523,mul
,636,636x2261,58.0,285.0,58.0,56.060999999999986,0.29122560024261473,mul
,838,838x3952,58.0,285.0,58.0,56.060999999999986,0.6510592103004456,mul
,616,616x3057,58.0,285.0,58.0,56.060999999999986,0.37601280212402344,mul
,685,685x3053,39.64,403.8,58.0,57.034079999999975,0.41738240122795106,mul
,574,574x4024,31.0,450.0,58.0,57.49199999999998,0.4581376016139984,mul
,584,584x3280,31.0,450.0,58.0,57.49199999999998,0.38318079710006714,mul
,1726,1726x134,31.0,450.0,58.0,57.49199999999998,0.013311999849975109,mul
,1057,1057x69,31.0,450.0,58.0,57.49199999999998,0.011264000087976456,mul
,1191,1191x40,31.0,450.0,58.0,57.49199999999998,0.011059200018644333,mul
,1042,1042x64,31.0,450.0,58.0,57.49199999999998,0.011264000087976456,mul
,1757,1757x99,31.0,450.0,58.0,57.49199999999998,0.013311999849975109,mul
,2034,2034x108,31.0,450.0,58.0,57.49199999999998,0.013311999849975109,mul
,1421,1421x90,11.0,450.0,58.0,58.34300000000001,0.012083200365304947,mul
,1072,1072x130,11.0,450.0,58.0,58.34300000000001,0.01228800043463707,mul
,1274,1274x239,11.0,450.0,58.0,58.34300000000001,0.0141312001273036,mul
,1672,1672x3,11.0,450.0,58.0,58.34300000000001,0.010239999741315842,mul
,1536,1536x357,11.0,450.0,58.0,58.34300000000001,0.0655359998345375,mul
,1074,1074x428,11.0,450.0,58.0,58.34300000000001,0.015359999611973763,mul
,1509,1509x294,11.0,450.0,58.0,58.34300000000001,0.015359999611973763,mul
,1666,1666x290,11.0,450.0,58.0,58.34300000000001,0.016383999958634377,mul
,1139,1139x283,11.0,450.0,58.0,58.34300000000001,0.014336000196635723,mul
,1811,1811x494,11.0,450.0,58.0,58.34300000000001,0.18001919388771057,mul
,1235,1235x263,17.0,450.0,58.0,55.97000000000002,0.014336000196635723,mul
,1405,1405x381,17.0,450.0,58.0,55.97000000000002,0.048332799971103665,mul
,1323,1323x332,17.0,450.0,58.0,55.97000000000002,0.015359999611973763,mul
,1511,1511x284,17.0,450.0,58.0,55.97000000000002,0.015359999611973763,mul
,1999,1999x991,17.0,450.0,58.0,55.97000000000002,0.39526399970054626,mul
,1111,1111x1020,17.0,450.0,58.0,55.97000000000002,0.2271232008934021,mul
,1703,1703x897,17.0,450.0,58.0,55.97000000000002,0.30556160807609556,mul
,1086,1086x630,17.0,450.0,58.0,55.97000000000002,0.13189119696617127,mul
,1430,1430x803,16.08,450.0,57.12,55.92488,0.23326719999313356,mul
,1069,1069x693,16.0,450.0,57.0,55.923,0.3467263996601105,mul
,1649,1649x980,16.0,450.0,57.0,55.923,0.7542783856391907,mul
,1292,1292x707,16.0,450.0,57.0,55.923,0.43007999658584595,mul
,1627,1627x665,16.0,450.0,57.0,55.923,0.5056512117385864,mul
,1988,1988x579,16.0,450.0,57.0,55.923,0.5419008016586304,mul
,2014,2014x2038,18.56,426.0,57.0,56.04924,1.8718720197677612,mul
,1505,1505x1835,32.0,300.0,57.0,56.711999999999996,1.263820767402649,mul
,1300,1300x1197,32.0,300.0,57.0,56.711999999999996,0.3129344046115875,mul
,1948,1948x1982,32.0,300.0,57.0,56.711999999999996,0.7587839961051941,mul
,1392,1392x1929,32.0,300.0,57.0,56.711999999999996,0.5310463905334473,mul
,1491,1491x1226,32.0,300.0,57.0,56.711999999999996,0.3667967915534973,mul
,1537,1537x1644,32.0,300.0,57.0,56.711999999999996,0.5007359981536865,mul
,1852,1852x1855,33.0,480.0,58.0,57.72900000000002,0.6750208139419556,mul
,1503,1503x1984,33.0,480.0,58.0,57.72900000000002,0.5885952115058899,mul
,1923,1923x1946,33.0,480.0,58.0,57.72900000000002,0.7350271940231323,mul
,1720,1720x2972,33.0,480.0,58.0,57.72900000000002,0.9971712231636047,mul
,1339,1339x3401,33.0,480.0,58.0,57.72900000000002,0.8908799886703491,mul
,1247,1247x3395,38.0,495.0,58.0,60.14200000000003,0.8284159898757935,mul
,1079,1079x2813,38.0,495.0,58.0,60.14200000000003,0.5982207894325257,mul
