Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,38.0,495.0,68.0,104.23999999999995,0.0071552000939846035,mulu
,18,18x218,38.0,495.0,68.0,104.23999999999995,0.006144000217318535,mulu
,209,209x112,7.0,570.0,68.0,105.76000000000005,0.006752000097185374,mulu
,83,83x236,7.0,570.0,68.0,105.76000000000005,0.006144000217318535,mulu
,1,1x37,7.0,570.0,68.0,105.76000000000005,0.006144000217318535,mulu
,172,172x29,7.0,570.0,68.0,105.76000000000005,0.006144000217318535,mulu
,188,188x90,7.0,570.0,68.0,105.76000000000005,0.006144000217318535,mulu
,116,116x165,7.0,570.0,68.0,105.76000000000005,0.006144000217318535,mulu
,232,232x249,7.0,570.0,68.0,105.76000000000005,0.0071680000983178616,mulu
,235,235x45,7.0,570.0,68.0,105.76000000000005,0.006144000217318535,mulu
,58,58x332,7.0,570.0,68.0,105.76000000000005,0.006144000217318535,mulu
,178,178x472,7.0,570.0,68.0,105.76000000000005,0.0071680000983178616,mulu
,211,211x432,7.0,570.0,67.0,100.06199999999995,0.0071680000983178616,mulu
,134,134x373,7.0,570.0,67.0,100.06199999999995,0.0071680000983178616,mulu
,86,86x339,7.0,570.0,67.0,100.06199999999995,0.006963200122117996,mulu
,163,163x321,7.0,570.0,67.0,100.06199999999995,0.006944000069051981,mulu
,76,76x447,7.0,570.0,67.0,100.06199999999995,0.0069183999672532085,mulu
,235,235x420,7.0,570.0,67.0,100.06199999999995,0.0071680000983178616,mulu
,174,174x314,7.0,570.0,67.0,100.06199999999995,0.0071680000983178616,mulu
,229,229x439,7.0,570.0,67.0,100.06199999999995,0.0071680000983178616,mulu
,43,43x969,7.0,570.0,67.0,100.06199999999995,0.0071680000983178616,mulu
,76,76x950,7.0,570.0,67.0,100.06199999999995,0.0071680000983178616,mulu
,229,229x602,8.0,570.0,67.0,94.90900000000005,0.0071680000983178616,mulu
,72,72x601,8.0,570.0,67.0,94.90900000000005,0.0071680000983178616,mulu
,4,4x932,8.0,570.0,67.0,94.90900000000005,0.006144000217318535,mulu
,149,149x1015,8.0,570.0,67.0,94.90900000000005,0.0071680000983178616,mulu
,79,79x781,8.0,570.0,67.0,94.90900000000005,0.0071680000983178616,mulu
,15,15x635,8.0,570.0,67.0,94.90900000000005,0.006336000189185143,mulu
,62,62x895,8.0,570.0,67.0,94.90900000000005,0.0071680000983178616,mulu
,183,183x680,8.0,570.0,67.0,94.90900000000005,0.0071680000983178616,mulu
,40,40x1421,8.0,570.0,67.0,94.90900000000005,0.0071680000983178616,mulu
,50,50x1745,8.0,570.0,67.0,94.90900000000005,0.010239999741315842,mulu
,84,84x1234,7.0,240.0,67.0,94.82099999999997,0.011264000087976456,mulu
,60,60x1293,7.0,240.0,67.0,94.82099999999997,0.011014399863779546,mulu
,89,89x1648,7.0,240.0,67.0,94.82099999999997,0.011264000087976456,mulu
,108,108x1291,7.0,240.0,67.0,94.82099999999997,0.011264000087976456,mulu
,101,101x1245,7.0,240.0,67.0,94.82099999999997,0.011264000087976456,mulu
,6,6x1222,7.0,240.0,67.0,94.82099999999997,0.009216000325977802,mulu
,143,143x1737,7.0,240.0,67.0,94.82099999999997,0.013094399869441987,mulu
