Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,24.0,1005.0,69.0,112.77399999999994,0.006144000217318535,pow
,18,18x218,24.0,1005.0,69.0,112.77399999999994,0.006144000217318535,pow
,209,209x112,24.0,1005.0,69.0,112.77399999999994,0.006144000217318535,pow
,83,83x236,24.0,1005.0,69.0,112.77399999999994,0.006144000217318535,pow
,1,1x37,24.0,1005.0,69.0,112.77399999999994,0.005119999870657921,pow
,172,172x29,24.0,1005.0,69.0,112.77399999999994,0.006144000217318535,pow
,188,188x90,24.0,1005.0,69.0,112.77399999999994,0.006144000217318535,pow
,116,116x165,24.0,1005.0,69.0,112.77399999999994,0.006144000217318535,pow
,232,232x249,24.0,1005.0,69.0,112.77399999999994,0.0071680000983178616,pow
,235,235x45,24.0,1005.0,69.0,112.77399999999994,0.006144000217318535,pow
,58,58x332,5.0,1005.0,68.0,105.46099999999996,0.006144000217318535,pow
,178,178x472,5.0,1005.0,68.0,105.46099999999996,0.0071680000983178616,pow
,211,211x432,5.0,1005.0,68.0,105.46099999999996,0.0071680000983178616,pow
,134,134x373,5.0,1005.0,68.0,105.46099999999996,0.007142400089651346,pow
,86,86x339,5.0,1005.0,68.0,105.46099999999996,0.0071680000983178616,pow
,163,163x321,5.0,1005.0,68.0,105.46099999999996,0.007123200036585331,pow
,76,76x447,5.0,1005.0,68.0,105.46099999999996,0.006336000096052885,pow
,235,235x420,5.0,1005.0,68.0,105.46099999999996,0.0071680000983178616,pow
,174,174x314,5.0,1005.0,68.0,105.46099999999996,0.0071552000939846035,pow
,229,229x439,5.0,1005.0,68.0,105.46099999999996,0.0071680000983178616,pow
,43,43x969,5.0,1005.0,68.0,98.31199999999995,0.006144000217318535,pow
,76,76x950,5.0,1005.0,68.0,98.31199999999995,0.007123199943453074,pow
,229,229x602,5.0,1005.0,68.0,98.31199999999995,0.008115199953317642,pow
,72,72x601,5.0,1005.0,68.0,98.31199999999995,0.006515200156718493,pow
,4,4x932,5.0,1005.0,68.0,98.31199999999995,0.006144000217318535,pow
