Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,40.0,510.0,68.0,104.82999999999997,0.009216000325977802,powu
,18,18x218,40.0,510.0,68.0,104.82999999999997,0.009216000325977802,powu
,209,209x112,40.0,510.0,68.0,104.82999999999997,0.009216000325977802,powu
,83,83x236,40.0,510.0,68.0,104.82999999999997,0.009216000325977802,powu
,1,1x37,40.0,510.0,68.0,104.82999999999997,0.0071680000983178616,powu
,172,172x29,40.0,510.0,68.0,104.82999999999997,0.009216000325977802,powu
,188,188x90,40.0,510.0,68.0,104.82999999999997,0.009216000325977802,powu
,116,116x165,40.0,510.0,68.0,104.82999999999997,0.009216000325977802,powu
,232,232x249,8.0,570.0,68.0,102.91,0.01022719983011484,powu
,235,235x45,8.0,570.0,68.0,102.91,0.009216000325977802,powu
,58,58x332,8.0,570.0,68.0,102.91,0.009216000325977802,powu
,178,178x472,8.0,570.0,68.0,102.91,0.010233599878847598,powu
,211,211x432,8.0,570.0,68.0,102.91,0.010239999741315842,powu
,134,134x373,8.0,570.0,68.0,102.91,0.009216000325977802,powu
,86,86x339,8.0,570.0,68.0,102.91,0.009216000325977802,powu
,163,163x321,8.0,570.0,68.0,102.91,0.009625600092113018,powu
,76,76x447,8.0,570.0,68.0,102.91,0.009216000325977802,powu
,235,235x420,8.88,570.0,67.72,96.96399999999996,0.010239999741315842,powu
,174,174x314,9.0,570.0,67.0,96.96399999999996,0.009216000325977802,powu
,229,229x439,9.0,570.0,67.0,96.96399999999996,0.010239999741315842,powu
,43,43x969,9.0,570.0,67.0,96.96399999999996,0.009216000325977802,powu
,76,76x950,9.0,570.0,67.0,96.96399999999996,0.009824000112712384,powu
,229,229x602,9.0,570.0,67.0,96.96399999999996,0.01085439994931221,powu
,72,72x601,9.0,570.0,67.0,96.96399999999996,0.009216000325977802,powu
,4,4x932,9.0,570.0,67.0,96.96399999999996,0.009216000325977802,powu
,149,149x1015,9.0,570.0,67.0,96.96399999999996,0.011264000087976456,powu
,79,79x781,9.0,570.0,67.0,96.96399999999996,0.009216000325977802,powu
,15,15x635,11.0,570.0,67.0,95.009,0.009216000325977802,powu
,62,62x895,11.0,570.0,67.0,95.009,0.009216000325977802,powu
,183,183x680,11.0,570.0,67.0,95.009,0.010239999741315842,powu
,40,40x1421,11.0,570.0,67.0,95.009,0.009216000325977802,powu
,50,50x1745,11.0,570.0,67.0,95.009,0.010239999741315842,powu
,84,84x1234,11.0,570.0,67.0,95.009,0.010239999741315842,powu
,60,60x1293,11.0,570.0,67.0,95.009,0.010035199858248234,powu
,89,89x1648,11.0,570.0,67.0,95.009,0.019654399156570433,powu
,108,108x1291,11.0,570.0,67.0,95.009,0.01945599913597107,powu
,101,101x1245,11.0,570.0,67.0,95.009,0.018432000651955605,powu
,6,6x1222,12.0,240.0,67.0,94.936,0.015359999611973763,powu
,143,143x1737,12.0,240.0,67.0,94.936,0.024166400730609893,powu
,99,99x1602,12.0,240.0,67.0,94.936,0.020268799364566804,powu
,55,55x2789,12.0,240.0,67.0,94.936,0.01945599913597107,powu
,64,64x3957,12.0,240.0,67.0,94.936,0.02517760023474693,powu
,253,253x2522,12.0,240.0,67.0,94.936,0.03993599861860275,powu
,220,220x2822,12.0,240.0,67.0,94.936,0.03971839919686317,powu
,225,225x2397,12.0,240.0,67.0,94.936,0.03624960109591484,powu
,102,102x3436,12.0,240.0,67.0,94.936,0.028672000393271446,powu
,205,205x3507,12.0,240.0,67.0,94.936,0.0431999996304512,powu
,129,129x4053,20.0,240.0,67.0,94.471,0.035840000957250595,powu
,14,14x2782,20.0,240.0,67.0,94.471,0.016383999958634377,powu
,104,104x3251,20.0,240.0,67.0,94.471,0.0282624002546072,powu
,453,453x231,20.0,240.0,67.0,94.471,0.018432000651955605,powu
,341,341x252,20.0,240.0,67.0,94.471,0.018188800290226938,powu
,500,500x81,20.0,240.0,67.0,94.471,0.016172799840569498,powu
,288,288x15,20.0,240.0,67.0,94.471,0.015359999611973763,powu
,476,476x177,20.0,240.0,67.0,94.471,0.01740800030529499,powu
,300,300x34,20.0,240.0,67.0,94.471,0.016383999958634377,powu
,473,473x216,12.0,240.0,67.0,93.87899999999996,0.018432000651955605,powu
,307,307x251,12.0,240.0,67.0,93.87899999999996,0.01740800030529499,powu
,480,480x104,12.0,240.0,67.0,93.87899999999996,0.016383999958634377,powu
,372,372x48,12.0,240.0,67.0,93.87899999999996,0.016383999958634377,powu
,296,296x411,12.0,240.0,67.0,93.87899999999996,0.018432000651955605,powu
,349,349x266,12.0,240.0,67.0,93.87899999999996,0.01740800030529499,powu
,443,443x493,12.0,240.0,67.0,93.87899999999996,0.026419199630618097,powu
,361,361x468,12.0,240.0,67.0,93.87899999999996,0.023552000522613525,powu
,333,333x355,12.0,240.0,67.0,93.87899999999996,0.020479999482631683,powu
