Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,29.0,600.0,68.0,106.131,0.0065344001166522505,relu
,18,18x218,29.0,600.0,68.0,106.131,0.006553600169718265,relu
,209,209x112,29.0,600.0,68.0,106.131,0.006739200092852116,relu
,83,83x236,29.0,600.0,68.0,106.131,0.006144000217318535,relu
,1,1x37,29.0,600.0,68.0,106.131,0.006144000217318535,relu
,172,172x29,29.0,600.0,68.0,106.131,0.0063488001935184,relu
,188,188x90,29.0,600.0,68.0,106.131,0.0063488001935184,relu
,116,116x165,29.0,600.0,68.0,106.131,0.006924800109118223,relu
,232,232x249,8.0,600.0,68.0,103.79799999999996,0.0071680000983178616,relu
,235,235x45,8.0,600.0,68.0,103.79799999999996,0.006144000217318535,relu
,58,58x332,8.0,600.0,68.0,103.79799999999996,0.006144000217318535,relu
,178,178x472,8.0,600.0,68.0,103.79799999999996,0.0071680000983178616,relu
,211,211x432,8.0,600.0,68.0,103.79799999999996,0.0071680000983178616,relu
,134,134x373,8.0,600.0,68.0,103.79799999999996,0.007161600049585104,relu
,86,86x339,8.0,600.0,68.0,103.79799999999996,0.007148800045251846,relu
,163,163x321,8.0,600.0,68.0,103.79799999999996,0.0071680000983178616,relu
,76,76x447,8.0,600.0,68.0,103.79799999999996,0.007142400089651346,relu
,235,235x420,8.0,600.0,68.0,103.79799999999996,0.0071680000983178616,relu
,174,174x314,10.0,600.0,67.0,97.33400000000002,0.0071680000983178616,relu
,229,229x439,10.0,600.0,67.0,97.33400000000002,0.0071680000983178616,relu
,43,43x969,10.0,600.0,67.0,97.33400000000002,0.0071680000983178616,relu
,76,76x950,10.0,600.0,67.0,97.33400000000002,0.0071680000983178616,relu
,229,229x602,10.0,600.0,67.0,97.33400000000002,0.0071680000983178616,relu
,72,72x601,10.0,600.0,67.0,97.33400000000002,0.0071680000983178616,relu
,4,4x932,10.0,600.0,67.0,97.33400000000002,0.006950400024652481,relu
,149,149x1015,10.0,600.0,67.0,97.33400000000002,0.007980799954384565,relu
,79,79x781,10.0,600.0,67.0,97.33400000000002,0.0071680000983178616,relu
,15,15x635,10.0,600.0,67.0,97.33400000000002,0.006144000217318535,relu
,62,62x895,6.0,600.0,67.0,95.259,0.0071680000983178616,relu
,183,183x680,6.0,600.0,67.0,95.259,0.010239999741315842,relu
,40,40x1421,6.0,600.0,67.0,95.259,0.010009600222110749,relu
,50,50x1745,6.0,600.0,67.0,95.259,0.010239999741315842,relu
,84,84x1234,6.0,600.0,67.0,95.259,0.010239999741315842,relu
,60,60x1293,6.0,600.0,67.0,95.259,0.010239999741315842,relu
,89,89x1648,6.0,600.0,67.0,95.259,0.011264000087976456,relu
,108,108x1291,6.0,600.0,67.0,95.259,0.011264000087976456,relu
,101,101x1245,6.0,600.0,67.0,95.259,0.011264000087976456,relu
,6,6x1222,6.0,600.0,67.0,95.259,0.009216000325977802,relu
,143,143x1737,12.0,255.0,67.0,94.854,0.01329279989004135,relu
,99,99x1602,12.0,255.0,67.0,94.854,0.011264000087976456,relu
,55,55x2789,12.0,255.0,67.0,94.854,0.011468800157308579,relu
,64,64x3957,12.0,255.0,67.0,94.854,0.013311999849975109,relu
,253,253x2522,12.0,255.0,67.0,94.854,0.01945599913597107,relu
,220,220x2822,12.0,255.0,67.0,94.854,0.01945599913597107,relu
,225,225x2397,12.0,255.0,67.0,94.854,0.018003200367093086,relu
,102,102x3436,12.0,255.0,67.0,94.854,0.015347199700772762,relu
,205,205x3507,12.0,255.0,67.0,94.854,0.020479999482631683,relu
,129,129x4053,13.0,240.0,67.0,94.31899999999997,0.01740800030529499,relu
,14,14x2782,13.0,240.0,67.0,94.31899999999997,0.010239999741315842,relu
,104,104x3251,13.0,240.0,67.0,94.31899999999997,0.014336000196635723,relu
,453,453x231,13.0,240.0,67.0,94.31899999999997,0.011264000087976456,relu
,341,341x252,13.0,240.0,67.0,94.31899999999997,0.011264000087976456,relu
,500,500x81,13.0,240.0,67.0,94.31899999999997,0.010239999741315842,relu
,288,288x15,13.0,240.0,67.0,94.31899999999997,0.010233599878847598,relu
,476,476x177,13.0,240.0,67.0,94.31899999999997,0.011264000087976456,relu
,300,300x34,13.0,240.0,67.0,94.31899999999997,0.010239999741315842,relu
,473,473x216,13.0,240.0,67.0,94.31899999999997,0.011264000087976456,relu
,307,307x251,13.0,240.0,67.0,93.94599999999997,0.011264000087976456,relu
,480,480x104,13.0,240.0,67.0,93.94599999999997,0.010239999741315842,relu
,372,372x48,13.0,240.0,67.0,93.94599999999997,0.010239999741315842,relu
,296,296x411,13.0,240.0,67.0,93.94599999999997,0.013311999849975109,relu
,349,349x266,13.0,240.0,67.0,93.94599999999997,0.013107199966907502,relu
,443,443x493,13.0,240.0,67.0,93.94599999999997,0.014336000196635723,relu
,361,361x468,13.0,240.0,67.0,93.94599999999997,0.013721599988639355,relu
,333,333x355,13.0,240.0,67.0,93.94599999999997,0.013311999849975109,relu
,360,360x338,13.0,240.0,67.0,93.94599999999997,0.013311999849975109,relu
,267,267x285,16.0,210.0,64.0,83.48299999999998,0.013107199966907502,relu
,328,328x377,16.0,210.0,64.0,83.48299999999998,0.013311999849975109,relu
,417,417x425,16.0,210.0,64.0,83.48299999999998,0.014336000196635723,relu
,397,397x482,16.0,210.0,64.0,83.48299999999998,0.014336000196635723,relu
,500,500x765,16.0,210.0,64.0,83.48299999999998,0.01720320023596287,relu
,284,284x758,16.0,210.0,64.0,83.48299999999998,0.014336000196635723,relu
,261,261x915,16.0,210.0,64.0,83.48299999999998,0.015359999611973763,relu
,419,419x929,16.0,210.0,64.0,83.48299999999998,0.01720320023596287,relu
,308,308x677,16.0,210.0,64.0,83.48299999999998,0.014336000196635723,relu
,351,351x967,17.0,210.0,62.0,65.46000000000002,0.016383999958634377,relu
