Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,50.0,720.0,69.0,110.49200000000002,0.006144000217318535,softmax
,18,18x218,36.0,1005.0,69.0,114.73300000000003,0.006144000217318535,softmax
,209,209x112,36.0,1005.0,69.0,114.73300000000003,0.0065344001166522505,softmax
,83,83x236,36.0,1005.0,69.0,114.73300000000003,0.0067136000841856005,softmax
,1,1x37,36.0,1005.0,69.0,114.73300000000003,0.0060928001068532465,softmax
,172,172x29,36.0,1005.0,69.0,114.73300000000003,0.006144000217318535,softmax
,188,188x90,36.0,1005.0,69.0,114.73300000000003,0.006771200057119131,softmax
,116,116x165,36.0,1005.0,69.0,114.73300000000003,0.006144000217318535,softmax
,232,232x249,36.0,1005.0,69.0,114.73300000000003,0.006540800165385008,softmax
,235,235x45,36.0,1005.0,69.0,114.73300000000003,0.006144000217318535,softmax
,58,58x332,36.0,1005.0,69.0,114.73300000000003,0.0071680000983178616,softmax
,178,178x472,6.0,1005.0,68.0,107.95400000000001,0.008191999979317188,softmax
,211,211x432,6.0,1005.0,68.0,107.95400000000001,0.007929599937051534,softmax
,134,134x373,6.0,1005.0,68.0,107.95400000000001,0.007174400053918362,softmax
,86,86x339,6.0,1005.0,68.0,107.95400000000001,0.0071680000983178616,softmax
,163,163x321,6.0,1005.0,68.0,107.95400000000001,0.0071680000983178616,softmax
,76,76x447,6.0,1005.0,68.0,107.95400000000001,0.008128000050783157,softmax
,235,235x420,6.0,1005.0,68.0,107.95400000000001,0.008191999979317188,softmax
,174,174x314,6.0,1005.0,68.0,107.95400000000001,0.0071680000983178616,softmax
,229,229x439,6.0,1005.0,68.0,107.95400000000001,0.008191999979317188,softmax
,43,43x969,6.0,1005.0,68.0,107.95400000000001,0.010239999741315842,softmax
,76,76x950,6.0,1005.0,68.0,107.95400000000001,0.010419199801981449,softmax
,229,229x602,5.0,1005.0,67.0,98.73099999999995,0.009216000325977802,softmax
,72,72x601,5.0,1005.0,67.0,98.73099999999995,0.009216000325977802,softmax
,4,4x932,5.0,1005.0,67.0,98.73099999999995,0.010239999741315842,softmax
,149,149x1015,5.0,1005.0,67.0,98.73099999999995,0.010790399834513664,softmax
,79,79x781,5.0,1005.0,67.0,98.73099999999995,0.009600000083446502,softmax
,15,15x635,5.0,1005.0,67.0,98.73099999999995,0.009216000325977802,softmax
,62,62x895,5.0,1005.0,67.0,98.73099999999995,0.010239999741315842,softmax
,183,183x680,5.0,1005.0,67.0,98.73099999999995,0.009216000325977802,softmax
,40,40x1421,5.0,1005.0,67.0,98.73099999999995,0.009216000325977802,softmax
,50,50x1745,6.0,1005.0,67.0,96.896,0.010239999741315842,softmax
,84,84x1234,6.0,1005.0,67.0,96.896,0.020479999482631683,softmax
,60,60x1293,6.0,1005.0,67.0,96.896,0.01740800030529499,softmax
,89,89x1648,6.0,1005.0,67.0,96.896,0.02129279971122742,softmax
,108,108x1291,6.0,1005.0,67.0,96.896,0.01945599913597107,softmax
,101,101x1245,6.0,1005.0,67.0,96.896,0.021491199731826782,softmax
,6,6x1222,6.0,1005.0,67.0,96.896,0.01945599913597107,softmax
,143,143x1737,6.0,1005.0,67.0,96.896,0.021503999829292297,softmax
,99,99x1602,6.0,1005.0,67.0,96.896,0.021503999829292297,softmax
,55,55x2789,6.0,1005.0,67.0,96.896,0.02252800017595291,softmax
,64,64x3957,10.0,345.0,67.0,95.98499999999999,0.025599999353289604,softmax
,253,253x2522,10.0,345.0,67.0,95.98499999999999,0.04403200000524521,softmax
,220,220x2822,10.0,345.0,67.0,95.98499999999999,0.03276799991726875,softmax
,225,225x2397,10.0,345.0,67.0,95.98499999999999,0.03543040081858635,softmax
,102,102x3436,10.0,345.0,67.0,95.98499999999999,0.03174399957060814,softmax
,205,205x3507,10.0,345.0,67.0,95.98499999999999,0.03891199827194214,softmax
,129,129x4053,10.0,345.0,67.0,95.98499999999999,0.03479680046439171,softmax
,14,14x2782,10.0,345.0,67.0,95.98499999999999,0.02457600086927414,softmax
,104,104x3251,10.0,345.0,67.0,95.98499999999999,0.03256319984793663,softmax
,453,453x231,10.0,345.0,67.0,95.98499999999999,0.014336000196635723,softmax
,341,341x252,10.0,300.0,66.0,94.93699999999995,0.014336000196635723,softmax
,500,500x81,10.0,300.0,66.0,94.93699999999995,0.013311999849975109,softmax
,288,288x15,10.0,300.0,66.0,94.93699999999995,0.01043199971318245,softmax
,476,476x177,10.0,300.0,66.0,94.93699999999995,0.014336000196635723,softmax
,300,300x34,10.0,300.0,66.0,94.93699999999995,0.012070400267839431,softmax
,473,473x216,10.0,300.0,66.0,94.93699999999995,0.015359999611973763,softmax
,307,307x251,10.0,300.0,66.0,94.93699999999995,0.015116799995303154,softmax
,480,480x104,10.0,300.0,66.0,94.93699999999995,0.015347199887037278,softmax
,372,372x48,10.0,300.0,66.0,94.93699999999995,0.01228800043463707,softmax
,296,296x411,10.0,300.0,66.0,94.93699999999995,0.01945599913597107,softmax
,349,349x266,12.0,255.0,66.0,94.10899999999997,0.018412800505757332,softmax
,443,443x493,12.0,255.0,66.0,94.10899999999997,0.023347200453281404,softmax
,361,361x468,12.0,255.0,66.0,94.10899999999997,0.022316800057888032,softmax
,333,333x355,12.0,255.0,66.0,94.10899999999997,0.02128639966249466,softmax
,360,360x338,12.0,255.0,66.0,94.10899999999997,0.020479999482631683,softmax
,267,267x285,12.0,255.0,66.0,94.10899999999997,0.01740800030529499,softmax
,328,328x377,12.0,255.0,66.0,94.10899999999997,0.019647999480366708,softmax
,417,417x425,12.0,255.0,66.0,94.10899999999997,0.02252800017595291,softmax
,397,397x482,12.0,255.0,66.0,94.10899999999997,0.023552000522613525,softmax
,500,500x765,12.0,255.0,66.0,94.10899999999997,0.03256319984793663,softmax
,284,284x758,13.0,240.0,66.0,93.74800000000003,0.028672000393271446,softmax
,261,261x915,13.0,240.0,66.0,93.74800000000003,0.03174399957060814,softmax
,419,419x929,13.0,240.0,66.0,93.74800000000003,0.036454401165246966,softmax
,308,308x677,13.0,240.0,66.0,93.74800000000003,0.027648000046610832,softmax
,351,351x967,13.0,240.0,66.0,93.74800000000003,0.04095999896526337,softmax
,337,337x768,13.0,240.0,66.0,93.74800000000003,0.035840000957250595,softmax
,424,424x801,13.0,240.0,66.0,93.74800000000003,0.03727360144257545,softmax
,267,267x536,13.0,240.0,66.0,93.74800000000003,0.027648000046610832,softmax
,476,476x779,13.0,240.0,66.0,93.74800000000003,0.03665920123457909,softmax
,510,510x1267,14.6,217.2,65.36,91.34320000000004,0.06164479851722717,softmax
,477,477x1448,18.0,210.0,64.0,87.06800000000001,0.050175998359918594,softmax
,405,405x1561,18.0,210.0,64.0,87.06800000000001,0.048128001391887665,softmax
,325,325x1687,18.0,210.0,64.0,87.06800000000001,0.04403200000524521,softmax
,283,283x1706,18.0,210.0,64.0,87.06800000000001,0.043007999658584595,softmax
,459,459x1784,18.0,210.0,64.0,87.06800000000001,0.08642559945583343,softmax
,324,324x1208,18.0,210.0,64.0,87.06800000000001,0.03665920123457909,softmax
,512,512x1600,18.0,210.0,64.0,87.06800000000001,0.08744959980249405,softmax
,418,418x2031,18.0,210.0,64.0,87.06800000000001,0.0980992004275322,softmax
,275,275x1988,19.0,210.0,62.0,68.80099999999999,0.04608000069856644,softmax
,439,439x4036,19.0,210.0,62.0,68.80099999999999,0.26542080044746397,softmax
,402,402x2788,19.0,210.0,62.0,68.80099999999999,0.18227200210094452,softmax
,512,512x2435,19.0,210.0,62.0,68.80099999999999,0.18227200210094452,softmax
,335,335x2167,19.0,210.0,62.0,68.80099999999999,0.07147520184516906,softmax
,488,488x3379,19.0,210.0,62.0,68.80099999999999,0.2471935987472534,softmax
,304,304x3682,19.0,210.0,62.0,68.80099999999999,0.18268159925937652,softmax
,455,455x3697,19.0,210.0,62.0,68.80099999999999,0.2541568011045456,softmax
,440,440x2442,22.92,210.0,61.48,62.38947999999996,0.16322560012340545,softmax
,303,303x3779,26.0,210.0,61.0,58.78299999999997,0.18288639783859253,softmax
,371,371x2684,26.0,210.0,61.0,58.78299999999997,0.16363519728183745,softmax
,665,665x66,26.0,210.0,61.0,58.78299999999997,0.01740800030529499,softmax
,948,948x212,26.0,210.0,61.0,58.78299999999997,0.020479999482631683,softmax
,986,986x92,26.0,210.0,61.0,58.78299999999997,0.018432000651955605,softmax
,973,973x136,26.0,210.0,61.0,58.78299999999997,0.018432000651955605,softmax
,531,531x3,26.0,210.0,61.0,58.78299999999997,0.01228800043463707,softmax
,823,823x185,26.0,210.0,61.0,58.78299999999997,0.01945599913597107,softmax
,529,529x97,20.0,210.0,60.0,58.33300000000001,0.01740800030529499,softmax
,821,821x238,20.0,210.0,60.0,58.33300000000001,0.02314240038394928,softmax
,1009,1009x242,20.0,210.0,60.0,58.33300000000001,0.02457600086927414,softmax
