Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,127,127x168,42.0,555.0,69.0,107.08199999999994,0.0071680000983178616,tanh
,18,18x218,42.0,555.0,69.0,107.08199999999994,0.0071680000983178616,tanh
,209,209x112,42.0,555.0,69.0,107.08199999999994,0.0071680000983178616,tanh
,83,83x236,42.0,555.0,69.0,107.08199999999994,0.0071680000983178616,tanh
,1,1x37,42.0,555.0,69.0,107.08199999999994,0.006540800165385008,tanh
,172,172x29,42.0,555.0,69.0,107.08199999999994,0.0071680000983178616,tanh
,188,188x90,42.0,555.0,69.0,107.08199999999994,0.0071680000983178616,tanh
,116,116x165,42.0,555.0,69.0,107.08199999999994,0.0071680000983178616,tanh
,232,232x249,42.0,555.0,69.0,107.08199999999994,0.0071680000983178616,tanh
,235,235x45,8.0,570.0,68.0,104.57,0.0071680000983178616,tanh
,58,58x332,8.0,570.0,68.0,104.57,0.0071680000983178616,tanh
,178,178x472,8.0,570.0,68.0,104.57,0.0071680000983178616,tanh
,211,211x432,8.0,570.0,68.0,104.57,0.0071680000983178616,tanh
,134,134x373,8.0,570.0,68.0,104.57,0.0071680000983178616,tanh
,86,86x339,8.0,570.0,68.0,104.57,0.0071680000983178616,tanh
,163,163x321,8.0,570.0,68.0,104.57,0.0071680000983178616,tanh
,76,76x447,8.0,570.0,68.0,104.57,0.0071680000983178616,tanh
,235,235x420,8.0,570.0,68.0,104.57,0.008191999979317188,tanh
,174,174x314,8.0,570.0,68.0,104.57,0.0071680000983178616,tanh
,229,229x439,6.0,570.0,68.0,97.613,0.007577600050717592,tanh
,43,43x969,6.0,570.0,68.0,97.613,0.0071680000983178616,tanh
,76,76x950,6.0,570.0,68.0,97.613,0.0071680000983178616,tanh
,229,229x602,6.0,570.0,68.0,97.613,0.008191999979317188,tanh
,72,72x601,6.0,570.0,68.0,97.613,0.0071680000983178616,tanh
,4,4x932,6.0,570.0,68.0,97.613,0.0071680000983178616,tanh
,149,149x1015,6.0,570.0,68.0,97.613,0.008191999979317188,tanh
,79,79x781,6.0,570.0,68.0,97.613,0.0071680000983178616,tanh
,15,15x635,6.0,570.0,68.0,97.613,0.0071680000983178616,tanh
,62,62x895,6.0,570.0,68.0,97.613,0.0071680000983178616,tanh
,183,183x680,6.0,570.0,68.0,95.07200000000006,0.00795519994571805,tanh
,40,40x1421,6.0,570.0,68.0,95.07200000000006,0.0071680000983178616,tanh
,50,50x1745,6.0,570.0,68.0,95.07200000000006,0.0071680000983178616,tanh
,84,84x1234,6.0,570.0,68.0,95.07200000000006,0.007571200001984834,tanh
,60,60x1293,6.0,570.0,68.0,95.07200000000006,0.007756800018250942,tanh
,89,89x1648,6.0,570.0,68.0,95.07200000000006,0.008191999979317188,tanh
,108,108x1291,6.0,570.0,68.0,95.07200000000006,0.008179200068116187,tanh
,101,101x1245,6.0,570.0,68.0,95.07200000000006,0.01228800043463707,tanh
,6,6x1222,6.0,570.0,68.0,95.07200000000006,0.010239999741315842,tanh
,143,143x1737,6.0,570.0,68.0,95.07200000000006,0.01385600008070469,tanh
,99,99x1602,11.0,240.0,67.0,95.07799999999999,0.012678400240838527,tanh
,55,55x2789,11.0,240.0,67.0,95.07799999999999,0.01228800043463707,tanh
,64,64x3957,11.0,240.0,67.0,95.07799999999999,0.013926400057971477,tanh
,253,253x2522,11.0,240.0,67.0,95.07799999999999,0.0204415999352932,tanh
,220,220x2822,11.0,240.0,67.0,95.07799999999999,0.01945599913597107,tanh
,225,225x2397,11.0,240.0,67.0,95.07799999999999,0.018432000651955605,tanh
,102,102x3436,11.0,240.0,67.0,95.07799999999999,0.015359999611973763,tanh
,205,205x3507,11.0,240.0,67.0,95.07799999999999,0.021503999829292297,tanh
,129,129x4053,11.0,240.0,67.0,95.07799999999999,0.018425600603222847,tanh
,14,14x2782,11.0,240.0,67.0,95.07799999999999,0.011264000087976456,tanh
,104,104x3251,12.0,240.0,67.0,94.48999999999997,0.015359999611973763,tanh
,453,453x231,12.0,240.0,67.0,94.48999999999997,0.01228800043463707,tanh
,341,341x252,12.0,240.0,67.0,94.48999999999997,0.01228800043463707,tanh
,500,500x81,12.0,240.0,67.0,94.48999999999997,0.011264000087976456,tanh
,288,288x15,12.0,240.0,67.0,94.48999999999997,0.010239999741315842,tanh
,476,476x177,12.0,240.0,67.0,94.48999999999997,0.01185920014977455,tanh
,300,300x34,12.0,240.0,67.0,94.48999999999997,0.011052799969911575,tanh
,473,473x216,12.0,240.0,67.0,94.48999999999997,0.01228800043463707,tanh
,307,307x251,12.0,240.0,67.0,94.48999999999997,0.011667200177907944,tanh
,480,480x104,12.0,240.0,67.0,94.48999999999997,0.011264000087976456,tanh
,372,372x48,12.0,240.0,67.0,94.04300000000006,0.010636799782514573,tanh
,296,296x411,12.0,240.0,67.0,94.04300000000006,0.014336000196635723,tanh
,349,349x266,12.0,240.0,67.0,94.04300000000006,0.013311999849975109,tanh
,443,443x493,12.0,240.0,67.0,94.04300000000006,0.015359999611973763,tanh
,361,361x468,12.0,240.0,67.0,94.04300000000006,0.014336000196635723,tanh
,333,333x355,12.0,240.0,67.0,94.04300000000006,0.013926400057971477,tanh
,360,360x338,12.0,240.0,67.0,94.04300000000006,0.014336000196635723,tanh
,267,267x285,12.0,240.0,67.0,94.04300000000006,0.013311999849975109,tanh
,328,328x377,12.0,240.0,67.0,94.04300000000006,0.014336000196635723,tanh
,417,417x425,12.0,240.0,67.0,94.04300000000006,0.01474559996277094,tanh
,397,397x482,14.0,210.0,64.0,80.35999999999996,0.015155199728906155,tanh
,500,500x765,14.0,210.0,64.0,80.35999999999996,0.01740800030529499,tanh
,284,284x758,14.0,210.0,64.0,80.35999999999996,0.015359999611973763,tanh
,261,261x915,14.0,210.0,64.0,80.35999999999996,0.015359999611973763,tanh
,419,419x929,14.0,210.0,64.0,80.35999999999996,0.01740800030529499,tanh
,308,308x677,14.0,210.0,64.0,80.35999999999996,0.015155199728906155,tanh
,351,351x967,14.0,210.0,64.0,80.35999999999996,0.016383999958634377,tanh
,337,337x768,14.0,210.0,64.0,80.35999999999996,0.01576959975063801,tanh
,424,424x801,14.0,210.0,62.16,65.62100000000004,0.016588800027966498,tanh
,267,267x536,14.0,210.0,62.0,65.62100000000004,0.014336000196635723,tanh
,476,476x779,14.0,210.0,62.0,65.62100000000004,0.01740800030529499,tanh
,510,510x1267,14.0,210.0,62.0,65.62100000000004,0.02252800017595291,tanh
,477,477x1448,14.0,210.0,62.0,65.62100000000004,0.02252800017595291,tanh
,405,405x1561,14.0,210.0,62.0,65.62100000000004,0.02252800017595291,tanh
,325,325x1687,14.0,210.0,62.0,65.62100000000004,0.020479999482631683,tanh
,283,283x1706,14.0,210.0,62.0,65.62100000000004,0.01884160004556179,tanh
,459,459x1784,14.0,210.0,62.0,65.62100000000004,0.06942720115184783,tanh
,324,324x1208,14.0,210.0,62.0,65.62100000000004,0.01740800030529499,tanh
,512,512x1600,14.0,210.0,61.0,57.798999999999985,0.06860800087451935,tanh
,418,418x2031,14.0,210.0,61.0,57.798999999999985,0.08007679730653763,tanh
,275,275x1988,14.0,210.0,61.0,57.798999999999985,0.020479999482631683,tanh
,439,439x4036,14.0,210.0,61.0,57.798999999999985,0.2347008019685745,tanh
,402,402x2788,14.0,210.0,61.0,57.798999999999985,0.14274559915065765,tanh
,512,512x2435,14.0,210.0,61.0,57.798999999999985,0.1654783993959427,tanh
,335,335x2167,14.0,210.0,61.0,57.798999999999985,0.025599999353289604,tanh
,488,488x3379,14.0,210.0,61.0,57.798999999999985,0.4915200054645538,tanh
,304,304x3682,30.0,210.0,60.0,57.60400000000002,0.317849600315094,tanh
,455,455x3697,30.0,210.0,60.0,57.60400000000002,0.5036032199859619,tanh
,440,440x2442,30.0,210.0,60.0,57.60400000000002,0.30023680329322816,tanh
,303,303x3779,30.0,210.0,60.0,57.60400000000002,0.3272704005241394,tanh
,371,371x2684,30.0,210.0,60.0,57.60400000000002,0.27443199753761294,tanh
,665,665x66,30.0,210.0,60.0,57.60400000000002,0.014950399845838546,tanh
,948,948x212,30.0,210.0,60.0,57.60400000000002,0.01740800030529499,tanh
,986,986x92,30.0,210.0,60.0,57.60400000000002,0.015359999611973763,tanh
,973,973x136,14.0,210.0,60.0,56.433999999999976,0.016179199889302255,tanh
,531,531x3,14.0,210.0,60.0,56.433999999999976,0.0141312001273036,tanh
