Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,8,8x2x18x16,0.0,1005.0,61.0,104.046,0.0061440002173185,bmm
,18,18x1x11x28,0.0,1005.0,61.0,104.046,0.0058688000775873,bmm
,6,6x19x24x13,0.0,1005.0,61.0,104.046,0.0143360001966357,bmm
,5,5x11x16x43,0.0,1005.0,61.0,104.046,0.0061440002173185,bmm
,26,26x30x10x49,0.0,1005.0,61.0,104.046,0.0133119998499751,bmm
,5,5x25x25x62,0.0,1005.0,61.0,104.046,0.0163839999586343,bmm
,20,20x33x13x84,0.0,1005.0,61.0,104.046,0.0133119998499751,bmm
,9,9x9x31x86,4.0,1005.0,64.0,121.634,0.0069567998871207,bmm
,15,15x1x5x72,4.0,1005.0,64.0,121.634,0.0051199998706579,bmm
,7,7x7x28x219,4.0,1005.0,64.0,121.634,0.0071680000983178,bmm
,18,18x30x16x148,4.0,1005.0,64.0,121.634,0.0133119998499751,bmm
,25,25x17x30x202,4.0,1005.0,64.0,121.634,0.0163839999586343,bmm
,12,12x5x5x377,4.0,1005.0,64.0,121.634,0.0061440002173185,bmm
,21,21x5x1x491,4.0,1005.0,64.0,121.634,0.0051199998706579,bmm
,9,9x17x8x311,4.0,1005.0,64.0,121.634,0.0116032000631093,bmm
,9,9x17x11x965,4.0,1005.0,64.0,121.634,0.0134719999507069,bmm
,16,16x7x23x929,4.0,1005.0,64.0,121.634,0.0091391999274492,bmm
,15,15x13x30x871,4.0,1005.0,65.0,123.134,0.012288000434637,bmm
,12,12x17x35x7,4.0,1005.0,65.0,123.134,0.0183231998234987,bmm
,22,22x21x40x20,4.0,1005.0,65.0,123.134,0.0174080003052949,bmm
,14,14x28x53x30,4.0,1005.0,65.0,123.134,0.0214016001671552,bmm
,2,2x3x48x63,4.0,1005.0,65.0,123.134,0.0070015999488532,bmm
,16,16x8x62x41,4.0,1005.0,65.0,123.134,0.0071680000983178,bmm
,5,5x19x48x50,4.0,1005.0,65.0,123.134,0.0193983998149633,bmm
,14,14x27x57x67,4.0,1005.0,65.0,123.134,0.0230272006243467,bmm
,26,26x11x62x81,4.0,1005.0,65.0,123.134,0.0081600001081824,bmm
,25,25x18x59x97,4.0,1005.0,65.0,123.134,0.0228800002485513,bmm
,8,8x14x62x194,4.0,1005.0,65.0,123.134,0.007878400105983,bmm
,3,3x23x60x223,5.0,1005.0,67.0,124.393,0.0226944003254175,bmm
,28,28x18x53x191,5.0,1005.0,67.0,124.393,0.0215039998292922,bmm
,18,18x18x33x354,5.0,1005.0,67.0,124.393,0.0184320006519556,bmm
,31,31x23x60x426,5.0,1005.0,67.0,124.393,0.0378880016505718,bmm
,7,7x13x51x373,5.0,1005.0,67.0,124.393,0.0081919999793171,bmm
,29,29x22x44x565,5.0,1005.0,67.0,124.393,0.0317439995706081,bmm
,25,25x29x61x817,5.0,1005.0,67.0,124.393,0.0542591996490955,bmm
,31,31x19x35x750,5.0,1005.0,67.0,124.393,0.0406015999615192,bmm
,20,20x19x121x8,5.0,1005.0,67.0,124.393,0.0351231999695301,bmm
,18,18x3x87x31,5.0,1005.0,67.0,124.393,0.0073280001059174,bmm
,19,19x26x69x30,5.0,1005.0,68.0,125.62899999999996,0.0245696008205413,bmm
,18,18x9x101x61,5.0,1005.0,68.0,125.62899999999996,0.0081919999793171,bmm
,33,33x18x118x63,5.0,1005.0,68.0,125.62899999999996,0.0337920002639293,bmm
,32,32x10x122x63,5.0,1005.0,68.0,125.62899999999996,0.0091264000162482,bmm
,32,32x3x81x129,5.0,1005.0,68.0,125.62899999999996,0.0081919999793171,bmm
,25,25x21x127x69,5.0,1005.0,68.0,125.62899999999996,0.0357952006161212,bmm
,23,23x24x120x83,5.0,1005.0,68.0,125.62899999999996,0.0336767993867397,bmm
,30,30x19x85x147,5.0,1005.0,68.0,125.62899999999996,0.0276480000466108,bmm
,2,2x26x100x131,5.0,1005.0,68.0,125.62899999999996,0.0307007994502782,bmm
,6,6x19x106x235,5.0,1005.0,69.0,126.26299999999996,0.032473599165678,bmm
,26,26x24x76x459,5.0,1005.0,69.0,126.26299999999996,0.0440320000052452,bmm
,20,20x27x79x328,5.0,1005.0,69.0,126.26299999999996,0.0266047995537519,bmm
,27,27x18x69x446,5.0,1005.0,69.0,126.26299999999996,0.0409599989652633,bmm
,2,2x4x107x762,5.0,1005.0,69.0,126.26299999999996,0.0081919999793171,bmm
,9,9x1x110x756,5.0,1005.0,69.0,126.26299999999996,0.0102335998788475,bmm
,3,3x20x123x544,5.0,1005.0,69.0,126.26299999999996,0.0358400009572505,bmm
,19,19x30x239x7,5.0,1005.0,69.0,126.26299999999996,0.0571903996169567,bmm
,10,10x31x146x6,5.0,1005.0,69.0,126.26299999999996,0.0399359986186027,bmm
,7,7x33x183x10,5.0,1005.0,69.0,126.26299999999996,0.0460800006985664,bmm
,23,23x1x175x42,7.0,1005.0,69.96,126.63599999999998,0.0071680000983178,bmm
,10,10x11x141x38,7.0,1005.0,70.0,126.63599999999998,0.0081919999793171,bmm
,3,3x15x230x36,7.0,1005.0,70.0,126.63599999999998,0.0092160003259778,bmm
,33,33x23x147x115,7.0,1005.0,70.0,126.63599999999998,0.0404160000383853,bmm
,24,24x6x240x78,7.0,1005.0,70.0,126.63599999999998,0.0107647998258471,bmm
,10,10x16x155x83,7.0,1005.0,70.0,126.63599999999998,0.0092160003259778,bmm
,20,20x18x143x219,7.0,1005.0,70.0,126.63599999999998,0.0388735987246036,bmm
,21,21x31x257x167,7.0,1005.0,70.0,126.63599999999998,0.0623680002987384,bmm
,27,27x22x142x214,7.0,1005.0,70.0,126.63599999999998,0.0389119982719421,bmm
,25,25x22x161x304,7.0,1005.0,70.0,126.63599999999998,0.043827199935913,bmm
,7,7x33x138x429,7.0,1005.0,70.0,126.63599999999998,0.0389055989682674,bmm
,20,20x31x178x445,6.0,1005.0,70.0,127.326,0.047104001045227,bmm
,6,6x11x198x973,6.0,1005.0,70.0,127.326,0.0146816002205014,bmm
,15,15x2x210x614,6.0,1005.0,70.0,127.326,0.0163647998124361,bmm
,8,8x19x189x821,6.0,1005.0,70.0,127.326,0.0481280013918876,bmm
,16,16x27x352x6,6.0,1005.0,70.0,127.326,0.0785088017582893,bmm
,9,9x3x437x22,6.0,1005.0,70.0,127.326,0.0122688002884387,bmm
,26,26x31x386x3,6.0,1005.0,70.0,127.326,0.0867519989609718,bmm
,24,24x18x299x60,6.0,1005.0,70.0,127.326,0.0696320012211799,bmm
,3,3x23x479x50,6.0,1005.0,70.0,127.326,0.103423997759819,bmm
,3,3x10x487x56,6.0,1005.0,70.0,127.326,0.0136320000514388,bmm
,17,17x29x366x101,8.0,1005.0,71.0,127.90799999999994,0.0819199979305267,bmm
,24,24x33x371x80,8.0,1005.0,71.0,127.90799999999994,0.0849919989705085,bmm
,5,5x9x419x74,8.0,1005.0,71.0,127.90799999999994,0.0127744000405073,bmm
,23,23x19x297x193,8.0,1005.0,71.0,127.90799999999994,0.0696704015135765,bmm
,27,27x2x511x203,8.0,1005.0,71.0,127.90799999999994,0.022444799914956,bmm
,21,21x21x433x231,8.0,1005.0,71.0,127.90799999999994,0.0962560027837753,bmm
,16,16x11x424x417,8.0,1005.0,71.0,127.90799999999994,0.0255999993532896,bmm
,19,19x32x497x403,8.0,1005.0,71.0,127.90799999999994,0.1091135993599891,bmm
,33,33x29x400x317,8.0,1005.0,71.0,127.90799999999994,0.1679167985916137,bmm
,31,31x30x333x656,16.0,1005.0,72.0,129.29,0.2111295968294143,bmm
,31,31x17x373x565,16.0,1005.0,72.0,129.29,0.1595007956027984,bmm
,33,33x31x288x654,16.0,1005.0,72.0,129.29,0.1824448019266128,bmm
,20,20x19x725x32,16.0,1005.0,72.0,129.29,0.1515520066022873,bmm
,17,17x31x732x13,16.0,1005.0,72.0,129.29,0.1534592062234878,bmm
,1,1x11x929x31,16.0,1005.0,72.0,129.29,0.0215039998292922,bmm
,19,19x3x522x52,16.0,1005.0,72.0,129.29,0.0142847999930381,bmm
,22,22x19x710x44,16.0,1005.0,72.0,129.29,0.1484799981117248,bmm
,18,18x22x822x33,16.0,1005.0,72.0,129.29,0.1701375991106033,bmm
,9,9x31x669x123,13.48,1005.0,72.0,130.66544000000005,0.1413120031356811,bmm
,29,29x8x723x127,13.0,1005.0,72.0,130.85300000000004,0.0263871997594833,bmm
,5,5x3x946x109,13.0,1005.0,72.0,130.85300000000004,0.0202047996222972,bmm
,9,9x23x634x174,13.0,1005.0,72.0,130.85300000000004,0.1351680010557174,bmm
,8,8x3x942x133,13.0,1005.0,72.0,130.85300000000004,0.0204735994338989,bmm
,19,19x15x839x211,13.0,1005.0,72.0,130.85300000000004,0.0473024010658264,bmm
,27,27x10x820x449,13.0,1005.0,72.0,130.85300000000004,0.0886784002184867,bmm
,6,6x29x892x304,13.0,1005.0,72.0,130.85300000000004,0.185286396741867,bmm
,31,31x16x722x460,13.0,1005.0,72.0,130.85300000000004,0.130662402510643,bmm
,24,24x21x936x559,12.72,1005.0,72.0,131.15232000000003,0.3758080005645752,bmm
,32,32x30x685x873,12.0,1005.0,72.0,131.922,0.4163200080394745,bmm
,33,33x30x895x574,12.0,1005.0,72.0,131.922,0.5353472232818604,bmm
,13,13x49x23x18,12.0,1005.0,72.0,131.922,0.0153599996119737,bmm
,1,1x43x6x32,12.0,1005.0,72.0,131.922,0.0078464000485837,bmm
,10,10x58x5x20,12.0,1005.0,72.0,131.922,0.019455999135971,bmm
,21,21x34x18x61,12.0,1005.0,72.0,131.922,0.0251903999596834,bmm
,25,25x53x24x39,12.0,1005.0,72.0,131.922,0.0245760008692741,bmm
,6,6x55x6x53,12.0,1005.0,72.0,131.922,0.019455999135971,bmm
,5,5x43x28x100,12.0,1005.0,72.0,131.922,0.0276480000466108,bmm
,25,25x54x29x107,10.0,600.0,70.0,119.95200000000004,0.029696000739932,bmm
,26,26x56x8x90,10.0,600.0,70.0,119.95200000000004,0.0204799994826316,bmm
,5,5x61x31x231,10.0,600.0,70.0,119.95200000000004,0.0303103998303413,bmm
,17,17x47x33x185,10.0,600.0,70.0,119.95200000000004,0.0327679999172687,bmm
,20,20x54x30x181,10.0,600.0,70.0,119.95200000000004,0.0317439995706081,bmm
,12,12x43x22x475,10.0,600.0,70.0,119.95200000000004,0.0286720003932714,bmm
,5,5x39x12x444,10.0,600.0,70.0,119.95200000000004,0.0253951996564865,bmm
,9,9x53x8x379,10.0,600.0,70.0,119.95200000000004,0.0225280001759529,bmm
,19,19x41x12x835,10.0,600.0,70.0,119.95200000000004,0.0389119982719421,bmm
,6,6x34x15x812,12.0,495.0,65.0,90.605,0.0266239996999502,bmm
,16,16x52x3x973,12.0,495.0,65.0,90.605,0.0317439995706081,bmm
,11,11x53x51x19,12.0,495.0,65.0,90.605,0.0440320000052452,bmm
,18,18x59x57x29,12.0,495.0,65.0,90.605,0.0481280013918876,bmm
,28,28x46x64x18,12.0,495.0,65.0,90.605,0.0464896008372306,bmm
,28,28x45x41x52,12.0,495.0,65.0,90.605,0.0409599989652633,bmm
,14,14x63x37x41,12.0,495.0,65.0,90.605,0.0399359986186027,bmm
,24,24x52x41x57,12.0,495.0,65.0,90.605,0.0436223998665809,bmm
,25,25x55x60x105,12.0,495.0,65.0,90.605,0.0511999987065792,bmm
,25,25x40x48x128,12.0,495.0,65.0,90.605,0.0430079996585845,bmm
,3,3x36x58x129,12.8,435.0,65.0,62.07500000000002,0.0511999987065792,bmm
,20,20x60x48x143,13.0,435.0,61.0,62.07500000000002,0.0460800006985664,bmm
,11,11x56x41x197,13.0,435.0,61.0,62.07500000000002,0.047104001045227,bmm
,11,11x49x39x158,13.0,435.0,61.0,62.07500000000002,0.0440320000052452,bmm
,16,16x59x53x395,13.0,435.0,61.0,62.07500000000002,0.0530431993305683,bmm
,24,24x45x51x412,13.0,435.0,61.0,62.07500000000002,0.0864255994558334,bmm
,20,20x39x46x378,13.0,435.0,61.0,62.07500000000002,0.0481280013918876,bmm
,5,5x36x60x646,13.0,435.0,61.0,62.07500000000002,0.0232960000634193,bmm
,11,11x61x62x834,13.0,435.0,61.0,62.07500000000002,0.0235520005226135,bmm
,6,6x48x55x918,12.0,1005.0,59.0,61.85500000000001,0.0215039998292922,bmm
,15,15x41x90x26,12.0,1005.0,59.0,61.85500000000001,0.0286720003932714,bmm
,28,28x58x128x2,12.0,1005.0,59.0,61.85500000000001,0.0356863997876644,bmm
,4,4x38x100x25,12.0,1005.0,59.0,61.85500000000001,0.030681600049138,bmm
,21,21x47x68x50,12.0,1005.0,59.0,61.85500000000001,0.0245760008692741,bmm
,21,21x55x68x55,12.0,1005.0,59.0,61.85500000000001,0.0245760008692741,bmm
,9,9x54x87x53,12.0,1005.0,59.0,61.85500000000001,0.0281472001224756,bmm
,32,32x53x87x110,12.0,1005.0,59.0,61.85500000000001,0.0285567998886108,bmm
,22,22x37x95x109,12.0,1005.0,59.0,61.85500000000001,0.0296896006911993,bmm
,29,29x59x86x117,4.0,1005.0,64.0,90.09099999999997,0.0283967997878789,bmm
,5,5x54x86x225,4.0,1005.0,64.0,90.09099999999997,0.0281408004462718,bmm
,17,17x51x103x189,4.0,1005.0,64.0,90.09099999999997,0.0312639996409416,bmm
,11,11x51x75x250,4.0,1005.0,64.0,90.09099999999997,0.0266239996999502,bmm
,29,29x62x98x372,4.0,1005.0,64.0,90.09099999999997,0.054271999746561,bmm
,26,26x35x129x332,4.0,1005.0,64.0,90.09099999999997,0.0376768015325069,bmm
,6,6x57x115x423,4.0,1005.0,64.0,90.09099999999997,0.0348160006105899,bmm
,32,32x63x69x689,4.0,1005.0,64.0,90.09099999999997,0.0593920014798641,bmm
,18,18x64x77x746,4.0,1005.0,64.0,90.09099999999997,0.0445375993847847,bmm
,20,20x65x116x651,4.96,1005.0,64.96,106.5828,0.0604032017290592,bmm
,8,8x34x190x24,6.0,1005.0,66.0,121.80600000000004,0.0477888002991676,bmm
,15,15x46x197x27,6.0,1005.0,66.0,121.80600000000004,0.0491520017385482,bmm
,14,14x62x206x26,6.0,1005.0,66.0,121.80600000000004,0.0516800001263618,bmm
,16,16x36x232x53,6.0,1005.0,66.0,121.80600000000004,0.0562495999038219,bmm
,12,12x51x153x63,6.0,1005.0,66.0,121.80600000000004,0.0425087995827198,bmm
,31,31x36x147x63,6.0,1005.0,66.0,121.80600000000004,0.0400959990918636,bmm
,6,6x64x214x87,6.0,1005.0,66.0,121.80600000000004,0.0537408001720905,bmm
,25,25x33x138x90,6.0,1005.0,66.0,121.80600000000004,0.0389119982719421,bmm
,5,5x35x205x102,6.0,1005.0,66.0,121.80600000000004,0.0511999987065792,bmm
