gpu_type,coolant_type,coolant_key,time,gpu_power,z,initial_temperature,coolant_density,temperature,source_file
2060s,2100A,Novec_2100A,1.057,19.6,0.0,50.5,1601.0,51.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.152,19.6,0.0,50.5,1601.0,51.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.2560000000000002,20.0,0.0,50.5,1601.0,51.9,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.36,11.8,0.0,50.5,1601.0,50.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.45,10.1,0.0,50.5,1601.0,46.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.554,10.0,0.0,50.5,1601.0,45.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.645,9.6,0.0,50.5,1601.0,44.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.749,10.3,0.0,50.5,1601.0,43.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.852,10.0,0.0,50.5,1601.0,43.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,10.935,10.2,0.0,50.5,1601.0,43.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.041,10.8,0.0,50.5,1601.0,42.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.131,12.6,0.0,50.5,1601.0,43.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,14.21,13.9,0.0,50.5,1601.0,44.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.114,9.3,0.0,45.5,1601.0,43.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.209,9.7,0.0,45.5,1601.0,42.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.423,9.4,0.0,45.5,1601.0,42.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.5,9.6,0.0,45.5,1601.0,42.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.58,10.2,0.0,45.5,1601.0,41.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.671,10.1,0.0,45.5,1601.0,41.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.79,9.3,0.0,45.5,1601.0,41.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.899000000000001,10.0,0.0,45.5,1601.0,41.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.972,10.2,0.0,45.5,1601.0,41.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,11.162,9.8,0.0,45.5,1601.0,41.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,12.267,9.6,0.0,45.5,1601.0,41.2,2060s_2100A.txt
2060s,2100A,Novec_2100A,13.364,10.2,0.0,45.5,1601.0,41.6,2060s_2100A.txt
2060s,2100A,Novec_2100A,14.458,19.4,0.0,45.5,1601.0,46.3,2060s_2100A.txt
2060s,2100A,Novec_2100A,1.069,9.8,0.0,46.7,1601.0,44.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,2.162,9.4,0.0,46.7,1601.0,43.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,3.246,9.9,0.0,46.7,1601.0,42.5,2060s_2100A.txt
2060s,2100A,Novec_2100A,4.339,9.4,0.0,46.7,1601.0,41.8,2060s_2100A.txt
2060s,2100A,Novec_2100A,5.44,9.4,0.0,46.7,1601.0,41.7,2060s_2100A.txt
2060s,2100A,Novec_2100A,6.545,10.0,0.0,46.7,1601.0,41.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,7.75,9.1,0.0,46.7,1601.0,41.0,2060s_2100A.txt
2060s,2100A,Novec_2100A,8.829,18.0,0.0,46.7,1601.0,45.4,2060s_2100A.txt
2060s,2100A,Novec_2100A,9.967,18.6,0.0,46.7,1601.0,47.8,2060s_2100A.txt
